kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0101 Halden;0101;Halden;12415960;5910500;846500;5064000;0;0;507360;43600;0;44000
0104 Moss;0104;Moss;63967753;29749500;7709500;22040000;1363913;0;2135140;211400;277700;480600
0105 Sarpsborg;0105;Sarpsborg;62874099;29843500;4799500;25044000;1132539;0;1141560;0;286000;627000
0106 Fredrikstad;0106;Fredrikstad;93619192;44241700;14063000;30178700;1835410;0;2418682;190700;0;691000
0111 Hvaler;0111;Hvaler;11360900;4231500;448000;3783500;0;0;2853900;0;0;44000
0118 Aremark;0118;Aremark;1717000;853000;313000;540000;0;0;0;0;0;11000
0119 Marker;0119;Marker;3549510;1737000;636500;1100500;0;0;31710;21800;0;22000
0121 Rømskog;0121;Rømskog;0;0;0;0;0;0;0;0;0;0
0122 Trøgstad;0122;Trøgstad;8339160;3762000;1149500;2612500;0;0;718760;41400;0;55000
0123 Spydeberg;0123;Spydeberg;9409800;4672000;1898000;2774000;0;0;0;21800;0;44000
0124 Askim;0124;Askim;16063502;6754500;1228000;5526500;1597300;0;771302;65400;0;120500
0125 Eidsberg;0125;Eidsberg;13953000;6910500;1573000;5337500;0;0;0;0;0;132000
0127 Skiptvet;0127;Skiptvet;6225133;2642500;769500;1873000;379145;0;484988;0;0;76000
0128 Rakkestad;0128;Rakkestad;5680200;2490000;0;2490000;0;0;634200;0;0;66000
0135 Råde;0135;Råde;15546559;7169000;2705500;4463500;704659;0;0;65400;286000;152500
0136 Rygge;0136;Rygge;6845860;2042000;626000;1416000;880400;0;1881460;0;0;0
0137 Våler (Østfold);0137;Våler (Østf.);126840;0;0;0;0;0;126840;0;0;0
0138 Hobøl;0138;Hobøl;0;0;0;0;0;0;0;0;0;0
0211 Vestby;0211;Vestby;17980952;8501500;2249500;6252000;0;0;738052;107900;0;132000
0213 Ski;0213;Ski;46494910;22100900;6788500;15312400;800100;0;983010;194000;0;316000
0214 Ås;0214;Ås;19415206;8923750;2081000;6842750;652666;0;761040;0;0;154000
0215 Frogn;0215;Frogn;19851854;9123000;1711500;7411500;0;0;1442854;0;0;163000
0216 Nesodden;0216;Nesodden;29491382;13344500;4572500;8772000;439918;0;1916964;85000;0;360500
0217 Oppegård;0217;Oppegård;52848160;25186500;7457000;17729500;155400;0;1458660;174400;138700;548000
0219 Bærum;0219;Bærum;151444923,6;66411500;21697000;44714500;9625389,61;0;7290934;389100;286000;1030500
0220 Asker;0220;Asker;79346588;35443000;8832000;26611000;2968422;0;4954866;64300;0;473000
0221 Aurskog Høland;0221;Aurskog-Høland;16657354;7241000;2658000;4583000;2065554;0;0;21800;0;88000
0226 Sørum;0226;Sørum;14644840;7133000;1279500;5853500;0;0;126840;109000;0;143000
0227 Fet;0227;Fet;4349000;2174500;420000;1754500;0;0;0;0;0;0
0228 Rælingen;0228;Rælingen;31892420;15247000;3484000;11763000;0;0;1014720;87200;0;296500
0229 Enebakk;0229;Enebakk;10964840;5327500;1928000;3399500;0;0;126840;42500;0;140500
0230 Lørenskog;0230;Lørenskog;43300770;20056900;6938500;13118400;776800;0;2124570;43600;0;242000
0231 Skedsmo;0231;Skedsmo;83238608;38775875;9254500;29521375;2535970;0;1964788;152600;143000;890500
0233 Nittedal;0233;Nittedal;13323800;6579500;1423000;5156500;0;0;0;21800;0;143000
0234 Gjerdrum;0234;Gjerdrum;4086840;1969000;210000;1759000;0;0;126840;0;0;22000
0235 Ullensaker;0235;Ullensaker;18206560;8450000;836000;7614000;0;0;1141560;0;0;165000
0236 Nes (Akershus);0236;Nes (Ak.);30008362;13885000;3525500;10359500;0;0;2018562;21800;0;198000
0237 Eidsvoll;0237;Eidsvoll;20980810;10328000;3505500;6822500;0;0;31710;0;0;293100
0238 Nannestad;0238;Nannestad;6771710;3326000;0;3326000;0;0;31710;0;0;88000
0239 Hurdal;0239;Hurdal;2041040;640000;0;640000;0;0;761040;0;0;0
0301 Oslo;0301;Oslo kommune;624054036;452681750;127852400;0;4996597;0;29245289;1582400;1976500;5719100
0402 Kongsvinger;0402;Kongsvinger;30417820;13771000;2986000;10785000;2046900;0;380520;41400;143000;264000
0403 Hamar;0403;Hamar;66227835;29591500;5741500;23850000;3342829;0;2948106;192900;0;561000
0412 Ringsaker;0412;Ringsaker;34026560;15951000;3924500;12026500;0;0;1564360;87200;143000;330000
0415 Løten;0415;Løten;15040110;6885000;501500;6383500;923470;0;126840;21800;0;198000
0417 Stange;0417;Stange;46788808;21303000;5058500;16244500;2593848;0;1141560;128600;0;318800
0418 Nord-Odal;0418;Nord-Odal;2231840;1041500;210000;831500;0;0;126840;0;0;22000
0419 Sør-Odal;0419;Sør-Odal;5649800;2814000;868000;1946000;0;0;0;21800;0;0
0420 Eidskog;0420;Eidskog;9515000;4505500;345000;4160500;460000;0;0;0;0;44000
0423 Grue;0423;Grue;11201840;5176500;1516500;3660000;0;0;761040;21800;0;66000
0425 Åsnes;0425;Åsnes;12930600;6372000;1138000;5234000;0;0;0;43600;0;143000
0426 Våler (Hedm.);0426;Våler (Hedm.);0;0;0;0;0;0;0;0;0;0
0427 Elverum;0427;Elverum;47721170;21730500;3761500;17969000;410920;0;3223850;174400;0;451000
0428 Trysil;0428;Trysil;17078008;8188000;1791500;6396500;0;0;548408;43600;0;110000
0429 Åmot;0429;Åmot;1747360;620000;0;620000;0;0;507360;0;0;0
0430 Stor-Elvdal;0430;Stor-Elvdal;7474440;3602500;696500;2906000;0;0;126840;43600;0;99000
0432 Rendalen;0432;Rendalen;0;0;0;0;0;0;0;0;0;0
0434 Engerdal;0434;Engerdal;5761161;2410500;0;2410500;896161;0;0;0;0;44000
0436 Tolga;0436;Tolga;6418800;3182000;711500;2470500;0;0;0;21800;0;33000
0437 Tynset;0437;Tynset;18009679;7725500;1479000;6246500;599129;0;1849750;21800;0;88000
0438 Alvdal;0438;Alvdal;6212000;3078500;0;3078500;0;0;0;0;0;55000
0439 Folldal;0439;Folldal;2840000;1398000;0;1398000;0;0;0;0;0;44000
0441 Os (Hedm.);0441;Os (Hedm.);6461490;2880000;0;2880000;0;0;602490;0;0;99000
0501 Lillehammer;0501;Lillehammer;93762457;37016500;14674500;22342000;16513907;0;2166850;170000;138700;740000
0502 Gjøvik;0502;Gjøvik;89460067;35021000;11380500;23640500;15204763;0;3245704;129700;138700;699200
0511 Dovre;0511;Dovre;6216800;3086500;1316000;1770500;0;0;0;21800;0;22000
0512 Lesja;0512;Lesja;0;0;0;0;0;0;0;0;0;0
0513 Skjåk;0513;Skjåk;7382700;3643500;1041500;2602000;0;0;0;63200;0;32500
0514 Lom;0514;Lom;8069000;3996000;156500;3839500;0;0;0;0;0;77000
0515 Vågå;0515;Vågå;10686700;5294500;863000;4431500;0;0;0;20700;0;77000
0516 Nord-Fron;0516;Nord-Fron;13856080;6391000;3009500;3381500;0;0;887880;87200;0;99000
0517 Sel;0517;Sel;11923488;5167000;2471000;2696000;0;0;1436288;87200;0;66000
0519 Sør-Fron;0519;Sør-Fron;2137000;1063000;210000;853000;0;0;0;0;0;11000
0520 Ringebu;0520;Ringebu;7167000;3528500;1457500;2071000;0;0;0;0;0;110000
0521 Øyer;0521;Øyer;21388390;10076500;2865500;7211000;800100;0;73990;21800;143000;196500
0522 Gausdal;0522;Gausdal;4547000;2262500;360000;1902500;0;0;0;0;0;22000
0528 Østre Toten;0528;Østre Toten;19575400;9545000;2250500;7294500;155400;0;0;0;143000;187000
0529 Vestre Toten;0529;Vestre Toten;26637340;13052500;2576000;10476500;0;0;126840;42500;143000;220000
0532 Jevnaker;0532;Jevnaker;5431840;2636000;630000;2006000;0;0;126840;0;0;33000
0533 Lunner;0533;Lunner;36157520;17402000;6138000;11264000;0;0;1014720;64300;0;274500
0534 Gran;0534;Gran;52983773;24959900;7021000;17938900;1057343;0;1469230;174400;0;363000
0536 Søndre Land;0536;Søndre Land;6063800;3010000;1320000;1690000;0;0;0;21800;0;22000
0538 Nordre Land;0538;Nordre Land;23426552;10224000;3998500;6225500;996706;0;1806546;21800;0;153500
0540 Sør-Aurdal;0540;Sør-Aurdal;7921000;3702000;1409000;2293000;0;0;0;0;429000;88000
0541 Etnedal;0541;Etnedal;5362840;2612500;1020000;1592500;0;0;126840;0;0;11000
0542 Nord-Aurdal;0542;Nord-Aurdal;14126600;7019500;2668000;4351500;0;0;0;43600;0;44000
