"";"fylkenr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10"
"1";"01";250501550;156379100;42358500;114020600;4126246;70258100;15461104;7e+05;1323800;2253200
"2";"02";552323274;362878600;108263500;254615100;21952114;127647700;31407060;1566900;876400;5994500
"3";"03";689577091;427991800;122889850;305101950;9494093;212375900;30896098;1660700;1914200;5244300
"4";"04";294156930;192769550;60810500;131959050;12509811;69532900;13860769;1148100;728800;3607000
"5";"05";344080166;224387400;64615600;159771800;24504562;77328600;12304004;1100400;733400;3721800
"6";"06";379990401;257382312;77131500;180250812;8544728;90420750;16068411;1764200;1033200;4776800
"7";"07";228803638;146495900;47188000;99307900;5291646;54310300;18886292;1111100;0;2708400
"8";"08";367102664;254688050;7,4e+07;180688050;19224352;64199100;22479362;1275600;733400;4502800
"9";"09";193265370;135855000;38745500;97109500;6018802;36342500;11365468;521200;590400;2572000
"10";"10";329381071;226165600;71039000;155126600;12953887;70150400;13852584;1080500;876400;4301700
"11";"11";504000866;326863950;87492500;239371450;15935449;135949700;17412467;1839500;885600;5114200
"12";"12";582670329;405481425;132866125;272615500;6741065;138240900;22416739;1784900;1292300;6712800
"13";"13";0;0;0;0;0;0;0;0;0;0
"14";"14";183407433;119401400;43674000;75727400;0;55302200;5254433;1001000;442800;2005600
"15";"15";358831859;230281925;75102500;155179425;6995562;97269000;18264772;1155800;733400;4131400
"16";"16";387986233;258734900;75375800;183359100;30301946;79695930;13390357;1240800;1024000;3598300
"17";"17";280420451;196627100;62588550;134038550;2135256;62695380;14183715;924600;585800;3268600
"18";"18";584278260;388301200;121904500;266396700;15335035;146840000;23666725;2488600;442800;7203900
"19";"19";339961709;220895500;65757500;155138000;9150037;89492600;15223972;1312800;438200;3448600
"20";"20";194132826;114932500;33038000;81894500;13325809;46560600;16705717;501600;295200;1811400
