kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;fylkenr;naregnr
0101 Halden;0101;Halden;26185686,00;10902800,00;3302000,00;7600800,00;731586,00;2937800,00;710700,00;0,00;0,00;0,00;1;1
0104 Moss;0104;Moss;66291721,00;26592000,00;6732000,00;19860000,00;840221,00;9601700,00;2595600,00;70200,00;0,00;0,00;1;3
0105 Sarpsborg;0105;Sarpsborg;96816300,00;42959450,00;16273000,00;26686450,00;430100,00;8748500,00;1305100,00;209100,00;147600,00;57000,00;1;4
0106 Fredrikstad;0106;Fredrikstad;97022383,00;39261300,00;8683000,00;30578300,00;0,00;13367400,00;4740483,00;70200,00;299800,00;21900,00;1;4
0111 Hvaler;0111;Hvaler;21293320,00;7230600,00;2305000,00;4925600,00;1194970,00;1195100,00;4372350,00;69700,00;0,00;0,00;1;4
0118 Aremark;0118;Aremark;352200,00;0,00;0,00;0,00;0,00;352200,00;0,00;0,00;0,00;0,00;1;2
0119 Marker;0119;Marker;4756500,00;1924000,00;981000,00;943000,00;0,00;861700,00;0,00;46800,00;0,00;0,00;1;2
0121 Rømskog;0121;Rømskog;211900,00;0,00;0,00;0,00;0,00;211900,00;0,00;0,00;0,00;0,00;1;2
0122 Trøgstad;0122;Trøgstad;9638800,00;3193000,00;0,00;3193000,00;825700,00;1314700,00;1112400,00;0,00;0,00;0,00;1;2
0123 Spydeberg;0123;Spydeberg;17617300,00;6959600,00;2961000,00;3998600,00;0,00;3674700,00;0,00;23400,00;0,00;0,00;1;2
0124 Askim;0124;Askim;18009660,00;6770900,00;1860000,00;4910900,00;3210,00;3425900,00;992450,00;46300,00;0,00;0,00;1;2
0125 Eidsberg;0125;Eidsberg;19203350,00;8259700,00;2835000,00;5424700,00;0,00;2614200,00;46350,00;23400,00;0,00;0,00;1;2
0127 Skiptvet;0127;Skiptvet;5588600,00;1860800,00;0,00;1860800,00;0,00;940000,00;927000,00;0,00;0,00;0,00;1;2
0128 Rakkestad;0128;Rakkestad;7095650,00;2635650,00;900000,00;1735650,00;0,00;1407200,00;417150,00;0,00;0,00;0,00;1;2
0135 Råde;0135;Råde;9922200,00;4399800,00;756000,00;3643800,00;0,00;1122600,00;0,00;0,00;0,00;0,00;1;3
0136 Rygge;0136;Rygge;13665807,00;4585400,00;2425000,00;2160400,00;772691,00;1800300,00;1875816,00;23400,00;0,00;22800,00;1;3
0137 Våler (Østfold);0137;Våler (Østf.);5553500,00;1643000,00;1243000,00;400000,00;0,00;2244600,00;0,00;22900,00;0,00;0,00;1;3
0138 Hobøl;0138;Hobøl;5068900,00;680000,00;0,00;680000,00;0,00;3708900,00;0,00;0,00;0,00;0,00;1;2
0211 Vestby;0211;Vestby;34362250,00;13745800,00;4169000,00;9576800,00;0,00;5758800,00;1066050,00;45800,00;0,00;0,00;2;6
0213 Ski;0213;Ski;63170100,00;28813600,00;9557000,00;19256600,00;0,00;4684300,00;741600,00;117000,00;0,00;0,00;2;6
0214 Ås;0214;Ås;30549600,00;11357000,00;2058000,00;9299000,00;0,00;7256000,00;556200,00;23400,00;0,00;0,00;2;6
0215 Frogn;0215;Frogn;26121300,00;10633600,00;2208000,00;8425600,00;0,00;2675200,00;2132100,00;46800,00;0,00;0,00;2;6
