"aar","bydel_nr","spraak","bhgalder","enhet","tabellvariabel","tabell_navn","barnikommune","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","1_5","personer","36005","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","alle","1_5","prosent","85","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","1","personer","807","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","1","prosent","32.47484909","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","2","personer","1793","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","2","prosent","70.28616229","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","3","personer","2148","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","3","prosent","84.80063166","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","4","personer","2453","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","4","prosent","98.83158743","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","5","personer","2447","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","5","prosent","101.7463617","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","1_5","personer","9648","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","minoritet","1_5","prosent","77.5","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","ikke_minoritet","1_5","personer","26357","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","ikke_minoritet","1_5","prosent","88.2","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","000301","NULL","1_5","personer","42353","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","000301","NULL","1_5","prosent","100","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","000301","NULL","1","personer","2485","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","1","prosent","5.867352962","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","2","personer","2551","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","2","prosent","6.023186079","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","3","personer","2533","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","3","prosent","5.980686138","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","4","personer","2482","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","4","prosent","5.860269639","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","5","personer","2405","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","5","prosent","5.678464335","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","1_5","personer","12456","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","1_5","prosent","29.40995915","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","000301","NULL","1_5","personer","29897","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","000301","NULL","1_5","prosent","70.59004085","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030101","alle","1_5","personer","2805","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","alle","1_5","prosent","79.2","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1","personer","76","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1","prosent","26.48083624","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","2","personer","188","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","2","prosent","69.88847584","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","3","personer","201","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","3","prosent","74.1697417","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","4","personer","261","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","4","prosent","95.95588235","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","5","personer","220","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","5","prosent","97.34513274","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1_5","personer","946","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","minoritet","1_5","prosent","71.4","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","ikke_minoritet","1_5","personer","1859","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","ikke_minoritet","1_5","prosent","83.9","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030101","NULL","1_5","personer","3540","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030101","NULL","1_5","prosent","100","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030101","NULL","1","personer","287","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","1","prosent","8.107344633","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","2","personer","269","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","2","prosent","7.598870056","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","3","personer","271","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","3","prosent","7.655367232","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","4","personer","272","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","4","prosent","7.683615819","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","5","personer","226","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","5","prosent","6.384180791","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","1_5","personer","1325","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","1_5","prosent","37.42937853","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030101","NULL","1_5","personer","2215","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030101","NULL","1_5","prosent","62.57062147","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030102","alle","1_5","personer","2665","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","alle","1_5","prosent","85.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1","personer","62","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1","prosent","27.19298246","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","2","personer","154","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","2","prosent","67.2489083","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","3","personer","154","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","3","prosent","76.23762376","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","4","personer","168","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","4","prosent","88.42105263","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","5","personer","168","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","5","prosent","93.33333333","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1_5","personer","706","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","minoritet","1_5","prosent","68.6","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","ikke_minoritet","1_5","personer","1959","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","ikke_minoritet","1_5","prosent","94","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030102","NULL","1_5","personer","3112","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030102","NULL","1_5","prosent","100","barnehagedeltakelse","alle","NULL","NULL","NULL"
"2013","030102","NULL","1","personer","228","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","1","prosent","7.326478149","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","2","personer","229","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","2","prosent","7.358611825","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","3","personer","202","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","3","prosent","6.491002571","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","4","personer","190","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","4","prosent","6.105398458","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","5","personer","180","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","5","prosent","5.784061697","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","1_5","personer","1029","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","1_5","prosent","33.0655527","barnehagedeltakelse","innvandrerbakgr","NULL","NULL","NULL"
"2013","030102","NULL","1_5","personer","2083","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030102","NULL","1_5","prosent","66.9344473","barnehagedeltakelse","barn_ellers","NULL","NULL","NULL"
"2013","030103","alle","1_5","personer","2141","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","alle","1_5","prosent","90.5","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","1","personer","43","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","1","prosent","34.12698413","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","2","personer","86","barnehagedeltakelse","NULL","NULL","NULL","NULL"
"2013","030103","minoritet","2","prosent","63.7037037","barnehagedeltakelse","NULL","NULL","NULL","NULL"
