"aar","bydel_nr","innvkat_3","alder_grupper","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2014","000301","alle","0_5","0","personer","25293","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","0_5","1","personer","26584","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","0_5","alle","personer","51877","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","6_15","0","personer","30454","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","6_15","1","personer","31679","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","6_15","alle","personer","62133","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","16_19","0","personer","11605","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","16_19","1","personer","11982","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","16_19","alle","personer","23587","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","20_29","0","personer","59503","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","20_29","1","personer","54228","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","20_29","alle","personer","113731","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","30_54","0","personer","116999","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","30_54","1","personer","128565","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","30_54","alle","personer","245564","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","55_66","0","personer","36087","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","55_66","1","personer","35425","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","55_66","alle","personer","71512","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","67+","0","personer","38378","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","67+","1","personer","27681","befolkning_alder","NULL","NULL","NULL"
"2014","000301","alle","67+","alle","personer","66059","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","0_5","0","personer","1011","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","0_5","1","personer","1050","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","0_5","alle","personer","2061","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","6_15","0","personer","2823","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","6_15","1","personer","2947","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","6_15","alle","personer","5770","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","16_19","0","personer","1727","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","16_19","1","personer","1845","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","16_19","alle","personer","3572","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","20_29","0","personer","17706","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","20_29","1","personer","15589","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","20_29","alle","personer","33295","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","30_54","0","personer","38407","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","30_54","1","personer","46581","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","30_54","alle","personer","84988","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","55_66","0","personer","6541","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","55_66","1","personer","8016","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","55_66","alle","personer","14557","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","67+","0","personer","4195","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","67+","1","personer","3284","befolkning_alder","NULL","NULL","NULL"
"2014","000301","innvandrere","67+","alle","personer","7479","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","0_5","0","personer","24282","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","0_5","1","personer","25534","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","0_5","alle","personer","49816","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","6_15","0","personer","27631","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","6_15","1","personer","28732","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","6_15","alle","personer","56363","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","16_19","0","personer","9878","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","16_19","1","personer","10137","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","16_19","alle","personer","20015","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","20_29","0","personer","41797","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","20_29","1","personer","38639","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","20_29","alle","personer","80436","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","30_54","0","personer","78592","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","30_54","1","personer","81984","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","30_54","alle","personer","160576","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","55_66","0","personer","29546","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","55_66","1","personer","27409","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","55_66","alle","personer","56955","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","67+","0","personer","34183","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","67+","1","personer","24397","befolkning_alder","NULL","NULL","NULL"
"2014","000301","befolkningen_ellers","67+","alle","personer","58580","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","0_5","0","personer","2219","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","0_5","1","personer","2266","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","0_5","alle","personer","4485","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","6_15","0","personer","1680","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","6_15","1","personer","1690","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","6_15","alle","personer","3370","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","16_19","0","personer","599","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","16_19","1","personer","594","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","16_19","alle","personer","1193","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","20_29","0","personer","5591","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","20_29","1","personer","5086","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","20_29","alle","personer","10677","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","30_54","0","personer","9715","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","30_54","1","personer","12203","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","30_54","alle","personer","21918","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","55_66","0","personer","2050","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","55_66","1","personer","2214","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","55_66","alle","personer","4264","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","67+","0","personer","1396","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","67+","1","personer","1114","befolkning_alder","NULL","NULL","NULL"
"2014","030101","alle","67+","alle","personer","2510","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","0_5","0","personer","90","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","0_5","1","personer","100","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","0_5","alle","personer","190","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","6_15","0","personer","253","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","6_15","1","personer","210","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","6_15","alle","personer","463","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","16_19","0","personer","159","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","16_19","1","personer","185","befolkning_alder","NULL","NULL","NULL"
"2014","030101","innvandrere","16_19","alle","personer","344","befolkning_alder","NULL","NULL","NULL"
