tabell_navn;aar;bydel_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2015;01;alle;alle;0-5;person;4593;
befolkning_alder;2015;01;alle;alle;6-15;person;3488;
befolkning_alder;2015;01;alle;alle;16-19;person;1211;
befolkning_alder;2015;01;alle;alle;20-29;person;10944;
befolkning_alder;2015;01;alle;alle;30-54;person;22596;
befolkning_alder;2015;01;alle;alle;55-66;person;4366;
befolkning_alder;2015;01;alle;alle;67+;person;2656;
befolkning_alder;2015;01;innvandrere;alle;0-5;person;212;
befolkning_alder;2015;01;innvandrere;alle;6-15;person;457;
befolkning_alder;2015;01;innvandrere;alle;16-19;person;295;
befolkning_alder;2015;01;innvandrere;alle;20-29;person;3599;
befolkning_alder;2015;01;innvandrere;alle;30-54;person;8442;
befolkning_alder;2015;01;innvandrere;alle;55-66;person;1324;
befolkning_alder;2015;01;innvandrere;alle;67+;person;596;
befolkning_alder;2015;01;befolkningen_ellers;alle;0-5;person;4381;
befolkning_alder;2015;01;befolkningen_ellers;alle;6-15;person;3031;
befolkning_alder;2015;01;befolkningen_ellers;alle;16-19;person;916;
befolkning_alder;2015;01;befolkningen_ellers;alle;20-29;person;7345;
befolkning_alder;2015;01;befolkningen_ellers;alle;30-54;person;14154;
befolkning_alder;2015;01;befolkningen_ellers;alle;55-66;person;3042;
befolkning_alder;2015;01;befolkningen_ellers;alle;67+;person;2060;
befolkning_alder;2015;01;alle;1;0-5;person;2291;
befolkning_alder;2015;01;alle;1;6-15;person;1756;
befolkning_alder;2015;01;alle;1;16-19;person;611;
befolkning_alder;2015;01;alle;1;20-29;person;5300;
befolkning_alder;2015;01;alle;1;30-54;person;12580;
befolkning_alder;2015;01;alle;1;55-66;person;2261;
befolkning_alder;2015;01;alle;1;67+;person;1178;
befolkning_alder;2015;01;innvandrere;1;0-5;person;109;
befolkning_alder;2015;01;innvandrere;1;6-15;person;211;
befolkning_alder;2015;01;innvandrere;1;16-19;person;158;
befolkning_alder;2015;01;innvandrere;1;20-29;person;1752;
