tabell_navn;aar;fylke_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2006;01;alle;alle;0-5;personer;18243;
befolkning_alder;2006;01;alle;alle;6-15;personer;34256;
befolkning_alder;2006;01;alle;alle;16-19;personer;12778;
befolkning_alder;2006;01;alle;alle;20-29;personer;28697;
befolkning_alder;2006;01;alle;alle;30-54;personer;91849;
befolkning_alder;2006;01;alle;alle;55-66;personer;37578;
befolkning_alder;2006;01;alle;alle;67+;personer;36988;
befolkning_alder;2006;01;innvandrere;alle;0-5;personer;242;
befolkning_alder;2006;01;innvandrere;alle;6-15;personer;1798;
befolkning_alder;2006;01;innvandrere;alle;16-19;personer;994;
befolkning_alder;2006;01;innvandrere;alle;20-29;personer;2932;
befolkning_alder;2006;01;innvandrere;alle;30-54;personer;8490;
befolkning_alder;2006;01;innvandrere;alle;55-66;personer;2095;
befolkning_alder;2006;01;innvandrere;alle;67+;personer;1534;
befolkning_alder;2006;01;befolkningen_ellers;alle;0-5;personer;18001;
befolkning_alder;2006;01;befolkningen_ellers;alle;6-15;personer;32458;
befolkning_alder;2006;01;befolkningen_ellers;alle;16-19;personer;11784;
befolkning_alder;2006;01;befolkningen_ellers;alle;20-29;personer;25765;
befolkning_alder;2006;01;befolkningen_ellers;alle;30-54;personer;83359;
befolkning_alder;2006;01;befolkningen_ellers;alle;55-66;personer;35483;
befolkning_alder;2006;01;befolkningen_ellers;alle;67+;personer;35454;
befolkning_alder;2006;01;alle;1;0-5;personer;9419;
befolkning_alder;2006;01;alle;1;6-15;personer;17577;
befolkning_alder;2006;01;alle;1;16-19;personer;6574;
befolkning_alder;2006;01;alle;1;20-29;personer;14532;
befolkning_alder;2006;01;alle;1;30-54;personer;46235;
befolkning_alder;2006;01;alle;1;55-66;personer;18616;
befolkning_alder;2006;01;alle;1;67+;personer;15284;
befolkning_alder;2006;01;innvandrere;1;0-5;personer;134;
befolkning_alder;2006;01;innvandrere;1;6-15;personer;922;
befolkning_alder;2006;01;innvandrere;1;16-19;personer;521;
befolkning_alder;2006;01;innvandrere;1;20-29;personer;1331;
befolkning_alder;2006;01;innvandrere;1;30-54;personer;4196;
befolkning_alder;2006;01;innvandrere;1;55-66;personer;1081;
befolkning_alder;2006;01;innvandrere;1;67+;personer;608;
befolkning_alder;2006;01;befolkningen_ellers;1;0-5;personer;9285;
befolkning_alder;2006;01;befolkningen_ellers;1;6-15;personer;16655;
befolkning_alder;2006;01;befolkningen_ellers;1;16-19;personer;6053;
befolkning_alder;2006;01;befolkningen_ellers;1;20-29;personer;13201;
befolkning_alder;2006;01;befolkningen_ellers;1;30-54;personer;42039;
befolkning_alder;2006;01;befolkningen_ellers;1;55-66;personer;17535;
befolkning_alder;2006;01;befolkningen_ellers;1;67+;personer;14676;
