tabell_navn;aar;kommune_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2015;0101;alle;alle;0-5;person;1980;
befolkning_alder;2015;0101;alle;alle;6-15;person;3597;
befolkning_alder;2015;0101;alle;alle;16-19;person;1549;
befolkning_alder;2015;0101;alle;alle;20-29;person;3856;
befolkning_alder;2015;0101;alle;alle;30-54;person;9852;
befolkning_alder;2015;0101;alle;alle;55-66;person;4573;
befolkning_alder;2015;0101;alle;alle;67+;person;4921;
befolkning_alder;2015;0101;innvandrere;alle;0-5;person;30;
befolkning_alder;2015;0101;innvandrere;alle;6-15;person;225;
befolkning_alder;2015;0101;innvandrere;alle;16-19;person;140;
befolkning_alder;2015;0101;innvandrere;alle;20-29;person;557;
befolkning_alder;2015;0101;innvandrere;alle;30-54;person;1481;
befolkning_alder;2015;0101;innvandrere;alle;55-66;person;408;
befolkning_alder;2015;0101;innvandrere;alle;67+;person;255;
befolkning_alder;2015;0101;befolkningen_ellers;alle;0-5;person;1950;
befolkning_alder;2015;0101;befolkningen_ellers;alle;6-15;person;3372;
befolkning_alder;2015;0101;befolkningen_ellers;alle;16-19;person;1409;
befolkning_alder;2015;0101;befolkningen_ellers;alle;20-29;person;3299;
befolkning_alder;2015;0101;befolkningen_ellers;alle;30-54;person;8371;
befolkning_alder;2015;0101;befolkningen_ellers;alle;55-66;person;4165;
befolkning_alder;2015;0101;befolkningen_ellers;alle;67+;person;4666;
befolkning_alder;2015;0101;alle;1;0-5;person;1008;
befolkning_alder;2015;0101;alle;1;6-15;person;1894;
befolkning_alder;2015;0101;alle;1;16-19;person;791;
befolkning_alder;2015;0101;alle;1;20-29;person;1997;
befolkning_alder;2015;0101;alle;1;30-54;person;4996;
befolkning_alder;2015;0101;alle;1;55-66;person;2300;
befolkning_alder;2015;0101;alle;1;67+;person;2184;
befolkning_alder;2015;0101;innvandrere;1;0-5;person;18;
befolkning_alder;2015;0101;innvandrere;1;6-15;person;122;
befolkning_alder;2015;0101;innvandrere;1;16-19;person;79;
befolkning_alder;2015;0101;innvandrere;1;20-29;person;262;
befolkning_alder;2015;0101;innvandrere;1;30-54;person;721;
befolkning_alder;2015;0101;innvandrere;1;55-66;person;231;
befolkning_alder;2015;0101;innvandrere;1;67+;person;108;
befolkning_alder;2015;0101;befolkningen_ellers;1;0-5;person;990;
befolkning_alder;2015;0101;befolkningen_ellers;1;6-15;person;1772;
befolkning_alder;2015;0101;befolkningen_ellers;1;16-19;person;712;
befolkning_alder;2015;0101;befolkningen_ellers;1;20-29;person;1735;
befolkning_alder;2015;0101;befolkningen_ellers;1;30-54;person;4275;
befolkning_alder;2015;0101;befolkningen_ellers;1;55-66;person;2069;
befolkning_alder;2015;0101;befolkningen_ellers;1;67+;person;2076;
befolkning_alder;2015;0101;alle;0;0-5;person;972;
befolkning_alder;2015;0101;alle;0;6-15;person;1703;
befolkning_alder;2015;0101;alle;0;16-19;person;758;
befolkning_alder;2015;0101;alle;0;20-29;person;1859;
befolkning_alder;2015;0101;alle;0;30-54;person;4856;
befolkning_alder;2015;0101;alle;0;55-66;person;2273;
befolkning_alder;2015;0101;alle;0;67+;person;2737;
befolkning_alder;2015;0101;innvandrere;0;0-5;person;12;
befolkning_alder;2015;0101;innvandrere;0;6-15;person;103;
befolkning_alder;2015;0101;innvandrere;0;16-19;person;61;
befolkning_alder;2015;0101;innvandrere;0;20-29;person;295;
befolkning_alder;2015;0101;innvandrere;0;30-54;person;760;
befolkning_alder;2015;0101;innvandrere;0;55-66;person;177;
befolkning_alder;2015;0101;innvandrere;0;67+;person;147;
befolkning_alder;2015;0101;befolkningen_ellers;0;0-5;person;960;
befolkning_alder;2015;0101;befolkningen_ellers;0;6-15;person;1600;
befolkning_alder;2015;0101;befolkningen_ellers;0;16-19;person;697;
befolkning_alder;2015;0101;befolkningen_ellers;0;20-29;person;1564;
befolkning_alder;2015;0101;befolkningen_ellers;0;30-54;person;4096;
befolkning_alder;2015;0101;befolkningen_ellers;0;55-66;person;2096;
befolkning_alder;2015;0101;befolkningen_ellers;0;67+;person;2590;
befolkning_alder;2015;0104;alle;alle;0-5;person;2089;
befolkning_alder;2015;0104;alle;alle;6-15;person;3651;
befolkning_alder;2015;0104;alle;alle;16-19;person;1617;
befolkning_alder;2015;0104;alle;alle;20-29;person;3677;
befolkning_alder;2015;0104;alle;alle;30-54;person;10923;
befolkning_alder;2015;0104;alle;alle;55-66;person;4657;
befolkning_alder;2015;0104;alle;alle;67+;person;5188;
befolkning_alder;2015;0104;innvandrere;alle;0-5;person;89;
befolkning_alder;2015;0104;innvandrere;alle;6-15;person;307;
befolkning_alder;2015;0104;innvandrere;alle;16-19;person;184;
befolkning_alder;2015;0104;innvandrere;alle;20-29;person;767;
befolkning_alder;2015;0104;innvandrere;alle;30-54;person;2577;
befolkning_alder;2015;0104;innvandrere;alle;55-66;person;521;
befolkning_alder;2015;0104;innvandrere;alle;67+;person;385;
befolkning_alder;2015;0104;befolkningen_ellers;alle;0-5;person;2000;
befolkning_alder;2015;0104;befolkningen_ellers;alle;6-15;person;3344;
befolkning_alder;2015;0104;befolkningen_ellers;alle;16-19;person;1433;
befolkning_alder;2015;0104;befolkningen_ellers;alle;20-29;person;2910;
befolkning_alder;2015;0104;befolkningen_ellers;alle;30-54;person;8346;
befolkning_alder;2015;0104;befolkningen_ellers;alle;55-66;person;4136;
befolkning_alder;2015;0104;befolkningen_ellers;alle;67+;person;4803;
befolkning_alder;2015;0104;alle;1;0-5;person;1084;
befolkning_alder;2015;0104;alle;1;6-15;person;1890;
befolkning_alder;2015;0104;alle;1;16-19;person;834;
befolkning_alder;2015;0104;alle;1;20-29;person;1922;
befolkning_alder;2015;0104;alle;1;30-54;person;5498;
befolkning_alder;2015;0104;alle;1;55-66;person;2258;
befolkning_alder;2015;0104;alle;1;67+;person;2297;
befolkning_alder;2015;0104;innvandrere;1;0-5;person;44;
befolkning_alder;2015;0104;innvandrere;1;6-15;person;147;
befolkning_alder;2015;0104;innvandrere;1;16-19;person;103;
befolkning_alder;2015;0104;innvandrere;1;20-29;person;396;
befolkning_alder;2015;0104;innvandrere;1;30-54;person;1347;
befolkning_alder;2015;0104;innvandrere;1;55-66;person;276;
befolkning_alder;2015;0104;innvandrere;1;67+;person;174;
befolkning_alder;2015;0104;befolkningen_ellers;1;0-5;person;1040;
befolkning_alder;2015;0104;befolkningen_ellers;1;6-15;person;1743;
befolkning_alder;2015;0104;befolkningen_ellers;1;16-19;person;731;
befolkning_alder;2015;0104;befolkningen_ellers;1;20-29;person;1526;
befolkning_alder;2015;0104;befolkningen_ellers;1;30-54;person;4151;
befolkning_alder;2015;0104;befolkningen_ellers;1;55-66;person;1982;
befolkning_alder;2015;0104;befolkningen_ellers;1;67+;person;2123;
befolkning_alder;2015;0104;alle;0;0-5;person;1005;
befolkning_alder;2015;0104;alle;0;6-15;person;1761;
befolkning_alder;2015;0104;alle;0;16-19;person;783;
befolkning_alder;2015;0104;alle;0;20-29;person;1755;
befolkning_alder;2015;0104;alle;0;30-54;person;5425;
befolkning_alder;2015;0104;alle;0;55-66;person;2399;
befolkning_alder;2015;0104;alle;0;67+;person;2891;
befolkning_alder;2015;0104;innvandrere;0;0-5;person;45;
befolkning_alder;2015;0104;innvandrere;0;6-15;person;160;
befolkning_alder;2015;0104;innvandrere;0;16-19;person;81;
befolkning_alder;2015;0104;innvandrere;0;20-29;person;371;
befolkning_alder;2015;0104;innvandrere;0;30-54;person;1230;
befolkning_alder;2015;0104;innvandrere;0;55-66;person;245;
befolkning_alder;2015;0104;innvandrere;0;67+;person;211;
befolkning_alder;2015;0104;befolkningen_ellers;0;0-5;person;960;
befolkning_alder;2015;0104;befolkningen_ellers;0;6-15;person;1601;
befolkning_alder;2015;0104;befolkningen_ellers;0;16-19;person;702;
befolkning_alder;2015;0104;befolkningen_ellers;0;20-29;person;1384;
befolkning_alder;2015;0104;befolkningen_ellers;0;30-54;person;4195;
befolkning_alder;2015;0104;befolkningen_ellers;0;55-66;person;2154;
befolkning_alder;2015;0104;befolkningen_ellers;0;67+;person;2680;
befolkning_alder;2015;0105;alle;alle;0-5;person;3695;
befolkning_alder;2015;0105;alle;alle;6-15;person;6621;
befolkning_alder;2015;0105;alle;alle;16-19;person;2851;
befolkning_alder;2015;0105;alle;alle;20-29;person;6416;
befolkning_alder;2015;0105;alle;alle;30-54;person;18351;
befolkning_alder;2015;0105;alle;alle;55-66;person;7803;
befolkning_alder;2015;0105;alle;alle;67+;person;8455;
befolkning_alder;2015;0105;innvandrere;alle;0-5;person;86;
befolkning_alder;2015;0105;innvandrere;alle;6-15;person;555;
befolkning_alder;2015;0105;innvandrere;alle;16-19;person;349;
befolkning_alder;2015;0105;innvandrere;alle;20-29;person;1259;
befolkning_alder;2015;0105;innvandrere;alle;30-54;person;3695;
befolkning_alder;2015;0105;innvandrere;alle;55-66;person;696;
befolkning_alder;2015;0105;innvandrere;alle;67+;person;444;
befolkning_alder;2015;0105;befolkningen_ellers;alle;0-5;person;3609;
befolkning_alder;2015;0105;befolkningen_ellers;alle;6-15;person;6066;
befolkning_alder;2015;0105;befolkningen_ellers;alle;16-19;person;2502;
befolkning_alder;2015;0105;befolkningen_ellers;alle;20-29;person;5157;
befolkning_alder;2015;0105;befolkningen_ellers;alle;30-54;person;14656;
befolkning_alder;2015;0105;befolkningen_ellers;alle;55-66;person;7107;
befolkning_alder;2015;0105;befolkningen_ellers;alle;67+;person;8011;
befolkning_alder;2015;0105;alle;1;0-5;person;1924;
befolkning_alder;2015;0105;alle;1;6-15;person;3391;
befolkning_alder;2015;0105;alle;1;16-19;person;1439;
befolkning_alder;2015;0105;alle;1;20-29;person;3267;
befolkning_alder;2015;0105;alle;1;30-54;person;9415;
befolkning_alder;2015;0105;alle;1;55-66;person;3867;
befolkning_alder;2015;0105;alle;1;67+;person;3698;
befolkning_alder;2015;0105;innvandrere;1;0-5;person;39;
befolkning_alder;2015;0105;innvandrere;1;6-15;person;276;
befolkning_alder;2015;0105;innvandrere;1;16-19;person;188;
befolkning_alder;2015;0105;innvandrere;1;20-29;person;644;
befolkning_alder;2015;0105;innvandrere;1;30-54;person;1952;
befolkning_alder;2015;0105;innvandrere;1;55-66;person;384;
befolkning_alder;2015;0105;innvandrere;1;67+;person;181;
befolkning_alder;2015;0105;befolkningen_ellers;1;0-5;person;1885;
befolkning_alder;2015;0105;befolkningen_ellers;1;6-15;person;3115;
befolkning_alder;2015;0105;befolkningen_ellers;1;16-19;person;1251;
befolkning_alder;2015;0105;befolkningen_ellers;1;20-29;person;2623;
befolkning_alder;2015;0105;befolkningen_ellers;1;30-54;person;7463;
befolkning_alder;2015;0105;befolkningen_ellers;1;55-66;person;3483;
befolkning_alder;2015;0105;befolkningen_ellers;1;67+;person;3517;
befolkning_alder;2015;0105;alle;0;0-5;person;1771;
befolkning_alder;2015;0105;alle;0;6-15;person;3230;
befolkning_alder;2015;0105;alle;0;16-19;person;1412;
befolkning_alder;2015;0105;alle;0;20-29;person;3149;
befolkning_alder;2015;0105;alle;0;30-54;person;8936;
befolkning_alder;2015;0105;alle;0;55-66;person;3936;
befolkning_alder;2015;0105;alle;0;67+;person;4757;
befolkning_alder;2015;0105;innvandrere;0;0-5;person;47;
befolkning_alder;2015;0105;innvandrere;0;6-15;person;279;
befolkning_alder;2015;0105;innvandrere;0;16-19;person;161;
befolkning_alder;2015;0105;innvandrere;0;20-29;person;615;
befolkning_alder;2015;0105;innvandrere;0;30-54;person;1743;
befolkning_alder;2015;0105;innvandrere;0;55-66;person;312;
befolkning_alder;2015;0105;innvandrere;0;67+;person;263;
befolkning_alder;2015;0105;befolkningen_ellers;0;0-5;person;1724;
befolkning_alder;2015;0105;befolkningen_ellers;0;6-15;person;2951;
befolkning_alder;2015;0105;befolkningen_ellers;0;16-19;person;1251;
befolkning_alder;2015;0105;befolkningen_ellers;0;20-29;person;2534;
befolkning_alder;2015;0105;befolkningen_ellers;0;30-54;person;7193;
befolkning_alder;2015;0105;befolkningen_ellers;0;55-66;person;3624;
befolkning_alder;2015;0105;befolkningen_ellers;0;67+;person;4494;
befolkning_alder;2015;0106;alle;alle;0-5;person;5151;
befolkning_alder;2015;0106;alle;alle;6-15;person;9347;
befolkning_alder;2015;0106;alle;alle;16-19;person;4124;
befolkning_alder;2015;0106;alle;alle;20-29;person;9481;
befolkning_alder;2015;0106;alle;alle;30-54;person;26493;
befolkning_alder;2015;0106;alle;alle;55-66;person;11467;
befolkning_alder;2015;0106;alle;alle;67+;person;12096;
befolkning_alder;2015;0106;innvandrere;alle;0-5;person;123;
befolkning_alder;2015;0106;innvandrere;alle;6-15;person;603;
befolkning_alder;2015;0106;innvandrere;alle;16-19;person;516;
befolkning_alder;2015;0106;innvandrere;alle;20-29;person;1814;
befolkning_alder;2015;0106;innvandrere;alle;30-54;person;5078;
befolkning_alder;2015;0106;innvandrere;alle;55-66;person;920;
befolkning_alder;2015;0106;innvandrere;alle;67+;person;646;
befolkning_alder;2015;0106;befolkningen_ellers;alle;0-5;person;5028;
befolkning_alder;2015;0106;befolkningen_ellers;alle;6-15;person;8744;
befolkning_alder;2015;0106;befolkningen_ellers;alle;16-19;person;3608;
befolkning_alder;2015;0106;befolkningen_ellers;alle;20-29;person;7667;
befolkning_alder;2015;0106;befolkningen_ellers;alle;30-54;person;21415;
befolkning_alder;2015;0106;befolkningen_ellers;alle;55-66;person;10547;
befolkning_alder;2015;0106;befolkningen_ellers;alle;67+;person;11450;
befolkning_alder;2015;0106;alle;1;0-5;person;2661;
befolkning_alder;2015;0106;alle;1;6-15;person;4841;
befolkning_alder;2015;0106;alle;1;16-19;person;2099;
befolkning_alder;2015;0106;alle;1;20-29;person;4892;
befolkning_alder;2015;0106;alle;1;30-54;person;13334;
befolkning_alder;2015;0106;alle;1;55-66;person;5688;
befolkning_alder;2015;0106;alle;1;67+;person;5272;
befolkning_alder;2015;0106;innvandrere;1;0-5;person;68;
befolkning_alder;2015;0106;innvandrere;1;6-15;person;320;
befolkning_alder;2015;0106;innvandrere;1;16-19;person;272;
befolkning_alder;2015;0106;innvandrere;1;20-29;person;929;
befolkning_alder;2015;0106;innvandrere;1;30-54;person;2678;
befolkning_alder;2015;0106;innvandrere;1;55-66;person;511;
befolkning_alder;2015;0106;innvandrere;1;67+;person;263;
befolkning_alder;2015;0106;befolkningen_ellers;1;0-5;person;2593;
befolkning_alder;2015;0106;befolkningen_ellers;1;6-15;person;4521;
befolkning_alder;2015;0106;befolkningen_ellers;1;16-19;person;1827;
befolkning_alder;2015;0106;befolkningen_ellers;1;20-29;person;3963;
befolkning_alder;2015;0106;befolkningen_ellers;1;30-54;person;10656;
befolkning_alder;2015;0106;befolkningen_ellers;1;55-66;person;5177;
befolkning_alder;2015;0106;befolkningen_ellers;1;67+;person;5009;
befolkning_alder;2015;0106;alle;0;0-5;person;2490;
befolkning_alder;2015;0106;alle;0;6-15;person;4506;
befolkning_alder;2015;0106;alle;0;16-19;person;2025;
befolkning_alder;2015;0106;alle;0;20-29;person;4589;
befolkning_alder;2015;0106;alle;0;30-54;person;13159;
befolkning_alder;2015;0106;alle;0;55-66;person;5779;
befolkning_alder;2015;0106;alle;0;67+;person;6824;
befolkning_alder;2015;0106;innvandrere;0;0-5;person;55;
befolkning_alder;2015;0106;innvandrere;0;6-15;person;283;
befolkning_alder;2015;0106;innvandrere;0;16-19;person;244;
befolkning_alder;2015;0106;innvandrere;0;20-29;person;885;
befolkning_alder;2015;0106;innvandrere;0;30-54;person;2400;
befolkning_alder;2015;0106;innvandrere;0;55-66;person;409;
befolkning_alder;2015;0106;innvandrere;0;67+;person;383;
befolkning_alder;2015;0106;befolkningen_ellers;0;0-5;person;2435;
befolkning_alder;2015;0106;befolkningen_ellers;0;6-15;person;4223;
befolkning_alder;2015;0106;befolkningen_ellers;0;16-19;person;1781;
befolkning_alder;2015;0106;befolkningen_ellers;0;20-29;person;3704;
befolkning_alder;2015;0106;befolkningen_ellers;0;30-54;person;10759;
befolkning_alder;2015;0106;befolkningen_ellers;0;55-66;person;5370;
befolkning_alder;2015;0106;befolkningen_ellers;0;67+;person;6441;
befolkning_alder;2015;0111;alle;alle;0-5;person;224;
befolkning_alder;2015;0111;alle;alle;6-15;person;478;
befolkning_alder;2015;0111;alle;alle;16-19;person;220;
befolkning_alder;2015;0111;alle;alle;20-29;person;400;
befolkning_alder;2015;0111;alle;alle;30-54;person;1376;
befolkning_alder;2015;0111;alle;alle;55-66;person;954;
befolkning_alder;2015;0111;alle;alle;67+;person;828;
befolkning_alder;2015;0111;innvandrere;alle;0-5;person;6;
befolkning_alder;2015;0111;innvandrere;alle;6-15;person;20;
befolkning_alder;2015;0111;innvandrere;alle;16-19;person;24;
befolkning_alder;2015;0111;innvandrere;alle;20-29;person;31;
befolkning_alder;2015;0111;innvandrere;alle;30-54;person;121;
befolkning_alder;2015;0111;innvandrere;alle;55-66;person;30;
