tabell_navn;aar;fylke_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2015;00;alle;alle;0-5;person;373954;
befolkning_alder;2015;00;alle;alle;6-15;person;622464;
befolkning_alder;2015;00;alle;alle;16-19;person;262481;
befolkning_alder;2015;00;alle;alle;20-29;person;697397;
befolkning_alder;2015;00;alle;alle;30-54;person;1772006;
befolkning_alder;2015;00;alle;alle;55-66;person;714759;
befolkning_alder;2015;00;alle;alle;67+;person;722741;
befolkning_alder;2015;00;innvandrere;alle;0-5;person;12715;
befolkning_alder;2015;00;innvandrere;alle;6-15;person;44943;
befolkning_alder;2015;00;innvandrere;alle;16-19;person;23809;
befolkning_alder;2015;00;innvandrere;alle;20-29;person;129939;
befolkning_alder;2015;00;innvandrere;alle;30-54;person;365510;
befolkning_alder;2015;00;innvandrere;alle;55-66;person;60709;
befolkning_alder;2015;00;innvandrere;alle;67+;person;31755;
befolkning_alder;2015;00;befolkningen_ellers;alle;0-5;person;361239;
befolkning_alder;2015;00;befolkningen_ellers;alle;6-15;person;577521;
befolkning_alder;2015;00;befolkningen_ellers;alle;16-19;person;238672;
befolkning_alder;2015;00;befolkningen_ellers;alle;20-29;person;567458;
befolkning_alder;2015;00;befolkningen_ellers;alle;30-54;person;1406496;
befolkning_alder;2015;00;befolkningen_ellers;alle;55-66;person;654050;
befolkning_alder;2015;00;befolkningen_ellers;alle;67+;person;690986;
befolkning_alder;2015;00;alle;1;0-5;person;191844;
befolkning_alder;2015;00;alle;1;6-15;person;318469;
befolkning_alder;2015;00;alle;1;16-19;person;135324;
befolkning_alder;2015;00;alle;1;20-29;person;356594;
befolkning_alder;2015;00;alle;1;30-54;person;913211;
befolkning_alder;2015;00;alle;1;55-66;person;361332;
befolkning_alder;2015;00;alle;1;67+;person;322050;
befolkning_alder;2015;00;innvandrere;1;0-5;person;6448;
befolkning_alder;2015;00;innvandrere;1;6-15;person;22932;
befolkning_alder;2015;00;innvandrere;1;16-19;person;12759;
befolkning_alder;2015;00;innvandrere;1;20-29;person;64812;
befolkning_alder;2015;00;innvandrere;1;30-54;person;197942;
befolkning_alder;2015;00;innvandrere;1;55-66;person;32986;
befolkning_alder;2015;00;innvandrere;1;67+;person;13763;
befolkning_alder;2015;00;befolkningen_ellers;1;0-5;person;185396;
befolkning_alder;2015;00;befolkningen_ellers;1;6-15;person;295537;
befolkning_alder;2015;00;befolkningen_ellers;1;16-19;person;122565;
befolkning_alder;2015;00;befolkningen_ellers;1;20-29;person;291782;
befolkning_alder;2015;00;befolkningen_ellers;1;30-54;person;715269;
befolkning_alder;2015;00;befolkningen_ellers;1;55-66;person;328346;
befolkning_alder;2015;00;befolkningen_ellers;1;67+;person;308287;
befolkning_alder;2015;00;alle;0;0-5;person;182110;
befolkning_alder;2015;00;alle;0;6-15;person;303995;
befolkning_alder;2015;00;alle;0;16-19;person;127157;
befolkning_alder;2015;00;alle;0;20-29;person;340803;
befolkning_alder;2015;00;alle;0;30-54;person;858795;
befolkning_alder;2015;00;alle;0;55-66;person;353427;
befolkning_alder;2015;00;alle;0;67+;person;400691;
befolkning_alder;2015;00;innvandrere;0;0-5;person;6267;
befolkning_alder;2015;00;innvandrere;0;6-15;person;22011;
befolkning_alder;2015;00;innvandrere;0;16-19;person;11050;
befolkning_alder;2015;00;innvandrere;0;20-29;person;65127;
befolkning_alder;2015;00;innvandrere;0;30-54;person;167568;
befolkning_alder;2015;00;innvandrere;0;55-66;person;27723;
befolkning_alder;2015;00;innvandrere;0;67+;person;17992;
befolkning_alder;2015;00;befolkningen_ellers;0;0-5;person;175843;
befolkning_alder;2015;00;befolkningen_ellers;0;6-15;person;281984;
befolkning_alder;2015;00;befolkningen_ellers;0;16-19;person;116107;
befolkning_alder;2015;00;befolkningen_ellers;0;20-29;person;275676;
befolkning_alder;2015;00;befolkningen_ellers;0;30-54;person;691227;
befolkning_alder;2015;00;befolkningen_ellers;0;55-66;person;325704;
befolkning_alder;2015;00;befolkningen_ellers;0;67+;person;382699;
