tabell_navn;aar;naringsregion_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2015;01;alle;alle;0-5;person;1980;
befolkning_alder;2015;01;alle;alle;6-15;person;3597;
befolkning_alder;2015;01;alle;alle;16-19;person;1549;
befolkning_alder;2015;01;alle;alle;20-29;person;3856;
befolkning_alder;2015;01;alle;alle;30-54;person;9852;
befolkning_alder;2015;01;alle;alle;55-66;person;4573;
befolkning_alder;2015;01;alle;alle;67+;person;4921;
befolkning_alder;2015;01;innvandrere;alle;0-5;person;30;
befolkning_alder;2015;01;innvandrere;alle;6-15;person;225;
befolkning_alder;2015;01;innvandrere;alle;16-19;person;140;
befolkning_alder;2015;01;innvandrere;alle;20-29;person;557;
befolkning_alder;2015;01;innvandrere;alle;30-54;person;1481;
befolkning_alder;2015;01;innvandrere;alle;55-66;person;408;
befolkning_alder;2015;01;innvandrere;alle;67+;person;255;
befolkning_alder;2015;01;befolkningen_ellers;alle;0-5;person;1950;
befolkning_alder;2015;01;befolkningen_ellers;alle;6-15;person;3372;
befolkning_alder;2015;01;befolkningen_ellers;alle;16-19;person;1409;
befolkning_alder;2015;01;befolkningen_ellers;alle;20-29;person;3299;
befolkning_alder;2015;01;befolkningen_ellers;alle;30-54;person;8371;
befolkning_alder;2015;01;befolkningen_ellers;alle;55-66;person;4165;
befolkning_alder;2015;01;befolkningen_ellers;alle;67+;person;4666;
befolkning_alder;2015;01;alle;1;0-5;person;1008;
befolkning_alder;2015;01;alle;1;6-15;person;1894;
befolkning_alder;2015;01;alle;1;16-19;person;791;
befolkning_alder;2015;01;alle;1;20-29;person;1997;
befolkning_alder;2015;01;alle;1;30-54;person;4996;
befolkning_alder;2015;01;alle;1;55-66;person;2300;
befolkning_alder;2015;01;alle;1;67+;person;2184;
befolkning_alder;2015;01;innvandrere;1;0-5;person;18;
befolkning_alder;2015;01;innvandrere;1;6-15;person;122;
befolkning_alder;2015;01;innvandrere;1;16-19;person;79;
befolkning_alder;2015;01;innvandrere;1;20-29;person;262;
befolkning_alder;2015;01;innvandrere;1;30-54;person;721;
befolkning_alder;2015;01;innvandrere;1;55-66;person;231;
befolkning_alder;2015;01;innvandrere;1;67+;person;108;
befolkning_alder;2015;01;befolkningen_ellers;1;0-5;person;990;
befolkning_alder;2015;01;befolkningen_ellers;1;6-15;person;1772;
befolkning_alder;2015;01;befolkningen_ellers;1;16-19;person;712;
befolkning_alder;2015;01;befolkningen_ellers;1;20-29;person;1735;
befolkning_alder;2015;01;befolkningen_ellers;1;30-54;person;4275;
befolkning_alder;2015;01;befolkningen_ellers;1;55-66;person;2069;
befolkning_alder;2015;01;befolkningen_ellers;1;67+;person;2076;
befolkning_alder;2015;01;alle;0;0-5;person;972;
befolkning_alder;2015;01;alle;0;6-15;person;1703;
befolkning_alder;2015;01;alle;0;16-19;person;758;
befolkning_alder;2015;01;alle;0;20-29;person;1859;
befolkning_alder;2015;01;alle;0;30-54;person;4856;
befolkning_alder;2015;01;alle;0;55-66;person;2273;
befolkning_alder;2015;01;alle;0;67+;person;2737;
befolkning_alder;2015;01;innvandrere;0;0-5;person;12;
befolkning_alder;2015;01;innvandrere;0;6-15;person;103;
befolkning_alder;2015;01;innvandrere;0;16-19;person;61;
befolkning_alder;2015;01;innvandrere;0;20-29;person;295;
befolkning_alder;2015;01;innvandrere;0;30-54;person;760;
befolkning_alder;2015;01;innvandrere;0;55-66;person;177;
befolkning_alder;2015;01;innvandrere;0;67+;person;147;
befolkning_alder;2015;01;befolkningen_ellers;0;0-5;person;960;
befolkning_alder;2015;01;befolkningen_ellers;0;6-15;person;1600;
befolkning_alder;2015;01;befolkningen_ellers;0;16-19;person;697;
befolkning_alder;2015;01;befolkningen_ellers;0;20-29;person;1564;
befolkning_alder;2015;01;befolkningen_ellers;0;30-54;person;4096;
befolkning_alder;2015;01;befolkningen_ellers;0;55-66;person;2096;
befolkning_alder;2015;01;befolkningen_ellers;0;67+;person;2590;
befolkning_alder;2015;02;alle;alle;0-5;person;4148;
befolkning_alder;2015;02;alle;alle;6-15;person;7444;
befolkning_alder;2015;02;alle;alle;16-19;person;3215;
befolkning_alder;2015;02;alle;alle;20-29;person;6813;
befolkning_alder;2015;02;alle;alle;30-54;person;20556;
befolkning_alder;2015;02;alle;alle;55-66;person;9197;
befolkning_alder;2015;02;alle;alle;67+;person;9316;
befolkning_alder;2015;02;innvandrere;alle;0-5;person;118;
befolkning_alder;2015;02;innvandrere;alle;6-15;person;566;
befolkning_alder;2015;02;innvandrere;alle;16-19;person;359;
befolkning_alder;2015;02;innvandrere;alle;20-29;person;1127;
befolkning_alder;2015;02;innvandrere;alle;30-54;person;3917;
befolkning_alder;2015;02;innvandrere;alle;55-66;person;766;
befolkning_alder;2015;02;innvandrere;alle;67+;person;412;
befolkning_alder;2015;02;befolkningen_ellers;alle;0-5;person;4030;
befolkning_alder;2015;02;befolkningen_ellers;alle;6-15;person;6878;
befolkning_alder;2015;02;befolkningen_ellers;alle;16-19;person;2856;
befolkning_alder;2015;02;befolkningen_ellers;alle;20-29;person;5686;
befolkning_alder;2015;02;befolkningen_ellers;alle;30-54;person;16639;
