tabell_navn;aar;naringsregion_id;innvkat_3;kjonn;alder_grupper;enhet;tabellvariabel;
befolkning_alder;2006;01;alle;alle;0-5;person;1927;
befolkning_alder;2006;01;alle;alle;6-15;person;3578;
befolkning_alder;2006;01;alle;alle;16-19;person;1364;
befolkning_alder;2006;01;alle;alle;20-29;person;3141;
befolkning_alder;2006;01;alle;alle;30-54;person;9466;
befolkning_alder;2006;01;alle;alle;55-66;person;4037;
befolkning_alder;2006;01;alle;alle;67+;person;4209;
befolkning_alder;2006;01;innvandrere;alle;0-5;person;25;
befolkning_alder;2006;01;innvandrere;alle;6-15;person;184;
befolkning_alder;2006;01;innvandrere;alle;16-19;person;108;
befolkning_alder;2006;01;innvandrere;alle;20-29;person;326;
befolkning_alder;2006;01;innvandrere;alle;30-54;person;826;
befolkning_alder;2006;01;innvandrere;alle;55-66;person;254;
befolkning_alder;2006;01;innvandrere;alle;67+;person;177;
befolkning_alder;2006;01;befolkningen_ellers;alle;0-5;person;1902;
befolkning_alder;2006;01;befolkningen_ellers;alle;6-15;person;3394;
befolkning_alder;2006;01;befolkningen_ellers;alle;16-19;person;1256;
befolkning_alder;2006;01;befolkningen_ellers;alle;20-29;person;2815;
befolkning_alder;2006;01;befolkningen_ellers;alle;30-54;person;8640;
befolkning_alder;2006;01;befolkningen_ellers;alle;55-66;person;3783;
befolkning_alder;2006;01;befolkningen_ellers;alle;67+;person;4032;
befolkning_alder;2006;01;alle;1;0-5;person;1025;
befolkning_alder;2006;01;alle;1;6-15;person;1857;
befolkning_alder;2006;01;alle;1;16-19;person;698;
befolkning_alder;2006;01;alle;1;20-29;person;1629;
befolkning_alder;2006;01;alle;1;30-54;person;4807;
befolkning_alder;2006;01;alle;1;55-66;person;2024;
befolkning_alder;2006;01;alle;1;67+;person;1724;
befolkning_alder;2006;01;innvandrere;1;0-5;person;15;
befolkning_alder;2006;01;innvandrere;1;6-15;person;93;
befolkning_alder;2006;01;innvandrere;1;16-19;person;52;
befolkning_alder;2006;01;innvandrere;1;20-29;person;151;
befolkning_alder;2006;01;innvandrere;1;30-54;person;394;
befolkning_alder;2006;01;innvandrere;1;55-66;person;135;
befolkning_alder;2006;01;innvandrere;1;67+;person;68;
befolkning_alder;2006;01;befolkningen_ellers;1;0-5;person;1010;
befolkning_alder;2006;01;befolkningen_ellers;1;6-15;person;1764;
befolkning_alder;2006;01;befolkningen_ellers;1;16-19;person;646;
befolkning_alder;2006;01;befolkningen_ellers;1;20-29;person;1478;
befolkning_alder;2006;01;befolkningen_ellers;1;30-54;person;4413;
befolkning_alder;2006;01;befolkningen_ellers;1;55-66;person;1889;
befolkning_alder;2006;01;befolkningen_ellers;1;67+;person;1656;
befolkning_alder;2006;01;alle;0;0-5;person;902;
befolkning_alder;2006;01;alle;0;6-15;person;1721;
befolkning_alder;2006;01;alle;0;16-19;person;666;
befolkning_alder;2006;01;alle;0;20-29;person;1512;
befolkning_alder;2006;01;alle;0;30-54;person;4659;
befolkning_alder;2006;01;alle;0;55-66;person;2013;
befolkning_alder;2006;01;alle;0;67+;person;2485;
befolkning_alder;2006;01;innvandrere;0;0-5;person;10;
befolkning_alder;2006;01;innvandrere;0;6-15;person;91;
befolkning_alder;2006;01;innvandrere;0;16-19;person;56;
befolkning_alder;2006;01;innvandrere;0;20-29;person;175;
befolkning_alder;2006;01;innvandrere;0;30-54;person;432;
befolkning_alder;2006;01;innvandrere;0;55-66;person;119;
befolkning_alder;2006;01;innvandrere;0;67+;person;109;
befolkning_alder;2006;01;befolkningen_ellers;0;0-5;person;892;
befolkning_alder;2006;01;befolkningen_ellers;0;6-15;person;1630;
befolkning_alder;2006;01;befolkningen_ellers;0;16-19;person;610;
befolkning_alder;2006;01;befolkningen_ellers;0;20-29;person;1337;
befolkning_alder;2006;01;befolkningen_ellers;0;30-54;person;4227;
befolkning_alder;2006;01;befolkningen_ellers;0;55-66;person;1894;
befolkning_alder;2006;01;befolkningen_ellers;0;67+;person;2376;
befolkning_alder;2007;01;alle;alle;0-5;person;1909;
befolkning_alder;2007;01;alle;alle;6-15;person;3528;
befolkning_alder;2007;01;alle;alle;16-19;person;1470;
befolkning_alder;2007;01;alle;alle;20-29;person;3082;
befolkning_alder;2007;01;alle;alle;30-54;person;9471;
befolkning_alder;2007;01;alle;alle;55-66;person;4167;
befolkning_alder;2007;01;alle;alle;67+;person;4208;
befolkning_alder;2007;01;innvandrere;alle;0-5;person;31;
befolkning_alder;2007;01;innvandrere;alle;6-15;person;177;
befolkning_alder;2007;01;innvandrere;alle;16-19;person;113;
befolkning_alder;2007;01;innvandrere;alle;20-29;person;321;
befolkning_alder;2007;01;innvandrere;alle;30-54;person;873;
befolkning_alder;2007;01;innvandrere;alle;55-66;person;251;
befolkning_alder;2007;01;innvandrere;alle;67+;person;188;
befolkning_alder;2007;01;befolkningen_ellers;alle;0-5;person;1878;
befolkning_alder;2007;01;befolkningen_ellers;alle;6-15;person;3351;
befolkning_alder;2007;01;befolkningen_ellers;alle;16-19;person;1357;
befolkning_alder;2007;01;befolkningen_ellers;alle;20-29;person;2761;
befolkning_alder;2007;01;befolkningen_ellers;alle;30-54;person;8598;
befolkning_alder;2007;01;befolkningen_ellers;alle;55-66;person;3916;
befolkning_alder;2007;01;befolkningen_ellers;alle;67+;person;4020;
befolkning_alder;2007;01;alle;1;0-5;person;1005;
befolkning_alder;2007;01;alle;1;6-15;person;1849;
befolkning_alder;2007;01;alle;1;16-19;person;737;
befolkning_alder;2007;01;alle;1;20-29;person;1575;
befolkning_alder;2007;01;alle;1;30-54;person;4817;
befolkning_alder;2007;01;alle;1;55-66;person;2086;
befolkning_alder;2007;01;alle;1;67+;person;1738;
befolkning_alder;2007;01;innvandrere;1;0-5;person;18;
befolkning_alder;2007;01;innvandrere;1;6-15;person;90;
befolkning_alder;2007;01;innvandrere;1;16-19;person;42;
befolkning_alder;2007;01;innvandrere;1;20-29;person;157;
befolkning_alder;2007;01;innvandrere;1;30-54;person;408;
befolkning_alder;2007;01;innvandrere;1;55-66;person;137;
befolkning_alder;2007;01;innvandrere;1;67+;person;73;
befolkning_alder;2007;01;befolkningen_ellers;1;0-5;person;987;
befolkning_alder;2007;01;befolkningen_ellers;1;6-15;person;1759;
befolkning_alder;2007;01;befolkningen_ellers;1;16-19;person;695;
befolkning_alder;2007;01;befolkningen_ellers;1;20-29;person;1418;
befolkning_alder;2007;01;befolkningen_ellers;1;30-54;person;4409;
befolkning_alder;2007;01;befolkningen_ellers;1;55-66;person;1949;
befolkning_alder;2007;01;befolkningen_ellers;1;67+;person;1665;
befolkning_alder;2007;01;alle;0;0-5;person;904;
befolkning_alder;2007;01;alle;0;6-15;person;1679;
befolkning_alder;2007;01;alle;0;16-19;person;733;
befolkning_alder;2007;01;alle;0;20-29;person;1507;
befolkning_alder;2007;01;alle;0;30-54;person;4654;
befolkning_alder;2007;01;alle;0;55-66;person;2081;
befolkning_alder;2007;01;alle;0;67+;person;2470;
befolkning_alder;2007;01;innvandrere;0;0-5;person;13;
befolkning_alder;2007;01;innvandrere;0;6-15;person;87;
befolkning_alder;2007;01;innvandrere;0;16-19;person;71;
befolkning_alder;2007;01;innvandrere;0;20-29;person;164;
befolkning_alder;2007;01;innvandrere;0;30-54;person;465;
befolkning_alder;2007;01;innvandrere;0;55-66;person;114;
befolkning_alder;2007;01;innvandrere;0;67+;person;115;
befolkning_alder;2007;01;befolkningen_ellers;0;0-5;person;891;
befolkning_alder;2007;01;befolkningen_ellers;0;6-15;person;1592;
befolkning_alder;2007;01;befolkningen_ellers;0;16-19;person;662;
befolkning_alder;2007;01;befolkningen_ellers;0;20-29;person;1343;
befolkning_alder;2007;01;befolkningen_ellers;0;30-54;person;4189;
befolkning_alder;2007;01;befolkningen_ellers;0;55-66;person;1967;
befolkning_alder;2007;01;befolkningen_ellers;0;67+;person;2355;
befolkning_alder;2008;01;alle;alle;0-5;person;1909;
befolkning_alder;2008;01;alle;alle;6-15;person;3569;
befolkning_alder;2008;01;alle;alle;16-19;person;1502;
befolkning_alder;2008;01;alle;alle;20-29;person;3057;
befolkning_alder;2008;01;alle;alle;30-54;person;9575;
befolkning_alder;2008;01;alle;alle;55-66;person;4233;
befolkning_alder;2008;01;alle;alle;67+;person;4247;
befolkning_alder;2008;01;innvandrere;alle;0-5;person;35;
befolkning_alder;2008;01;innvandrere;alle;6-15;person;169;
befolkning_alder;2008;01;innvandrere;alle;16-19;person;124;
befolkning_alder;2008;01;innvandrere;alle;20-29;person;319;
befolkning_alder;2008;01;innvandrere;alle;30-54;person;936;
