tabell_navn;aar;fylke_nr;vreg_3;botid_5;enhet;tabellvariabel
Befolkning_botid;2015;00;alle;alle;person;669380
Befolkning_botid;2015;00;1;0_4;person;155959
Befolkning_botid;2015;00;2;0_4;person;101467
Befolkning_botid;2015;00;1;5_9;person;82437
Befolkning_botid;2015;00;2;5_9;person;67571
Befolkning_botid;2015;00;1;10+;person;88660
Befolkning_botid;2015;00;2;10+;person;173286
Befolkning_botid;2015;01;alle;alle;person;35027
Befolkning_botid;2015;02;alle;alle;person;85511
Befolkning_botid;2015;03;alle;alle;person;158835
Befolkning_botid;2015;04;alle;alle;person;15780
Befolkning_botid;2015;05;alle;alle;person;15632
Befolkning_botid;2015;06;alle;alle;person;39132
Befolkning_botid;2015;07;alle;alle;person;26283
Befolkning_botid;2015;08;alle;alle;person;16860
Befolkning_botid;2015;09;alle;alle;person;11710
Befolkning_botid;2015;10;alle;alle;person;20772
Befolkning_botid;2015;11;alle;alle;person;66389
Befolkning_botid;2015;12;alle;alle;person;58643
Befolkning_botid;2015;14;alle;alle;person;9994
Befolkning_botid;2015;15;alle;alle;person;26764
Befolkning_botid;2015;16;alle;alle;person;30042
Befolkning_botid;2015;17;alle;alle;person;8936
Befolkning_botid;2015;18;alle;alle;person;18998
Befolkning_botid;2015;19;alle;alle;person;15082
Befolkning_botid;2015;20;alle;alle;person;8990
Befolkning_botid;2015;01;1;0_4;person;6042
Befolkning_botid;2015;01;2;0_4;person;3531
Befolkning_botid;2015;01;1;5_9;person;4090
Befolkning_botid;2015;01;2;5_9;person;3860
Befolkning_botid;2015;01;1;10+;person;5583
Befolkning_botid;2015;01;2;10+;person;11921
Befolkning_botid;2015;02;1;0_4;person;17942
Befolkning_botid;2015;02;2;0_4;person;10060
Befolkning_botid;2015;02;1;5_9;person;10697
Befolkning_botid;2015;02;2;5_9;person;7858
Befolkning_botid;2015;02;1;10+;person;15170
Befolkning_botid;2015;02;2;10+;person;23784
Befolkning_botid;2015;03;1;0_4;person;30342
Befolkning_botid;2015;03;2;0_4;person;21072
Befolkning_botid;2015;03;1;5_9;person;13614
Befolkning_botid;2015;03;2;5_9;person;15608
Befolkning_botid;2015;03;1;10+;person;17195
Befolkning_botid;2015;03;2;10+;person;61004
Befolkning_botid;2015;04;1;0_4;person;3478
Befolkning_botid;2015;04;2;0_4;person;2893
Befolkning_botid;2015;04;1;5_9;person;1860
Befolkning_botid;2015;04;2;5_9;person;1709
Befolkning_botid;2015;04;1;10+;person;2767
Befolkning_botid;2015;04;2;10+;person;3073
Befolkning_botid;2015;05;1;0_4;person;3618
Befolkning_botid;2015;05;2;0_4;person;3246
Befolkning_botid;2015;05;1;5_9;person;2093
Befolkning_botid;2015;05;2;5_9;person;1686
Befolkning_botid;2015;05;1;10+;person;2147
Befolkning_botid;2015;05;2;10+;person;2842
Befolkning_botid;2015;06;1;0_4;person;8743
Befolkning_botid;2015;06;2;0_4;person;5039
Befolkning_botid;2015;06;1;5_9;person;5233
Befolkning_botid;2015;06;2;5_9;person;3860
Befolkning_botid;2015;06;1;10+;person;5501
Befolkning_botid;2015;06;2;10+;person;10756
Befolkning_botid;2015;07;1;0_4;person;5925
Befolkning_botid;2015;07;2;0_4;person;3128
Befolkning_botid;2015;07;1;5_9;person;3777
Befolkning_botid;2015;07;2;5_9;person;2477
Befolkning_botid;2015;07;1;10+;person;4442
Befolkning_botid;2015;07;2;10+;person;6534
Befolkning_botid;2015;08;1;0_4;person;2925
Befolkning_botid;2015;08;2;0_4;person;3070
Befolkning_botid;2015;08;1;5_9;person;1844
Befolkning_botid;2015;08;2;5_9;person;2082
Befolkning_botid;2015;08;1;10+;person;2661
Befolkning_botid;2015;08;2;10+;person;4278
Befolkning_botid;2015;09;1;0_4;person;2333
Befolkning_botid;2015;09;2;0_4;person;2025
Befolkning_botid;2015;09;1;5_9;person;1818
Befolkning_botid;2015;09;2;5_9;person;1273
Befolkning_botid;2015;09;1;10+;person;1973
Befolkning_botid;2015;09;2;10+;person;2288
Befolkning_botid;2015;10;1;0_4;person;3390
Befolkning_botid;2015;10;2;0_4;person;3606
Befolkning_botid;2015;10;1;5_9;person;2517
Befolkning_botid;2015;10;2;5_9;person;2419
Befolkning_botid;2015;10;1;10+;person;3102
Befolkning_botid;2015;10;2;10+;person;5738
Befolkning_botid;2015;11;1;0_4;person;19337
Befolkning_botid;2015;11;2;0_4;person;9999
Befolkning_botid;2015;11;1;5_9;person;10400
Befolkning_botid;2015;11;2;5_9;person;6616
Befolkning_botid;2015;11;1;10+;person;7648
Befolkning_botid;2015;11;2;10+;person;12389
Befolkning_botid;2015;12;1;0_4;person;17251
Befolkning_botid;2015;12;2;0_4;person;8885
Befolkning_botid;2015;12;1;5_9;person;8998
Befolkning_botid;2015;12;2;5_9;person;5758
Befolkning_botid;2015;12;1;10+;person;6330
Befolkning_botid;2015;12;2;10+;person;11421
Befolkning_botid;2015;14;1;0_4;person;3284
Befolkning_botid;2015;14;2;0_4;person;1897
Befolkning_botid;2015;14;1;5_9;person;1705
Befolkning_botid;2015;14;2;5_9;person;690
Befolkning_botid;2015;14;1;10+;person;1303
Befolkning_botid;2015;14;2;10+;person;1115
Befolkning_botid;2015;15;1;0_4;person;9355
Befolkning_botid;2015;15;2;0_4;person;4359
Befolkning_botid;2015;15;1;5_9;person;4665
Befolkning_botid;2015;15;2;5_9;person;2248
Befolkning_botid;2015;15;1;10+;person;2737
Befolkning_botid;2015;15;2;10+;person;3400
Befolkning_botid;2015;16;1;0_4;person;8091
Befolkning_botid;2015;16;2;0_4;person;5313
Befolkning_botid;2015;16;1;5_9;person;3725
Befolkning_botid;2015;16;2;5_9;person;3444
Befolkning_botid;2015;16;1;10+;person;3454
Befolkning_botid;2015;16;2;10+;person;6015
Befolkning_botid;2015;17;1;0_4;person;2060
Befolkning_botid;2015;17;2;0_4;person;2398
Befolkning_botid;2015;17;1;5_9;person;1128
Befolkning_botid;2015;17;2;5_9;person;1049
Befolkning_botid;2015;17;1;10+;person;1078
Befolkning_botid;2015;17;2;10+;person;1223
Befolkning_botid;2015;18;1;0_4;person;4946
Befolkning_botid;2015;18;2;0_4;person;5358
Befolkning_botid;2015;18;1;5_9;person;1846
Befolkning_botid;2015;18;2;5_9;person;2242
Befolkning_botid;2015;18;1;10+;person;2244
Befolkning_botid;2015;18;2;10+;person;2362
Befolkning_botid;2015;19;1;0_4;person;4152
Befolkning_botid;2015;19;2;0_4;person;3635
Befolkning_botid;2015;19;1;5_9;person;1649
Befolkning_botid;2015;19;2;5_9;person;1660
Befolkning_botid;2015;19;1;10+;person;2051
Befolkning_botid;2015;19;2;10+;person;1935
Befolkning_botid;2015;20;1;0_4;person;2745
Befolkning_botid;2015;20;2;0_4;person;1953
Befolkning_botid;2015;20;1;5_9;person;778
Befolkning_botid;2015;20;2;5_9;person;1032
Befolkning_botid;2015;20;1;10+;person;1274
Befolkning_botid;2015;20;2;10+;person;1208
