tabell_navn;aar;kommune_nr;botid_5;vreg_3;enhet;tabellvariabel
Befolkning_botid;2015;NULL;0_4;alle;person;257426
Befolkning_botid;2015;NULL;5_9;alle;person;150008
Befolkning_botid;2015;NULL;10+;alle;person;261944
Befolkning_botid;2015;NULL;0_4;1;person;155959
Befolkning_botid;2015;NULL;0_4;2;person;101467
Befolkning_botid;2015;NULL;5_9;1;person;82442
Befolkning_botid;2015;NULL;5_9;2;person;67566
Befolkning_botid;2015;NULL;10+;1;person;88660
Befolkning_botid;2015;NULL;10+;2;person;173284
Befolkning_botid;2015;0101;0_4;alle;person;792
Befolkning_botid;2015;0101;5_9;alle;person;587
Befolkning_botid;2015;0101;10+;alle;person;1717
Befolkning_botid;2015;0104;0_4;alle;person;1373
Befolkning_botid;2015;0104;5_9;alle;person;982
Befolkning_botid;2015;0104;10+;alle;person;2475
Befolkning_botid;2015;0105;0_4;alle;person;1680
Befolkning_botid;2015;0105;5_9;alle;person;1749
Befolkning_botid;2015;0105;10+;alle;person;3655
Befolkning_botid;2015;0106;0_4;alle;person;2477
Befolkning_botid;2015;0106;5_9;alle;person;2036
Befolkning_botid;2015;0106;10+;alle;person;5187
Befolkning_botid;2015;0111;0_4;alle;person;95
Befolkning_botid;2015;0111;5_9;alle;person;50
Befolkning_botid;2015;0111;10+;alle;person;106
Befolkning_botid;2015;0118;0_4;alle;person;11
Befolkning_botid;2015;0118;5_9;alle;person;13
Befolkning_botid;2015;0118;10+;alle;person;23
Befolkning_botid;2015;0119;0_4;alle;person;70
Befolkning_botid;2015;0119;5_9;alle;person;57
Befolkning_botid;2015;0119;10+;alle;person;157
Befolkning_botid;2015;0121;0_4;alle;person;9
Befolkning_botid;2015;0121;5_9;alle;person;12
Befolkning_botid;2015;0121;10+;alle;person;27
Befolkning_botid;2015;0122;0_4;alle;person;227
Befolkning_botid;2015;0122;5_9;alle;person;125
Befolkning_botid;2015;0122;10+;alle;person;138
Befolkning_botid;2015;0123;0_4;alle;person;233
Befolkning_botid;2015;0123;5_9;alle;person;164
Befolkning_botid;2015;0123;10+;alle;person;204
Befolkning_botid;2015;0124;0_4;alle;person;480
Befolkning_botid;2015;0124;5_9;alle;person;512
Befolkning_botid;2015;0124;10+;alle;person;1376
Befolkning_botid;2015;0125;0_4;alle;person;472
Befolkning_botid;2015;0125;5_9;alle;person;415
Befolkning_botid;2015;0125;10+;alle;person;600
Befolkning_botid;2015;0127;0_4;alle;person;135
Befolkning_botid;2015;0127;5_9;alle;person;117
Befolkning_botid;2015;0127;10+;alle;person;92
Befolkning_botid;2015;0128;0_4;alle;person;315
Befolkning_botid;2015;0128;5_9;alle;person;224
Befolkning_botid;2015;0128;10+;alle;person;327
Befolkning_botid;2015;0135;0_4;alle;person;278
Befolkning_botid;2015;0135;5_9;alle;person;205
Befolkning_botid;2015;0135;10+;alle;person;217
Befolkning_botid;2015;0136;0_4;alle;person;436
Befolkning_botid;2015;0136;5_9;alle;person;352
Befolkning_botid;2015;0136;10+;alle;person;781
Befolkning_botid;2015;0137;0_4;alle;person;191
Befolkning_botid;2015;0137;5_9;alle;person;161
Befolkning_botid;2015;0137;10+;alle;person;180
Befolkning_botid;2015;0138;0_4;alle;person;298
Befolkning_botid;2015;0138;5_9;alle;person;189
Befolkning_botid;2015;0138;10+;alle;person;242
Befolkning_botid;2015;0211;0_4;alle;person;617
Befolkning_botid;2015;0211;5_9;alle;person;438
Befolkning_botid;2015;0211;10+;alle;person;928
Befolkning_botid;2015;0213;0_4;alle;person;973
Befolkning_botid;2015;0213;5_9;alle;person;789
Befolkning_botid;2015;0213;10+;alle;person;2065
Befolkning_botid;2015;0214;0_4;alle;person;1432
Befolkning_botid;2015;0214;5_9;alle;person;639
Befolkning_botid;2015;0214;10+;alle;person;1147
Befolkning_botid;2015;0215;0_4;alle;person;488
Befolkning_botid;2015;0215;5_9;alle;person;319
Befolkning_botid;2015;0215;10+;alle;person;716
Befolkning_botid;2015;0216;0_4;alle;person;599
Befolkning_botid;2015;0216;5_9;alle;person;443
Befolkning_botid;2015;0216;10+;alle;person;1138
Befolkning_botid;2015;0217;0_4;alle;person;931
