tabell_navn;aar;naringsregion_nr;vreg_3;botid_5;enhet;tabellvariabel
Befolkning_botid;2015;NULL;alle;alle;person;669380
Befolkning_botid;2015;NULL;alle;0_4;person;257426
Befolkning_botid;2015;NULL;alle;5_9;person;150008
Befolkning_botid;2015;NULL;alle;10+;person;261946
Befolkning_botid;2015;NULL;1;0_4;person;155959
Befolkning_botid;2015;NULL;2;0_4;person;101467
Befolkning_botid;2015;NULL;1;5_9;person;82437
Befolkning_botid;2015;NULL;2;5_9;person;67571
Befolkning_botid;2015;NULL;1;10+;person;88660
Befolkning_botid;2015;NULL;2;10+;person;173286
Befolkning_botid;2015;01;alle;alle;person;3096
Befolkning_botid;2015;02;alle;alle;person;7265
Befolkning_botid;2015;03;alle;alle;person;7631
Befolkning_botid;2015;04;alle;alle;person;17035
Befolkning_botid;2015;05;alle;alle;person;29376
Befolkning_botid;2015;06;alle;alle;person;17146
Befolkning_botid;2015;07;alle;alle;person;26398
Befolkning_botid;2015;08;alle;alle;person;12591
Befolkning_botid;2015;09;alle;alle;person;158835
Befolkning_botid;2015;10;alle;alle;person;1168
Befolkning_botid;2015;11;alle;alle;person;3910
Befolkning_botid;2015;12;alle;alle;person;7630
Befolkning_botid;2015;13;alle;alle;person;3072
Befolkning_botid;2015;14;alle;alle;person;6028
Befolkning_botid;2015;15;alle;alle;person;2393
Befolkning_botid;2015;16;alle;alle;person;3510
Befolkning_botid;2015;17;alle;alle;person;956
Befolkning_botid;2015;18;alle;alle;person;1152
Befolkning_botid;2015;19;alle;alle;person;1593
Befolkning_botid;2015;20;alle;alle;person;28345
Befolkning_botid;2015;21;alle;alle;person;2613
Befolkning_botid;2015;22;alle;alle;person;4126
Befolkning_botid;2015;23;alle;alle;person;1633
Befolkning_botid;2015;24;alle;alle;person;4009
Befolkning_botid;2015;25;alle;alle;person;14285
Befolkning_botid;2015;26;alle;alle;person;10404
Befolkning_botid;2015;27;alle;alle;person;12245
Befolkning_botid;2015;28;alle;alle;person;1715
Befolkning_botid;2015;29;alle;alle;person;1819
Befolkning_botid;2015;30;alle;alle;person;1081
Befolkning_botid;2015;31;alle;alle;person;722
Befolkning_botid;2015;32;alle;alle;person;9504
Befolkning_botid;2015;33;alle;alle;person;3466
Befolkning_botid;2015;34;alle;alle;person;2406
Befolkning_botid;2015;35;alle;alle;person;16384
Befolkning_botid;2015;36;alle;alle;person;2340
Befolkning_botid;2015;37;alle;alle;person;11117
Befolkning_botid;2015;38;alle;alle;person;2455
Befolkning_botid;2015;39;alle;alle;person;50477
Befolkning_botid;2015;40;alle;alle;person;38241
Befolkning_botid;2015;41;alle;alle;person;2312
Befolkning_botid;2015;42;alle;alle;person;2201
Befolkning_botid;2015;43;alle;alle;person;1015
Befolkning_botid;2015;44;alle;alle;person;2726
Befolkning_botid;2015;45;alle;alle;person;942
Befolkning_botid;2015;46;alle;alle;person;5783
Befolkning_botid;2015;47;alle;alle;person;5423
Befolkning_botid;2015;48;alle;alle;person;916
Befolkning_botid;2015;49;alle;alle;person;3321
Befolkning_botid;2015;50;alle;alle;person;2747
Befolkning_botid;2015;51;alle;alle;person;3010
Befolkning_botid;2015;52;alle;alle;person;5271
Befolkning_botid;2015;53;alle;alle;person;5523
Befolkning_botid;2015;54;alle;alle;person;2106
Befolkning_botid;2015;55;alle;alle;person;5031
Befolkning_botid;2015;56;alle;alle;person;8833
Befolkning_botid;2015;57;alle;alle;person;1446
Befolkning_botid;2015;58;alle;alle;person;1627
Befolkning_botid;2015;59;alle;alle;person;605
Befolkning_botid;2015;60;alle;alle;person;1387
Befolkning_botid;2015;61;alle;alle;person;24696
Befolkning_botid;2015;62;alle;alle;person;483
Befolkning_botid;2015;63;alle;alle;person;1922
Befolkning_botid;2015;64;alle;alle;person;4233
Befolkning_botid;2015;65;alle;alle;person;574
Befolkning_botid;2015;66;alle;alle;person;710
Befolkning_botid;2015;67;alle;alle;person;1295
Befolkning_botid;2015;68;alle;alle;person;777
Befolkning_botid;2015;69;alle;alle;person;1229
Befolkning_botid;2015;70;alle;alle;person;264
Befolkning_botid;2015;71;alle;alle;person;1026
Befolkning_botid;2015;72;alle;alle;person;2067
Befolkning_botid;2015;73;alle;alle;person;6112
Befolkning_botid;2015;74;alle;alle;person;2402
Befolkning_botid;2015;75;alle;alle;person;2328
Befolkning_botid;2015;76;alle;alle;person;2793
Befolkning_botid;2015;77;alle;alle;person;3111
Befolkning_botid;2015;78;alle;alle;person;2210
Befolkning_botid;2015;79;alle;alle;person;8760
Befolkning_botid;2015;80;alle;alle;person;1001
Befolkning_botid;2015;81;alle;alle;person;4249
Befolkning_botid;2015;82;alle;alle;person;1027
Befolkning_botid;2015;83;alle;alle;person;3714
Befolkning_botid;2015;01; ;0_4;person;792
Befolkning_botid;2015;01; ;5_9;person;587
Befolkning_botid;2015;01; ;10+;person;1717
Befolkning_botid;2015;02; ;0_4;person;2251
Befolkning_botid;2015;02; ;5_9;person;1828
Befolkning_botid;2015;02; ;10+;person;3186
Befolkning_botid;2015;03; ;0_4;person;2278
Befolkning_botid;2015;03; ;5_9;person;1700
Befolkning_botid;2015;03; ;10+;person;3653
Befolkning_botid;2015;04; ;0_4;person;4252
Befolkning_botid;2015;04; ;5_9;person;3835
Befolkning_botid;2015;04; ;10+;person;8948
Befolkning_botid;2015;05; ;0_4;person;10046
Befolkning_botid;2015;05; ;5_9;person;6512
Befolkning_botid;2015;05; ;10+;person;12818
Befolkning_botid;2015;06; ;0_4;person;5477
Befolkning_botid;2015;06; ;5_9;person;3551
Befolkning_botid;2015;06; ;10+;person;8118
Befolkning_botid;2015;07; ;0_4;person;7799
Befolkning_botid;2015;07; ;5_9;person;5571
Befolkning_botid;2015;07; ;10+;person;13028
Befolkning_botid;2015;08; ;0_4;person;4680
Befolkning_botid;2015;08; ;5_9;person;2921
Befolkning_botid;2015;08; ;10+;person;4990
Befolkning_botid;2015;09; ;0_4;person;51414
Befolkning_botid;2015;09; ;5_9;person;29222
Befolkning_botid;2015;09; ;10+;person;78199
Befolkning_botid;2015;10; ;0_4;person;556
Befolkning_botid;2015;10; ;5_9;person;298
Befolkning_botid;2015;10; ;10+;person;314
Befolkning_botid;2015;11; ;0_4;person;1396
Befolkning_botid;2015;11; ;5_9;person;798
Befolkning_botid;2015;11; ;10+;person;1716
Befolkning_botid;2015;12; ;0_4;person;3062
Befolkning_botid;2015;12; ;5_9;person;1834
Befolkning_botid;2015;12; ;10+;person;2734
Befolkning_botid;2015;13; ;0_4;person;1357
Befolkning_botid;2015;13; ;5_9;person;639
Befolkning_botid;2015;13; ;10+;person;1076
Befolkning_botid;2015;14; ;0_4;person;2552
Befolkning_botid;2015;14; ;5_9;person;1333
Befolkning_botid;2015;14; ;10+;person;2143
Befolkning_botid;2015;15; ;0_4;person;1083
Befolkning_botid;2015;15; ;5_9;person;564
Befolkning_botid;2015;15; ;10+;person;746
Befolkning_botid;2015;16; ;0_4;person;1298
Befolkning_botid;2015;16; ;5_9;person;902
Befolkning_botid;2015;16; ;10+;person;1310
Befolkning_botid;2015;17; ;0_4;person;448
Befolkning_botid;2015;17; ;5_9;person;293
Befolkning_botid;2015;17; ;10+;person;215
