"tabellnavn","aar","Tilflyttingskommune","invkat_2","vreg_3","enhet","tabellvariabel","flytting"
befolkning_flytting,2014,0101,alle,alle,personer,207,innvandring
befolkning_flytting,2014,0104,alle,alle,personer,365,innvandring
befolkning_flytting,2014,0105,alle,alle,personer,354,innvandring
befolkning_flytting,2014,0106,alle,alle,personer,565,innvandring
befolkning_flytting,2014,0111,alle,alle,personer,31,innvandring
befolkning_flytting,2014,0118,alle,alle,personer,3,innvandring
befolkning_flytting,2014,0119,alle,alle,personer,12,innvandring
befolkning_flytting,2014,0121,alle,alle,personer,0,innvandring
befolkning_flytting,2014,0122,alle,alle,personer,44,innvandring
befolkning_flytting,2014,0123,alle,alle,personer,101,innvandring
befolkning_flytting,2014,0124,alle,alle,personer,105,innvandring
befolkning_flytting,2014,0125,alle,alle,personer,84,innvandring
befolkning_flytting,2014,0127,alle,alle,personer,20,innvandring
befolkning_flytting,2014,0128,alle,alle,personer,59,innvandring
befolkning_flytting,2014,0135,alle,alle,personer,68,innvandring
befolkning_flytting,2014,0136,alle,alle,personer,104,innvandring
befolkning_flytting,2014,0137,alle,alle,personer,34,innvandring
befolkning_flytting,2014,0138,alle,alle,personer,81,innvandring
befolkning_flytting,2014,0211,alle,alle,personer,151,innvandring
befolkning_flytting,2014,0213,alle,alle,personer,239,innvandring
befolkning_flytting,2014,0214,alle,alle,personer,506,innvandring
befolkning_flytting,2014,0215,alle,alle,personer,114,innvandring
befolkning_flytting,2014,0216,alle,alle,personer,149,innvandring
befolkning_flytting,2014,0217,alle,alle,personer,257,innvandring
befolkning_flytting,2014,0219,alle,alle,personer,1896,innvandring
befolkning_flytting,2014,0220,alle,alle,personer,1000,innvandring
befolkning_flytting,2014,0221,alle,alle,personer,133,innvandring
befolkning_flytting,2014,0226,alle,alle,personer,214,innvandring
befolkning_flytting,2014,0227,alle,alle,personer,101,innvandring
befolkning_flytting,2014,0228,alle,alle,personer,188,innvandring
befolkning_flytting,2014,0229,alle,alle,personer,84,innvandring
befolkning_flytting,2014,0230,alle,alle,personer,421,innvandring
befolkning_flytting,2014,0231,alle,alle,personer,589,innvandring
befolkning_flytting,2014,0233,alle,alle,personer,178,innvandring
befolkning_flytting,2014,0234,alle,alle,personer,70,innvandring
befolkning_flytting,2014,0235,alle,alle,personer,464,innvandring
befolkning_flytting,2014,0236,alle,alle,personer,118,innvandring
