"tabellnavn","aar","naringsregion_id","invkat_2","vreg_3","enhet","tabellvariabel","flytting"
befolkning_flytting,2014,01,alle,alle,personer,207,innvandring
befolkning_flytting,2014,02,alle,alle,personer,510,innvandring
befolkning_flytting,2014,03,alle,alle,personer,571,innvandring
befolkning_flytting,2014,04,alle,alle,personer,950,innvandring
befolkning_flytting,2014,05,alle,alle,personer,2896,innvandring
befolkning_flytting,2014,06,alle,alle,personer,1500,innvandring
befolkning_flytting,2014,07,alle,alle,personer,1824,innvandring
befolkning_flytting,2014,08,alle,alle,personer,1017,innvandring
befolkning_flytting,2014,09,alle,alle,personer,15773,innvandring
befolkning_flytting,2014,10,alle,alle,personer,98,innvandring
befolkning_flytting,2014,11,alle,alle,personer,572,innvandring
befolkning_flytting,2014,12,alle,alle,personer,818,innvandring
befolkning_flytting,2014,13,alle,alle,personer,441,innvandring
befolkning_flytting,2014,14,alle,alle,personer,805,innvandring
befolkning_flytting,2014,15,alle,alle,personer,260,innvandring
befolkning_flytting,2014,16,alle,alle,personer,311,innvandring
befolkning_flytting,2014,17,alle,alle,personer,122,innvandring
befolkning_flytting,2014,18,alle,alle,personer,225,innvandring
befolkning_flytting,2014,19,alle,alle,personer,281,innvandring
befolkning_flytting,2014,20,alle,alle,personer,2011,innvandring
befolkning_flytting,2014,21,alle,alle,personer,363,innvandring
befolkning_flytting,2014,22,alle,alle,personer,446,innvandring
befolkning_flytting,2014,23,alle,alle,personer,131,innvandring
befolkning_flytting,2014,24,alle,alle,personer,376,innvandring
befolkning_flytting,2014,25,alle,alle,personer,1357,innvandring
befolkning_flytting,2014,26,alle,alle,personer,936,innvandring
befolkning_flytting,2014,27,alle,alle,personer,834,innvandring
befolkning_flytting,2014,28,alle,alle,personer,215,innvandring
befolkning_flytting,2014,29,alle,alle,personer,159,innvandring
befolkning_flytting,2014,30,alle,alle,personer,97,innvandring
befolkning_flytting,2014,31,alle,alle,personer,61,innvandring
befolkning_flytting,2014,32,alle,alle,personer,808,innvandring
befolkning_flytting,2014,33,alle,alle,personer,543,innvandring
befolkning_flytting,2014,34,alle,alle,personer,259,innvandring
befolkning_flytting,2014,35,alle,alle,personer,1591,innvandring
befolkning_flytting,2014,36,alle,alle,personer,277,innvandring
befolkning_flytting,2014,37,alle,alle,personer,1126,innvandring
befolkning_flytting,2014,38,alle,alle,personer,279,innvandring
befolkning_flytting,2014,39,alle,alle,personer,5907,innvandring
befolkning_flytting,2014,40,alle,alle,personer,4503,innvandring
befolkning_flytting,2014,41,alle,alle,personer,229,innvandring
befolkning_flytting,2014,42,alle,alle,personer,295,innvandring
befolkning_flytting,2014,43,alle,alle,personer,161,innvandring
befolkning_flytting,2014,44,alle,alle,personer,247,innvandring
befolkning_flytting,2014,45,alle,alle,personer,82,innvandring
befolkning_flytting,2014,46,alle,alle,personer,667,innvandring
befolkning_flytting,2014,47,alle,alle,personer,498,innvandring
befolkning_flytting,2014,48,alle,alle,personer,159,innvandring
befolkning_flytting,2014,49,alle,alle,personer,377,innvandring
befolkning_flytting,2014,50,alle,alle,personer,402,innvandring
befolkning_flytting,2014,51,alle,alle,personer,409,innvandring
befolkning_flytting,2014,52,alle,alle,personer,706,innvandring
befolkning_flytting,2014,53,alle,alle,personer,836,innvandring
befolkning_flytting,2014,54,alle,alle,personer,151,innvandring
befolkning_flytting,2014,55,alle,alle,personer,714,innvandring
befolkning_flytting,2014,56,alle,alle,personer,1106,innvandring
befolkning_flytting,2014,57,alle,alle,personer,146,innvandring
befolkning_flytting,2014,58,alle,alle,personer,227,innvandring
befolkning_flytting,2014,59,alle,alle,personer,52,innvandring
befolkning_flytting,2014,60,alle,alle,personer,158,innvandring
befolkning_flytting,2014,61,alle,alle,personer,3034,innvandring
befolkning_flytting,2014,62,alle,alle,personer,49,innvandring
befolkning_flytting,2014,63,alle,alle,personer,205,innvandring
befolkning_flytting,2014,64,alle,alle,personer,581,innvandring
befolkning_flytting,2014,65,alle,alle,personer,115,innvandring
befolkning_flytting,2014,66,alle,alle,personer,69,innvandring
befolkning_flytting,2014,67,alle,alle,personer,203,innvandring
befolkning_flytting,2014,68,alle,alle,personer,93,innvandring
befolkning_flytting,2014,69,alle,alle,personer,214,innvandring
befolkning_flytting,2014,70,alle,alle,personer,35,innvandring
befolkning_flytting,2014,71,alle,alle,personer,235,innvandring
befolkning_flytting,2014,72,alle,alle,personer,343,innvandring
befolkning_flytting,2014,73,alle,alle,personer,897,innvandring
befolkning_flytting,2014,74,alle,alle,personer,376,innvandring
befolkning_flytting,2014,75,alle,alle,personer,301,innvandring
befolkning_flytting,2014,76,alle,alle,personer,408,innvandring
befolkning_flytting,2014,77,alle,alle,personer,528,innvandring
befolkning_flytting,2014,78,alle,alle,personer,448,innvandring
befolkning_flytting,2014,79,alle,alle,personer,1304,innvandring
befolkning_flytting,2014,80,alle,alle,personer,187,innvandring
befolkning_flytting,2014,81,alle,alle,personer,639,innvandring
befolkning_flytting,2014,82,alle,alle,personer,117,innvandring
befolkning_flytting,2014,83,alle,alle,personer,567,innvandring
befolkning_flytting,2014,01,innvandrere,alle,personer,154,innvandring
befolkning_flytting,2014,02,innvandrere,alle,personer,442,innvandring
befolkning_flytting,2014,03,innvandrere,alle,personer,483,innvandring
befolkning_flytting,2014,04,innvandrere,alle,personer,657,innvandring
befolkning_flytting,2014,05,innvandrere,alle,personer,2312,innvandring
befolkning_flytting,2014,06,innvandrere,alle,personer,1243,innvandring
befolkning_flytting,2014,07,innvandrere,alle,personer,1566,innvandring
befolkning_flytting,2014,08,innvandrere,alle,personer,871,innvandring
befolkning_flytting,2014,09,innvandrere,alle,personer,13615,innvandring
befolkning_flytting,2014,10,innvandrere,alle,personer,86,innvandring
befolkning_flytting,2014,11,innvandrere,alle,personer,466,innvandring
befolkning_flytting,2014,12,innvandrere,alle,personer,725,innvandring
befolkning_flytting,2014,13,innvandrere,alle,personer,382,innvandring
befolkning_flytting,2014,14,innvandrere,alle,personer,712,innvandring
befolkning_flytting,2014,15,innvandrere,alle,personer,231,innvandring
befolkning_flytting,2014,16,innvandrere,alle,personer,293,innvandring
befolkning_flytting,2014,17,innvandrere,alle,personer,110,innvandring
befolkning_flytting,2014,18,innvandrere,alle,personer,207,innvandring
befolkning_flytting,2014,19,innvandrere,alle,personer,256,innvandring
befolkning_flytting,2014,20,innvandrere,alle,personer,1735,innvandring
befolkning_flytting,2014,21,innvandrere,alle,personer,328,innvandring
befolkning_flytting,2014,22,innvandrere,alle,personer,393,innvandring
befolkning_flytting,2014,23,innvandrere,alle,personer,107,innvandring
befolkning_flytting,2014,24,innvandrere,alle,personer,331,innvandring
befolkning_flytting,2014,25,innvandrere,alle,personer,1156,innvandring
befolkning_flytting,2014,26,innvandrere,alle,personer,755,innvandring
befolkning_flytting,2014,27,innvandrere,alle,personer,693,innvandring
befolkning_flytting,2014,28,innvandrere,alle,personer,193,innvandring
befolkning_flytting,2014,29,innvandrere,alle,personer,145,innvandring
befolkning_flytting,2014,30,innvandrere,alle,personer,89,innvandring
befolkning_flytting,2014,31,innvandrere,alle,personer,56,innvandring
befolkning_flytting,2014,32,innvandrere,alle,personer,671,innvandring
befolkning_flytting,2014,33,innvandrere,alle,personer,507,innvandring
befolkning_flytting,2014,34,innvandrere,alle,personer,230,innvandring
befolkning_flytting,2014,35,innvandrere,alle,personer,1371,innvandring
befolkning_flytting,2014,36,innvandrere,alle,personer,248,innvandring
befolkning_flytting,2014,37,innvandrere,alle,personer,1012,innvandring
befolkning_flytting,2014,38,innvandrere,alle,personer,262,innvandring
