"tabell_navn","aar","bydel_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn",2014,"030101","alle","alle","personer",14245
"befolkning_innvandringsgrunn",2014,"030101","arbeid","alle","personer",2406
"befolkning_innvandringsgrunn",2014,"030101","flukt","alle","personer",3917
"befolkning_innvandringsgrunn",2014,"030101","familie","alle","personer",2717
"befolkning_innvandringsgrunn",2014,"030101","annet","alle","personer",592
"befolkning_innvandringsgrunn",2014,"030101","uoppgitt","alle","personer",4613
"befolkning_innvandringsgrunn",2014,"030101","alle","1","personer",7793
"befolkning_innvandringsgrunn",2014,"030101","arbeid","1","personer",1743
"befolkning_innvandringsgrunn",2014,"030101","flukt","1","personer",2026
"befolkning_innvandringsgrunn",2014,"030101","familie","1","personer",1108
"befolkning_innvandringsgrunn",2014,"030101","annet","1","personer",240
"befolkning_innvandringsgrunn",2014,"030101","uoppgitt","1","personer",2676
"befolkning_innvandringsgrunn",2014,"030101","alle","0","personer",6452
"befolkning_innvandringsgrunn",2014,"030101","arbeid","0","personer",663
"befolkning_innvandringsgrunn",2014,"030101","flukt","0","personer",1891
"befolkning_innvandringsgrunn",2014,"030101","familie","0","personer",1609
"befolkning_innvandringsgrunn",2014,"030101","annet","0","personer",352
"befolkning_innvandringsgrunn",2014,"030101","uoppgitt","0","personer",1937
"befolkning_innvandringsgrunn",2014,"030102","alle","alle","personer",14715
"befolkning_innvandringsgrunn",2014,"030102","arbeid","alle","personer",3355
"befolkning_innvandringsgrunn",2014,"030102","flukt","alle","personer",3019
"befolkning_innvandringsgrunn",2014,"030102","familie","alle","personer",2625
"befolkning_innvandringsgrunn",2014,"030102","annet","alle","personer",815
"befolkning_innvandringsgrunn",2014,"030102","uoppgitt","alle","personer",4901
"befolkning_innvandringsgrunn",2014,"030102","alle","1","personer",8260
"befolkning_innvandringsgrunn",2014,"030102","arbeid","1","personer",2421
"befolkning_innvandringsgrunn",2014,"030102","flukt","1","personer",1644
"befolkning_innvandringsgrunn",2014,"030102","familie","1","personer",1075
"befolkning_innvandringsgrunn",2014,"030102","annet","1","personer",339
"befolkning_innvandringsgrunn",2014,"030102","uoppgitt","1","personer",2781
"befolkning_innvandringsgrunn",2014,"030102","alle","0","personer",6455
"befolkning_innvandringsgrunn",2014,"030102","arbeid","0","personer",934
"befolkning_innvandringsgrunn",2014,"030102","flukt","0","personer",1375
"befolkning_innvandringsgrunn",2014,"030102","familie","0","personer",1550
"befolkning_innvandringsgrunn",2014,"030102","annet","0","personer",476
"befolkning_innvandringsgrunn",2014,"030102","uoppgitt","0","personer",2120
"befolkning_innvandringsgrunn",2014,"030103","alle","alle","personer",7893
"befolkning_innvandringsgrunn",2014,"030103","arbeid","alle","personer",1447
"befolkning_innvandringsgrunn",2014,"030103","flukt","alle","personer",1834
"befolkning_innvandringsgrunn",2014,"030103","familie","alle","personer",1423
"befolkning_innvandringsgrunn",2014,"030103","annet","alle","personer",474
"befolkning_innvandringsgrunn",2014,"030103","uoppgitt","alle","personer",2715
"befolkning_innvandringsgrunn",2014,"030103","alle","1","personer",4199
"befolkning_innvandringsgrunn",2014,"030103","arbeid","1","personer",1002
"befolkning_innvandringsgrunn",2014,"030103","flukt","1","personer",920
"befolkning_innvandringsgrunn",2014,"030103","familie","1","personer",572
"befolkning_innvandringsgrunn",2014,"030103","annet","1","personer",183
"befolkning_innvandringsgrunn",2014,"030103","uoppgitt","1","personer",1522
"befolkning_innvandringsgrunn",2014,"030103","alle","0","personer",3694
"befolkning_innvandringsgrunn",2014,"030103","arbeid","0","personer",445
"befolkning_innvandringsgrunn",2014,"030103","flukt","0","personer",914
"befolkning_innvandringsgrunn",2014,"030103","familie","0","personer",851
"befolkning_innvandringsgrunn",2014,"030103","annet","0","personer",291
"befolkning_innvandringsgrunn",2014,"030103","uoppgitt","0","personer",1193
"befolkning_innvandringsgrunn",2014,"030104","alle","alle","personer",8385
"befolkning_innvandringsgrunn",2014,"030104","arbeid","alle","personer",2177
"befolkning_innvandringsgrunn",2014,"030104","flukt","alle","personer",1160
"befolkning_innvandringsgrunn",2014,"030104","familie","alle","personer",1311
"befolkning_innvandringsgrunn",2014,"030104","annet","alle","personer",628
"befolkning_innvandringsgrunn",2014,"030104","uoppgitt","alle","personer",3109
"befolkning_innvandringsgrunn",2014,"030104","alle","1","personer",4672
"befolkning_innvandringsgrunn",2014,"030104","arbeid","1","personer",1558
"befolkning_innvandringsgrunn",2014,"030104","flukt","1","personer",655
"befolkning_innvandringsgrunn",2014,"030104","familie","1","personer",543
"befolkning_innvandringsgrunn",2014,"030104","annet","1","personer",241
"befolkning_innvandringsgrunn",2014,"030104","uoppgitt","1","personer",1675
"befolkning_innvandringsgrunn",2014,"030104","alle","0","personer",3713
"befolkning_innvandringsgrunn",2014,"030104","arbeid","0","personer",619
"befolkning_innvandringsgrunn",2014,"030104","flukt","0","personer",505
"befolkning_innvandringsgrunn",2014,"030104","familie","0","personer",768
"befolkning_innvandringsgrunn",2014,"030104","annet","0","personer",387
"befolkning_innvandringsgrunn",2014,"030104","uoppgitt","0","personer",1434
"befolkning_innvandringsgrunn",2014,"030105","alle","alle","personer",13196
"befolkning_innvandringsgrunn",2014,"030105","arbeid","alle","personer",3557
"befolkning_innvandringsgrunn",2014,"030105","flukt","alle","personer",1125
"befolkning_innvandringsgrunn",2014,"030105","familie","alle","personer",2320
"befolkning_innvandringsgrunn",2014,"030105","annet","alle","personer",837
"befolkning_innvandringsgrunn",2014,"030105","uoppgitt","alle","personer",5357
"befolkning_innvandringsgrunn",2014,"030105","alle","1","personer",6724
"befolkning_innvandringsgrunn",2014,"030105","arbeid","1","personer",2477
"befolkning_innvandringsgrunn",2014,"030105","flukt","1","personer",586
"befolkning_innvandringsgrunn",2014,"030105","familie","1","personer",764
"befolkning_innvandringsgrunn",2014,"030105","annet","1","personer",231
"befolkning_innvandringsgrunn",2014,"030105","uoppgitt","1","personer",2666
"befolkning_innvandringsgrunn",2014,"030105","alle","0","personer",6472
"befolkning_innvandringsgrunn",2014,"030105","arbeid","0","personer",1080
"befolkning_innvandringsgrunn",2014,"030105","flukt","0","personer",539
"befolkning_innvandringsgrunn",2014,"030105","familie","0","personer",1556
"befolkning_innvandringsgrunn",2014,"030105","annet","0","personer",606
"befolkning_innvandringsgrunn",2014,"030105","uoppgitt","0","personer",2691
"befolkning_innvandringsgrunn",2014,"030106","alle","alle","personer",4769
"befolkning_innvandringsgrunn",2014,"030106","arbeid","alle","personer",1281
"befolkning_innvandringsgrunn",2014,"030106","flukt","alle","personer",440
"befolkning_innvandringsgrunn",2014,"030106","familie","alle","personer",896
"befolkning_innvandringsgrunn",2014,"030106","annet","alle","personer",431
"befolkning_innvandringsgrunn",2014,"030106","uoppgitt","alle","personer",1721
"befolkning_innvandringsgrunn",2014,"030106","alle","1","personer",2230
"befolkning_innvandringsgrunn",2014,"030106","arbeid","1","personer",895
"befolkning_innvandringsgrunn",2014,"030106","flukt","1","personer",207
