"tabell_navn","aar","fylke_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn",2014,"01","alle","alle","personer",33686
"befolkning_innvandringsgrunn",2014,"01","arbeid","alle","personer",6202
"befolkning_innvandringsgrunn",2014,"01","flukt","alle","personer",11300
"befolkning_innvandringsgrunn",2014,"01","familie","alle","personer",6911
"befolkning_innvandringsgrunn",2014,"01","annet","alle","personer",717
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","alle","personer",8556
"befolkning_innvandringsgrunn",2014,"01","alle","1","personer",17523
"befolkning_innvandringsgrunn",2014,"01","arbeid","1","personer",4904
"befolkning_innvandringsgrunn",2014,"01","flukt","1","personer",5787
"befolkning_innvandringsgrunn",2014,"01","familie","1","personer",2227
"befolkning_innvandringsgrunn",2014,"01","annet","1","personer",201
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","1","personer",4404
"befolkning_innvandringsgrunn",2014,"01","alle","0","personer",16163
"befolkning_innvandringsgrunn",2014,"01","arbeid","0","personer",1298
"befolkning_innvandringsgrunn",2014,"01","flukt","0","personer",5513
"befolkning_innvandringsgrunn",2014,"01","familie","0","personer",4684
"befolkning_innvandringsgrunn",2014,"01","annet","0","personer",516
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","0","personer",4152
"befolkning_innvandringsgrunn",2014,"02","alle","alle","personer",80337
"befolkning_innvandringsgrunn",2014,"02","arbeid","alle","personer",18974
"befolkning_innvandringsgrunn",2014,"02","flukt","alle","personer",16213
"befolkning_innvandringsgrunn",2014,"02","familie","alle","personer",17060
"befolkning_innvandringsgrunn",2014,"02","annet","alle","personer",3801
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","alle","personer",24289
"befolkning_innvandringsgrunn",2014,"02","alle","1","personer",41548
"befolkning_innvandringsgrunn",2014,"02","arbeid","1","personer",14632
"befolkning_innvandringsgrunn",2014,"02","flukt","1","personer",7990
"befolkning_innvandringsgrunn",2014,"02","familie","1","personer",5777
"befolkning_innvandringsgrunn",2014,"02","annet","1","personer",1027
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","1","personer",12122
"befolkning_innvandringsgrunn",2014,"02","alle","0","personer",38789
"befolkning_innvandringsgrunn",2014,"02","arbeid","0","personer",4342
"befolkning_innvandringsgrunn",2014,"02","flukt","0","personer",8223
"befolkning_innvandringsgrunn",2014,"02","familie","0","personer",11283
"befolkning_innvandringsgrunn",2014,"02","annet","0","personer",2774
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","0","personer",12167
"befolkning_innvandringsgrunn",2014,"03","alle","alle","personer",151722
"befolkning_innvandringsgrunn",2014,"03","arbeid","alle","personer",28499
"befolkning_innvandringsgrunn",2014,"03","flukt","alle","personer",32924
"befolkning_innvandringsgrunn",2014,"03","familie","alle","personer",30966
"befolkning_innvandringsgrunn",2014,"03","annet","alle","personer",8955
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","alle","personer",50378
"befolkning_innvandringsgrunn",2014,"03","alle","1","personer",79312
"befolkning_innvandringsgrunn",2014,"03","arbeid","1","personer",20702
"befolkning_innvandringsgrunn",2014,"03","flukt","1","personer",16164
"befolkning_innvandringsgrunn",2014,"03","familie","1","personer",12197
"befolkning_innvandringsgrunn",2014,"03","annet","1","personer",3072
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","1","personer",27177
"befolkning_innvandringsgrunn",2014,"03","alle","0","personer",72410
"befolkning_innvandringsgrunn",2014,"03","arbeid","0","personer",7797
"befolkning_innvandringsgrunn",2014,"03","flukt","0","personer",16760
"befolkning_innvandringsgrunn",2014,"03","familie","0","personer",18769
"befolkning_innvandringsgrunn",2014,"03","annet","0","personer",5883
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","0","personer",23201
"befolkning_innvandringsgrunn",2014,"04","alle","alle","personer",14783
"befolkning_innvandringsgrunn",2014,"04","arbeid","alle","personer",3015
"befolkning_innvandringsgrunn",2014,"04","flukt","alle","personer",4528
"befolkning_innvandringsgrunn",2014,"04","familie","alle","personer",3209
"befolkning_innvandringsgrunn",2014,"04","annet","alle","personer",479
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","alle","personer",3552
"befolkning_innvandringsgrunn",2014,"04","alle","1","personer",7490
"befolkning_innvandringsgrunn",2014,"04","arbeid","1","personer",2214
"befolkning_innvandringsgrunn",2014,"04","flukt","1","personer",2458
"befolkning_innvandringsgrunn",2014,"04","familie","1","personer",958
"befolkning_innvandringsgrunn",2014,"04","annet","1","personer",153
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","1","personer",1707
"befolkning_innvandringsgrunn",2014,"04","alle","0","personer",7293
"befolkning_innvandringsgrunn",2014,"04","arbeid","0","personer",801
"befolkning_innvandringsgrunn",2014,"04","flukt","0","personer",2070
"befolkning_innvandringsgrunn",2014,"04","familie","0","personer",2251
"befolkning_innvandringsgrunn",2014,"04","annet","0","personer",326
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","0","personer",1845
"befolkning_innvandringsgrunn",2014,"05","alle","alle","personer",14450
"befolkning_innvandringsgrunn",2014,"05","arbeid","alle","personer",3556
"befolkning_innvandringsgrunn",2014,"05","flukt","alle","personer",4692
"befolkning_innvandringsgrunn",2014,"05","familie","alle","personer",2933
"befolkning_innvandringsgrunn",2014,"05","annet","alle","personer",465
"befolkning_innvandringsgrunn",2014,"05","uoppgitt","alle","personer",2804
"befolkning_innvandringsgrunn",2014,"05","alle","1","personer",7532
"befolkning_innvandringsgrunn",2014,"05","arbeid","1","personer",2591
"befolkning_innvandringsgrunn",2014,"05","flukt","1","personer",2508
"befolkning_innvandringsgrunn",2014,"05","familie","1","personer",904
"befolkning_innvandringsgrunn",2014,"05","annet","1","personer",165
"befolkning_innvandringsgrunn",2014,"05","uoppgitt","1","personer",1364
"befolkning_innvandringsgrunn",2014,"05","alle","0","personer",6918
"befolkning_innvandringsgrunn",2014,"05","arbeid","0","personer",965
"befolkning_innvandringsgrunn",2014,"05","flukt","0","personer",2184
"befolkning_innvandringsgrunn",2014,"05","familie","0","personer",2029
"befolkning_innvandringsgrunn",2014,"05","annet","0","personer",300
"befolkning_innvandringsgrunn",2014,"05","uoppgitt","0","personer",1440
"befolkning_innvandringsgrunn",2014,"06","alle","alle","personer",37429
"befolkning_innvandringsgrunn",2014,"06","arbeid","alle","personer",9352
"befolkning_innvandringsgrunn",2014,"06","flukt","alle","personer",9147
"befolkning_innvandringsgrunn",2014,"06","familie","alle","personer",8699
"befolkning_innvandringsgrunn",2014,"06","annet","alle","personer",1018
"befolkning_innvandringsgrunn",2014,"06","uoppgitt","alle","personer",9213
"befolkning_innvandringsgrunn",2014,"06","alle","1","personer",19508
"befolkning_innvandringsgrunn",2014,"06","arbeid","1","personer",7081
"befolkning_innvandringsgrunn",2014,"06","flukt","1","personer",4684
"befolkning_innvandringsgrunn",2014,"06","familie","1","personer",2844
"befolkning_innvandringsgrunn",2014,"06","annet","1","personer",238
"befolkning_innvandringsgrunn",2014,"06","uoppgitt","1","personer",4661
"befolkning_innvandringsgrunn",2014,"06","alle","0","personer",17921
"befolkning_innvandringsgrunn",2014,"06","arbeid","0","personer",2271
"befolkning_innvandringsgrunn",2014,"06","flukt","0","personer",4463
"befolkning_innvandringsgrunn",2014,"06","familie","0","personer",5855
"befolkning_innvandringsgrunn",2014,"06","annet","0","personer",780
"befolkning_innvandringsgrunn",2014,"06","uoppgitt","0","personer",4552
"befolkning_innvandringsgrunn",2014,"07","alle","alle","personer",24935
"befolkning_innvandringsgrunn",2014,"07","arbeid","alle","personer",6130
"befolkning_innvandringsgrunn",2014,"07","flukt","alle","personer",6189
"befolkning_innvandringsgrunn",2014,"07","familie","alle","personer",5760
"befolkning_innvandringsgrunn",2014,"07","annet","alle","personer",686
"befolkning_innvandringsgrunn",2014,"07","uoppgitt","alle","personer",6170
"befolkning_innvandringsgrunn",2014,"07","alle","1","personer",12660
"befolkning_innvandringsgrunn",2014,"07","arbeid","1","personer",4355
"befolkning_innvandringsgrunn",2014,"07","flukt","1","personer",3222
"befolkning_innvandringsgrunn",2014,"07","familie","1","personer",1848
"befolkning_innvandringsgrunn",2014,"07","annet","1","personer",192
"befolkning_innvandringsgrunn",2014,"07","uoppgitt","1","personer",3043
"befolkning_innvandringsgrunn",2014,"07","alle","0","personer",12275
"befolkning_innvandringsgrunn",2014,"07","arbeid","0","personer",1775
"befolkning_innvandringsgrunn",2014,"07","flukt","0","personer",2967
"befolkning_innvandringsgrunn",2014,"07","familie","0","personer",3912
"befolkning_innvandringsgrunn",2014,"07","annet","0","personer",494
"befolkning_innvandringsgrunn",2014,"07","uoppgitt","0","personer",3127
"befolkning_innvandringsgrunn",2014,"08","alle","alle","personer",16216
"befolkning_innvandringsgrunn",2014,"08","arbeid","alle","personer",2825
"befolkning_innvandringsgrunn",2014,"08","flukt","alle","personer",5780
"befolkning_innvandringsgrunn",2014,"08","familie","alle","personer",3548
"befolkning_innvandringsgrunn",2014,"08","annet","alle","personer",557
"befolkning_innvandringsgrunn",2014,"08","uoppgitt","alle","personer",3506
"befolkning_innvandringsgrunn",2014,"08","alle","1","personer",8124
"befolkning_innvandringsgrunn",2014,"08","arbeid","1","personer",2138
"befolkning_innvandringsgrunn",2014,"08","flukt","1","personer",2961
"befolkning_innvandringsgrunn",2014,"08","familie","1","personer",1074
"befolkning_innvandringsgrunn",2014,"08","annet","1","personer",222
"befolkning_innvandringsgrunn",2014,"08","uoppgitt","1","personer",1729
"befolkning_innvandringsgrunn",2014,"08","alle","0","personer",8092
"befolkning_innvandringsgrunn",2014,"08","arbeid","0","personer",687
"befolkning_innvandringsgrunn",2014,"08","flukt","0","personer",2819
"befolkning_innvandringsgrunn",2014,"08","familie","0","personer",2474
"befolkning_innvandringsgrunn",2014,"08","annet","0","personer",335
"befolkning_innvandringsgrunn",2014,"08","uoppgitt","0","personer",1777
"befolkning_innvandringsgrunn",2014,"09","alle","alle","personer",11108
"befolkning_innvandringsgrunn",2014,"09","arbeid","alle","personer",2365
"befolkning_innvandringsgrunn",2014,"09","flukt","alle","personer",3287
"befolkning_innvandringsgrunn",2014,"09","familie","alle","personer",2689
"befolkning_innvandringsgrunn",2014,"09","annet","alle","personer",371
"befolkning_innvandringsgrunn",2014,"09","uoppgitt","alle","personer",2396
"befolkning_innvandringsgrunn",2014,"09","alle","1","personer",5658
"befolkning_innvandringsgrunn",2014,"09","arbeid","1","personer",1780
"befolkning_innvandringsgrunn",2014,"09","flukt","1","personer",1710
"befolkning_innvandringsgrunn",2014,"09","familie","1","personer",830
"befolkning_innvandringsgrunn",2014,"09","annet","1","personer",145
"befolkning_innvandringsgrunn",2014,"09","uoppgitt","1","personer",1193
"befolkning_innvandringsgrunn",2014,"09","alle","0","personer",5450
"befolkning_innvandringsgrunn",2014,"09","arbeid","0","personer",585
"befolkning_innvandringsgrunn",2014,"09","flukt","0","personer",1577
"befolkning_innvandringsgrunn",2014,"09","familie","0","personer",1859
"befolkning_innvandringsgrunn",2014,"09","annet","0","personer",226
"befolkning_innvandringsgrunn",2014,"09","uoppgitt","0","personer",1203
"befolkning_innvandringsgrunn",2014,"10","alle","alle","personer",19544
"befolkning_innvandringsgrunn",2014,"10","arbeid","alle","personer",3368
"befolkning_innvandringsgrunn",2014,"10","flukt","alle","personer",6573
"befolkning_innvandringsgrunn",2014,"10","familie","alle","personer",4110
"befolkning_innvandringsgrunn",2014,"10","annet","alle","personer",596
"befolkning_innvandringsgrunn",2014,"10","uoppgitt","alle","personer",4897
"befolkning_innvandringsgrunn",2014,"10","alle","1","personer",10007
"befolkning_innvandringsgrunn",2014,"10","arbeid","1","personer",2575
"befolkning_innvandringsgrunn",2014,"10","flukt","1","personer",3425
"befolkning_innvandringsgrunn",2014,"10","familie","1","personer",1265
"befolkning_innvandringsgrunn",2014,"10","annet","1","personer",223
"befolkning_innvandringsgrunn",2014,"10","uoppgitt","1","personer",2519
"befolkning_innvandringsgrunn",2014,"10","alle","0","personer",9537
"befolkning_innvandringsgrunn",2014,"10","arbeid","0","personer",793
"befolkning_innvandringsgrunn",2014,"10","flukt","0","personer",3148
"befolkning_innvandringsgrunn",2014,"10","familie","0","personer",2845
"befolkning_innvandringsgrunn",2014,"10","annet","0","personer",373
"befolkning_innvandringsgrunn",2014,"10","uoppgitt","0","personer",2378
"befolkning_innvandringsgrunn",2014,"11","alle","alle","personer",62682
"befolkning_innvandringsgrunn",2014,"11","arbeid","alle","personer",20609
"befolkning_innvandringsgrunn",2014,"11","flukt","alle","personer",11013
"befolkning_innvandringsgrunn",2014,"11","familie","alle","personer",16526
"befolkning_innvandringsgrunn",2014,"11","annet","alle","personer",2556
"befolkning_innvandringsgrunn",2014,"11","uoppgitt","alle","personer",11978
"befolkning_innvandringsgrunn",2014,"11","alle","1","personer",34189
"befolkning_innvandringsgrunn",2014,"11","arbeid","1","personer",15495
"befolkning_innvandringsgrunn",2014,"11","flukt","1","personer",5673
"befolkning_innvandringsgrunn",2014,"11","familie","1","personer",5163
"befolkning_innvandringsgrunn",2014,"11","annet","1","personer",1007
"befolkning_innvandringsgrunn",2014,"11","uoppgitt","1","personer",6851
"befolkning_innvandringsgrunn",2014,"11","alle","0","personer",28493
"befolkning_innvandringsgrunn",2014,"11","arbeid","0","personer",5114
"befolkning_innvandringsgrunn",2014,"11","flukt","0","personer",5340
"befolkning_innvandringsgrunn",2014,"11","familie","0","personer",11363
"befolkning_innvandringsgrunn",2014,"11","annet","0","personer",1549
"befolkning_innvandringsgrunn",2014,"11","uoppgitt","0","personer",5127
"befolkning_innvandringsgrunn",2014,"12","alle","alle","personer",55185
"befolkning_innvandringsgrunn",2014,"12","arbeid","alle","personer",17056
"befolkning_innvandringsgrunn",2014,"12","flukt","alle","personer",10480
"befolkning_innvandringsgrunn",2014,"12","familie","alle","personer",13932
"befolkning_innvandringsgrunn",2014,"12","annet","alle","personer",3413
"befolkning_innvandringsgrunn",2014,"12","uoppgitt","alle","personer",10304
"befolkning_innvandringsgrunn",2014,"12","alle","1","personer",29834
"befolkning_innvandringsgrunn",2014,"12","arbeid","1","personer",13054
"befolkning_innvandringsgrunn",2014,"12","flukt","1","personer",5506
"befolkning_innvandringsgrunn",2014,"12","familie","1","personer",4477
"befolkning_innvandringsgrunn",2014,"12","annet","1","personer",1313
"befolkning_innvandringsgrunn",2014,"12","uoppgitt","1","personer",5484
"befolkning_innvandringsgrunn",2014,"12","alle","0","personer",25351
"befolkning_innvandringsgrunn",2014,"12","arbeid","0","personer",4002
"befolkning_innvandringsgrunn",2014,"12","flukt","0","personer",4974
"befolkning_innvandringsgrunn",2014,"12","familie","0","personer",9455
"befolkning_innvandringsgrunn",2014,"12","annet","0","personer",2100
"befolkning_innvandringsgrunn",2014,"12","uoppgitt","0","personer",4820
"befolkning_innvandringsgrunn",2014,"14","alle","alle","personer",9449
"befolkning_innvandringsgrunn",2014,"14","arbeid","alle","personer",3209
"befolkning_innvandringsgrunn",2014,"14","flukt","alle","personer",1899
"befolkning_innvandringsgrunn",2014,"14","familie","alle","personer",2454
"befolkning_innvandringsgrunn",2014,"14","annet","alle","personer",409
"befolkning_innvandringsgrunn",2014,"14","uoppgitt","alle","personer",1478
"befolkning_innvandringsgrunn",2014,"14","alle","1","personer",5039
"befolkning_innvandringsgrunn",2014,"14","arbeid","1","personer",2395
"befolkning_innvandringsgrunn",2014,"14","flukt","1","personer",1006
"befolkning_innvandringsgrunn",2014,"14","familie","1","personer",719
"befolkning_innvandringsgrunn",2014,"14","annet","1","personer",148
"befolkning_innvandringsgrunn",2014,"14","uoppgitt","1","personer",771
"befolkning_innvandringsgrunn",2014,"14","alle","0","personer",4410
"befolkning_innvandringsgrunn",2014,"14","arbeid","0","personer",814
"befolkning_innvandringsgrunn",2014,"14","flukt","0","personer",893
"befolkning_innvandringsgrunn",2014,"14","familie","0","personer",1735
"befolkning_innvandringsgrunn",2014,"14","annet","0","personer",261
"befolkning_innvandringsgrunn",2014,"14","uoppgitt","0","personer",707
"befolkning_innvandringsgrunn",2014,"15","alle","alle","personer",24849
"befolkning_innvandringsgrunn",2014,"15","arbeid","alle","personer",8939
"befolkning_innvandringsgrunn",2014,"15","flukt","alle","personer",4196
"befolkning_innvandringsgrunn",2014,"15","familie","alle","personer",7205
"befolkning_innvandringsgrunn",2014,"15","annet","alle","personer",909
"befolkning_innvandringsgrunn",2014,"15","uoppgitt","alle","personer",3600
"befolkning_innvandringsgrunn",2014,"15","alle","1","personer",13360
"befolkning_innvandringsgrunn",2014,"15","arbeid","1","personer",6846
"befolkning_innvandringsgrunn",2014,"15","flukt","1","personer",2194
"befolkning_innvandringsgrunn",2014,"15","familie","1","personer",2035
"befolkning_innvandringsgrunn",2014,"15","annet","1","personer",313
"befolkning_innvandringsgrunn",2014,"15","uoppgitt","1","personer",1972
"befolkning_innvandringsgrunn",2014,"15","alle","0","personer",11489
"befolkning_innvandringsgrunn",2014,"15","arbeid","0","personer",2093
"befolkning_innvandringsgrunn",2014,"15","flukt","0","personer",2002
"befolkning_innvandringsgrunn",2014,"15","familie","0","personer",5170
"befolkning_innvandringsgrunn",2014,"15","annet","0","personer",596
"befolkning_innvandringsgrunn",2014,"15","uoppgitt","0","personer",1628
"befolkning_innvandringsgrunn",2014,"16","alle","alle","personer",28498
"befolkning_innvandringsgrunn",2014,"16","arbeid","alle","personer",8101
"befolkning_innvandringsgrunn",2014,"16","flukt","alle","personer",6166
"befolkning_innvandringsgrunn",2014,"16","familie","alle","personer",6435
"befolkning_innvandringsgrunn",2014,"16","annet","alle","personer",2566
"befolkning_innvandringsgrunn",2014,"16","uoppgitt","alle","personer",5230
"befolkning_innvandringsgrunn",2014,"16","alle","1","personer",15306
"befolkning_innvandringsgrunn",2014,"16","arbeid","1","personer",6012
"befolkning_innvandringsgrunn",2014,"16","flukt","1","personer",3242
"befolkning_innvandringsgrunn",2014,"16","familie","1","personer",1974
"befolkning_innvandringsgrunn",2014,"16","annet","1","personer",1373
"befolkning_innvandringsgrunn",2014,"16","uoppgitt","1","personer",2705
"befolkning_innvandringsgrunn",2014,"16","alle","0","personer",13192
"befolkning_innvandringsgrunn",2014,"16","arbeid","0","personer",2089
"befolkning_innvandringsgrunn",2014,"16","flukt","0","personer",2924
"befolkning_innvandringsgrunn",2014,"16","familie","0","personer",4461
"befolkning_innvandringsgrunn",2014,"16","annet","0","personer",1193
"befolkning_innvandringsgrunn",2014,"16","uoppgitt","0","personer",2525
"befolkning_innvandringsgrunn",2014,"17","alle","alle","personer",8411
"befolkning_innvandringsgrunn",2014,"17","arbeid","alle","personer",2094
"befolkning_innvandringsgrunn",2014,"17","flukt","alle","personer",2676
"befolkning_innvandringsgrunn",2014,"17","familie","alle","personer",2042
"befolkning_innvandringsgrunn",2014,"17","annet","alle","personer",256
"befolkning_innvandringsgrunn",2014,"17","uoppgitt","alle","personer",1343
"befolkning_innvandringsgrunn",2014,"17","alle","1","personer",4342
"befolkning_innvandringsgrunn",2014,"17","arbeid","1","personer",1625
"befolkning_innvandringsgrunn",2014,"17","flukt","1","personer",1461
"befolkning_innvandringsgrunn",2014,"17","familie","1","personer",519
"befolkning_innvandringsgrunn",2014,"17","annet","1","personer",75
"befolkning_innvandringsgrunn",2014,"17","uoppgitt","1","personer",662
"befolkning_innvandringsgrunn",2014,"17","alle","0","personer",4069
"befolkning_innvandringsgrunn",2014,"17","arbeid","0","personer",469
"befolkning_innvandringsgrunn",2014,"17","flukt","0","personer",1215
"befolkning_innvandringsgrunn",2014,"17","familie","0","personer",1523
"befolkning_innvandringsgrunn",2014,"17","annet","0","personer",181
"befolkning_innvandringsgrunn",2014,"17","uoppgitt","0","personer",681
"befolkning_innvandringsgrunn",2014,"18","alle","alle","personer",17688
"befolkning_innvandringsgrunn",2014,"18","arbeid","alle","personer",4203
"befolkning_innvandringsgrunn",2014,"18","flukt","alle","personer",5452
"befolkning_innvandringsgrunn",2014,"18","familie","alle","personer",4159
"befolkning_innvandringsgrunn",2014,"18","annet","alle","personer",813
"befolkning_innvandringsgrunn",2014,"18","uoppgitt","alle","personer",3061
"befolkning_innvandringsgrunn",2014,"18","alle","1","personer",9094
"befolkning_innvandringsgrunn",2014,"18","arbeid","1","personer",2990
"befolkning_innvandringsgrunn",2014,"18","flukt","1","personer",3146
"befolkning_innvandringsgrunn",2014,"18","familie","1","personer",1154
"befolkning_innvandringsgrunn",2014,"18","annet","1","personer",319
"befolkning_innvandringsgrunn",2014,"18","uoppgitt","1","personer",1485
"befolkning_innvandringsgrunn",2014,"18","alle","0","personer",8594
"befolkning_innvandringsgrunn",2014,"18","arbeid","0","personer",1213
"befolkning_innvandringsgrunn",2014,"18","flukt","0","personer",2306
"befolkning_innvandringsgrunn",2014,"18","familie","0","personer",3005
"befolkning_innvandringsgrunn",2014,"18","annet","0","personer",494
"befolkning_innvandringsgrunn",2014,"18","uoppgitt","0","personer",1576
"befolkning_innvandringsgrunn",2014,"19","alle","alle","personer",13735
"befolkning_innvandringsgrunn",2014,"19","arbeid","alle","personer",3336
"befolkning_innvandringsgrunn",2014,"19","flukt","alle","personer",3274
"befolkning_innvandringsgrunn",2014,"19","familie","alle","personer",3124
"befolkning_innvandringsgrunn",2014,"19","annet","alle","personer",1157
"befolkning_innvandringsgrunn",2014,"19","uoppgitt","alle","personer",2844
"befolkning_innvandringsgrunn",2014,"19","alle","1","personer",6993
"befolkning_innvandringsgrunn",2014,"19","arbeid","1","personer",2316
"befolkning_innvandringsgrunn",2014,"19","flukt","1","personer",1865
"befolkning_innvandringsgrunn",2014,"19","familie","1","personer",966
"befolkning_innvandringsgrunn",2014,"19","annet","1","personer",492
"befolkning_innvandringsgrunn",2014,"19","uoppgitt","1","personer",1354
"befolkning_innvandringsgrunn",2014,"19","alle","0","personer",6742
"befolkning_innvandringsgrunn",2014,"19","arbeid","0","personer",1020
"befolkning_innvandringsgrunn",2014,"19","flukt","0","personer",1409
"befolkning_innvandringsgrunn",2014,"19","familie","0","personer",2158
"befolkning_innvandringsgrunn",2014,"19","annet","0","personer",665
"befolkning_innvandringsgrunn",2014,"19","uoppgitt","0","personer",1490
"befolkning_innvandringsgrunn",2014,"20","alle","alle","personer",8406
"befolkning_innvandringsgrunn",2014,"20","arbeid","alle","personer",2360
"befolkning_innvandringsgrunn",2014,"20","flukt","alle","personer",1735
"befolkning_innvandringsgrunn",2014,"20","familie","alle","personer",2016
"befolkning_innvandringsgrunn",2014,"20","annet","alle","personer",341
"befolkning_innvandringsgrunn",2014,"20","uoppgitt","alle","personer",1954
"befolkning_innvandringsgrunn",2014,"20","alle","1","personer",4193
"befolkning_innvandringsgrunn",2014,"20","arbeid","1","personer",1601
"befolkning_innvandringsgrunn",2014,"20","flukt","1","personer",994
"befolkning_innvandringsgrunn",2014,"20","familie","1","personer",558
"befolkning_innvandringsgrunn",2014,"20","annet","1","personer",117
"befolkning_innvandringsgrunn",2014,"20","uoppgitt","1","personer",923
"befolkning_innvandringsgrunn",2014,"20","alle","0","personer",4213
"befolkning_innvandringsgrunn",2014,"20","arbeid","0","personer",759
"befolkning_innvandringsgrunn",2014,"20","flukt","0","personer",741
"befolkning_innvandringsgrunn",2014,"20","familie","0","personer",1458
"befolkning_innvandringsgrunn",2014,"20","annet","0","personer",224
"befolkning_innvandringsgrunn",2014,"20","uoppgitt","0","personer",1031
"befolkning_innvandringsgrunn",2014,"01","alle","alle","prosent",100
"befolkning_innvandringsgrunn",2014,"01","arbeid","alle","prosent",18.4
"befolkning_innvandringsgrunn",2014,"01","flukt","alle","prosent",33.5
"befolkning_innvandringsgrunn",2014,"01","familie","alle","prosent",20.5
"befolkning_innvandringsgrunn",2014,"01","annet","alle","prosent",2.1
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","alle","prosent",25.4
"befolkning_innvandringsgrunn",2014,"01","alle","1","prosent",52
"befolkning_innvandringsgrunn",2014,"01","arbeid","1","prosent",14.6
"befolkning_innvandringsgrunn",2014,"01","flukt","1","prosent",17.2
"befolkning_innvandringsgrunn",2014,"01","familie","1","prosent",6.6
"befolkning_innvandringsgrunn",2014,"01","annet","1","prosent",0.6
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","1","prosent",13.1
"befolkning_innvandringsgrunn",2014,"01","alle","0","prosent",48
"befolkning_innvandringsgrunn",2014,"01","arbeid","0","prosent",3.9
"befolkning_innvandringsgrunn",2014,"01","flukt","0","prosent",16.4
"befolkning_innvandringsgrunn",2014,"01","familie","0","prosent",13.9
"befolkning_innvandringsgrunn",2014,"01","annet","0","prosent",1.5
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","0","prosent",12.3
"befolkning_innvandringsgrunn",2014,"02","alle","alle","prosent",100
"befolkning_innvandringsgrunn",2014,"02","arbeid","alle","prosent",23.6
"befolkning_innvandringsgrunn",2014,"02","flukt","alle","prosent",20.2
"befolkning_innvandringsgrunn",2014,"02","familie","alle","prosent",21.2
"befolkning_innvandringsgrunn",2014,"02","annet","alle","prosent",4.7
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","alle","prosent",30.2
"befolkning_innvandringsgrunn",2014,"02","alle","1","prosent",51.7
"befolkning_innvandringsgrunn",2014,"02","arbeid","1","prosent",18.2
"befolkning_innvandringsgrunn",2014,"02","flukt","1","prosent",9.9
"befolkning_innvandringsgrunn",2014,"02","familie","1","prosent",7.2
"befolkning_innvandringsgrunn",2014,"02","annet","1","prosent",1.3
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","1","prosent",15.1
"befolkning_innvandringsgrunn",2014,"02","alle","0","prosent",48.3
"befolkning_innvandringsgrunn",2014,"02","arbeid","0","prosent",5.4
"befolkning_innvandringsgrunn",2014,"02","flukt","0","prosent",10.2
"befolkning_innvandringsgrunn",2014,"02","familie","0","prosent",14
"befolkning_innvandringsgrunn",2014,"02","annet","0","prosent",3.5
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","0","prosent",15.1
"befolkning_innvandringsgrunn",2014,"03","alle","alle","prosent",100
"befolkning_innvandringsgrunn",2014,"03","arbeid","alle","prosent",18.8
"befolkning_innvandringsgrunn",2014,"03","flukt","alle","prosent",21.7
"befolkning_innvandringsgrunn",2014,"03","familie","alle","prosent",20.4
"befolkning_innvandringsgrunn",2014,"03","annet","alle","prosent",5.9
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","alle","prosent",33.2
"befolkning_innvandringsgrunn",2014,"03","alle","1","prosent",52.3
"befolkning_innvandringsgrunn",2014,"03","arbeid","1","prosent",13.6
"befolkning_innvandringsgrunn",2014,"03","flukt","1","prosent",10.7
"befolkning_innvandringsgrunn",2014,"03","familie","1","prosent",8
"befolkning_innvandringsgrunn",2014,"03","annet","1","prosent",2
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","1","prosent",17.9
"befolkning_innvandringsgrunn",2014,"03","alle","0","prosent",47.7
"befolkning_innvandringsgrunn",2014,"03","arbeid","0","prosent",5.1
"befolkning_innvandringsgrunn",2014,"03","flukt","0","prosent",11
"befolkning_innvandringsgrunn",2014,"03","familie","0","prosent",12.4
"befolkning_innvandringsgrunn",2014,"03","annet","0","prosent",3.9
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","0","prosent",15.3
"befolkning_innvandringsgrunn",2014,"04","alle","alle","prosent",100
"befolkning_innvandringsgrunn",2014,"04","arbeid","alle","prosent",20.4
"befolkning_innvandringsgrunn",2014,"04","flukt","alle","prosent",30.6
"befolkning_innvandringsgrunn",2014,"04","familie","alle","prosent",21.7
"befolkning_innvandringsgrunn",2014,"04","annet","alle","prosent",3.2
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","alle","prosent",24
