"tabell_navn","aar","kommune_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn",2014,"0101","alle","alle","personer",2986
"befolkning_innvandringsgrunn",2014,"0101","arbeid","alle","personer",400
"befolkning_innvandringsgrunn",2014,"0101","flukt","alle","personer",980
"befolkning_innvandringsgrunn",2014,"0101","familie","alle","personer",585
"befolkning_innvandringsgrunn",2014,"0101","annet","alle","personer",112
"befolkning_innvandringsgrunn",2014,"0101","uoppgitt","alle","personer",909
"befolkning_innvandringsgrunn",2014,"0101","alle","1","personer",1484
"befolkning_innvandringsgrunn",2014,"0101","arbeid","1","personer",284
"befolkning_innvandringsgrunn",2014,"0101","flukt","1","personer",488
"befolkning_innvandringsgrunn",2014,"0101","familie","1","personer",178
"befolkning_innvandringsgrunn",2014,"0101","annet","1","personer",44
"befolkning_innvandringsgrunn",2014,"0101","uoppgitt","1","personer",490
"befolkning_innvandringsgrunn",2014,"0101","alle","0","personer",1502
"befolkning_innvandringsgrunn",2014,"0101","arbeid","0","personer",116
"befolkning_innvandringsgrunn",2014,"0101","flukt","0","personer",492
"befolkning_innvandringsgrunn",2014,"0101","familie","0","personer",407
"befolkning_innvandringsgrunn",2014,"0101","annet","0","personer",68
"befolkning_innvandringsgrunn",2014,"0101","uoppgitt","0","personer",419
"befolkning_innvandringsgrunn",2014,"0104","alle","alle","personer",4567
"befolkning_innvandringsgrunn",2014,"0104","arbeid","alle","personer",725
"befolkning_innvandringsgrunn",2014,"0104","flukt","alle","personer",1186
"befolkning_innvandringsgrunn",2014,"0104","familie","alle","personer",1038
"befolkning_innvandringsgrunn",2014,"0104","annet","alle","personer",119
"befolkning_innvandringsgrunn",2014,"0104","uoppgitt","alle","personer",1499
"befolkning_innvandringsgrunn",2014,"0104","alle","1","personer",2353
"befolkning_innvandringsgrunn",2014,"0104","arbeid","1","personer",563
"befolkning_innvandringsgrunn",2014,"0104","flukt","1","personer",588
"befolkning_innvandringsgrunn",2014,"0104","familie","1","personer",365
"befolkning_innvandringsgrunn",2014,"0104","annet","1","personer",34
"befolkning_innvandringsgrunn",2014,"0104","uoppgitt","1","personer",803
"befolkning_innvandringsgrunn",2014,"0104","alle","0","personer",2214
"befolkning_innvandringsgrunn",2014,"0104","arbeid","0","personer",162
"befolkning_innvandringsgrunn",2014,"0104","flukt","0","personer",598
"befolkning_innvandringsgrunn",2014,"0104","familie","0","personer",673
"befolkning_innvandringsgrunn",2014,"0104","annet","0","personer",85
"befolkning_innvandringsgrunn",2014,"0104","uoppgitt","0","personer",696
"befolkning_innvandringsgrunn",2014,"0105","alle","alle","personer",6919
"befolkning_innvandringsgrunn",2014,"0105","arbeid","alle","personer",1150
"befolkning_innvandringsgrunn",2014,"0105","flukt","alle","personer",2871
"befolkning_innvandringsgrunn",2014,"0105","familie","alle","personer",1353
"befolkning_innvandringsgrunn",2014,"0105","annet","alle","personer",90
"befolkning_innvandringsgrunn",2014,"0105","uoppgitt","alle","personer",1455
"befolkning_innvandringsgrunn",2014,"0105","alle","1","personer",3604
"befolkning_innvandringsgrunn",2014,"0105","arbeid","1","personer",939
"befolkning_innvandringsgrunn",2014,"0105","flukt","1","personer",1490
"befolkning_innvandringsgrunn",2014,"0105","familie","1","personer",406
"befolkning_innvandringsgrunn",2014,"0105","annet","1","personer",22
"befolkning_innvandringsgrunn",2014,"0105","uoppgitt","1","personer",747
"befolkning_innvandringsgrunn",2014,"0105","alle","0","personer",3315
"befolkning_innvandringsgrunn",2014,"0105","arbeid","0","personer",211
"befolkning_innvandringsgrunn",2014,"0105","flukt","0","personer",1381
"befolkning_innvandringsgrunn",2014,"0105","familie","0","personer",947
"befolkning_innvandringsgrunn",2014,"0105","annet","0","personer",68
"befolkning_innvandringsgrunn",2014,"0105","uoppgitt","0","personer",708
"befolkning_innvandringsgrunn",2014,"0106","alle","alle","personer",9402
"befolkning_innvandringsgrunn",2014,"0106","arbeid","alle","personer",1546
"befolkning_innvandringsgrunn",2014,"0106","flukt","alle","personer",3966
"befolkning_innvandringsgrunn",2014,"0106","familie","alle","personer",1567
"befolkning_innvandringsgrunn",2014,"0106","annet","alle","personer",167
"befolkning_innvandringsgrunn",2014,"0106","uoppgitt","alle","personer",2156
"befolkning_innvandringsgrunn",2014,"0106","alle","1","personer",4914
"befolkning_innvandringsgrunn",2014,"0106","arbeid","1","personer",1220
"befolkning_innvandringsgrunn",2014,"0106","flukt","1","personer",2051
"befolkning_innvandringsgrunn",2014,"0106","familie","1","personer",528
"befolkning_innvandringsgrunn",2014,"0106","annet","1","personer",47
"befolkning_innvandringsgrunn",2014,"0106","uoppgitt","1","personer",1068
"befolkning_innvandringsgrunn",2014,"0106","alle","0","personer",4488
"befolkning_innvandringsgrunn",2014,"0106","arbeid","0","personer",326
"befolkning_innvandringsgrunn",2014,"0106","flukt","0","personer",1915
"befolkning_innvandringsgrunn",2014,"0106","familie","0","personer",1039
"befolkning_innvandringsgrunn",2014,"0106","annet","0","personer",120
"befolkning_innvandringsgrunn",2014,"0106","uoppgitt","0","personer",1088
"befolkning_innvandringsgrunn",2014,"0111","alle","alle","personer",233
"befolkning_innvandringsgrunn",2014,"0111","arbeid","alle","personer",36
"befolkning_innvandringsgrunn",2014,"0111","flukt","alle","personer",58
"befolkning_innvandringsgrunn",2014,"0111","familie","alle","personer",59
"befolkning_innvandringsgrunn",2014,"0111","annet","alle","personer",6
"befolkning_innvandringsgrunn",2014,"0111","uoppgitt","alle","personer",74
"befolkning_innvandringsgrunn",2014,"0111","alle","1","personer",110
"befolkning_innvandringsgrunn",2014,"0111","arbeid","1","personer",24
"befolkning_innvandringsgrunn",2014,"0111","flukt","1","personer",32
"befolkning_innvandringsgrunn",2014,"0111","familie","1","personer",17
"befolkning_innvandringsgrunn",2014,"0111","annet","1","personer",0
"befolkning_innvandringsgrunn",2014,"0111","uoppgitt","1","personer",37
"befolkning_innvandringsgrunn",2014,"0111","alle","0","personer",123
"befolkning_innvandringsgrunn",2014,"0111","arbeid","0","personer",12
"befolkning_innvandringsgrunn",2014,"0111","flukt","0","personer",26
"befolkning_innvandringsgrunn",2014,"0111","familie","0","personer",42
"befolkning_innvandringsgrunn",2014,"0111","annet","0","personer",6
"befolkning_innvandringsgrunn",2014,"0111","uoppgitt","0","personer",37
"befolkning_innvandringsgrunn",2014,"0118","alle","alle","personer",40
"befolkning_innvandringsgrunn",2014,"0118","arbeid","alle","personer",5
"befolkning_innvandringsgrunn",2014,"0118","flukt","alle","personer",0
"befolkning_innvandringsgrunn",2014,"0118","familie","alle","personer",13
"befolkning_innvandringsgrunn",2014,"0118","annet","alle","personer",3
"befolkning_innvandringsgrunn",2014,"0118","uoppgitt","alle","personer",19
"befolkning_innvandringsgrunn",2014,"0118","alle","1","personer",15
"befolkning_innvandringsgrunn",2014,"0118","arbeid","1","personer",5
"befolkning_innvandringsgrunn",2014,"0118","flukt","1","personer",0
"befolkning_innvandringsgrunn",2014,"0118","familie","1","personer",0
"befolkning_innvandringsgrunn",2014,"0118","annet","1","personer",0
"befolkning_innvandringsgrunn",2014,"0118","uoppgitt","1","personer",10
"befolkning_innvandringsgrunn",2014,"0118","alle","0","personer",25
"befolkning_innvandringsgrunn",2014,"0118","arbeid","0","personer",0
"befolkning_innvandringsgrunn",2014,"0118","flukt","0","personer",0
"befolkning_innvandringsgrunn",2014,"0118","familie","0","personer",13
"befolkning_innvandringsgrunn",2014,"0118","annet","0","personer",3
"befolkning_innvandringsgrunn",2014,"0118","uoppgitt","0","personer",9
"befolkning_innvandringsgrunn",2014,"0119","alle","alle","personer",269
"befolkning_innvandringsgrunn",2014,"0119","arbeid","alle","personer",35
"befolkning_innvandringsgrunn",2014,"0119","flukt","alle","personer",70
"befolkning_innvandringsgrunn",2014,"0119","familie","alle","personer",57
"befolkning_innvandringsgrunn",2014,"0119","annet","alle","personer",3
"befolkning_innvandringsgrunn",2014,"0119","uoppgitt","alle","personer",104
"befolkning_innvandringsgrunn",2014,"0119","alle","1","personer",120
"befolkning_innvandringsgrunn",2014,"0119","arbeid","1","personer",26
"befolkning_innvandringsgrunn",2014,"0119","flukt","1","personer",40
"befolkning_innvandringsgrunn",2014,"0119","familie","1","personer",14
"befolkning_innvandringsgrunn",2014,"0119","annet","1","personer",0
"befolkning_innvandringsgrunn",2014,"0119","uoppgitt","1","personer",40
"befolkning_innvandringsgrunn",2014,"0119","alle","0","personer",149
"befolkning_innvandringsgrunn",2014,"0119","arbeid","0","personer",9
"befolkning_innvandringsgrunn",2014,"0119","flukt","0","personer",30
"befolkning_innvandringsgrunn",2014,"0119","familie","0","personer",43
"befolkning_innvandringsgrunn",2014,"0119","annet","0","personer",3
"befolkning_innvandringsgrunn",2014,"0119","uoppgitt","0","personer",64
"befolkning_innvandringsgrunn",2014,"0121","alle","alle","personer",48
