"tabell_navn","aar","naringsregion_nr","innvgrunn_6","kjonn","enhet","tabellvariabel"
"befolkning_innvandringsgrunn",2014,"01","alle","alle","personer",2986
"befolkning_innvandringsgrunn",2014,"01","arbeid","alle","personer",400
"befolkning_innvandringsgrunn",2014,"01","flukt","alle","personer",980
"befolkning_innvandringsgrunn",2014,"01","familie","alle","personer",585
"befolkning_innvandringsgrunn",2014,"01","annet","alle","personer",112
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","alle","personer",909
"befolkning_innvandringsgrunn",2014,"01","alle","1","personer",1484
"befolkning_innvandringsgrunn",2014,"01","arbeid","1","personer",284
"befolkning_innvandringsgrunn",2014,"01","flukt","1","personer",488
"befolkning_innvandringsgrunn",2014,"01","familie","1","personer",178
"befolkning_innvandringsgrunn",2014,"01","annet","1","personer",44
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","1","personer",490
"befolkning_innvandringsgrunn",2014,"01","alle","0","personer",1502
"befolkning_innvandringsgrunn",2014,"01","arbeid","0","personer",116
"befolkning_innvandringsgrunn",2014,"01","flukt","0","personer",492
"befolkning_innvandringsgrunn",2014,"01","familie","0","personer",407
"befolkning_innvandringsgrunn",2014,"01","annet","0","personer",68
"befolkning_innvandringsgrunn",2014,"01","uoppgitt","0","personer",419
"befolkning_innvandringsgrunn",2014,"02","alle","alle","personer",7007
"befolkning_innvandringsgrunn",2014,"02","arbeid","alle","personer",1621
"befolkning_innvandringsgrunn",2014,"02","flukt","alle","personer",1903
"befolkning_innvandringsgrunn",2014,"02","familie","alle","personer",1690
"befolkning_innvandringsgrunn",2014,"02","annet","alle","personer",166
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","alle","personer",1627
"befolkning_innvandringsgrunn",2014,"02","alle","1","personer",3670
"befolkning_innvandringsgrunn",2014,"02","arbeid","1","personer",1291
"befolkning_innvandringsgrunn",2014,"02","flukt","1","personer",973
"befolkning_innvandringsgrunn",2014,"02","familie","1","personer",543
"befolkning_innvandringsgrunn",2014,"02","annet","1","personer",36
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","1","personer",827
"befolkning_innvandringsgrunn",2014,"02","alle","0","personer",3337
"befolkning_innvandringsgrunn",2014,"02","arbeid","0","personer",330
"befolkning_innvandringsgrunn",2014,"02","flukt","0","personer",930
"befolkning_innvandringsgrunn",2014,"02","familie","0","personer",1147
"befolkning_innvandringsgrunn",2014,"02","annet","0","personer",130
"befolkning_innvandringsgrunn",2014,"02","uoppgitt","0","personer",800
"befolkning_innvandringsgrunn",2014,"03","alle","alle","personer",7139
"befolkning_innvandringsgrunn",2014,"03","arbeid","alle","personer",1449
"befolkning_innvandringsgrunn",2014,"03","flukt","alle","personer",1522
"befolkning_innvandringsgrunn",2014,"03","familie","alle","personer",1657
"befolkning_innvandringsgrunn",2014,"03","annet","alle","personer",176
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","alle","personer",2335
"befolkning_innvandringsgrunn",2014,"03","alle","1","personer",3741
"befolkning_innvandringsgrunn",2014,"03","arbeid","1","personer",1146
"befolkning_innvandringsgrunn",2014,"03","flukt","1","personer",753
"befolkning_innvandringsgrunn",2014,"03","familie","1","personer",555
"befolkning_innvandringsgrunn",2014,"03","annet","1","personer",52
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","1","personer",1235
"befolkning_innvandringsgrunn",2014,"03","alle","0","personer",3398
"befolkning_innvandringsgrunn",2014,"03","arbeid","0","personer",303
"befolkning_innvandringsgrunn",2014,"03","flukt","0","personer",769
"befolkning_innvandringsgrunn",2014,"03","familie","0","personer",1102
"befolkning_innvandringsgrunn",2014,"03","annet","0","personer",124
"befolkning_innvandringsgrunn",2014,"03","uoppgitt","0","personer",1100
"befolkning_innvandringsgrunn",2014,"04","alle","alle","personer",16554
"befolkning_innvandringsgrunn",2014,"04","arbeid","alle","personer",2732
"befolkning_innvandringsgrunn",2014,"04","flukt","alle","personer",6895
"befolkning_innvandringsgrunn",2014,"04","familie","alle","personer",2979
"befolkning_innvandringsgrunn",2014,"04","annet","alle","personer",263
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","alle","personer",3685
"befolkning_innvandringsgrunn",2014,"04","alle","1","personer",8628
"befolkning_innvandringsgrunn",2014,"04","arbeid","1","personer",2183
"befolkning_innvandringsgrunn",2014,"04","flukt","1","personer",3573
"befolkning_innvandringsgrunn",2014,"04","familie","1","personer",951
"befolkning_innvandringsgrunn",2014,"04","annet","1","personer",69
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","1","personer",1852
"befolkning_innvandringsgrunn",2014,"04","alle","0","personer",7926
"befolkning_innvandringsgrunn",2014,"04","arbeid","0","personer",549
"befolkning_innvandringsgrunn",2014,"04","flukt","0","personer",3322
"befolkning_innvandringsgrunn",2014,"04","familie","0","personer",2028
"befolkning_innvandringsgrunn",2014,"04","annet","0","personer",194
"befolkning_innvandringsgrunn",2014,"04","uoppgitt","0","personer",1833
"befolkning_innvandringsgrunn",2014,"05","alle","alle","personer",27613
"befolkning_innvandringsgrunn",2014,"05","arbeid","alle","personer",6995
"befolkning_innvandringsgrunn",2014,"05","flukt","alle","personer",5181
"befolkning_innvandringsgrunn",2014,"05","familie","alle","personer",5528
"befolkning_innvandringsgrunn",2014,"05","annet","alle","personer",1711
"befolkning_innvandringsgrunn",2014,"05","uoppgitt","alle","personer",8198
"befolkning_innvandringsgrunn",2014,"05","alle","1","personer",13893
"befolkning_innvandringsgrunn",2014,"05","arbeid","1","personer",5296
"befolkning_innvandringsgrunn",2014,"05","flukt","1","personer",2577
"befolkning_innvandringsgrunn",2014,"05","familie","1","personer",1854
"befolkning_innvandringsgrunn",2014,"05","annet","1","personer",338
"befolkning_innvandringsgrunn",2014,"05","uoppgitt","1","personer",3828
"befolkning_innvandringsgrunn",2014,"05","alle","0","personer",13720
"befolkning_innvandringsgrunn",2014,"05","arbeid","0","personer",1699
"befolkning_innvandringsgrunn",2014,"05","flukt","0","personer",2604
"befolkning_innvandringsgrunn",2014,"05","familie","0","personer",3674
"befolkning_innvandringsgrunn",2014,"05","annet","0","personer",1373
"befolkning_innvandringsgrunn",2014,"05","uoppgitt","0","personer",4370
"befolkning_innvandringsgrunn",2014,"06","alle","alle","personer",16151
"befolkning_innvandringsgrunn",2014,"06","arbeid","alle","personer",3175
"befolkning_innvandringsgrunn",2014,"06","flukt","alle","personer",3227
"befolkning_innvandringsgrunn",2014,"06","familie","alle","personer",3330
"befolkning_innvandringsgrunn",2014,"06","annet","alle","personer",1032
"befolkning_innvandringsgrunn",2014,"06","uoppgitt","alle","personer",5387
"befolkning_innvandringsgrunn",2014,"06","alle","1","personer",8302
"befolkning_innvandringsgrunn",2014,"06","arbeid","1","personer",2393
"befolkning_innvandringsgrunn",2014,"06","flukt","1","personer",1640
"befolkning_innvandringsgrunn",2014,"06","familie","1","personer",1210
"befolkning_innvandringsgrunn",2014,"06","annet","1","personer",426
"befolkning_innvandringsgrunn",2014,"06","uoppgitt","1","personer",2633
"befolkning_innvandringsgrunn",2014,"06","alle","0","personer",7849
"befolkning_innvandringsgrunn",2014,"06","arbeid","0","personer",782
"befolkning_innvandringsgrunn",2014,"06","flukt","0","personer",1587
"befolkning_innvandringsgrunn",2014,"06","familie","0","personer",2120
"befolkning_innvandringsgrunn",2014,"06","annet","0","personer",606
"befolkning_innvandringsgrunn",2014,"06","uoppgitt","0","personer",2754
"befolkning_innvandringsgrunn",2014,"07","alle","alle","personer",24997
"befolkning_innvandringsgrunn",2014,"07","arbeid","alle","personer",5675
"befolkning_innvandringsgrunn",2014,"07","flukt","alle","personer",5699
