tabell_navn;aar;fylke_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2008;01; ;alle;person;265458;
befolkning_innvandringsgrunn;2008;01;alle;alle;person;21248;
befolkning_innvandringsgrunn;2008;01;arbeid;alle;person;1734;
befolkning_innvandringsgrunn;2008;01;flukt;alle;person;8186;
befolkning_innvandringsgrunn;2008;01;familie;alle;person;3413;
befolkning_innvandringsgrunn;2008;01;annet;alle;person;315;
befolkning_innvandringsgrunn;2008;01;uoppgitt;alle;person;7600;
befolkning_innvandringsgrunn;2008;01;alle;1;person;10651;
befolkning_innvandringsgrunn;2008;01;arbeid;1;person;1459;
befolkning_innvandringsgrunn;2008;01;flukt;1;person;4140;
befolkning_innvandringsgrunn;2008;01;familie;1;person;1121;
befolkning_innvandringsgrunn;2008;01;annet;1;person;79;
befolkning_innvandringsgrunn;2008;01;uoppgitt;1;person;3852;
befolkning_innvandringsgrunn;2008;01;alle;0;person;10597;
befolkning_innvandringsgrunn;2008;01;arbeid;0;person;275;
befolkning_innvandringsgrunn;2008;01;flukt;0;person;4046;
befolkning_innvandringsgrunn;2008;01;familie;0;person;2292;
befolkning_innvandringsgrunn;2008;01;annet;0;person;236;
befolkning_innvandringsgrunn;2008;01;uoppgitt;0;person;3748;
befolkning_innvandringsgrunn;2008;02; ;alle;person;518567;
befolkning_innvandringsgrunn;2008;02;alle;alle;person;48401;
befolkning_innvandringsgrunn;2008;02;arbeid;alle;person;5822;
befolkning_innvandringsgrunn;2008;02;flukt;alle;person;10991;
befolkning_innvandringsgrunn;2008;02;familie;alle;person;8871;
befolkning_innvandringsgrunn;2008;02;annet;alle;person;1880;
befolkning_innvandringsgrunn;2008;02;uoppgitt;alle;person;20837;
befolkning_innvandringsgrunn;2008;02;alle;1;person;23716;
befolkning_innvandringsgrunn;2008;02;arbeid;1;person;4660;
befolkning_innvandringsgrunn;2008;02;flukt;1;person;5339;
befolkning_innvandringsgrunn;2008;02;familie;1;person;3120;
befolkning_innvandringsgrunn;2008;02;annet;1;person;478;
befolkning_innvandringsgrunn;2008;02;uoppgitt;1;person;10119;
befolkning_innvandringsgrunn;2008;02;alle;0;person;24685;
befolkning_innvandringsgrunn;2008;02;arbeid;0;person;1162;
befolkning_innvandringsgrunn;2008;02;flukt;0;person;5652;
befolkning_innvandringsgrunn;2008;02;familie;0;person;5751;
befolkning_innvandringsgrunn;2008;02;annet;0;person;1402;
befolkning_innvandringsgrunn;2008;02;uoppgitt;0;person;10718;
befolkning_innvandringsgrunn;2008;03; ;alle;person;560484;
befolkning_innvandringsgrunn;2008;03;alle;alle;person;106102;
befolkning_innvandringsgrunn;2008;03;arbeid;alle;person;10155;
befolkning_innvandringsgrunn;2008;03;flukt;alle;person;26122;
befolkning_innvandringsgrunn;2008;03;familie;alle;person;20518;
befolkning_innvandringsgrunn;2008;03;annet;alle;person;4580;
befolkning_innvandringsgrunn;2008;03;uoppgitt;alle;person;44727;
befolkning_innvandringsgrunn;2008;03;alle;1;person;54847;
befolkning_innvandringsgrunn;2008;03;arbeid;1;person;7796;
befolkning_innvandringsgrunn;2008;03;flukt;1;person;12824;
befolkning_innvandringsgrunn;2008;03;familie;1;person;8598;
befolkning_innvandringsgrunn;2008;03;annet;1;person;1394;
befolkning_innvandringsgrunn;2008;03;uoppgitt;1;person;24235;
befolkning_innvandringsgrunn;2008;03;alle;0;person;51255;
befolkning_innvandringsgrunn;2008;03;arbeid;0;person;2359;
befolkning_innvandringsgrunn;2008;03;flukt;0;person;13298;
befolkning_innvandringsgrunn;2008;03;familie;0;person;11920;
befolkning_innvandringsgrunn;2008;03;annet;0;person;3186;
befolkning_innvandringsgrunn;2008;03;uoppgitt;0;person;20492;
befolkning_innvandringsgrunn;2008;04; ;alle;person;189289;
befolkning_innvandringsgrunn;2008;04;alle;alle;person;8795;
befolkning_innvandringsgrunn;2008;04;arbeid;alle;person;791;
befolkning_innvandringsgrunn;2008;04;flukt;alle;person;2892;
befolkning_innvandringsgrunn;2008;04;familie;alle;person;1670;
befolkning_innvandringsgrunn;2008;04;annet;alle;person;234;
befolkning_innvandringsgrunn;2008;04;uoppgitt;alle;person;3208;
befolkning_innvandringsgrunn;2008;04;alle;1;person;4225;
befolkning_innvandringsgrunn;2008;04;arbeid;1;person;616;
befolkning_innvandringsgrunn;2008;04;flukt;1;person;1517;
befolkning_innvandringsgrunn;2008;04;familie;1;person;496;
befolkning_innvandringsgrunn;2008;04;annet;1;person;75;
befolkning_innvandringsgrunn;2008;04;uoppgitt;1;person;1521;
befolkning_innvandringsgrunn;2008;04;alle;0;person;4570;
befolkning_innvandringsgrunn;2008;04;arbeid;0;person;175;
befolkning_innvandringsgrunn;2008;04;flukt;0;person;1375;
befolkning_innvandringsgrunn;2008;04;familie;0;person;1174;
befolkning_innvandringsgrunn;2008;04;annet;0;person;159;
befolkning_innvandringsgrunn;2008;04;uoppgitt;0;person;1687;
befolkning_innvandringsgrunn;2008;05; ;alle;person;183637;
befolkning_innvandringsgrunn;2008;05;alle;alle;person;8487;
befolkning_innvandringsgrunn;2008;05;arbeid;alle;person;1002;
befolkning_innvandringsgrunn;2008;05;flukt;alle;person;3080;
befolkning_innvandringsgrunn;2008;05;familie;alle;person;1544;
