tabell_navn;aar;kommune_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2013;0101; ;alle;person;29880;
befolkning_innvandringsgrunn;2013;0101;alle;alle;person;2840;
befolkning_innvandringsgrunn;2013;0101;arbeid;alle;person;237;
befolkning_innvandringsgrunn;2013;0101;flukt;alle;person;77;
befolkning_innvandringsgrunn;2013;0101;familie;alle;person;190;
befolkning_innvandringsgrunn;2013;0101;annet;alle;person;54;
befolkning_innvandringsgrunn;2013;0101;uoppgitt;alle;person;2282;
befolkning_innvandringsgrunn;2013;0101;alle;1;person;1412;
befolkning_innvandringsgrunn;2013;0101;arbeid;1;person;164;
befolkning_innvandringsgrunn;2013;0101;flukt;1;person;52;
befolkning_innvandringsgrunn;2013;0101;familie;1;person;62;
befolkning_innvandringsgrunn;2013;0101;annet;1;person;26;
befolkning_innvandringsgrunn;2013;0101;uoppgitt;1;person;1108;
befolkning_innvandringsgrunn;2013;0101;alle;0;person;1428;
befolkning_innvandringsgrunn;2013;0101;arbeid;0;person;73;
befolkning_innvandringsgrunn;2013;0101;flukt;0;person;25;
befolkning_innvandringsgrunn;2013;0101;familie;0;person;128;
befolkning_innvandringsgrunn;2013;0101;annet;0;person;28;
befolkning_innvandringsgrunn;2013;0101;uoppgitt;0;person;1174;
befolkning_innvandringsgrunn;2013;0104; ;alle;person;30988;
befolkning_innvandringsgrunn;2013;0104;alle;alle;person;4350;
befolkning_innvandringsgrunn;2013;0104;arbeid;alle;person;397;
befolkning_innvandringsgrunn;2013;0104;flukt;alle;person;238;
befolkning_innvandringsgrunn;2013;0104;familie;alle;person;309;
befolkning_innvandringsgrunn;2013;0104;annet;alle;person;53;
befolkning_innvandringsgrunn;2013;0104;uoppgitt;alle;person;3353;
befolkning_innvandringsgrunn;2013;0104;alle;1;person;2247;
befolkning_innvandringsgrunn;2013;0104;arbeid;1;person;297;
befolkning_innvandringsgrunn;2013;0104;flukt;1;person;135;
befolkning_innvandringsgrunn;2013;0104;familie;1;person;98;
befolkning_innvandringsgrunn;2013;0104;annet;1;person;14;
befolkning_innvandringsgrunn;2013;0104;uoppgitt;1;person;1703;
befolkning_innvandringsgrunn;2013;0104;alle;0;person;2103;
befolkning_innvandringsgrunn;2013;0104;arbeid;0;person;100;
befolkning_innvandringsgrunn;2013;0104;flukt;0;person;103;
befolkning_innvandringsgrunn;2013;0104;familie;0;person;211;
befolkning_innvandringsgrunn;2013;0104;annet;0;person;39;
befolkning_innvandringsgrunn;2013;0104;uoppgitt;0;person;1650;
befolkning_innvandringsgrunn;2013;0105; ;alle;person;53696;
befolkning_innvandringsgrunn;2013;0105;alle;alle;person;6573;
befolkning_innvandringsgrunn;2013;0105;arbeid;alle;person;544;
befolkning_innvandringsgrunn;2013;0105;flukt;alle;person;309;
befolkning_innvandringsgrunn;2013;0105;familie;alle;person;429;
befolkning_innvandringsgrunn;2013;0105;annet;alle;person;37;
befolkning_innvandringsgrunn;2013;0105;uoppgitt;alle;person;5254;
befolkning_innvandringsgrunn;2013;0105;alle;1;person;3433;
befolkning_innvandringsgrunn;2013;0105;arbeid;1;person;436;
befolkning_innvandringsgrunn;2013;0105;flukt;1;person;159;
befolkning_innvandringsgrunn;2013;0105;familie;1;person;136;
befolkning_innvandringsgrunn;2013;0105;annet;1;person;9;
befolkning_innvandringsgrunn;2013;0105;uoppgitt;1;person;2693;
befolkning_innvandringsgrunn;2013;0105;alle;0;person;3140;
befolkning_innvandringsgrunn;2013;0105;arbeid;0;person;108;
befolkning_innvandringsgrunn;2013;0105;flukt;0;person;150;
befolkning_innvandringsgrunn;2013;0105;familie;0;person;293;
befolkning_innvandringsgrunn;2013;0105;annet;0;person;28;
befolkning_innvandringsgrunn;2013;0105;uoppgitt;0;person;2561;
befolkning_innvandringsgrunn;2013;0106; ;alle;person;76807;
befolkning_innvandringsgrunn;2013;0106;alle;alle;person;9039;
befolkning_innvandringsgrunn;2013;0106;arbeid;alle;person;996;
befolkning_innvandringsgrunn;2013;0106;flukt;alle;person;392;
befolkning_innvandringsgrunn;2013;0106;familie;alle;person;505;
befolkning_innvandringsgrunn;2013;0106;annet;alle;person;75;
befolkning_innvandringsgrunn;2013;0106;uoppgitt;alle;person;7071;
befolkning_innvandringsgrunn;2013;0106;alle;1;person;4769;
befolkning_innvandringsgrunn;2013;0106;arbeid;1;person;808;
befolkning_innvandringsgrunn;2013;0106;flukt;1;person;191;
befolkning_innvandringsgrunn;2013;0106;familie;1;person;165;
befolkning_innvandringsgrunn;2013;0106;annet;1;person;22;
befolkning_innvandringsgrunn;2013;0106;uoppgitt;1;person;3583;
befolkning_innvandringsgrunn;2013;0106;alle;0;person;4270;
befolkning_innvandringsgrunn;2013;0106;arbeid;0;person;188;
befolkning_innvandringsgrunn;2013;0106;flukt;0;person;201;
befolkning_innvandringsgrunn;2013;0106;familie;0;person;340;
befolkning_innvandringsgrunn;2013;0106;annet;0;person;53;
befolkning_innvandringsgrunn;2013;0106;uoppgitt;0;person;3488;
befolkning_innvandringsgrunn;2013;0111; ;alle;person;4284;
befolkning_innvandringsgrunn;2013;0111;alle;alle;person;209;
befolkning_innvandringsgrunn;2013;0111;arbeid;alle;person;15;
befolkning_innvandringsgrunn;2013;0111;flukt;alle;person;32;
befolkning_innvandringsgrunn;2013;0111;familie;alle;person;16;
befolkning_innvandringsgrunn;2013;0111;annet;alle;person;3;
befolkning_innvandringsgrunn;2013;0111;uoppgitt;alle;person;143;
befolkning_innvandringsgrunn;2013;0111;alle;1;person;100;
befolkning_innvandringsgrunn;2013;0111;arbeid;1;person;9;
befolkning_innvandringsgrunn;2013;0111;flukt;1;person;19;
befolkning_innvandringsgrunn;2013;0111;familie;1;person;3;
befolkning_innvandringsgrunn;2013;0111;annet;1;person;0;
befolkning_innvandringsgrunn;2013;0111;uoppgitt;1;person;69;
befolkning_innvandringsgrunn;2013;0111;alle;0;person;109;
befolkning_innvandringsgrunn;2013;0111;arbeid;0;person;6;
befolkning_innvandringsgrunn;2013;0111;flukt;0;person;13;
befolkning_innvandringsgrunn;2013;0111;familie;0;person;13;
befolkning_innvandringsgrunn;2013;0111;annet;0;person;3;
befolkning_innvandringsgrunn;2013;0111;uoppgitt;0;person;74;
befolkning_innvandringsgrunn;2013;0118; ;alle;person;1425;
befolkning_innvandringsgrunn;2013;0118;alle;alle;person;44;
befolkning_innvandringsgrunn;2013;0118;arbeid;alle;person;3;
befolkning_innvandringsgrunn;2013;0118;flukt;alle;person;5;
befolkning_innvandringsgrunn;2013;0118;familie;alle;person;3;
befolkning_innvandringsgrunn;2013;0118;annet;alle;person;3;
befolkning_innvandringsgrunn;2013;0118;uoppgitt;alle;person;30;
befolkning_innvandringsgrunn;2013;0118;alle;1;person;22;
befolkning_innvandringsgrunn;2013;0118;arbeid;1;person;3;
befolkning_innvandringsgrunn;2013;0118;flukt;1;person;5;
befolkning_innvandringsgrunn;2013;0118;familie;1;person;0;
befolkning_innvandringsgrunn;2013;0118;annet;1;person;3;
befolkning_innvandringsgrunn;2013;0118;uoppgitt;1;person;11;
befolkning_innvandringsgrunn;2013;0118;alle;0;person;22;
befolkning_innvandringsgrunn;2013;0118;arbeid;0;person;0;
befolkning_innvandringsgrunn;2013;0118;flukt;0;person;0;
befolkning_innvandringsgrunn;2013;0118;familie;0;person;3;
befolkning_innvandringsgrunn;2013;0118;annet;0;person;0;
befolkning_innvandringsgrunn;2013;0118;uoppgitt;0;person;19;
befolkning_innvandringsgrunn;2013;0119; ;alle;person;3587;
befolkning_innvandringsgrunn;2013;0119;alle;alle;person;274;
befolkning_innvandringsgrunn;2013;0119;arbeid;alle;person;22;
befolkning_innvandringsgrunn;2013;0119;flukt;alle;person;13;
befolkning_innvandringsgrunn;2013;0119;familie;alle;person;23;
befolkning_innvandringsgrunn;2013;0119;annet;alle;person;0;
befolkning_innvandringsgrunn;2013;0119;uoppgitt;alle;person;216;
befolkning_innvandringsgrunn;2013;0119;alle;1;person;123;
befolkning_innvandringsgrunn;2013;0119;arbeid;1;person;16;
befolkning_innvandringsgrunn;2013;0119;flukt;1;person;6;
befolkning_innvandringsgrunn;2013;0119;familie;1;person;9;
befolkning_innvandringsgrunn;2013;0119;annet;1;person;0;
befolkning_innvandringsgrunn;2013;0119;uoppgitt;1;person;92;
befolkning_innvandringsgrunn;2013;0119;alle;0;person;151;
befolkning_innvandringsgrunn;2013;0119;arbeid;0;person;6;
befolkning_innvandringsgrunn;2013;0119;flukt;0;person;7;
befolkning_innvandringsgrunn;2013;0119;familie;0;person;14;
befolkning_innvandringsgrunn;2013;0119;annet;0;person;0;
befolkning_innvandringsgrunn;2013;0119;uoppgitt;0;person;124;
befolkning_innvandringsgrunn;2013;0121; ;alle;person;691;
befolkning_innvandringsgrunn;2013;0121;alle;alle;person;41;
befolkning_innvandringsgrunn;2013;0121;arbeid;alle;person;3;
befolkning_innvandringsgrunn;2013;0121;flukt;alle;person;0;
befolkning_innvandringsgrunn;2013;0121;familie;alle;person;0;
befolkning_innvandringsgrunn;2013;0121;annet;alle;person;0;
befolkning_innvandringsgrunn;2013;0121;uoppgitt;alle;person;38;
befolkning_innvandringsgrunn;2013;0121;alle;1;person;21;
befolkning_innvandringsgrunn;2013;0121;arbeid;1;person;0;
befolkning_innvandringsgrunn;2013;0121;flukt;1;person;0;
befolkning_innvandringsgrunn;2013;0121;familie;1;person;0;
befolkning_innvandringsgrunn;2013;0121;annet;1;person;0;
befolkning_innvandringsgrunn;2013;0121;uoppgitt;1;person;21;
befolkning_innvandringsgrunn;2013;0121;alle;0;person;20;
befolkning_innvandringsgrunn;2013;0121;arbeid;0;person;3;
befolkning_innvandringsgrunn;2013;0121;flukt;0;person;0;
befolkning_innvandringsgrunn;2013;0121;familie;0;person;0;
befolkning_innvandringsgrunn;2013;0121;annet;0;person;0;
befolkning_innvandringsgrunn;2013;0121;uoppgitt;0;person;17;
befolkning_innvandringsgrunn;2013;0122; ;alle;person;5273;
befolkning_innvandringsgrunn;2013;0122;alle;alle;person;420;
befolkning_innvandringsgrunn;2013;0122;arbeid;alle;person;102;
befolkning_innvandringsgrunn;2013;0122;flukt;alle;person;21;
befolkning_innvandringsgrunn;2013;0122;familie;alle;person;64;
befolkning_innvandringsgrunn;2013;0122;annet;alle;person;3;
befolkning_innvandringsgrunn;2013;0122;uoppgitt;alle;person;230;
befolkning_innvandringsgrunn;2013;0122;alle;1;person;236;
befolkning_innvandringsgrunn;2013;0122;arbeid;1;person;85;
befolkning_innvandringsgrunn;2013;0122;flukt;1;person;14;
befolkning_innvandringsgrunn;2013;0122;familie;1;person;21;
befolkning_innvandringsgrunn;2013;0122;annet;1;person;3;
befolkning_innvandringsgrunn;2013;0122;uoppgitt;1;person;113;
befolkning_innvandringsgrunn;2013;0122;alle;0;person;184;
befolkning_innvandringsgrunn;2013;0122;arbeid;0;person;17;
befolkning_innvandringsgrunn;2013;0122;flukt;0;person;7;
befolkning_innvandringsgrunn;2013;0122;familie;0;person;43;
befolkning_innvandringsgrunn;2013;0122;annet;0;person;0;
befolkning_innvandringsgrunn;2013;0122;uoppgitt;0;person;117;
befolkning_innvandringsgrunn;2013;0123; ;alle;person;5474;
befolkning_innvandringsgrunn;2013;0123;alle;alle;person;468;
befolkning_innvandringsgrunn;2013;0123;arbeid;alle;person;78;
befolkning_innvandringsgrunn;2013;0123;flukt;alle;person;33;
befolkning_innvandringsgrunn;2013;0123;familie;alle;person;38;
befolkning_innvandringsgrunn;2013;0123;annet;alle;person;13;
befolkning_innvandringsgrunn;2013;0123;uoppgitt;alle;person;306;
befolkning_innvandringsgrunn;2013;0123;alle;1;person;238;
befolkning_innvandringsgrunn;2013;0123;arbeid;1;person;68;
befolkning_innvandringsgrunn;2013;0123;flukt;1;person;15;
befolkning_innvandringsgrunn;2013;0123;familie;1;person;13;
befolkning_innvandringsgrunn;2013;0123;annet;1;person;3;
befolkning_innvandringsgrunn;2013;0123;uoppgitt;1;person;139;
befolkning_innvandringsgrunn;2013;0123;alle;0;person;230;
befolkning_innvandringsgrunn;2013;0123;arbeid;0;person;10;
befolkning_innvandringsgrunn;2013;0123;flukt;0;person;18;
befolkning_innvandringsgrunn;2013;0123;familie;0;person;25;
befolkning_innvandringsgrunn;2013;0123;annet;0;person;10;
befolkning_innvandringsgrunn;2013;0123;uoppgitt;0;person;167;
befolkning_innvandringsgrunn;2013;0124; ;alle;person;15315;
befolkning_innvandringsgrunn;2013;0124;alle;alle;person;2179;
befolkning_innvandringsgrunn;2013;0124;arbeid;alle;person;170;
befolkning_innvandringsgrunn;2013;0124;flukt;alle;person;70;
befolkning_innvandringsgrunn;2013;0124;familie;alle;person;144;
befolkning_innvandringsgrunn;2013;0124;annet;alle;person;16;
befolkning_innvandringsgrunn;2013;0124;uoppgitt;alle;person;1779;
befolkning_innvandringsgrunn;2013;0124;alle;1;person;1126;
befolkning_innvandringsgrunn;2013;0124;arbeid;1;person;137;
befolkning_innvandringsgrunn;2013;0124;flukt;1;person;35;
befolkning_innvandringsgrunn;2013;0124;familie;1;person;46;
befolkning_innvandringsgrunn;2013;0124;annet;1;person;4;
befolkning_innvandringsgrunn;2013;0124;uoppgitt;1;person;904;
befolkning_innvandringsgrunn;2013;0124;alle;0;person;1053;
befolkning_innvandringsgrunn;2013;0124;arbeid;0;person;33;
befolkning_innvandringsgrunn;2013;0124;flukt;0;person;35;
befolkning_innvandringsgrunn;2013;0124;familie;0;person;98;
befolkning_innvandringsgrunn;2013;0124;annet;0;person;12;
befolkning_innvandringsgrunn;2013;0124;uoppgitt;0;person;875;
befolkning_innvandringsgrunn;2013;0125; ;alle;person;11195;
befolkning_innvandringsgrunn;2013;0125;alle;alle;person;1350;
befolkning_innvandringsgrunn;2013;0125;arbeid;alle;person;198;
befolkning_innvandringsgrunn;2013;0125;flukt;alle;person;74;
befolkning_innvandringsgrunn;2013;0125;familie;alle;person;143;
befolkning_innvandringsgrunn;2013;0125;annet;alle;person;10;
befolkning_innvandringsgrunn;2013;0125;uoppgitt;alle;person;925;
befolkning_innvandringsgrunn;2013;0125;alle;1;person;701;
befolkning_innvandringsgrunn;2013;0125;arbeid;1;person;155;
befolkning_innvandringsgrunn;2013;0125;flukt;1;person;44;
befolkning_innvandringsgrunn;2013;0125;familie;1;person;51;
befolkning_innvandringsgrunn;2013;0125;annet;1;person;0;
befolkning_innvandringsgrunn;2013;0125;uoppgitt;1;person;451;
befolkning_innvandringsgrunn;2013;0125;alle;0;person;649;
befolkning_innvandringsgrunn;2013;0125;arbeid;0;person;43;
befolkning_innvandringsgrunn;2013;0125;flukt;0;person;30;
befolkning_innvandringsgrunn;2013;0125;familie;0;person;92;
befolkning_innvandringsgrunn;2013;0125;annet;0;person;10;
befolkning_innvandringsgrunn;2013;0125;uoppgitt;0;person;474;
befolkning_innvandringsgrunn;2013;0127; ;alle;person;3668;
befolkning_innvandringsgrunn;2013;0127;alle;alle;person;322;
befolkning_innvandringsgrunn;2013;0127;arbeid;alle;person;49;
befolkning_innvandringsgrunn;2013;0127;flukt;alle;person;22;
befolkning_innvandringsgrunn;2013;0127;familie;alle;person;46;
