tabell_navn;aar;naringsregion_id;innvgrunn_6;kjonn;enhet;tabellvariabel;
befolkning_innvandringsgrunn;2007;01; ;alle;person;27835;
befolkning_innvandringsgrunn;2007;01;alle;alle;person;1954;
befolkning_innvandringsgrunn;2007;01;arbeid;alle;person;57;
befolkning_innvandringsgrunn;2007;01;flukt;alle;person;710;
befolkning_innvandringsgrunn;2007;01;familie;alle;person;266;
befolkning_innvandringsgrunn;2007;01;annet;alle;person;42;
befolkning_innvandringsgrunn;2007;01;uoppgitt;alle;person;879;
befolkning_innvandringsgrunn;2007;01;alle;1;person;925;
befolkning_innvandringsgrunn;2007;01;arbeid;1;person;36;
befolkning_innvandringsgrunn;2007;01;flukt;1;person;340;
befolkning_innvandringsgrunn;2007;01;familie;1;person;71;
befolkning_innvandringsgrunn;2007;01;annet;1;person;18;
befolkning_innvandringsgrunn;2007;01;uoppgitt;1;person;460;
befolkning_innvandringsgrunn;2007;01;alle;0;person;1029;
befolkning_innvandringsgrunn;2007;01;arbeid;0;person;21;
befolkning_innvandringsgrunn;2007;01;flukt;0;person;370;
befolkning_innvandringsgrunn;2007;01;familie;0;person;195;
befolkning_innvandringsgrunn;2007;01;annet;0;person;24;
befolkning_innvandringsgrunn;2007;01;uoppgitt;0;person;419;
befolkning_innvandringsgrunn;2007;02; ;alle;person;55640;
befolkning_innvandringsgrunn;2007;02;alle;alle;person;3789;
befolkning_innvandringsgrunn;2007;02;arbeid;alle;person;255;
befolkning_innvandringsgrunn;2007;02;flukt;alle;person;1456;
befolkning_innvandringsgrunn;2007;02;familie;alle;person;617;
befolkning_innvandringsgrunn;2007;02;annet;alle;person;66;
befolkning_innvandringsgrunn;2007;02;uoppgitt;alle;person;1395;
befolkning_innvandringsgrunn;2007;02;alle;1;person;1856;
befolkning_innvandringsgrunn;2007;02;arbeid;1;person;218;
befolkning_innvandringsgrunn;2007;02;flukt;1;person;728;
befolkning_innvandringsgrunn;2007;02;familie;1;person;191;
befolkning_innvandringsgrunn;2007;02;annet;1;person;13;
befolkning_innvandringsgrunn;2007;02;uoppgitt;1;person;706;
befolkning_innvandringsgrunn;2007;02;alle;0;person;1933;
befolkning_innvandringsgrunn;2007;02;arbeid;0;person;37;
befolkning_innvandringsgrunn;2007;02;flukt;0;person;728;
befolkning_innvandringsgrunn;2007;02;familie;0;person;426;
befolkning_innvandringsgrunn;2007;02;annet;0;person;53;
befolkning_innvandringsgrunn;2007;02;uoppgitt;0;person;689;
befolkning_innvandringsgrunn;2007;03; ;alle;person;53278;
befolkning_innvandringsgrunn;2007;03;alle;alle;person;4039;
befolkning_innvandringsgrunn;2007;03;arbeid;alle;person;226;
befolkning_innvandringsgrunn;2007;03;flukt;alle;person;902;
befolkning_innvandringsgrunn;2007;03;familie;alle;person;756;
befolkning_innvandringsgrunn;2007;03;annet;alle;person;72;
befolkning_innvandringsgrunn;2007;03;uoppgitt;alle;person;2083;
befolkning_innvandringsgrunn;2007;03;alle;1;person;1977;
befolkning_innvandringsgrunn;2007;03;arbeid;1;person;180;
befolkning_innvandringsgrunn;2007;03;flukt;1;person;438;
befolkning_innvandringsgrunn;2007;03;familie;1;person;272;
befolkning_innvandringsgrunn;2007;03;annet;1;person;18;
befolkning_innvandringsgrunn;2007;03;uoppgitt;1;person;1069;
befolkning_innvandringsgrunn;2007;03;alle;0;person;2062;
befolkning_innvandringsgrunn;2007;03;arbeid;0;person;46;
befolkning_innvandringsgrunn;2007;03;flukt;0;person;464;
befolkning_innvandringsgrunn;2007;03;familie;0;person;484;
befolkning_innvandringsgrunn;2007;03;annet;0;person;54;
befolkning_innvandringsgrunn;2007;03;uoppgitt;0;person;1014;
befolkning_innvandringsgrunn;2007;04; ;alle;person;125770;
befolkning_innvandringsgrunn;2007;04;alle;alle;person;9573;
befolkning_innvandringsgrunn;2007;04;arbeid;alle;person;491;
befolkning_innvandringsgrunn;2007;04;flukt;alle;person;4466;
befolkning_innvandringsgrunn;2007;04;familie;alle;person;1287;
