tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;00;101;alle;person;19973;
befolkning_opprinnelsesland;2015;00;102;alle;person;194;
befolkning_opprinnelsesland;2015;00;103;alle;person;6336;
befolkning_opprinnelsesland;2015;00;104;alle;person;764;
befolkning_opprinnelsesland;2015;00;105;alle;person;7924;
befolkning_opprinnelsesland;2015;00;106;alle;person;36887;
befolkning_opprinnelsesland;2015;00;111;alle;person;948;
befolkning_opprinnelsesland;2015;00;112;alle;person;1125;
befolkning_opprinnelsesland;2015;00;113;alle;person;5681;
befolkning_opprinnelsesland;2015;00;114;alle;person;11;
befolkning_opprinnelsesland;2015;00;115;alle;person;5067;
befolkning_opprinnelsesland;2015;00;117;alle;person;5228;
befolkning_opprinnelsesland;2015;00;118;alle;person;:;
befolkning_opprinnelsesland;2015;00;119;alle;person;2060;
befolkning_opprinnelsesland;2015;00;120;alle;person;983;
befolkning_opprinnelsesland;2015;00;121;alle;person;990;
befolkning_opprinnelsesland;2015;00;122;alle;person;3348;
befolkning_opprinnelsesland;2015;00;123;alle;person;3525;
befolkning_opprinnelsesland;2015;00;124;alle;person;9602;
befolkning_opprinnelsesland;2015;00;126;alle;person;76;
befolkning_opprinnelsesland;2015;00;127;alle;person;7589;
befolkning_opprinnelsesland;2015;00;128;alle;person;21;
befolkning_opprinnelsesland;2015;00;129;alle;person;40;
befolkning_opprinnelsesland;2015;00;130;alle;person;10;
befolkning_opprinnelsesland;2015;00;131;alle;person;90962;
befolkning_opprinnelsesland;2015;00;132;alle;person;2810;
befolkning_opprinnelsesland;2015;00;133;alle;person;11923;
befolkning_opprinnelsesland;2015;00;134;alle;person;4;
befolkning_opprinnelsesland;2015;00;136;alle;person;35901;
befolkning_opprinnelsesland;2015;00;137;alle;person;5361;
befolkning_opprinnelsesland;2015;00;138;alle;person;769;
befolkning_opprinnelsesland;2015;00;139;alle;person;14294;
befolkning_opprinnelsesland;2015;00;140;alle;person;16803;
befolkning_opprinnelsesland;2015;00;141;alle;person;1326;
befolkning_opprinnelsesland;2015;00;143;alle;person;11049;
befolkning_opprinnelsesland;2015;00;144;alle;person;24611;
befolkning_opprinnelsesland;2015;00;146;alle;person;371;
befolkning_opprinnelsesland;2015;00;148;alle;person;4181;
befolkning_opprinnelsesland;2015;00;152;alle;person;3600;
befolkning_opprinnelsesland;2015;00;153;alle;person;1211;
befolkning_opprinnelsesland;2015;00;154;alle;person;.;
befolkning_opprinnelsesland;2015;00;155;alle;person;13453;
befolkning_opprinnelsesland;2015;00;156;alle;person;2503;
befolkning_opprinnelsesland;2015;00;157;alle;person;3834;
befolkning_opprinnelsesland;2015;00;158;alle;person;2102;
