tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2006;00;101;alle;personer;17779;
befolkning_opprinnelsesland;2006;00;102;alle;personer;125;
befolkning_opprinnelsesland;2006;00;103;alle;personer;5982;
befolkning_opprinnelsesland;2006;00;104;alle;personer;670;
befolkning_opprinnelsesland;2006;00;105;alle;personer;3259;
befolkning_opprinnelsesland;2006;00;106;alle;personer;22472;
befolkning_opprinnelsesland;2006;00;111;alle;personer;300;
befolkning_opprinnelsesland;2006;00;112;alle;personer;604;
befolkning_opprinnelsesland;2006;00;113;alle;personer;1121;
befolkning_opprinnelsesland;2006;00;114;alle;personer;4;
befolkning_opprinnelsesland;2006;00;115;alle;personer;745;
befolkning_opprinnelsesland;2006;00;117;alle;personer;2475;
befolkning_opprinnelsesland;2006;00;118;alle;personer;:;
befolkning_opprinnelsesland;2006;00;119;alle;personer;548;
befolkning_opprinnelsesland;2006;00;120;alle;personer;432;
befolkning_opprinnelsesland;2006;00;121;alle;personer;455;
befolkning_opprinnelsesland;2006;00;122;alle;personer;2566;
befolkning_opprinnelsesland;2006;00;123;alle;personer;1284;
befolkning_opprinnelsesland;2006;00;124;alle;personer;742;
befolkning_opprinnelsesland;2006;00;126;alle;personer;37;
befolkning_opprinnelsesland;2006;00;127;alle;personer;4283;
befolkning_opprinnelsesland;2006;00;128;alle;personer;6;
befolkning_opprinnelsesland;2006;00;129;alle;personer;28;
befolkning_opprinnelsesland;2006;00;130;alle;personer;5;
befolkning_opprinnelsesland;2006;00;131;alle;personer;10938;
befolkning_opprinnelsesland;2006;00;132;alle;personer;706;
befolkning_opprinnelsesland;2006;00;133;alle;personer;1628;
befolkning_opprinnelsesland;2006;00;134;alle;personer;:;
befolkning_opprinnelsesland;2006;00;136;alle;personer;1903;
befolkning_opprinnelsesland;2006;00;137;alle;personer;1405;
befolkning_opprinnelsesland;2006;00;138;alle;personer;183;
befolkning_opprinnelsesland;2006;00;139;alle;personer;10429;
befolkning_opprinnelsesland;2006;00;140;alle;personer;9813;
befolkning_opprinnelsesland;2006;00;141;alle;personer;892;
befolkning_opprinnelsesland;2006;00;143;alle;personer;9337;
befolkning_opprinnelsesland;2006;00;144;alle;personer;12035;
befolkning_opprinnelsesland;2006;00;146;alle;personer;110;
befolkning_opprinnelsesland;2006;00;148;alle;personer;1389;
befolkning_opprinnelsesland;2006;00;152;alle;personer;1318;
befolkning_opprinnelsesland;2006;00;153;alle;personer;780;
befolkning_opprinnelsesland;2006;00;154;alle;personer;.;
befolkning_opprinnelsesland;2006;00;155;alle;personer;12718;
befolkning_opprinnelsesland;2006;00;156;alle;personer;2079;
befolkning_opprinnelsesland;2006;00;157;alle;personer;569;
befolkning_opprinnelsesland;2006;00;158;alle;personer;904;
befolkning_opprinnelsesland;2006;00;159;alle;personer;.;
befolkning_opprinnelsesland;2006;00;160;alle;personer;.;
befolkning_opprinnelsesland;2006;00;161;alle;personer;.;
befolkning_opprinnelsesland;2006;00;162;alle;personer;.;
befolkning_opprinnelsesland;2006;00;163;alle;personer;.;
befolkning_opprinnelsesland;2006;00;164;alle;personer;.;
befolkning_opprinnelsesland;2006;00;203;alle;personer;943;
befolkning_opprinnelsesland;2006;00;204;alle;personer;248;
befolkning_opprinnelsesland;2006;00;205;alle;personer;62;
befolkning_opprinnelsesland;2006;00;209;alle;personer;:;
befolkning_opprinnelsesland;2006;00;213;alle;personer;:;
befolkning_opprinnelsesland;2006;00;216;alle;personer;706;
befolkning_opprinnelsesland;2006;00;220;alle;personer;5;
befolkning_opprinnelsesland;2006;00;229;alle;personer;11;
befolkning_opprinnelsesland;2006;00;235;alle;personer;:;
befolkning_opprinnelsesland;2006;00;239;alle;personer;144;
befolkning_opprinnelsesland;2006;00;241;alle;personer;1947;
befolkning_opprinnelsesland;2006;00;246;alle;personer;2670;
befolkning_opprinnelsesland;2006;00;249;alle;personer;505;
befolkning_opprinnelsesland;2006;00;250;alle;personer;14;
befolkning_opprinnelsesland;2006;00;254;alle;personer;4;
befolkning_opprinnelsesland;2006;00;256;alle;personer;908;
befolkning_opprinnelsesland;2006;00;260;alle;personer;1256;
befolkning_opprinnelsesland;2006;00;264;alle;personer;69;
befolkning_opprinnelsesland;2006;00;266;alle;personer;11;
befolkning_opprinnelsesland;2006;00;270;alle;personer;265;
befolkning_opprinnelsesland;2006;00;273;alle;personer;278;
befolkning_opprinnelsesland;2006;00;276;alle;personer;837;
befolkning_opprinnelsesland;2006;00;278;alle;personer;177;
befolkning_opprinnelsesland;2006;00;279;alle;personer;940;
befolkning_opprinnelsesland;2006;00;281;alle;personer;6;
befolkning_opprinnelsesland;2006;00;283;alle;personer;877;
befolkning_opprinnelsesland;2006;00;286;alle;personer;190;
befolkning_opprinnelsesland;2006;00;289;alle;personer;162;
befolkning_opprinnelsesland;2006;00;296;alle;personer;57;
befolkning_opprinnelsesland;2006;00;299;alle;personer;20;
befolkning_opprinnelsesland;2006;00;303;alle;personer;4418;
befolkning_opprinnelsesland;2006;00;304;alle;personer;5;
befolkning_opprinnelsesland;2006;00;306;alle;personer;11;
befolkning_opprinnelsesland;2006;00;307;alle;personer;149;
befolkning_opprinnelsesland;2006;00;308;alle;personer;61;
befolkning_opprinnelsesland;2006;00;309;alle;personer;27;
befolkning_opprinnelsesland;2006;00;313;alle;personer;598;
befolkning_opprinnelsesland;2006;00;319;alle;personer;86;
befolkning_opprinnelsesland;2006;00;322;alle;personer;.;
befolkning_opprinnelsesland;2006;00;323;alle;personer;:;
befolkning_opprinnelsesland;2006;00;326;alle;personer;143;
befolkning_opprinnelsesland;2006;00;329;alle;personer;369;
befolkning_opprinnelsesland;2006;00;333;alle;personer;.;
befolkning_opprinnelsesland;2006;00;336;alle;personer;100;
befolkning_opprinnelsesland;2006;00;337;alle;personer;:;
befolkning_opprinnelsesland;2006;00;338;alle;personer;11;
befolkning_opprinnelsesland;2006;00;339;alle;personer;392;
befolkning_opprinnelsesland;2006;00;346;alle;personer;13712;
befolkning_opprinnelsesland;2006;00;355;alle;personer;.;
befolkning_opprinnelsesland;2006;00;356;alle;personer;700;
befolkning_opprinnelsesland;2006;00;357;alle;personer;6;
befolkning_opprinnelsesland;2006;00;359;alle;personer;540;
befolkning_opprinnelsesland;2006;00;369;alle;personer;501;
befolkning_opprinnelsesland;2006;00;373;alle;personer;17;
befolkning_opprinnelsesland;2006;00;376;alle;personer;71;
befolkning_opprinnelsesland;2006;00;379;alle;personer;672;
befolkning_opprinnelsesland;2006;00;386;alle;personer;636;
befolkning_opprinnelsesland;2006;00;389;alle;personer;204;
befolkning_opprinnelsesland;2006;00;393;alle;personer;14;
befolkning_opprinnelsesland;2006;00;404;alle;personer;5956;
