"aar","bydel_nr","vreg_2","kjonn","enhet","tabellvariabel","tabell_navn","vreg_5","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
"2014","000301","1","0","personer","25087","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","000301","1","1","personer","32461","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","000301","1","alle","personer","57548","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","000301","2","0","personer","47323","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","000301","2","1","personer","46851","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","000301","2","alle","personer","94174","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","65836","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","54902","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","22739","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","2718","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","5487","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","18620","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","13230","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","22963","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","11023","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","2718","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","54902","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","22739","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","000301","NULL","alle","personer","5487","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030101","1","0","personer","2018","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030101","1","1","personer","2859","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030101","1","alle","personer","4877","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030101","2","0","personer","4434","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030101","2","1","personer","4934","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030101","2","alle","personer","9368","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","5596","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","4804","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","3014","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","232","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","595","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","1849","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","988","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","1807","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","952","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","232","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","4804","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","3014","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030101","NULL","alle","personer","595","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030102","1","0","personer","2727","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
