tabell_navn;aar;kommune_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;0101;1;alle;person;1467;
befolkning_verdensregion;2015;0101;2;alle;person;1629;
befolkning_verdensregion;2015;0101;1;1;person;783;
befolkning_verdensregion;2015;0101;2;1;person;758;
befolkning_verdensregion;2015;0101;1;0;person;684;
befolkning_verdensregion;2015;0101;2;0;person;871;
befolkning_verdensregion;2015;0104;1;alle;person;2003;
befolkning_verdensregion;2015;0104;2;alle;person;2827;
befolkning_verdensregion;2015;0104;1;1;person;1139;
befolkning_verdensregion;2015;0104;2;1;person;1348;
befolkning_verdensregion;2015;0104;1;0;person;864;
befolkning_verdensregion;2015;0104;2;0;person;1479;
befolkning_verdensregion;2015;0105;1;alle;person;2705;
befolkning_verdensregion;2015;0105;2;alle;person;4379;
befolkning_verdensregion;2015;0105;1;1;person;1568;
befolkning_verdensregion;2015;0105;2;1;person;2096;
befolkning_verdensregion;2015;0105;1;0;person;1137;
befolkning_verdensregion;2015;0105;2;0;person;2283;
befolkning_verdensregion;2015;0106;1;alle;person;3856;
befolkning_verdensregion;2015;0106;2;alle;person;5844;
befolkning_verdensregion;2015;0106;1;1;person;2197;
befolkning_verdensregion;2015;0106;2;1;person;2844;
befolkning_verdensregion;2015;0106;1;0;person;1659;
befolkning_verdensregion;2015;0106;2;0;person;3000;
befolkning_verdensregion;2015;0111;1;alle;person;146;
befolkning_verdensregion;2015;0111;2;alle;person;105;
befolkning_verdensregion;2015;0111;1;1;person;78;
befolkning_verdensregion;2015;0111;2;1;person;36;
befolkning_verdensregion;2015;0111;1;0;person;68;
befolkning_verdensregion;2015;0111;2;0;person;69;
befolkning_verdensregion;2015;0118;1;alle;person;31;
befolkning_verdensregion;2015;0118;2;alle;person;15;
befolkning_verdensregion;2015;0118;1;1;person;16;
befolkning_verdensregion;2015;0118;2;1;person;0;
befolkning_verdensregion;2015;0118;1;0;person;15;
befolkning_verdensregion;2015;0118;2;0;person;15;
befolkning_verdensregion;2015;0119;1;alle;person;176;
befolkning_verdensregion;2015;0119;2;alle;person;108;
befolkning_verdensregion;2015;0119;1;1;person;79;
befolkning_verdensregion;2015;0119;2;1;person;55;
befolkning_verdensregion;2015;0119;1;0;person;97;
befolkning_verdensregion;2015;0119;2;0;person;53;
befolkning_verdensregion;2015;0121;1;alle;person;44;
befolkning_verdensregion;2015;0121;2;alle;person;6;
befolkning_verdensregion;2015;0121;1;1;person;20;
befolkning_verdensregion;2015;0121;2;1;person;3;
befolkning_verdensregion;2015;0121;1;0;person;24;
befolkning_verdensregion;2015;0121;2;0;person;3;
befolkning_verdensregion;2015;0122;1;alle;person;343;
befolkning_verdensregion;2015;0122;2;alle;person;147;
befolkning_verdensregion;2015;0122;1;1;person;206;
befolkning_verdensregion;2015;0122;2;1;person;61;
befolkning_verdensregion;2015;0122;1;0;person;137;
befolkning_verdensregion;2015;0122;2;0;person;86;
befolkning_verdensregion;2015;0123;1;alle;person;294;
befolkning_verdensregion;2015;0123;2;alle;person;307;
befolkning_verdensregion;2015;0123;1;1;person;173;
befolkning_verdensregion;2015;0123;2;1;person;145;
befolkning_verdensregion;2015;0123;1;0;person;121;
befolkning_verdensregion;2015;0123;2;0;person;162;
befolkning_verdensregion;2015;0124;1;alle;person;929;
befolkning_verdensregion;2015;0124;2;alle;person;1439;
befolkning_verdensregion;2015;0124;1;1;person;534;
befolkning_verdensregion;2015;0124;2;1;person;682;
befolkning_verdensregion;2015;0124;1;0;person;395;
befolkning_verdensregion;2015;0124;2;0;person;757;
befolkning_verdensregion;2015;0125;1;alle;person;783;
befolkning_verdensregion;2015;0125;2;alle;person;704;
befolkning_verdensregion;2015;0125;1;1;person;435;
befolkning_verdensregion;2015;0125;2;1;person;338;
befolkning_verdensregion;2015;0125;1;0;person;348;
befolkning_verdensregion;2015;0125;2;0;person;366;
befolkning_verdensregion;2015;0127;1;alle;person;236;
befolkning_verdensregion;2015;0127;2;alle;person;108;
befolkning_verdensregion;2015;0127;1;1;person;148;
befolkning_verdensregion;2015;0127;2;1;person;44;
befolkning_verdensregion;2015;0127;1;0;person;88;
befolkning_verdensregion;2015;0127;2;0;person;64;
befolkning_verdensregion;2015;0128;1;alle;person;476;
befolkning_verdensregion;2015;0128;2;alle;person;390;
befolkning_verdensregion;2015;0128;1;1;person;298;
befolkning_verdensregion;2015;0128;2;1;person;187;
befolkning_verdensregion;2015;0128;1;0;person;178;
befolkning_verdensregion;2015;0128;2;0;person;203;
befolkning_verdensregion;2015;0135;1;alle;person;466;
befolkning_verdensregion;2015;0135;2;alle;person;234;
befolkning_verdensregion;2015;0135;1;1;person;308;
befolkning_verdensregion;2015;0135;2;1;person;100;
befolkning_verdensregion;2015;0135;1;0;person;158;
befolkning_verdensregion;2015;0135;2;0;person;134;
befolkning_verdensregion;2015;0136;1;alle;person;877;
befolkning_verdensregion;2015;0136;2;alle;person;692;
befolkning_verdensregion;2015;0136;1;1;person;507;
befolkning_verdensregion;2015;0136;2;1;person;306;
befolkning_verdensregion;2015;0136;1;0;person;370;
befolkning_verdensregion;2015;0136;2;0;person;386;
befolkning_verdensregion;2015;0137;1;alle;person;406;
befolkning_verdensregion;2015;0137;2;alle;person;126;
befolkning_verdensregion;2015;0137;1;1;person;235;
befolkning_verdensregion;2015;0137;2;1;person;53;
befolkning_verdensregion;2015;0137;1;0;person;171;
befolkning_verdensregion;2015;0137;2;0;person;73;
befolkning_verdensregion;2015;0138;1;alle;person;477;
befolkning_verdensregion;2015;0138;2;alle;person;252;
befolkning_verdensregion;2015;0138;1;1;person;279;
befolkning_verdensregion;2015;0138;2;1;person;113;
befolkning_verdensregion;2015;0138;1;0;person;198;
befolkning_verdensregion;2015;0138;2;0;person;139;
befolkning_verdensregion;2015;0211;1;alle;person;1052;
befolkning_verdensregion;2015;0211;2;alle;person;931;
befolkning_verdensregion;2015;0211;1;1;person;625;
