tabell_navn;aar;naringsregion_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;01;norden;alle;person;556;
befolkning_verdensregion;2015;01;vest_europa;alle;person;285;
befolkning_verdensregion;2015;01;eu_ost_europa;alle;person;594;
befolkning_verdensregion;2015;01;ost_europa_ellers;alle;person;562;
befolkning_verdensregion;2015;01;nord_amerika_oseania;alle;person;30;
befolkning_verdensregion;2015;01;asia;alle;person;625;
befolkning_verdensregion;2015;01;afrika;alle;person;404;
befolkning_verdensregion;2015;01;sor_og_mellom_amerika;alle;person;40;
befolkning_verdensregion;2015;01;alle;alle;person;3096;
befolkning_verdensregion;2015;02;norden;alle;person;802;
befolkning_verdensregion;2015;02;vest_europa;alle;person;490;
befolkning_verdensregion;2015;02;eu_ost_europa;alle;person;2426;
befolkning_verdensregion;2015;02;ost_europa_ellers;alle;person;914;
befolkning_verdensregion;2015;02;nord_amerika_oseania;alle;person;70;
befolkning_verdensregion;2015;02;asia;alle;person;1837;
befolkning_verdensregion;2015;02;afrika;alle;person;576;
befolkning_verdensregion;2015;02;sor_og_mellom_amerika;alle;person;150;
befolkning_verdensregion;2015;02;alle;alle;person;7265;
befolkning_verdensregion;2015;03;norden;alle;person;960;
befolkning_verdensregion;2015;03;vest_europa;alle;person;578;
befolkning_verdensregion;2015;03;eu_ost_europa;alle;person;2116;
befolkning_verdensregion;2015;03;ost_europa_ellers;alle;person;669;
befolkning_verdensregion;2015;03;nord_amerika_oseania;alle;person;97;
befolkning_verdensregion;2015;03;asia;alle;person;2247;
befolkning_verdensregion;2015;03;afrika;alle;person;777;
befolkning_verdensregion;2015;03;sor_og_mellom_amerika;alle;person;187;
befolkning_verdensregion;2015;03;alle;alle;person;7631;
befolkning_verdensregion;2015;04;norden;alle;person;1914;
befolkning_verdensregion;2015;04;vest_europa;alle;person;963;
befolkning_verdensregion;2015;04;eu_ost_europa;alle;person;3644;
befolkning_verdensregion;2015;04;ost_europa_ellers;alle;person;2788;
befolkning_verdensregion;2015;04;nord_amerika_oseania;alle;person;180;
befolkning_verdensregion;2015;04;asia;alle;person;5333;
befolkning_verdensregion;2015;04;afrika;alle;person;1936;
befolkning_verdensregion;2015;04;sor_og_mellom_amerika;alle;person;276;
befolkning_verdensregion;2015;04;alle;alle;person;17034;
befolkning_verdensregion;2015;05;norden;alle;person;4079;
befolkning_verdensregion;2015;05;vest_europa;alle;person;3477;
befolkning_verdensregion;2015;05;eu_ost_europa;alle;person;7316;
befolkning_verdensregion;2015;05;ost_europa_ellers;alle;person;2117;
befolkning_verdensregion;2015;05;nord_amerika_oseania;alle;person;884;
befolkning_verdensregion;2015;05;asia;alle;person;8293;
befolkning_verdensregion;2015;05;afrika;alle;person;2399;
befolkning_verdensregion;2015;05;sor_og_mellom_amerika;alle;person;810;
befolkning_verdensregion;2015;05;alle;alle;person;29375;
befolkning_verdensregion;2015;06;norden;alle;person;2756;
befolkning_verdensregion;2015;06;vest_europa;alle;person;2148;
befolkning_verdensregion;2015;06;eu_ost_europa;alle;person;3873;
befolkning_verdensregion;2015;06;ost_europa_ellers;alle;person;1413;
befolkning_verdensregion;2015;06;nord_amerika_oseania;alle;person;397;
befolkning_verdensregion;2015;06;asia;alle;person;4216;
befolkning_verdensregion;2015;06;afrika;alle;person;1815;
befolkning_verdensregion;2015;06;sor_og_mellom_amerika;alle;person;526;
befolkning_verdensregion;2015;06;alle;alle;person;17144;
befolkning_verdensregion;2015;07;norden;alle;person;2757;
befolkning_verdensregion;2015;07;vest_europa;alle;person;1927;
befolkning_verdensregion;2015;07;eu_ost_europa;alle;person;6891;
befolkning_verdensregion;2015;07;ost_europa_ellers;alle;person;1699;
befolkning_verdensregion;2015;07;nord_amerika_oseania;alle;person;252;
befolkning_verdensregion;2015;07;asia;alle;person;10447;
befolkning_verdensregion;2015;07;afrika;alle;person;1852;
befolkning_verdensregion;2015;07;sor_og_mellom_amerika;alle;person;570;
befolkning_verdensregion;2015;07;alle;alle;person;26395;
befolkning_verdensregion;2015;08;norden;alle;person;1758;
befolkning_verdensregion;2015;08;vest_europa;alle;person;988;
befolkning_verdensregion;2015;08;eu_ost_europa;alle;person;4158;
befolkning_verdensregion;2015;08;ost_europa_ellers;alle;person;1026;
befolkning_verdensregion;2015;08;nord_amerika_oseania;alle;person;142;
befolkning_verdensregion;2015;08;asia;alle;person;3431;
befolkning_verdensregion;2015;08;afrika;alle;person;729;
befolkning_verdensregion;2015;08;sor_og_mellom_amerika;alle;person;358;
befolkning_verdensregion;2015;08;alle;alle;person;12590;
befolkning_verdensregion;2015;09;norden;alle;person;18771;
befolkning_verdensregion;2015;09;vest_europa;alle;person;14418;
befolkning_verdensregion;2015;09;eu_ost_europa;alle;person;25091;
befolkning_verdensregion;2015;09;ost_europa_ellers;alle;person;11710;
befolkning_verdensregion;2015;09;nord_amerika_oseania;alle;person;2849;
befolkning_verdensregion;2015;09;asia;alle;person;56538;
befolkning_verdensregion;2015;09;afrika;alle;person;23664;
befolkning_verdensregion;2015;09;sor_og_mellom_amerika;alle;person;5755;
befolkning_verdensregion;2015;09;alle;alle;person;158796;
befolkning_verdensregion;2015;10;norden;alle;person;106;
befolkning_verdensregion;2015;10;vest_europa;alle;person;193;
befolkning_verdensregion;2015;10;eu_ost_europa;alle;person;396;
befolkning_verdensregion;2015;10;ost_europa_ellers;alle;person;69;
befolkning_verdensregion;2015;10;nord_amerika_oseania;alle;person;11;
befolkning_verdensregion;2015;10;asia;alle;person;197;
befolkning_verdensregion;2015;10;afrika;alle;person;175;
befolkning_verdensregion;2015;10;sor_og_mellom_amerika;alle;person;21;
befolkning_verdensregion;2015;10;alle;alle;person;1168;
befolkning_verdensregion;2015;11;norden;alle;person;726;
befolkning_verdensregion;2015;11;vest_europa;alle;person;307;
befolkning_verdensregion;2015;11;eu_ost_europa;alle;person;863;
befolkning_verdensregion;2015;11;ost_europa_ellers;alle;person;334;
befolkning_verdensregion;2015;11;nord_amerika_oseania;alle;person;40;
befolkning_verdensregion;2015;11;asia;alle;person;1048;
befolkning_verdensregion;2015;11;afrika;alle;person;489;
befolkning_verdensregion;2015;11;sor_og_mellom_amerika;alle;person;103;
befolkning_verdensregion;2015;11;alle;alle;person;3910;
