"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"01","bosatt","personer","22","bosatt_anmodede","2014"
"02","bosatt","personer","35","bosatt_anmodede","2014"
"03","bosatt","personer","42","bosatt_anmodede","2014"
"04","bosatt","personer","130","bosatt_anmodede","2014"
"05","bosatt","personer","164","bosatt_anmodede","2014"
"06","bosatt","personer","181","bosatt_anmodede","2014"
"07","bosatt","personer","153","bosatt_anmodede","2014"
"08","bosatt","personer","92","bosatt_anmodede","2014"
"09","bosatt","personer","495","bosatt_anmodede","2014"
"10","bosatt","personer","51","bosatt_anmodede","2014"
"11","bosatt","personer","55","bosatt_anmodede","2014"
"12","bosatt","personer","123","bosatt_anmodede","2014"
"13","bosatt","personer","60","bosatt_anmodede","2014"
"14","bosatt","personer","111","bosatt_anmodede","2014"
"15","bosatt","personer","83","bosatt_anmodede","2014"
"16","bosatt","personer","63","bosatt_anmodede","2014"
"17","bosatt","personer","30","bosatt_anmodede","2014"
"18","bosatt","personer","59","bosatt_anmodede","2014"
"19","bosatt","personer","31","bosatt_anmodede","2014"
"20","bosatt","personer","261","bosatt_anmodede","2014"
"21","bosatt","personer","56","bosatt_anmodede","2014"
"22","bosatt","personer","53","bosatt_anmodede","2014"
"23","bosatt","personer","24","bosatt_anmodede","2014"
"24","bosatt","personer","34","bosatt_anmodede","2014"
"25","bosatt","personer","167","bosatt_anmodede","2014"
"26","bosatt","personer","99","bosatt_anmodede","2014"
"27","bosatt","personer","240","bosatt_anmodede","2014"
"28","bosatt","personer","47","bosatt_anmodede","2014"
"29","bosatt","personer","77","bosatt_anmodede","2014"
"30","bosatt","personer","24","bosatt_anmodede","2014"
"31","bosatt","personer","30","bosatt_anmodede","2014"
"32","bosatt","personer","200","bosatt_anmodede","2014"
"33","bosatt","personer","97","bosatt_anmodede","2014"
"34","bosatt","personer","73","bosatt_anmodede","2014"
"35","bosatt","personer","332","bosatt_anmodede","2014"
"36","bosatt","personer","51","bosatt_anmodede","2014"
"37","bosatt","personer","125","bosatt_anmodede","2014"
"38","bosatt","personer","47","bosatt_anmodede","2014"
"39","bosatt","personer","341","bosatt_anmodede","2014"
"40","bosatt","personer","323","bosatt_anmodede","2014"
"41","bosatt","personer","17","bosatt_anmodede","2014"
"42","bosatt","personer","48","bosatt_anmodede","2014"
"43","bosatt","personer","34","bosatt_anmodede","2014"
"44","bosatt","personer","59","bosatt_anmodede","2014"
"45","bosatt","personer","12","bosatt_anmodede","2014"
"46","bosatt","personer","86","bosatt_anmodede","2014"
"47","bosatt","personer","73","bosatt_anmodede","2014"
"48","bosatt","personer","17","bosatt_anmodede","2014"
"49","bosatt","personer","73","bosatt_anmodede","2014"
"50","bosatt","personer","73","bosatt_anmodede","2014"
"51","bosatt","personer","66","bosatt_anmodede","2014"
"52","bosatt","personer","130","bosatt_anmodede","2014"
"53","bosatt","personer","130","bosatt_anmodede","2014"
"54","bosatt","personer","9","bosatt_anmodede","2014"
"55","bosatt","personer","87","bosatt_anmodede","2014"
