"aar","fylke_id","bosetting","enhet","tabellvariabel","tabell_navn","kommune_id","naringsregion_id","bydel_id"
"2012","01","anmodning","personer","425","bosetting","NULL","NULL","NULL"
"2012","01","vedtak","personer","201","bosetting","NULL","NULL","NULL"
"2012","01","bosatt","personer","197","bosetting","NULL","NULL","NULL"
"2012","01","bosatt_per_1000","promille","0.7","bosetting","NULL","NULL","NULL"
"2012","01","bosatt_av_anmodede","prosent","46.35","bosetting","NULL","NULL","NULL"
"2012","01","bosatt_av_vedtak","prosent","98.01","bosetting","NULL","NULL","NULL"
"2012","01","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","01","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","02","anmodning","personer","764","bosetting","NULL","NULL","NULL"
"2012","02","vedtak","personer","525","bosetting","NULL","NULL","NULL"
"2012","02","bosatt","personer","426","bosetting","NULL","NULL","NULL"
"2012","02","bosatt_per_1000","promille","0.75","bosetting","NULL","NULL","NULL"
"2012","02","bosatt_av_anmodede","prosent","55.76","bosetting","NULL","NULL","NULL"
"2012","02","bosatt_av_vedtak","prosent","81.14","bosetting","NULL","NULL","NULL"
"2012","02","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","02","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","03","anmodning","personer","450","bosetting","NULL","NULL","NULL"
"2012","03","vedtak","personer","410","bosetting","NULL","NULL","NULL"
"2012","03","bosatt","personer","459","bosetting","NULL","NULL","NULL"
"2012","03","bosatt_per_1000","promille","0.74","bosetting","NULL","NULL","NULL"
"2012","03","bosatt_av_anmodede","prosent","102","bosetting","NULL","NULL","NULL"
"2012","03","bosatt_av_vedtak","prosent","111.95","bosetting","NULL","NULL","NULL"
"2012","03","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","03","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","04","anmodning","personer","366","bosetting","NULL","NULL","NULL"
"2012","04","vedtak","personer","265","bosetting","NULL","NULL","NULL"
"2012","04","bosatt","personer","187","bosetting","NULL","NULL","NULL"
"2012","04","bosatt_per_1000","promille","0.97","bosetting","NULL","NULL","NULL"
"2012","04","bosatt_av_anmodede","prosent","51.09","bosetting","NULL","NULL","NULL"
"2012","04","bosatt_av_vedtak","prosent","70.57","bosetting","NULL","NULL","NULL"
"2012","04","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","04","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","05","anmodning","personer","427","bosetting","NULL","NULL","NULL"
"2012","05","vedtak","personer","317","bosetting","NULL","NULL","NULL"
"2012","05","bosatt","personer","297","bosetting","NULL","NULL","NULL"
"2012","05","bosatt_per_1000","promille","1.59","bosetting","NULL","NULL","NULL"
"2012","05","bosatt_av_anmodede","prosent","69.56","bosetting","NULL","NULL","NULL"
"2012","05","bosatt_av_vedtak","prosent","93.69","bosetting","NULL","NULL","NULL"
"2012","05","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","05","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","06","anmodning","personer","499","bosetting","NULL","NULL","NULL"
"2012","06","vedtak","personer","390","bosetting","NULL","NULL","NULL"
"2012","06","bosatt","personer","354","bosetting","NULL","NULL","NULL"
"2012","06","bosatt_per_1000","promille","1.32","bosetting","NULL","NULL","NULL"
"2012","06","bosatt_av_anmodede","prosent","70.94","bosetting","NULL","NULL","NULL"
"2012","06","bosatt_av_vedtak","prosent","90.77","bosetting","NULL","NULL","NULL"
"2012","06","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","06","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","07","anmodning","personer","395","bosetting","NULL","NULL","NULL"
"2012","07","vedtak","personer","216","bosetting","NULL","NULL","NULL"
"2012","07","bosatt","personer","192","bosetting","NULL","NULL","NULL"
"2012","07","bosatt_per_1000","promille","0.8","bosetting","NULL","NULL","NULL"
"2012","07","bosatt_av_anmodede","prosent","48.61","bosetting","NULL","NULL","NULL"
"2012","07","bosatt_av_vedtak","prosent","88.89","bosetting","NULL","NULL","NULL"
"2012","07","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","07","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","08","anmodning","personer","445","bosetting","NULL","NULL","NULL"
"2012","08","vedtak","personer","347","bosetting","NULL","NULL","NULL"
"2012","08","bosatt","personer","339","bosetting","NULL","NULL","NULL"
"2012","08","bosatt_per_1000","promille","1.98","bosetting","NULL","NULL","NULL"
"2012","08","bosatt_av_anmodede","prosent","76.18","bosetting","NULL","NULL","NULL"
"2012","08","bosatt_av_vedtak","prosent","97.69","bosetting","NULL","NULL","NULL"
"2012","08","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","08","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","09","anmodning","personer","305","bosetting","NULL","NULL","NULL"
"2012","09","vedtak","personer","191","bosetting","NULL","NULL","NULL"
"2012","09","bosatt","personer","175","bosetting","NULL","NULL","NULL"
"2012","09","bosatt_per_1000","promille","1.55","bosetting","NULL","NULL","NULL"
"2012","09","bosatt_av_anmodede","prosent","57.38","bosetting","NULL","NULL","NULL"
"2012","09","bosatt_av_vedtak","prosent","91.62","bosetting","NULL","NULL","NULL"
"2012","09","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","09","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","10","anmodning","personer","450","bosetting","NULL","NULL","NULL"
"2012","10","vedtak","personer","330","bosetting","NULL","NULL","NULL"
"2012","10","bosatt","personer","283","bosetting","NULL","NULL","NULL"
"2012","10","bosatt_per_1000","promille","1.6","bosetting","NULL","NULL","NULL"
"2012","10","bosatt_av_anmodede","prosent","62.89","bosetting","NULL","NULL","NULL"
"2012","10","bosatt_av_vedtak","prosent","85.76","bosetting","NULL","NULL","NULL"
"2012","10","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","10","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","11","anmodning","personer","694","bosetting","NULL","NULL","NULL"
"2012","11","vedtak","personer","456","bosetting","NULL","NULL","NULL"
"2012","11","bosatt","personer","456","bosetting","NULL","NULL","NULL"
"2012","11","bosatt_per_1000","promille","1.01","bosetting","NULL","NULL","NULL"
"2012","11","bosatt_av_anmodede","prosent","65.71","bosetting","NULL","NULL","NULL"
"2012","11","bosatt_av_vedtak","prosent","100","bosetting","NULL","NULL","NULL"
"2012","11","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","11","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","12","anmodning","personer","834","bosetting","NULL","NULL","NULL"
"2012","12","vedtak","personer","441","bosetting","NULL","NULL","NULL"
"2012","12","bosatt","personer","464","bosetting","NULL","NULL","NULL"
"2012","12","bosatt_per_1000","promille","0.93","bosetting","NULL","NULL","NULL"
"2012","12","bosatt_av_anmodede","prosent","55.64","bosetting","NULL","NULL","NULL"
"2012","12","bosatt_av_vedtak","prosent","105.22","bosetting","NULL","NULL","NULL"
"2012","12","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","12","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","14","anmodning","personer","390","bosetting","NULL","NULL","NULL"
"2012","14","vedtak","personer","117","bosetting","NULL","NULL","NULL"
"2012","14","bosatt","personer","109","bosetting","NULL","NULL","NULL"
"2012","14","bosatt_per_1000","promille","1","bosetting","NULL","NULL","NULL"
"2012","14","bosatt_av_anmodede","prosent","27.95","bosetting","NULL","NULL","NULL"
"2012","14","bosatt_av_vedtak","prosent","93.16","bosetting","NULL","NULL","NULL"
"2012","14","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","14","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","15","anmodning","personer","435","bosetting","NULL","NULL","NULL"
"2012","15","vedtak","personer","321","bosetting","NULL","NULL","NULL"
"2012","15","bosatt","personer","284","bosetting","NULL","NULL","NULL"
"2012","15","bosatt_per_1000","promille","1.09","bosetting","NULL","NULL","NULL"
"2012","15","bosatt_av_anmodede","prosent","65.29","bosetting","NULL","NULL","NULL"
"2012","15","bosatt_av_vedtak","prosent","88.47","bosetting","NULL","NULL","NULL"
"2012","15","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","15","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","16","anmodning","personer","436","bosetting","NULL","NULL","NULL"
"2012","16","vedtak","personer","358","bosetting","NULL","NULL","NULL"
"2012","16","bosatt","personer","339","bosetting","NULL","NULL","NULL"
"2012","16","bosatt_per_1000","promille","1.12","bosetting","NULL","NULL","NULL"
"2012","16","bosatt_av_anmodede","prosent","77.75","bosetting","NULL","NULL","NULL"
"2012","16","bosatt_av_vedtak","prosent","94.69","bosetting","NULL","NULL","NULL"
"2012","16","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","16","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","17","anmodning","personer","286","bosetting","NULL","NULL","NULL"
"2012","17","vedtak","personer","251","bosetting","NULL","NULL","NULL"
"2012","17","bosatt","personer","263","bosetting","NULL","NULL","NULL"
"2012","17","bosatt_per_1000","promille","1.96","bosetting","NULL","NULL","NULL"
"2012","17","bosatt_av_anmodede","prosent","91.96","bosetting","NULL","NULL","NULL"
"2012","17","bosatt_av_vedtak","prosent","104.78","bosetting","NULL","NULL","NULL"
"2012","17","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","17","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","18","anmodning","personer","685","bosetting","NULL","NULL","NULL"
"2012","18","vedtak","personer","549","bosetting","NULL","NULL","NULL"
"2012","18","bosatt","personer","470","bosetting","NULL","NULL","NULL"
"2012","18","bosatt_per_1000","promille","1.96","bosetting","NULL","NULL","NULL"
"2012","18","bosatt_av_anmodede","prosent","68.61","bosetting","NULL","NULL","NULL"
"2012","18","bosatt_av_vedtak","prosent","85.61","bosetting","NULL","NULL","NULL"
"2012","18","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","18","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","19","anmodning","personer","305","bosetting","NULL","NULL","NULL"
"2012","19","vedtak","personer","233","bosetting","NULL","NULL","NULL"
"2012","19","bosatt","personer","293","bosetting","NULL","NULL","NULL"
"2012","19","bosatt_per_1000","promille","1.83","bosetting","NULL","NULL","NULL"
"2012","19","bosatt_av_anmodede","prosent","96.07","bosetting","NULL","NULL","NULL"
"2012","19","bosatt_av_vedtak","prosent","125.75","bosetting","NULL","NULL","NULL"
"2012","19","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","19","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","20","anmodning","personer","210","bosetting","NULL","NULL","NULL"
"2012","20","vedtak","personer","166","bosetting","NULL","NULL","NULL"
"2012","20","bosatt","personer","170","bosetting","NULL","NULL","NULL"
"2012","20","bosatt_per_1000","promille","2.28","bosetting","NULL","NULL","NULL"
"2012","20","bosatt_av_anmodede","prosent","80.95","bosetting","NULL","NULL","NULL"
"2012","20","bosatt_av_vedtak","prosent","102.41","bosetting","NULL","NULL","NULL"
"2012","20","bosatt_siste_trear","personer",".","bosetting","NULL","NULL","NULL"
"2012","20","bosatt_per_1000_snitt_trear","promille",".","bosetting","NULL","NULL","NULL"
"2012","99","anmodning","personer",".","bosetting","NULL","NULL","NULL"
"2012","99","vedtak","personer",".","bosetting","NULL","NULL","NULL"
"2012","99","bosatt","personer",".","bosetting","NULL","NULL","NULL"
"2012","99","bosatt_per_1000","promille",".","bosetting","NULL","NULL","NULL"
"2012","99","bosatt_av_anmodede","prosent",".","bosetting","NULL","NULL","NULL"
