aar,naringsregion_nr,innvkat_2,arbeidsalder_18_69,tabellvariabel,tabell_navn,enhet
2006,01,alle,18_29,2712,sysselsatte_innvkat_alder,personer
2006,01,alle,30_54,7516,sysselsatte_innvkat_alder,personer
2006,01,alle,55_69,2636,sysselsatte_innvkat_alder,personer
2006,01,alle,alle,13148,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,18_29,2507,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,30_54,7025,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,55_69,2511,sysselsatte_innvkat_alder,personer
2006,01,befolkningen_ellers,alle,12315,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,18_29,205,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,30_54,491,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,55_69,125,sysselsatte_innvkat_alder,personer
2006,01,innvandrere,alle,833,sysselsatte_innvkat_alder,personer
2006,02,alle,18_29,5583,sysselsatte_innvkat_alder,personer
2006,02,alle,30_54,15994,sysselsatte_innvkat_alder,personer
2006,02,alle,55_69,5610,sysselsatte_innvkat_alder,personer
2006,02,alle,alle,27998,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,18_29,5179,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,30_54,14768,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,55_69,5399,sysselsatte_innvkat_alder,personer
2006,02,befolkningen_ellers,alle,26138,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,18_29,404,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,30_54,1226,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,55_69,211,sysselsatte_innvkat_alder,personer
2006,02,innvandrere,alle,1860,sysselsatte_innvkat_alder,personer
2006,03,alle,18_29,5021,sysselsatte_innvkat_alder,personer
2006,03,alle,30_54,15645,sysselsatte_innvkat_alder,personer
2006,03,alle,55_69,5028,sysselsatte_innvkat_alder,personer
2006,03,alle,alle,26387,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,18_29,4588,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,30_54,14353,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,55_69,4753,sysselsatte_innvkat_alder,personer
2006,03,befolkningen_ellers,alle,24367,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,18_29,433,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,30_54,1292,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,55_69,275,sysselsatte_innvkat_alder,personer
2006,03,innvandrere,alle,2020,sysselsatte_innvkat_alder,personer
2006,04,alle,18_29,12321,sysselsatte_innvkat_alder,personer
2006,04,alle,30_54,35816,sysselsatte_innvkat_alder,personer
2006,04,alle,55_69,11073,sysselsatte_innvkat_alder,personer
2006,04,alle,alle,60562,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,18_29,11318,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,30_54,33124,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,55_69,10610,sysselsatte_innvkat_alder,personer
2006,04,befolkningen_ellers,alle,56348,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,18_29,1003,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,30_54,2692,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,55_69,463,sysselsatte_innvkat_alder,personer
2006,04,innvandrere,alle,4214,sysselsatte_innvkat_alder,personer
2006,05,alle,18_29,13827,sysselsatte_innvkat_alder,personer
2006,05,alle,30_54,50355,sysselsatte_innvkat_alder,personer
2006,05,alle,55_69,15542,sysselsatte_innvkat_alder,personer
2006,05,alle,alle,81884,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,18_29,11911,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,30_54,44104,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,55_69,14369,sysselsatte_innvkat_alder,personer
2006,05,befolkningen_ellers,alle,72443,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,18_29,1916,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,30_54,6251,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,55_69,1173,sysselsatte_innvkat_alder,personer
2006,05,innvandrere,alle,9441,sysselsatte_innvkat_alder,personer
2006,06,alle,18_29,10657,sysselsatte_innvkat_alder,personer
2006,06,alle,30_54,38503,sysselsatte_innvkat_alder,personer
2006,06,alle,55_69,12312,sysselsatte_innvkat_alder,personer
2006,06,alle,alle,62961,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,18_29,9680,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,30_54,34865,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,55_69,11514,sysselsatte_innvkat_alder,personer
2006,06,befolkningen_ellers,alle,57489,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,18_29,977,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,30_54,3638,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,55_69,798,sysselsatte_innvkat_alder,personer
2006,06,innvandrere,alle,5472,sysselsatte_innvkat_alder,personer
2006,07,alle,18_29,14702,sysselsatte_innvkat_alder,personer
2006,07,alle,30_54,48174,sysselsatte_innvkat_alder,personer
2006,07,alle,55_69,14340,sysselsatte_innvkat_alder,personer
2006,07,alle,alle,78892,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,18_29,13082,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,30_54,43167,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,55_69,13616,sysselsatte_innvkat_alder,personer
2006,07,befolkningen_ellers,alle,71474,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,18_29,1620,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,30_54,5007,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,55_69,724,sysselsatte_innvkat_alder,personer
2006,07,innvandrere,alle,7418,sysselsatte_innvkat_alder,personer
2006,08,alle,18_29,8284,sysselsatte_innvkat_alder,personer
2006,08,alle,30_54,26003,sysselsatte_innvkat_alder,personer
2006,08,alle,55_69,7555,sysselsatte_innvkat_alder,personer
2006,08,alle,alle,42976,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,18_29,7705,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,30_54,24167,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,55_69,7296,sysselsatte_innvkat_alder,personer
2006,08,befolkningen_ellers,alle,40279,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,18_29,579,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,30_54,1836,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,55_69,259,sysselsatte_innvkat_alder,personer
2006,08,innvandrere,alle,2697,sysselsatte_innvkat_alder,personer
2006,09,alle,18_29,75100,sysselsatte_innvkat_alder,personer
2006,09,alle,30_54,170103,sysselsatte_innvkat_alder,personer
2006,09,alle,55_69,43961,sysselsatte_innvkat_alder,personer
2006,09,alle,alle,293422,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,18_29,60340,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,30_54,136931,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,55_69,39651,sysselsatte_innvkat_alder,personer
2006,09,befolkningen_ellers,alle,240795,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,18_29,14760,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,30_54,33172,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,55_69,4310,sysselsatte_innvkat_alder,personer
2006,09,innvandrere,alle,52627,sysselsatte_innvkat_alder,personer
2006,10,alle,18_29,1514,sysselsatte_innvkat_alder,personer
2006,10,alle,30_54,4386,sysselsatte_innvkat_alder,personer
2006,10,alle,55_69,1766,sysselsatte_innvkat_alder,personer
2006,10,alle,alle,7972,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,18_29,1451,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,30_54,4189,sysselsatte_innvkat_alder,personer
2006,10,befolkningen_ellers,55_69,1726,sysselsatte_innvkat_alder,personer
