aar,fylke_nr,vreg_3,botid_5,tabellvariabel,tabell_navn,enhet
2006,00,1,0_4,27253,sysselsatte_botid_land,personer
2006,00,1,10+,38127,sysselsatte_botid_land,personer
2006,00,1,5_9,14513,sysselsatte_botid_land,personer
2006,00,1,alle,79893,sysselsatte_botid_land,personer
2006,00,2,0_4,22474,sysselsatte_botid_land,personer
2006,00,2,10+,56184,sysselsatte_botid_land,personer
2006,00,2,5_9,22860,sysselsatte_botid_land,personer
2006,00,2,alle,101518,sysselsatte_botid_land,personer
2006,00,alle,0_4,49727,sysselsatte_botid_land,personer
2006,00,alle,10+,94311,sysselsatte_botid_land,personer
2006,00,alle,5_9,37373,sysselsatte_botid_land,personer
2006,00,alle,alle,181411,sysselsatte_botid_land,personer
2006,01,1,0_4,1074,sysselsatte_botid_land,personer
2006,01,1,10+,2218,sysselsatte_botid_land,personer
2006,01,1,5_9,672,sysselsatte_botid_land,personer
2006,01,1,alle,3964,sysselsatte_botid_land,personer
2006,01,2,0_4,798,sysselsatte_botid_land,personer
2006,01,2,10+,2907,sysselsatte_botid_land,personer
2006,01,2,5_9,1258,sysselsatte_botid_land,personer
2006,01,2,alle,4963,sysselsatte_botid_land,personer
2006,01,alle,0_4,1872,sysselsatte_botid_land,personer
2006,01,alle,10+,5125,sysselsatte_botid_land,personer
2006,01,alle,5_9,1930,sysselsatte_botid_land,personer
2006,01,alle,alle,8927,sysselsatte_botid_land,personer
2006,02,1,0_4,3286,sysselsatte_botid_land,personer
2006,02,1,10+,6962,sysselsatte_botid_land,personer
2006,02,1,5_9,2265,sysselsatte_botid_land,personer
2006,02,1,alle,12513,sysselsatte_botid_land,personer
2006,02,2,0_4,2376,sysselsatte_botid_land,personer
2006,02,2,10+,7431,sysselsatte_botid_land,personer
2006,02,2,5_9,2708,sysselsatte_botid_land,personer
2006,02,2,alle,12515,sysselsatte_botid_land,personer
2006,02,alle,0_4,5662,sysselsatte_botid_land,personer
2006,02,alle,10+,14393,sysselsatte_botid_land,personer
