naringsregion_nr,vreg_3,botid_5,aar,tabellvariabel,tabellnavn,enhet
01,1,0_4,2006,79,sysselsatte_botid_land,personer
01,1,10+,2006,1134,sysselsatte_botid_land,personer
01,1,5_9,2006,83,sysselsatte_botid_land,personer
01,1,alle,2006,1296,sysselsatte_botid_land,personer
01,2,0_4,2006,56,sysselsatte_botid_land,personer
01,2,10+,2006,343,sysselsatte_botid_land,personer
01,2,5_9,2006,96,sysselsatte_botid_land,personer
01,2,alle,2006,495,sysselsatte_botid_land,personer
01,alle,0_4,2006,135,sysselsatte_botid_land,personer
01,alle,10+,2006,1477,sysselsatte_botid_land,personer
01,alle,5_9,2006,179,sysselsatte_botid_land,personer
01,alle,alle,2006,1791,sysselsatte_botid_land,personer
02,1,0_4,2006,254,sysselsatte_botid_land,personer
02,1,10+,2006,1551,sysselsatte_botid_land,personer
02,1,5_9,2006,148,sysselsatte_botid_land,personer
02,1,alle,2006,1953,sysselsatte_botid_land,personer
02,2,0_4,2006,177,sysselsatte_botid_land,personer
02,2,10+,2006,817,sysselsatte_botid_land,personer
02,2,5_9,2006,268,sysselsatte_botid_land,personer
02,2,alle,2006,1262,sysselsatte_botid_land,personer
02,alle,0_4,2006,431,sysselsatte_botid_land,personer
02,alle,10+,2006,2368,sysselsatte_botid_land,personer
02,alle,5_9,2006,416,sysselsatte_botid_land,personer
02,alle,alle,2006,3215,sysselsatte_botid_land,personer
03,1,0_4,2006,244,sysselsatte_botid_land,personer
03,1,10+,2006,1999,sysselsatte_botid_land,personer
03,1,5_9,2006,143,sysselsatte_botid_land,personer
03,1,alle,2006,2386,sysselsatte_botid_land,personer
03,2,0_4,2006,177,sysselsatte_botid_land,personer
03,2,10+,2006,1099,sysselsatte_botid_land,personer
03,2,5_9,2006,211,sysselsatte_botid_land,personer
03,2,alle,2006,1487,sysselsatte_botid_land,personer
03,alle,0_4,2006,421,sysselsatte_botid_land,personer
03,alle,10+,2006,3098,sysselsatte_botid_land,personer
03,alle,5_9,2006,354,sysselsatte_botid_land,personer
03,alle,alle,2006,3873,sysselsatte_botid_land,personer
04,1,0_4,2006,500,sysselsatte_botid_land,personer
04,1,10+,2006,3750,sysselsatte_botid_land,personer
04,1,5_9,2006,312,sysselsatte_botid_land,personer
04,1,alle,2006,4562,sysselsatte_botid_land,personer
04,2,0_4,2006,390,sysselsatte_botid_land,personer
04,2,10+,2006,1899,sysselsatte_botid_land,personer
04,2,5_9,2006,685,sysselsatte_botid_land,personer
04,2,alle,2006,2974,sysselsatte_botid_land,personer
04,alle,0_4,2006,890,sysselsatte_botid_land,personer
04,alle,10+,2006,5649,sysselsatte_botid_land,personer
04,alle,5_9,2006,997,sysselsatte_botid_land,personer
04,alle,alle,2006,7536,sysselsatte_botid_land,personer
05,1,0_4,2006,1585,sysselsatte_botid_land,personer
05,1,10+,2006,8735,sysselsatte_botid_land,personer
05,1,5_9,2006,915,sysselsatte_botid_land,personer
05,1,alle,2006,11235,sysselsatte_botid_land,personer
05,2,0_4,2006,849,sysselsatte_botid_land,personer
05,2,10+,2006,3649,sysselsatte_botid_land,personer
05,2,5_9,2006,932,sysselsatte_botid_land,personer
05,2,alle,2006,5430,sysselsatte_botid_land,personer
05,alle,0_4,2006,2434,sysselsatte_botid_land,personer
05,alle,10+,2006,12384,sysselsatte_botid_land,personer
05,alle,5_9,2006,1847,sysselsatte_botid_land,personer
05,alle,alle,2006,16665,sysselsatte_botid_land,personer
06,1,0_4,2006,562,sysselsatte_botid_land,personer
06,1,10+,2006,5483,sysselsatte_botid_land,personer
06,1,5_9,2006,500,sysselsatte_botid_land,personer
06,1,alle,2006,6545,sysselsatte_botid_land,personer
06,2,0_4,2006,561,sysselsatte_botid_land,personer
06,2,10+,2006,2219,sysselsatte_botid_land,personer
06,2,5_9,2006,556,sysselsatte_botid_land,personer
06,2,alle,2006,3336,sysselsatte_botid_land,personer
06,alle,0_4,2006,1123,sysselsatte_botid_land,personer
06,alle,10+,2006,7702,sysselsatte_botid_land,personer
06,alle,5_9,2006,1056,sysselsatte_botid_land,personer
06,alle,alle,2006,9881,sysselsatte_botid_land,personer
07,1,0_4,2006,769,sysselsatte_botid_land,personer
07,1,10+,2006,4789,sysselsatte_botid_land,personer
07,1,5_9,2006,597,sysselsatte_botid_land,personer
07,1,alle,2006,6155,sysselsatte_botid_land,personer
07,2,0_4,2006,669,sysselsatte_botid_land,personer
07,2,10+,2006,4132,sysselsatte_botid_land,personer
07,2,5_9,2006,873,sysselsatte_botid_land,personer
07,2,alle,2006,5674,sysselsatte_botid_land,personer
07,alle,0_4,2006,1438,sysselsatte_botid_land,personer
07,alle,10+,2006,8921,sysselsatte_botid_land,personer
07,alle,5_9,2006,1470,sysselsatte_botid_land,personer
07,alle,alle,2006,11829,sysselsatte_botid_land,personer
08,1,0_4,2006,380,sysselsatte_botid_land,personer
08,1,10+,2006,2196,sysselsatte_botid_land,personer
08,1,5_9,2006,287,sysselsatte_botid_land,personer
08,1,alle,2006,2863,sysselsatte_botid_land,personer
08,2,0_4,2006,297,sysselsatte_botid_land,personer
08,2,10+,2006,1072,sysselsatte_botid_land,personer
08,2,5_9,2006,349,sysselsatte_botid_land,personer
08,2,alle,2006,1718,sysselsatte_botid_land,personer
08,alle,0_4,2006,677,sysselsatte_botid_land,personer
08,alle,10+,2006,3268,sysselsatte_botid_land,personer
08,alle,5_9,2006,636,sysselsatte_botid_land,personer
08,alle,alle,2006,4581,sysselsatte_botid_land,personer
09,1,0_4,2006,7008,sysselsatte_botid_land,personer
09,1,10+,2006,25172,sysselsatte_botid_land,personer
09,1,5_9,2006,3626,sysselsatte_botid_land,personer
09,1,alle,2006,35806,sysselsatte_botid_land,personer
09,2,0_4,2006,6145,sysselsatte_botid_land,personer
09,2,10+,2006,30044,sysselsatte_botid_land,personer
09,2,5_9,2006,6928,sysselsatte_botid_land,personer
09,2,alle,2006,43117,sysselsatte_botid_land,personer
09,alle,0_4,2006,13153,sysselsatte_botid_land,personer
09,alle,10+,2006,55216,sysselsatte_botid_land,personer
09,alle,5_9,2006,10554,sysselsatte_botid_land,personer
09,alle,alle,2006,78923,sysselsatte_botid_land,personer
10,1,0_4,2006,43,sysselsatte_botid_land,personer
10,1,10+,2006,214,sysselsatte_botid_land,personer
10,1,5_9,2006,25,sysselsatte_botid_land,personer
10,1,alle,2006,282,sysselsatte_botid_land,personer
10,2,0_4,2006,49,sysselsatte_botid_land,personer
10,2,10+,2006,67,sysselsatte_botid_land,personer
10,2,5_9,2006,72,sysselsatte_botid_land,personer
10,2,alle,2006,188,sysselsatte_botid_land,personer
10,alle,0_4,2006,92,sysselsatte_botid_land,personer
10,alle,10+,2006,281,sysselsatte_botid_land,personer
10,alle,5_9,2006,97,sysselsatte_botid_land,personer
10,alle,alle,2006,470,sysselsatte_botid_land,personer
11,1,0_4,2006,98,sysselsatte_botid_land,personer
11,1,10+,2006,1172,sysselsatte_botid_land,personer
11,1,5_9,2006,96,sysselsatte_botid_land,personer
11,1,alle,2006,1366,sysselsatte_botid_land,personer
11,2,0_4,2006,118,sysselsatte_botid_land,personer
11,2,10+,2006,374,sysselsatte_botid_land,personer
11,2,5_9,2006,135,sysselsatte_botid_land,personer
11,2,alle,2006,627,sysselsatte_botid_land,personer
11,alle,0_4,2006,216,sysselsatte_botid_land,personer
11,alle,10+,2006,1546,sysselsatte_botid_land,personer
11,alle,5_9,2006,231,sysselsatte_botid_land,personer
11,alle,alle,2006,1993,sysselsatte_botid_land,personer
12,1,0_4,2006,292,sysselsatte_botid_land,personer
12,1,10+,2006,1613,sysselsatte_botid_land,personer
12,1,5_9,2006,162,sysselsatte_botid_land,personer
12,1,alle,2006,2067,sysselsatte_botid_land,personer
12,2,0_4,2006,226,sysselsatte_botid_land,personer
12,2,10+,2006,667,sysselsatte_botid_land,personer
12,2,5_9,2006,187,sysselsatte_botid_land,personer
12,2,alle,2006,1080,sysselsatte_botid_land,personer
12,alle,0_4,2006,518,sysselsatte_botid_land,personer
12,alle,10+,2006,2280,sysselsatte_botid_land,personer
12,alle,5_9,2006,349,sysselsatte_botid_land,personer
12,alle,alle,2006,3147,sysselsatte_botid_land,personer
13,1,0_4,2006,82,sysselsatte_botid_land,personer
13,1,10+,2006,810,sysselsatte_botid_land,personer
13,1,5_9,2006,90,sysselsatte_botid_land,personer
13,1,alle,2006,982,sysselsatte_botid_land,personer
13,2,0_4,2006,89,sysselsatte_botid_land,personer
13,2,10+,2006,186,sysselsatte_botid_land,personer
13,2,5_9,2006,77,sysselsatte_botid_land,personer
13,2,alle,2006,352,sysselsatte_botid_land,personer
13,alle,0_4,2006,171,sysselsatte_botid_land,personer
13,alle,10+,2006,996,sysselsatte_botid_land,personer
13,alle,5_9,2006,167,sysselsatte_botid_land,personer
13,alle,alle,2006,1334,sysselsatte_botid_land,personer
14,1,0_4,2006,165,sysselsatte_botid_land,personer
14,1,10+,2006,1073,sysselsatte_botid_land,personer
14,1,5_9,2006,111,sysselsatte_botid_land,personer
14,1,alle,2006,1349,sysselsatte_botid_land,personer
14,2,0_4,2006,177,sysselsatte_botid_land,personer
14,2,10+,2006,519,sysselsatte_botid_land,personer
14,2,5_9,2006,236,sysselsatte_botid_land,personer
14,2,alle,2006,932,sysselsatte_botid_land,personer
14,alle,0_4,2006,342,sysselsatte_botid_land,personer
14,alle,10+,2006,1592,sysselsatte_botid_land,personer
14,alle,5_9,2006,347,sysselsatte_botid_land,personer
14,alle,alle,2006,2281,sysselsatte_botid_land,personer
15,1,0_4,2006,68,sysselsatte_botid_land,personer
15,1,10+,2006,573,sysselsatte_botid_land,personer
15,1,5_9,2006,45,sysselsatte_botid_land,personer
15,1,alle,2006,686,sysselsatte_botid_land,personer
15,2,0_4,2006,76,sysselsatte_botid_land,personer
15,2,10+,2006,227,sysselsatte_botid_land,personer
15,2,5_9,2006,61,sysselsatte_botid_land,personer
15,2,alle,2006,364,sysselsatte_botid_land,personer
15,alle,0_4,2006,144,sysselsatte_botid_land,personer
15,alle,10+,2006,800,sysselsatte_botid_land,personer
15,alle,5_9,2006,106,sysselsatte_botid_land,personer
15,alle,alle,2006,1050,sysselsatte_botid_land,personer
16,1,0_4,2006,159,sysselsatte_botid_land,personer
