aar,kommune_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,0121,2,0,0,sysselsatte_kjonn_land,personer
2006,0439,1,1,0,sysselsatte_kjonn_land,personer
2006,0827,2,1,0,sysselsatte_kjonn_land,personer
2006,1145,2,0,0,sysselsatte_kjonn_land,personer
2006,1145,2,alle,0,sysselsatte_kjonn_land,personer
2006,1151,1,1,0,sysselsatte_kjonn_land,personer
2006,1252,1,0,0,sysselsatte_kjonn_land,personer
2006,1252,1,1,0,sysselsatte_kjonn_land,personer
2006,1252,1,alle,0,sysselsatte_kjonn_land,personer
2006,1265,2,0,0,sysselsatte_kjonn_land,personer
2006,1265,2,alle,0,sysselsatte_kjonn_land,personer
2006,1571,2,1,0,sysselsatte_kjonn_land,personer
2006,1573,2,1,0,sysselsatte_kjonn_land,personer
2006,1723,2,0,0,sysselsatte_kjonn_land,personer
2006,1723,2,1,0,sysselsatte_kjonn_land,personer
2006,1723,2,alle,0,sysselsatte_kjonn_land,personer
2006,1738,2,0,0,sysselsatte_kjonn_land,personer
2006,1738,2,alle,0,sysselsatte_kjonn_land,personer
2006,1825,2,1,0,sysselsatte_kjonn_land,personer
2006,1835,2,1,0,sysselsatte_kjonn_land,personer
2006,1839,1,1,0,sysselsatte_kjonn_land,personer
2006,1845,2,1,0,sysselsatte_kjonn_land,personer
2006,1852,2,1,0,sysselsatte_kjonn_land,personer
2006,1856,2,1,0,sysselsatte_kjonn_land,personer
2006,1926,2,1,0,sysselsatte_kjonn_land,personer
2006,1940,2,1,0,sysselsatte_kjonn_land,personer
2006,1943,2,1,0,sysselsatte_kjonn_land,personer
2007,0121,2,0,0,sysselsatte_kjonn_land,personer
2007,1129,2,1,0,sysselsatte_kjonn_land,personer
2007,1145,2,1,0,sysselsatte_kjonn_land,personer
2007,1151,1,1,0,sysselsatte_kjonn_land,personer
2007,1252,1,1,0,sysselsatte_kjonn_land,personer
2007,1573,2,1,0,sysselsatte_kjonn_land,personer
2007,1723,2,0,0,sysselsatte_kjonn_land,personer
2007,1723,2,1,0,sysselsatte_kjonn_land,personer
2007,1723,2,alle,0,sysselsatte_kjonn_land,personer
2007,1738,2,0,0,sysselsatte_kjonn_land,personer
2007,1738,2,alle,0,sysselsatte_kjonn_land,personer
2007,1749,2,1,0,sysselsatte_kjonn_land,personer
2007,1839,1,1,0,sysselsatte_kjonn_land,personer
2007,1852,2,1,0,sysselsatte_kjonn_land,personer
2007,1856,2,1,0,sysselsatte_kjonn_land,personer
2007,1926,2,1,0,sysselsatte_kjonn_land,personer
2007,1940,2,1,0,sysselsatte_kjonn_land,personer
2007,1943,2,1,0,sysselsatte_kjonn_land,personer
2008,0121,2,0,0,sysselsatte_kjonn_land,personer
2008,0541,2,1,0,sysselsatte_kjonn_land,personer
2008,0827,2,1,0,sysselsatte_kjonn_land,personer
2008,1145,2,1,0,sysselsatte_kjonn_land,personer
2008,1227,2,1,0,sysselsatte_kjonn_land,personer
2008,1543,2,1,0,sysselsatte_kjonn_land,personer
2008,1546,2,1,0,sysselsatte_kjonn_land,personer
2008,1573,2,1,0,sysselsatte_kjonn_land,personer
2008,1632,1,0,0,sysselsatte_kjonn_land,personer
2008,1633,1,1,0,sysselsatte_kjonn_land,personer
2008,1633,2,0,0,sysselsatte_kjonn_land,personer
2008,1633,2,alle,0,sysselsatte_kjonn_land,personer
2008,1723,2,0,0,sysselsatte_kjonn_land,personer
2008,1723,2,1,0,sysselsatte_kjonn_land,personer
2008,1723,2,alle,0,sysselsatte_kjonn_land,personer
2008,1738,2,0,0,sysselsatte_kjonn_land,personer
2008,1738,2,alle,0,sysselsatte_kjonn_land,personer
2008,1749,2,1,0,sysselsatte_kjonn_land,personer
2008,1834,2,1,0,sysselsatte_kjonn_land,personer
2008,1839,1,1,0,sysselsatte_kjonn_land,personer
2008,1839,2,0,0,sysselsatte_kjonn_land,personer
2008,1839,2,alle,0,sysselsatte_kjonn_land,personer
2008,1845,2,1,0,sysselsatte_kjonn_land,personer
2008,1852,2,1,0,sysselsatte_kjonn_land,personer
2008,1856,2,1,0,sysselsatte_kjonn_land,personer
2008,1859,2,1,0,sysselsatte_kjonn_land,personer
2008,1943,2,1,0,sysselsatte_kjonn_land,personer
2009,0439,2,1,0,sysselsatte_kjonn_land,personer
2009,0827,2,1,0,sysselsatte_kjonn_land,personer
2009,1129,2,1,0,sysselsatte_kjonn_land,personer
2009,1145,2,0,0,sysselsatte_kjonn_land,personer
2009,1145,2,alle,0,sysselsatte_kjonn_land,personer
2009,1151,1,0,0,sysselsatte_kjonn_land,personer
2009,1227,2,1,0,sysselsatte_kjonn_land,personer
2009,1543,2,1,0,sysselsatte_kjonn_land,personer
2009,1573,2,1,0,sysselsatte_kjonn_land,personer
2009,1633,2,0,0,sysselsatte_kjonn_land,personer
2009,1633,2,alle,0,sysselsatte_kjonn_land,personer
