aar,bydel_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,00,1,0,35538,sysselsatte_kjonn_land,personer
2006,00,1,1,44355,sysselsatte_kjonn_land,personer
2006,00,1,alle,79893,sysselsatte_kjonn_land,personer
2006,00,2,0,47163,sysselsatte_kjonn_land,personer
2006,00,2,1,54355,sysselsatte_kjonn_land,personer
2006,00,2,alle,101518,sysselsatte_kjonn_land,personer
2006,00,alle,0,1125809,sysselsatte_kjonn_land,personer
2006,00,alle,1,1262851,sysselsatte_kjonn_land,personer
2006,00,alle,alle,2388660,sysselsatte_kjonn_land,personer
2006,030101,1,0,983,sysselsatte_kjonn_land,personer
2006,030101,1,1,1113,sysselsatte_kjonn_land,personer
2006,030101,1,alle,2096,sysselsatte_kjonn_land,personer
2006,030101,2,0,1041,sysselsatte_kjonn_land,personer
2006,030101,2,1,1521,sysselsatte_kjonn_land,personer
2006,030101,2,alle,2562,sysselsatte_kjonn_land,personer
2006,030101,alle,0,13879,sysselsatte_kjonn_land,personer
2006,030101,alle,1,15084,sysselsatte_kjonn_land,personer
2006,030101,alle,alle,28963,sysselsatte_kjonn_land,personer
2006,030102,1,0,872,sysselsatte_kjonn_land,personer
2006,030102,1,1,866,sysselsatte_kjonn_land,personer
2006,030102,1,alle,1738,sysselsatte_kjonn_land,personer
2006,030102,2,0,969,sysselsatte_kjonn_land,personer
2006,030102,2,1,1219,sysselsatte_kjonn_land,personer
2006,030102,2,alle,2188,sysselsatte_kjonn_land,personer
2006,030102,alle,0,13213,sysselsatte_kjonn_land,personer
2006,030102,alle,1,13543,sysselsatte_kjonn_land,personer
2006,030102,alle,alle,26756,sysselsatte_kjonn_land,personer
2006,030103,1,0,1043,sysselsatte_kjonn_land,personer
2006,030103,1,1,1195,sysselsatte_kjonn_land,personer
2006,030103,1,alle,2238,sysselsatte_kjonn_land,personer
2006,030103,2,0,1243,sysselsatte_kjonn_land,personer
2006,030103,2,1,1611,sysselsatte_kjonn_land,personer
2006,030103,2,alle,2854,sysselsatte_kjonn_land,personer
2006,030103,alle,0,15324,sysselsatte_kjonn_land,personer
2006,030103,alle,1,16156,sysselsatte_kjonn_land,personer
2006,030103,alle,alle,31480,sysselsatte_kjonn_land,personer
2006,030104,1,0,890,sysselsatte_kjonn_land,personer
2006,030104,1,1,1020,sysselsatte_kjonn_land,personer
2006,030104,1,alle,1910,sysselsatte_kjonn_land,personer
2006,030104,2,0,1119,sysselsatte_kjonn_land,personer
2006,030104,2,1,1743,sysselsatte_kjonn_land,personer
2006,030104,2,alle,2862,sysselsatte_kjonn_land,personer
2006,030104,alle,0,12985,sysselsatte_kjonn_land,personer
2006,030104,alle,1,14068,sysselsatte_kjonn_land,personer
2006,030104,alle,alle,27053,sysselsatte_kjonn_land,personer
2006,030105,1,0,728,sysselsatte_kjonn_land,personer
2006,030105,1,1,855,sysselsatte_kjonn_land,personer
2006,030105,1,alle,1583,sysselsatte_kjonn_land,personer
2006,030105,2,0,883,sysselsatte_kjonn_land,personer
2006,030105,2,1,1212,sysselsatte_kjonn_land,personer
2006,030105,2,alle,2095,sysselsatte_kjonn_land,personer
2006,030105,alle,0,12063,sysselsatte_kjonn_land,personer
2006,030105,alle,1,12748,sysselsatte_kjonn_land,personer
2006,030105,alle,alle,24811,sysselsatte_kjonn_land,personer
2006,030106,1,0,697,sysselsatte_kjonn_land,personer
2006,030106,1,1,792,sysselsatte_kjonn_land,personer
2006,030106,1,alle,1489,sysselsatte_kjonn_land,personer
2006,030106,2,0,984,sysselsatte_kjonn_land,personer
2006,030106,2,1,1387,sysselsatte_kjonn_land,personer
2006,030106,2,alle,2371,sysselsatte_kjonn_land,personer
2006,030106,alle,0,11533,sysselsatte_kjonn_land,personer
2006,030106,alle,1,12267,sysselsatte_kjonn_land,personer
2006,030106,alle,alle,23800,sysselsatte_kjonn_land,personer
2006,030107,1,0,492,sysselsatte_kjonn_land,personer
2006,030107,1,1,661,sysselsatte_kjonn_land,personer
2006,030107,1,alle,1153,sysselsatte_kjonn_land,personer
2006,030107,2,0,860,sysselsatte_kjonn_land,personer
2006,030107,2,1,1298,sysselsatte_kjonn_land,personer
2006,030107,2,alle,2158,sysselsatte_kjonn_land,personer
2006,030107,alle,0,8656,sysselsatte_kjonn_land,personer
2006,030107,alle,1,9565,sysselsatte_kjonn_land,personer
2006,030107,alle,alle,18221,sysselsatte_kjonn_land,personer
2006,030108,1,0,614,sysselsatte_kjonn_land,personer
2006,030108,1,1,734,sysselsatte_kjonn_land,personer
2006,030108,1,alle,1348,sysselsatte_kjonn_land,personer
2006,030108,2,0,973,sysselsatte_kjonn_land,personer
2006,030108,2,1,1345,sysselsatte_kjonn_land,personer
2006,030108,2,alle,2318,sysselsatte_kjonn_land,personer
2006,030108,alle,0,9954,sysselsatte_kjonn_land,personer
2006,030108,alle,1,10477,sysselsatte_kjonn_land,personer
2006,030108,alle,alle,20431,sysselsatte_kjonn_land,personer
2006,030109,1,0,397,sysselsatte_kjonn_land,personer
2006,030109,1,1,495,sysselsatte_kjonn_land,personer
2006,030109,1,alle,892,sysselsatte_kjonn_land,personer
2006,030109,2,0,724,sysselsatte_kjonn_land,personer
2006,030109,2,1,1057,sysselsatte_kjonn_land,personer
2006,030109,2,alle,1781,sysselsatte_kjonn_land,personer
2006,030109,alle,0,7362,sysselsatte_kjonn_land,personer
2006,030109,alle,1,7873,sysselsatte_kjonn_land,personer
