bydel_nr,vreg_9,aar,tabellvariabel,tabellnavn,enhet
alle,afrika,2006,19472,sysselsatte_land,personer
alle,alle,2006,297563,sysselsatte_land,personer
alle,asia,2006,73662,sysselsatte_land,personer
alle,eu_ost_europa,2006,23568,sysselsatte_land,personer
alle,nord_amerika_oseania,2006,20452,sysselsatte_land,personer
alle,norden,2006,75928,sysselsatte_land,personer
alle,ost_europa_ellers,2006,20687,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2006,11633,sysselsatte_land,personer
alle,vest_europa,2006,52161,sysselsatte_land,personer
alle,afrika,2007,22837,sysselsatte_land,personer
alle,alle,2007,338698,sysselsatte_land,personer
alle,asia,2007,83945,sysselsatte_land,personer
alle,eu_ost_europa,2007,36510,sysselsatte_land,personer
alle,nord_amerika_oseania,2007,21478,sysselsatte_land,personer
alle,norden,2007,79947,sysselsatte_land,personer
alle,ost_europa_ellers,2007,23482,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2007,13282,sysselsatte_land,personer
alle,vest_europa,2007,57217,sysselsatte_land,personer
alle,afrika,2008,24955,sysselsatte_land,personer
alle,alle,2008,371288,sysselsatte_land,personer
alle,asia,2008,91009,sysselsatte_land,personer
alle,eu_ost_europa,2008,47689,sysselsatte_land,personer
alle,nord_amerika_oseania,2008,22191,sysselsatte_land,personer
alle,norden,2008,83383,sysselsatte_land,personer
alle,ost_europa_ellers,2008,25494,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2008,14482,sysselsatte_land,personer
alle,vest_europa,2008,62085,sysselsatte_land,personer
alle,afrika,2009,25119,sysselsatte_land,personer
alle,alle,2009,381173,sysselsatte_land,personer
alle,asia,2009,92335,sysselsatte_land,personer
alle,eu_ost_europa,2009,52871,sysselsatte_land,personer
alle,nord_amerika_oseania,2009,22143,sysselsatte_land,personer
alle,norden,2009,84840,sysselsatte_land,personer
alle,ost_europa_ellers,2009,25783,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2009,14652,sysselsatte_land,personer
alle,vest_europa,2009,63430,sysselsatte_land,personer
alle,afrika,2010,27975,sysselsatte_land,personer
alle,alle,2010,467417,sysselsatte_land,personer
alle,asia,2010,98900,sysselsatte_land,personer
alle,eu_ost_europa,2010,67179,sysselsatte_land,personer
alle,nord_amerika_oseania,2010,37710,sysselsatte_land,personer
alle,norden,2010,114772,sysselsatte_land,personer
alle,ost_europa_ellers,2010,27673,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2010,15943,sysselsatte_land,personer
alle,vest_europa,2010,77265,sysselsatte_land,personer
alle,afrika,2011,30471,sysselsatte_land,personer
alle,alle,2011,508203,sysselsatte_land,personer
alle,asia,2011,106025,sysselsatte_land,personer
alle,eu_ost_europa,2011,84797,sysselsatte_land,personer
alle,nord_amerika_oseania,2011,38789,sysselsatte_land,personer
alle,norden,2011,120727,sysselsatte_land,personer
alle,ost_europa_ellers,2011,29436,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2011,17053,sysselsatte_land,personer
alle,vest_europa,2011,80905,sysselsatte_land,personer
alle,afrika,2012,32725,sysselsatte_land,personer
alle,alle,2012,541046,sysselsatte_land,personer
alle,asia,2012,113129,sysselsatte_land,personer
alle,eu_ost_europa,2012,96381,sysselsatte_land,personer
alle,nord_amerika_oseania,2012,39497,sysselsatte_land,personer
alle,norden,2012,123620,sysselsatte_land,personer
alle,ost_europa_ellers,2012,33491,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2012,17929,sysselsatte_land,personer
alle,vest_europa,2012,84274,sysselsatte_land,personer
alle,afrika,2013,35409,sysselsatte_land,personer
alle,alle,2013,573171,sysselsatte_land,personer
alle,asia,2013,120357,sysselsatte_land,personer
alle,eu_ost_europa,2013,110571,sysselsatte_land,personer
alle,nord_amerika_oseania,2013,40231,sysselsatte_land,personer
alle,norden,2013,126704,sysselsatte_land,personer
alle,ost_europa_ellers,2013,33089,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2013,18931,sysselsatte_land,personer
alle,vest_europa,2013,87879,sysselsatte_land,personer
alle,afrika,2014,38586,sysselsatte_land,personer
alle,alle,2014,605657,sysselsatte_land,personer
alle,asia,2014,128028,sysselsatte_land,personer
alle,eu_ost_europa,2014,121359,sysselsatte_land,personer
alle,nord_amerika_oseania,2014,41149,sysselsatte_land,personer
alle,norden,2014,130167,sysselsatte_land,personer
alle,ost_europa_ellers,2014,35194,sysselsatte_land,personer
alle,sor_og_mellom_amerika,2014,19877,sysselsatte_land,personer
alle,vest_europa,2014,91297,sysselsatte_land,personer
alle,afrika,2006,47.90,sysselsatte_land,prosent
alle,alle,2006,62.99,sysselsatte_land,prosent
alle,asia,2006,54.19,sysselsatte_land,prosent
alle,eu_ost_europa,2006,69.89,sysselsatte_land,prosent
alle,nord_amerika_oseania,2006,69.39,sysselsatte_land,prosent
alle,norden,2006,73.09,sysselsatte_land,prosent
alle,ost_europa_ellers,2006,58.32,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2006,59.46,sysselsatte_land,prosent
alle,vest_europa,2006,70.80,sysselsatte_land,prosent
alle,afrika,2007,51.52,sysselsatte_land,prosent
alle,alle,2007,65.76,sysselsatte_land,prosent
alle,asia,2007,57.52,sysselsatte_land,prosent
alle,eu_ost_europa,2007,74.75,sysselsatte_land,prosent
alle,nord_amerika_oseania,2007,70.70,sysselsatte_land,prosent
alle,norden,2007,74.36,sysselsatte_land,prosent
alle,ost_europa_ellers,2007,61.59,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2007,63.27,sysselsatte_land,prosent
alle,vest_europa,2007,72.53,sysselsatte_land,prosent
alle,afrika,2008,52.05,sysselsatte_land,prosent
alle,alle,2008,66.14,sysselsatte_land,prosent
alle,asia,2008,57.83,sysselsatte_land,prosent
alle,eu_ost_europa,2008,72.84,sysselsatte_land,prosent
alle,nord_amerika_oseania,2008,70.88,sysselsatte_land,prosent
alle,norden,2008,74.93,sysselsatte_land,prosent
alle,ost_europa_ellers,2008,62.67,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2008,64.14,sysselsatte_land,prosent
alle,vest_europa,2008,73.25,sysselsatte_land,prosent
alle,afrika,2009,47.67,sysselsatte_land,prosent
alle,alle,2009,63.45,sysselsatte_land,prosent
alle,asia,2009,54.75,sysselsatte_land,prosent
alle,eu_ost_europa,2009,69.94,sysselsatte_land,prosent
alle,nord_amerika_oseania,2009,68.99,sysselsatte_land,prosent
alle,norden,2009,73.23,sysselsatte_land,prosent
alle,ost_europa_ellers,2009,60.15,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2009,61.20,sysselsatte_land,prosent
alle,vest_europa,2009,71.25,sysselsatte_land,prosent
alle,afrika,2010,46.72,sysselsatte_land,prosent
alle,alle,2010,63.69,sysselsatte_land,prosent
alle,asia,2010,54.39,sysselsatte_land,prosent
alle,eu_ost_europa,2010,70.13,sysselsatte_land,prosent
alle,nord_amerika_oseania,2010,70.61,sysselsatte_land,prosent
alle,norden,2010,71.80,sysselsatte_land,prosent
alle,ost_europa_ellers,2010,60.55,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2010,60.85,sysselsatte_land,prosent
alle,vest_europa,2010,69.48,sysselsatte_land,prosent
alle,afrika,2011,46.83,sysselsatte_land,prosent
alle,alle,2011,64.43,sysselsatte_land,prosent
alle,asia,2011,54.90,sysselsatte_land,prosent
alle,eu_ost_europa,2011,72.60,sysselsatte_land,prosent
alle,nord_amerika_oseania,2011,70.96,sysselsatte_land,prosent
alle,norden,2011,72.47,sysselsatte_land,prosent
alle,ost_europa_ellers,2011,61.07,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2011,61.66,sysselsatte_land,prosent
alle,vest_europa,2011,69.36,sysselsatte_land,prosent
alle,afrika,2012,45.27,sysselsatte_land,prosent
alle,alle,2012,64.11,sysselsatte_land,prosent
alle,asia,2012,55.27,sysselsatte_land,prosent
alle,eu_ost_europa,2012,72.29,sysselsatte_land,prosent
alle,nord_amerika_oseania,2012,70.40,sysselsatte_land,prosent
alle,norden,2012,72.15,sysselsatte_land,prosent
alle,ost_europa_ellers,2012,61.31,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2012,61.20,sysselsatte_land,prosent
alle,vest_europa,2012,68.91,sysselsatte_land,prosent
alle,afrika,2013,44.74,sysselsatte_land,prosent
alle,alle,2013,64.22,sysselsatte_land,prosent
alle,asia,2013,55.72,sysselsatte_land,prosent
alle,eu_ost_europa,2013,72.25,sysselsatte_land,prosent
alle,nord_amerika_oseania,2013,70.29,sysselsatte_land,prosent
alle,norden,2013,72.10,sysselsatte_land,prosent
alle,ost_europa_ellers,2013,61.75,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2013,61.39,sysselsatte_land,prosent
alle,vest_europa,2013,69.25,sysselsatte_land,prosent
alle,afrika,2014,44.88,sysselsatte_land,prosent
alle,alle,2014,64.44,sysselsatte_land,prosent
alle,asia,2014,56.41,sysselsatte_land,prosent
alle,eu_ost_europa,2014,72.55,sysselsatte_land,prosent
alle,nord_amerika_oseania,2014,70.50,sysselsatte_land,prosent
alle,norden,2014,72.04,sysselsatte_land,prosent
alle,ost_europa_ellers,2014,62.57,sysselsatte_land,prosent
alle,sor_og_mellom_amerika,2014,61.19,sysselsatte_land,prosent
alle,vest_europa,2014,69.20,sysselsatte_land,prosent
