aar,fylke_nr,vreg_9,tabellvariabel,tabell_navn,enhet
2006,00,afrika,15027,sysselsatte_land,personer
2006,00,alle,2388660,sysselsatte_land,personer
2006,00,asia,57736,sysselsatte_land,personer
2006,00,eu_ost_europa,19452,sysselsatte_land,personer
2006,00,nord_amerika_oseania,4516,sysselsatte_land,personer
2006,00,norden,33489,sysselsatte_land,personer
2006,00,ost_europa_ellers,19576,sysselsatte_land,personer
2006,00,sor_og_mellom_amerika,7651,sysselsatte_land,personer
2006,00,vest_europa,23964,sysselsatte_land,personer
2006,01,afrika,486,sysselsatte_land,personer
2006,01,alle,128095,sysselsatte_land,personer
2006,01,asia,2542,sysselsatte_land,personer
2006,01,eu_ost_europa,1196,sysselsatte_land,personer
2006,01,nord_amerika_oseania,143,sysselsatte_land,personer
2006,01,norden,1903,sysselsatte_land,personer
2006,01,ost_europa_ellers,1637,sysselsatte_land,personer
2006,01,sor_og_mellom_amerika,216,sysselsatte_land,personer
2006,01,vest_europa,804,sysselsatte_land,personer
2006,02,afrika,1454,sysselsatte_land,personer
2006,02,alle,266713,sysselsatte_land,personer
2006,02,asia,7929,sysselsatte_land,personer
2006,02,eu_ost_europa,2663,sysselsatte_land,personer
2006,02,nord_amerika_oseania,759,sysselsatte_land,personer
2006,02,norden,5829,sysselsatte_land,personer
2006,02,ost_europa_ellers,2050,sysselsatte_land,personer
2006,02,sor_og_mellom_amerika,862,sysselsatte_land,personer
2006,02,vest_europa,3482,sysselsatte_land,personer
2006,03,afrika,6810,sysselsatte_land,personer
2006,03,alle,293422,sysselsatte_land,personer
2006,03,asia,21286,sysselsatte_land,personer
2006,03,eu_ost_europa,4273,sysselsatte_land,personer
2006,03,nord_amerika_oseania,1097,sysselsatte_land,personer
2006,03,norden,8479,sysselsatte_land,personer
2006,03,ost_europa_ellers,3764,sysselsatte_land,personer
2006,03,sor_og_mellom_amerika,2317,sysselsatte_land,personer
2006,03,vest_europa,4601,sysselsatte_land,personer
2006,04,afrika,190,sysselsatte_land,personer
2006,04,alle,91809,sysselsatte_land,personer
2006,04,asia,952,sysselsatte_land,personer
2006,04,eu_ost_europa,468,sysselsatte_land,personer
2006,04,nord_amerika_oseania,77,sysselsatte_land,personer
2006,04,norden,1082,sysselsatte_land,personer
2006,04,ost_europa_ellers,534,sysselsatte_land,personer
2006,04,sor_og_mellom_amerika,112,sysselsatte_land,personer
2006,04,vest_europa,480,sysselsatte_land,personer
2006,05,afrika,223,sysselsatte_land,personer
2006,05,alle,93253,sysselsatte_land,personer
2006,05,asia,930,sysselsatte_land,personer
2006,05,eu_ost_europa,404,sysselsatte_land,personer
2006,05,nord_amerika_oseania,78,sysselsatte_land,personer
2006,05,norden,832,sysselsatte_land,personer
2006,05,ost_europa_ellers,644,sysselsatte_land,personer
2006,05,sor_og_mellom_amerika,99,sysselsatte_land,personer
2006,05,vest_europa,618,sysselsatte_land,personer
2006,06,afrika,565,sysselsatte_land,personer
2006,06,alle,127944,sysselsatte_land,personer
2006,06,asia,3550,sysselsatte_land,personer
2006,06,eu_ost_europa,1076,sysselsatte_land,personer
2006,06,nord_amerika_oseania,197,sysselsatte_land,personer
2006,06,norden,2044,sysselsatte_land,personer
2006,06,ost_europa_ellers,1308,sysselsatte_land,personer
2006,06,sor_og_mellom_amerika,392,sysselsatte_land,personer
2006,06,vest_europa,1294,sysselsatte_land,personer
2006,07,afrika,367,sysselsatte_land,personer
2006,07,alle,110169,sysselsatte_land,personer
2006,07,asia,1969,sysselsatte_land,personer
2006,07,eu_ost_europa,830,sysselsatte_land,personer
2006,07,nord_amerika_oseania,186,sysselsatte_land,personer
2006,07,norden,1400,sysselsatte_land,personer
