aar,kommune_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,0111,alle,1,0,arbledige_innvkat_land,personer
2006,0111,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0121,alle,1,0,arbledige_innvkat_land,personer
2006,0121,alle,2,0,arbledige_innvkat_land,personer
2006,0121,alle,alle,0,arbledige_innvkat_land,personer
2006,0121,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0121,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0121,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0127,alle,1,0,arbledige_innvkat_land,personer
2006,0127,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0128,alle,1,0,arbledige_innvkat_land,personer
2006,0128,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0137,alle,1,0,arbledige_innvkat_land,personer
2006,0137,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0418,alle,2,0,arbledige_innvkat_land,personer
2006,0418,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0426,alle,1,0,arbledige_innvkat_land,personer
2006,0426,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0432,alle,1,0,arbledige_innvkat_land,personer
2006,0432,alle,2,0,arbledige_innvkat_land,personer
2006,0432,alle,alle,0,arbledige_innvkat_land,personer
2006,0432,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0432,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0432,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0434,alle,2,0,arbledige_innvkat_land,personer
2006,0434,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0436,alle,1,0,arbledige_innvkat_land,personer
2006,0436,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0437,alle,1,0,arbledige_innvkat_land,personer
2006,0437,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0439,alle,1,0,arbledige_innvkat_land,personer
2006,0439,alle,2,0,arbledige_innvkat_land,personer
2006,0439,alle,alle,0,arbledige_innvkat_land,personer
2006,0439,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0439,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0439,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0511,alle,1,0,arbledige_innvkat_land,personer
2006,0511,alle,2,0,arbledige_innvkat_land,personer
2006,0511,alle,alle,0,arbledige_innvkat_land,personer
2006,0511,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0511,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0511,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0512,alle,1,0,arbledige_innvkat_land,personer
2006,0512,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0514,alle,1,0,arbledige_innvkat_land,personer
2006,0514,alle,2,0,arbledige_innvkat_land,personer
2006,0514,alle,alle,0,arbledige_innvkat_land,personer
2006,0514,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0514,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0514,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0536,alle,1,0,arbledige_innvkat_land,personer
2006,0536,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0538,alle,1,0,arbledige_innvkat_land,personer
2006,0538,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0540,alle,1,0,arbledige_innvkat_land,personer
2006,0540,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0545,alle,1,0,arbledige_innvkat_land,personer
2006,0545,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0615,alle,1,0,arbledige_innvkat_land,personer
2006,0615,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0617,alle,1,0,arbledige_innvkat_land,personer
2006,0617,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0619,alle,2,0,arbledige_innvkat_land,personer
2006,0619,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0621,alle,1,0,arbledige_innvkat_land,personer
2006,0621,alle,2,0,arbledige_innvkat_land,personer
2006,0621,alle,alle,0,arbledige_innvkat_land,personer
2006,0621,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0621,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0621,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0622,alle,2,0,arbledige_innvkat_land,personer
2006,0622,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0632,alle,1,0,arbledige_innvkat_land,personer
2006,0632,alle,2,0,arbledige_innvkat_land,personer
2006,0632,alle,alle,0,arbledige_innvkat_land,personer
2006,0632,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0632,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0632,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0633,alle,1,0,arbledige_innvkat_land,personer
2006,0633,alle,2,0,arbledige_innvkat_land,personer
2006,0633,alle,alle,0,arbledige_innvkat_land,personer
2006,0633,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0633,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0633,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0817,alle,1,0,arbledige_innvkat_land,personer
2006,0817,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0827,alle,2,0,arbledige_innvkat_land,personer
2006,0827,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0830,alle,1,0,arbledige_innvkat_land,personer
2006,0830,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0831,alle,1,0,arbledige_innvkat_land,personer
2006,0831,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0911,alle,1,0,arbledige_innvkat_land,personer
2006,0911,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0928,alle,1,0,arbledige_innvkat_land,personer
2006,0928,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0929,alle,1,0,arbledige_innvkat_land,personer
2006,0929,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0935,alle,1,0,arbledige_innvkat_land,personer
2006,0935,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0940,alle,1,0,arbledige_innvkat_land,personer
2006,0940,alle,2,0,arbledige_innvkat_land,personer
2006,0940,alle,alle,0,arbledige_innvkat_land,personer
2006,0940,innvandrere,1,0,arbledige_innvkat_land,personer
2006,0940,innvandrere,2,0,arbledige_innvkat_land,personer
2006,0940,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,0941,alle,2,0,arbledige_innvkat_land,personer
2006,0941,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1021,alle,1,0,arbledige_innvkat_land,personer
2006,1021,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1027,alle,2,0,arbledige_innvkat_land,personer
2006,1027,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1034,alle,1,0,arbledige_innvkat_land,personer
2006,1034,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1046,alle,1,0,arbledige_innvkat_land,personer
2006,1046,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1111,alle,1,0,arbledige_innvkat_land,personer
2006,1111,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1112,alle,1,0,arbledige_innvkat_land,personer
2006,1112,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1114,alle,1,0,arbledige_innvkat_land,personer
2006,1114,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1129,alle,1,0,arbledige_innvkat_land,personer
2006,1129,alle,2,0,arbledige_innvkat_land,personer
2006,1129,alle,alle,0,arbledige_innvkat_land,personer
2006,1129,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1129,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1129,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1135,alle,2,0,arbledige_innvkat_land,personer
2006,1135,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1144,alle,1,0,arbledige_innvkat_land,personer
2006,1144,alle,2,0,arbledige_innvkat_land,personer
2006,1144,alle,alle,0,arbledige_innvkat_land,personer
2006,1144,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1144,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1144,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1145,alle,1,0,arbledige_innvkat_land,personer
2006,1145,alle,2,0,arbledige_innvkat_land,personer
2006,1145,alle,alle,0,arbledige_innvkat_land,personer
2006,1145,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1145,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1145,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1151,alle,1,0,arbledige_innvkat_land,personer
2006,1151,alle,2,0,arbledige_innvkat_land,personer
2006,1151,alle,alle,0,arbledige_innvkat_land,personer
2006,1151,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1151,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1151,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1222,alle,1,0,arbledige_innvkat_land,personer
2006,1222,alle,2,0,arbledige_innvkat_land,personer
2006,1222,alle,alle,0,arbledige_innvkat_land,personer
2006,1222,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1222,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1222,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1223,alle,1,0,arbledige_innvkat_land,personer
2006,1223,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1224,alle,1,0,arbledige_innvkat_land,personer
2006,1224,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1227,alle,1,0,arbledige_innvkat_land,personer
2006,1227,alle,2,0,arbledige_innvkat_land,personer
2006,1227,alle,alle,0,arbledige_innvkat_land,personer
2006,1227,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1227,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1227,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1231,alle,2,0,arbledige_innvkat_land,personer
2006,1231,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1233,alle,1,0,arbledige_innvkat_land,personer
2006,1233,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1241,alle,1,0,arbledige_innvkat_land,personer
2006,1241,alle,2,0,arbledige_innvkat_land,personer
2006,1241,alle,alle,0,arbledige_innvkat_land,personer
2006,1241,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1241,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1241,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1244,alle,2,0,arbledige_innvkat_land,personer
2006,1244,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1252,alle,1,0,arbledige_innvkat_land,personer
2006,1252,alle,2,0,arbledige_innvkat_land,personer
2006,1252,alle,alle,0,arbledige_innvkat_land,personer
2006,1252,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1252,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1252,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1256,alle,1,0,arbledige_innvkat_land,personer
2006,1256,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1259,alle,1,0,arbledige_innvkat_land,personer
2006,1259,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1260,alle,1,0,arbledige_innvkat_land,personer
2006,1260,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1264,alle,1,0,arbledige_innvkat_land,personer
2006,1264,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1265,alle,1,0,arbledige_innvkat_land,personer
2006,1265,alle,2,0,arbledige_innvkat_land,personer
2006,1265,alle,alle,0,arbledige_innvkat_land,personer
2006,1265,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1265,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1265,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1266,alle,1,0,arbledige_innvkat_land,personer
2006,1266,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1412,alle,1,0,arbledige_innvkat_land,personer
2006,1412,alle,2,0,arbledige_innvkat_land,personer
2006,1412,alle,alle,0,arbledige_innvkat_land,personer
2006,1412,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1412,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1412,innvandrere,alle,0,arbledige_innvkat_land,personer
2006,1413,alle,2,0,arbledige_innvkat_land,personer
2006,1413,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1417,alle,1,0,arbledige_innvkat_land,personer
2006,1417,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1418,alle,2,0,arbledige_innvkat_land,personer
2006,1418,innvandrere,2,0,arbledige_innvkat_land,personer
2006,1419,alle,1,0,arbledige_innvkat_land,personer
2006,1419,alle,2,0,arbledige_innvkat_land,personer
2006,1419,alle,alle,0,arbledige_innvkat_land,personer
2006,1419,innvandrere,1,0,arbledige_innvkat_land,personer
2006,1419,innvandrere,2,0,arbledige_innvkat_land,personer
