aar,fylke_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,00,alle,1,2198,arbledige_innvkat_land,personer
2006,00,alle,2,13138,arbledige_innvkat_land,personer
2006,00,alle,alle,15336,arbledige_innvkat_land,personer
2006,00,innvandrere,1,2198,arbledige_innvkat_land,personer
2006,00,innvandrere,2,13138,arbledige_innvkat_land,personer
2006,00,innvandrere,alle,15336,arbledige_innvkat_land,personer
2006,01,alle,1,117,arbledige_innvkat_land,personer
2006,01,alle,2,927,arbledige_innvkat_land,personer
2006,01,alle,alle,1044,arbledige_innvkat_land,personer
2006,01,innvandrere,1,117,arbledige_innvkat_land,personer
2006,01,innvandrere,2,927,arbledige_innvkat_land,personer
2006,01,innvandrere,alle,1044,arbledige_innvkat_land,personer
2006,02,alle,1,252,arbledige_innvkat_land,personer
2006,02,alle,2,1255,arbledige_innvkat_land,personer
2006,02,alle,alle,1507,arbledige_innvkat_land,personer
2006,02,innvandrere,1,252,arbledige_innvkat_land,personer
2006,02,innvandrere,2,1255,arbledige_innvkat_land,personer
2006,02,innvandrere,alle,1507,arbledige_innvkat_land,personer
2006,03,alle,1,486,arbledige_innvkat_land,personer
2006,03,alle,2,4357,arbledige_innvkat_land,personer
2006,03,alle,alle,4843,arbledige_innvkat_land,personer
2006,03,innvandrere,1,486,arbledige_innvkat_land,personer
2006,03,innvandrere,2,4357,arbledige_innvkat_land,personer
2006,03,innvandrere,alle,4843,arbledige_innvkat_land,personer
2006,04,alle,1,69,arbledige_innvkat_land,personer
2006,04,alle,2,261,arbledige_innvkat_land,personer
2006,04,alle,alle,330,arbledige_innvkat_land,personer
2006,04,innvandrere,1,69,arbledige_innvkat_land,personer
2006,04,innvandrere,2,261,arbledige_innvkat_land,personer
2006,04,innvandrere,alle,330,arbledige_innvkat_land,personer
2006,05,alle,1,57,arbledige_innvkat_land,personer
2006,05,alle,2,231,arbledige_innvkat_land,personer
2006,05,alle,alle,288,arbledige_innvkat_land,personer
2006,05,innvandrere,1,57,arbledige_innvkat_land,personer
2006,05,innvandrere,2,231,arbledige_innvkat_land,personer
2006,05,innvandrere,alle,288,arbledige_innvkat_land,personer
2006,06,alle,1,140,arbledige_innvkat_land,personer
2006,06,alle,2,837,arbledige_innvkat_land,personer
2006,06,alle,alle,977,arbledige_innvkat_land,personer
2006,06,innvandrere,1,140,arbledige_innvkat_land,personer
2006,06,innvandrere,2,837,arbledige_innvkat_land,personer
2006,06,innvandrere,alle,977,arbledige_innvkat_land,personer
