aar,naringsregion_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,01,alle,1,18,arbledige_innvkat_land,personer
2006,01,alle,2,108,arbledige_innvkat_land,personer
2006,01,alle,alle,126,arbledige_innvkat_land,personer
2006,01,innvandrere,1,18,arbledige_innvkat_land,personer
2006,01,innvandrere,2,108,arbledige_innvkat_land,personer
2006,01,innvandrere,alle,126,arbledige_innvkat_land,personer
2006,02,alle,1,31,arbledige_innvkat_land,personer
2006,02,alle,2,154,arbledige_innvkat_land,personer
2006,02,alle,alle,185,arbledige_innvkat_land,personer
2006,02,innvandrere,1,31,arbledige_innvkat_land,personer
2006,02,innvandrere,2,154,arbledige_innvkat_land,personer
2006,02,innvandrere,alle,185,arbledige_innvkat_land,personer
2006,03,alle,1,16,arbledige_innvkat_land,personer
2006,03,alle,2,140,arbledige_innvkat_land,personer
2006,03,alle,alle,156,arbledige_innvkat_land,personer
2006,03,innvandrere,1,16,arbledige_innvkat_land,personer
2006,03,innvandrere,2,140,arbledige_innvkat_land,personer
2006,03,innvandrere,alle,156,arbledige_innvkat_land,personer
2006,04,alle,1,52,arbledige_innvkat_land,personer
2006,04,alle,2,525,arbledige_innvkat_land,personer
2006,04,alle,alle,577,arbledige_innvkat_land,personer
2006,04,innvandrere,1,52,arbledige_innvkat_land,personer
2006,04,innvandrere,2,525,arbledige_innvkat_land,personer
2006,04,innvandrere,alle,577,arbledige_innvkat_land,personer
2006,05,alle,1,84,arbledige_innvkat_land,personer
2006,05,alle,2,315,arbledige_innvkat_land,personer
2006,05,alle,alle,399,arbledige_innvkat_land,personer
2006,05,innvandrere,1,84,arbledige_innvkat_land,personer
2006,05,innvandrere,2,315,arbledige_innvkat_land,personer
2006,05,innvandrere,alle,399,arbledige_innvkat_land,personer
2006,06,alle,1,68,arbledige_innvkat_land,personer
2006,06,alle,2,284,arbledige_innvkat_land,personer
2006,06,alle,alle,352,arbledige_innvkat_land,personer
2006,06,innvandrere,1,68,arbledige_innvkat_land,personer
2006,06,innvandrere,2,284,arbledige_innvkat_land,personer
2006,06,innvandrere,alle,352,arbledige_innvkat_land,personer
2006,07,alle,1,64,arbledige_innvkat_land,personer
2006,07,alle,2,519,arbledige_innvkat_land,personer
2006,07,alle,alle,583,arbledige_innvkat_land,personer
2006,07,innvandrere,1,64,arbledige_innvkat_land,personer
2006,07,innvandrere,2,519,arbledige_innvkat_land,personer
2006,07,innvandrere,alle,583,arbledige_innvkat_land,personer
2006,08,alle,1,36,arbledige_innvkat_land,personer
2006,08,alle,2,137,arbledige_innvkat_land,personer
2006,08,alle,alle,173,arbledige_innvkat_land,personer
2006,08,innvandrere,1,36,arbledige_innvkat_land,personer
2006,08,innvandrere,2,137,arbledige_innvkat_land,personer
2006,08,innvandrere,alle,173,arbledige_innvkat_land,personer
2006,09,alle,1,486,arbledige_innvkat_land,personer
2006,09,alle,2,4357,arbledige_innvkat_land,personer
2006,09,alle,alle,4843,arbledige_innvkat_land,personer
2006,09,innvandrere,1,486,arbledige_innvkat_land,personer
2006,09,innvandrere,2,4357,arbledige_innvkat_land,personer
2006,09,innvandrere,alle,4843,arbledige_innvkat_land,personer
2006,10,alle,1,0,arbledige_innvkat_land,personer
2006,10,alle,2,14,arbledige_innvkat_land,personer
2006,10,alle,alle,16,arbledige_innvkat_land,personer
2006,10,innvandrere,1,0,arbledige_innvkat_land,personer
2006,10,innvandrere,2,14,arbledige_innvkat_land,personer
2006,10,innvandrere,alle,16,arbledige_innvkat_land,personer
2006,11,alle,1,26,arbledige_innvkat_land,personer
2006,11,alle,2,81,arbledige_innvkat_land,personer
2006,11,alle,alle,107,arbledige_innvkat_land,personer
2006,11,innvandrere,1,26,arbledige_innvkat_land,personer
2006,11,innvandrere,2,81,arbledige_innvkat_land,personer
2006,11,innvandrere,alle,107,arbledige_innvkat_land,personer
2006,12,alle,1,32,arbledige_innvkat_land,personer
2006,12,alle,2,102,arbledige_innvkat_land,personer
2006,12,alle,alle,134,arbledige_innvkat_land,personer
2006,12,innvandrere,1,32,arbledige_innvkat_land,personer
2006,12,innvandrere,2,102,arbledige_innvkat_land,personer
2006,12,innvandrere,alle,134,arbledige_innvkat_land,personer
2006,13,alle,1,9,arbledige_innvkat_land,personer
2006,13,alle,2,64,arbledige_innvkat_land,personer
2006,13,alle,alle,73,arbledige_innvkat_land,personer
2006,13,innvandrere,1,9,arbledige_innvkat_land,personer
2006,13,innvandrere,2,64,arbledige_innvkat_land,personer
2006,13,innvandrere,alle,73,arbledige_innvkat_land,personer
2006,14,alle,1,19,arbledige_innvkat_land,personer
2006,14,alle,2,104,arbledige_innvkat_land,personer
2006,14,alle,alle,123,arbledige_innvkat_land,personer
2006,14,innvandrere,1,19,arbledige_innvkat_land,personer
2006,14,innvandrere,2,104,arbledige_innvkat_land,personer
2006,14,innvandrere,alle,123,arbledige_innvkat_land,personer
2006,15,alle,1,10,arbledige_innvkat_land,personer
2006,15,alle,2,33,arbledige_innvkat_land,personer
2006,15,alle,alle,43,arbledige_innvkat_land,personer
2006,15,innvandrere,1,10,arbledige_innvkat_land,personer
2006,15,innvandrere,2,33,arbledige_innvkat_land,personer
2006,15,innvandrere,alle,43,arbledige_innvkat_land,personer
2006,16,alle,1,16,arbledige_innvkat_land,personer
2006,16,alle,2,55,arbledige_innvkat_land,personer
