aar,bydel_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,00,alle,1,0,2895,ikke_arbutd_innvkat_land,personer
2006,00,alle,1,1,1505,ikke_arbutd_innvkat_land,personer
2006,00,alle,1,alle,4400,ikke_arbutd_innvkat_land,personer
2006,00,alle,2,0,6561,ikke_arbutd_innvkat_land,personer
2006,00,alle,2,1,5910,ikke_arbutd_innvkat_land,personer
2006,00,alle,2,alle,12471,ikke_arbutd_innvkat_land,personer
2006,00,alle,alle,0,9456,ikke_arbutd_innvkat_land,personer
2006,00,alle,alle,1,7415,ikke_arbutd_innvkat_land,personer
2006,00,alle,alle,alle,16871,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,1,0,2895,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,1,1,1505,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,1,alle,4400,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,2,0,6561,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,2,1,5910,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,2,alle,12471,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,alle,0,9456,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,alle,1,7415,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,alle,alle,16871,ikke_arbutd_innvkat_land,personer
2006,030101,alle,1,0,88,ikke_arbutd_innvkat_land,personer
2006,030101,alle,1,1,41,ikke_arbutd_innvkat_land,personer
2006,030101,alle,1,alle,129,ikke_arbutd_innvkat_land,personer
2006,030101,alle,2,0,141,ikke_arbutd_innvkat_land,personer
2006,030101,alle,2,1,114,ikke_arbutd_innvkat_land,personer
2006,030101,alle,2,alle,255,ikke_arbutd_innvkat_land,personer
2006,030101,alle,alle,0,229,ikke_arbutd_innvkat_land,personer
2006,030101,alle,alle,1,155,ikke_arbutd_innvkat_land,personer
2006,030101,alle,alle,alle,384,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,1,0,88,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,1,1,41,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,1,alle,129,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,2,0,141,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,2,1,114,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,2,alle,255,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,alle,0,229,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,alle,1,155,ikke_arbutd_innvkat_land,personer
2006,030101,innvandrere,alle,alle,384,ikke_arbutd_innvkat_land,personer
2006,030102,alle,1,0,85,ikke_arbutd_innvkat_land,personer
2006,030102,alle,1,1,49,ikke_arbutd_innvkat_land,personer
2006,030102,alle,1,alle,134,ikke_arbutd_innvkat_land,personer
2006,030102,alle,2,0,114,ikke_arbutd_innvkat_land,personer
2006,030102,alle,2,1,116,ikke_arbutd_innvkat_land,personer
2006,030102,alle,2,alle,230,ikke_arbutd_innvkat_land,personer
2006,030102,alle,alle,0,199,ikke_arbutd_innvkat_land,personer
2006,030102,alle,alle,1,165,ikke_arbutd_innvkat_land,personer
