aar,fylke_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,00,alle,1,0,12608,ikke_arbutd_innvkat_land,personer
2006,00,alle,1,1,11010,ikke_arbutd_innvkat_land,personer
2006,00,alle,1,alle,23618,ikke_arbutd_innvkat_land,personer
2006,00,alle,2,0,41572,ikke_arbutd_innvkat_land,personer
2006,00,alle,2,1,27950,ikke_arbutd_innvkat_land,personer
2006,00,alle,2,alle,69522,ikke_arbutd_innvkat_land,personer
2006,00,alle,alle,0,317136,ikke_arbutd_innvkat_land,personer
2006,00,alle,alle,1,243518,ikke_arbutd_innvkat_land,personer
2006,00,alle,alle,alle,560654,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,1,0,0,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,1,1,0,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,1,alle,0,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,2,0,0,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,2,1,0,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,2,alle,0,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,alle,0,262956,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,alle,1,204558,ikke_arbutd_innvkat_land,personer
2006,00,befolkningen_ellers,alle,alle,467514,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,1,0,12608,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,1,1,11010,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,1,alle,23618,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,2,0,41572,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,2,1,27950,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,2,alle,69522,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,alle,0,54180,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,alle,1,38960,ikke_arbutd_innvkat_land,personer
2006,00,innvandrere,alle,alle,93140,ikke_arbutd_innvkat_land,personer
2006,01,alle,1,0,793,ikke_arbutd_innvkat_land,personer
2006,01,alle,1,1,606,ikke_arbutd_innvkat_land,personer
2006,01,alle,1,alle,1399,ikke_arbutd_innvkat_land,personer
2006,01,alle,2,0,2572,ikke_arbutd_innvkat_land,personer
2006,01,alle,2,1,1752,ikke_arbutd_innvkat_land,personer
2006,01,alle,2,alle,4324,ikke_arbutd_innvkat_land,personer
2006,01,alle,alle,0,21307,ikke_arbutd_innvkat_land,personer
2006,01,alle,alle,1,15662,ikke_arbutd_innvkat_land,personer
2006,01,alle,alle,alle,36969,ikke_arbutd_innvkat_land,personer
2006,01,befolkningen_ellers,1,0,0,ikke_arbutd_innvkat_land,personer
2006,01,befolkningen_ellers,1,1,0,ikke_arbutd_innvkat_land,personer
2006,01,befolkningen_ellers,1,alle,0,ikke_arbutd_innvkat_land,personer
