aar,naringsregion_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,01,alle,1,0,17,ikke_arbutd_innvkat_land,personer
2006,01,alle,1,1,8,ikke_arbutd_innvkat_land,personer
2006,01,alle,1,alle,25,ikke_arbutd_innvkat_land,personer
2006,01,alle,2,0,33,ikke_arbutd_innvkat_land,personer
2006,01,alle,2,1,32,ikke_arbutd_innvkat_land,personer
2006,01,alle,2,alle,65,ikke_arbutd_innvkat_land,personer
2006,01,alle,alle,0,50,ikke_arbutd_innvkat_land,personer
2006,01,alle,alle,1,40,ikke_arbutd_innvkat_land,personer
2006,01,alle,alle,alle,90,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,1,0,17,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,1,1,8,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,1,alle,25,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,2,0,33,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,2,1,32,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,2,alle,65,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,alle,0,50,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,alle,1,40,ikke_arbutd_innvkat_land,personer
2006,01,innvandrere,alle,alle,90,ikke_arbutd_innvkat_land,personer
2006,02,alle,1,0,17,ikke_arbutd_innvkat_land,personer
2006,02,alle,1,1,7,ikke_arbutd_innvkat_land,personer
2006,02,alle,1,alle,24,ikke_arbutd_innvkat_land,personer
2006,02,alle,2,0,46,ikke_arbutd_innvkat_land,personer
2006,02,alle,2,1,37,ikke_arbutd_innvkat_land,personer
2006,02,alle,2,alle,83,ikke_arbutd_innvkat_land,personer
2006,02,alle,alle,0,63,ikke_arbutd_innvkat_land,personer
2006,02,alle,alle,1,44,ikke_arbutd_innvkat_land,personer
2006,02,alle,alle,alle,107,ikke_arbutd_innvkat_land,personer
2006,02,innvandrere,1,0,17,ikke_arbutd_innvkat_land,personer
2006,02,innvandrere,1,1,7,ikke_arbutd_innvkat_land,personer
