aar,fylke_nr,innvkat_3,kjonn,aldersinndeling_etter_grskole,tabellvariabel,tabell_navn,enhet
2006,00,alle,0,16_25,31171,ikke_arbutd_innvkat_alder,personer
2006,00,alle,0,26_66,285965,ikke_arbutd_innvkat_alder,personer
2006,00,alle,0,alle,317136,ikke_arbutd_innvkat_alder,personer
2006,00,alle,1,16_25,29913,ikke_arbutd_innvkat_alder,personer
2006,00,alle,1,26_66,213605,ikke_arbutd_innvkat_alder,personer
2006,00,alle,1,alle,243518,ikke_arbutd_innvkat_alder,personer
2006,00,alle,alle,16_25,61084,ikke_arbutd_innvkat_alder,personer
2006,00,alle,alle,26_66,499570,ikke_arbutd_innvkat_alder,personer
2006,00,alle,alle,alle,560654,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,0,16_25,22352,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,0,26_66,240604,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,0,alle,262956,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,1,16_25,24312,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,1,26_66,180246,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,1,alle,204558,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,16_25,46664,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,26_66,420850,ikke_arbutd_innvkat_alder,personer
2006,00,befolkningen_ellers,alle,alle,467514,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,0,16_25,8819,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,0,26_66,45361,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,0,alle,54180,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,1,16_25,5601,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,1,26_66,33359,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,1,alle,38960,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,alle,16_25,14420,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,alle,26_66,78720,ikke_arbutd_innvkat_alder,personer
2006,00,innvandrere,alle,alle,93140,ikke_arbutd_innvkat_alder,personer
2006,01,alle,0,16_25,1864,ikke_arbutd_innvkat_alder,personer
2006,01,alle,0,26_66,19443,ikke_arbutd_innvkat_alder,personer
2006,01,alle,0,alle,21307,ikke_arbutd_innvkat_alder,personer
2006,01,alle,1,16_25,1723,ikke_arbutd_innvkat_alder,personer
2006,01,alle,1,26_66,13939,ikke_arbutd_innvkat_alder,personer
2006,01,alle,1,alle,15662,ikke_arbutd_innvkat_alder,personer
2006,01,alle,alle,16_25,3587,ikke_arbutd_innvkat_alder,personer
2006,01,alle,alle,26_66,33382,ikke_arbutd_innvkat_alder,personer
2006,01,alle,alle,alle,36969,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,0,16_25,1370,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,0,26_66,16572,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,0,alle,17942,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,1,16_25,1441,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,1,26_66,11863,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,1,alle,13304,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,alle,16_25,2811,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,alle,26_66,28435,ikke_arbutd_innvkat_alder,personer
2006,01,befolkningen_ellers,alle,alle,31246,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,0,16_25,494,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,0,26_66,2871,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,0,alle,3365,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,1,16_25,282,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,1,26_66,2076,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,1,alle,2358,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,alle,16_25,776,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,alle,26_66,4947,ikke_arbutd_innvkat_alder,personer
2006,01,innvandrere,alle,alle,5723,ikke_arbutd_innvkat_alder,personer
2006,02,alle,0,16_25,2726,ikke_arbutd_innvkat_alder,personer
2006,02,alle,0,26_66,28658,ikke_arbutd_innvkat_alder,personer
2006,02,alle,0,alle,31384,ikke_arbutd_innvkat_alder,personer
2006,02,alle,1,16_25,2834,ikke_arbutd_innvkat_alder,personer
2006,02,alle,1,26_66,19509,ikke_arbutd_innvkat_alder,personer
2006,02,alle,1,alle,22343,ikke_arbutd_innvkat_alder,personer
2006,02,alle,alle,16_25,5560,ikke_arbutd_innvkat_alder,personer
2006,02,alle,alle,26_66,48167,ikke_arbutd_innvkat_alder,personer
2006,02,alle,alle,alle,53727,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,0,16_25,1777,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,0,26_66,23319,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,0,alle,25096,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,1,16_25,2287,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,1,26_66,16036,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,1,alle,18323,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,alle,16_25,4064,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,alle,26_66,39355,ikke_arbutd_innvkat_alder,personer
2006,02,befolkningen_ellers,alle,alle,43419,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,0,16_25,949,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,0,26_66,5339,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,0,alle,6288,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,1,16_25,547,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,1,26_66,3473,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,1,alle,4020,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,alle,16_25,1496,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,alle,26_66,8812,ikke_arbutd_innvkat_alder,personer
2006,02,innvandrere,alle,alle,10308,ikke_arbutd_innvkat_alder,personer
2006,03,alle,0,16_25,4911,ikke_arbutd_innvkat_alder,personer
2006,03,alle,0,26_66,36984,ikke_arbutd_innvkat_alder,personer
2006,03,alle,0,alle,41895,ikke_arbutd_innvkat_alder,personer
2006,03,alle,1,16_25,4208,ikke_arbutd_innvkat_alder,personer
2006,03,alle,1,26_66,31304,ikke_arbutd_innvkat_alder,personer
2006,03,alle,1,alle,35512,ikke_arbutd_innvkat_alder,personer
2006,03,alle,alle,16_25,9119,ikke_arbutd_innvkat_alder,personer
