aar,fylke_nr,innvgrunn_6,kjonn,tabellvariabel,tabell_navn,enhet
2006,00,alle,0,82701,sysselsatte_innvandringsgrunn,personer
2006,00,alle,1,98710,sysselsatte_innvandringsgrunn,personer
2006,00,alle,alle,181411,sysselsatte_innvandringsgrunn,personer
2006,00,annet,0,384,sysselsatte_innvandringsgrunn,personer
2006,00,annet,1,423,sysselsatte_innvandringsgrunn,personer
2006,00,annet,alle,807,sysselsatte_innvandringsgrunn,personer
2006,00,arbeid,0,17696,sysselsatte_innvandringsgrunn,personer
2006,00,arbeid,1,34280,sysselsatte_innvandringsgrunn,personer
2006,00,arbeid,alle,51976,sysselsatte_innvandringsgrunn,personer
2006,00,familie,0,37197,sysselsatte_innvandringsgrunn,personer
2006,00,familie,1,25534,sysselsatte_innvandringsgrunn,personer
2006,00,familie,alle,62731,sysselsatte_innvandringsgrunn,personer
2006,00,flukt,0,15038,sysselsatte_innvandringsgrunn,personer
2006,00,flukt,1,28797,sysselsatte_innvandringsgrunn,personer
2006,00,flukt,alle,43835,sysselsatte_innvandringsgrunn,personer
2006,00,uoppgitt,0,7203,sysselsatte_innvandringsgrunn,personer
2006,00,uoppgitt,1,6026,sysselsatte_innvandringsgrunn,personer
2006,00,uoppgitt,alle,13229,sysselsatte_innvandringsgrunn,personer
2006,00,utdanning,0,5183,sysselsatte_innvandringsgrunn,personer
2006,00,utdanning,1,3650,sysselsatte_innvandringsgrunn,personer
2006,00,utdanning,alle,8833,sysselsatte_innvandringsgrunn,personer
2006,01,alle,0,4008,sysselsatte_innvandringsgrunn,personer
2006,01,alle,1,4919,sysselsatte_innvandringsgrunn,personer
2006,01,alle,alle,8927,sysselsatte_innvandringsgrunn,personer
2006,01,annet,0,16,sysselsatte_innvandringsgrunn,personer
2006,01,annet,1,21,sysselsatte_innvandringsgrunn,personer
2006,01,annet,alle,37,sysselsatte_innvandringsgrunn,personer
2006,01,arbeid,0,685,sysselsatte_innvandringsgrunn,personer
2006,01,arbeid,1,1486,sysselsatte_innvandringsgrunn,personer
2006,01,arbeid,alle,2171,sysselsatte_innvandringsgrunn,personer
2006,01,familie,0,1693,sysselsatte_innvandringsgrunn,personer
2006,01,familie,1,1051,sysselsatte_innvandringsgrunn,personer
2006,01,familie,alle,2744,sysselsatte_innvandringsgrunn,personer
2006,01,flukt,0,1033,sysselsatte_innvandringsgrunn,personer
2006,01,flukt,1,1812,sysselsatte_innvandringsgrunn,personer
2006,01,flukt,alle,2845,sysselsatte_innvandringsgrunn,personer
2006,01,uoppgitt,0,447,sysselsatte_innvandringsgrunn,personer
2006,01,uoppgitt,1,447,sysselsatte_innvandringsgrunn,personer
2006,01,uoppgitt,alle,894,sysselsatte_innvandringsgrunn,personer
2006,01,utdanning,0,134,sysselsatte_innvandringsgrunn,personer
2006,01,utdanning,1,102,sysselsatte_innvandringsgrunn,personer
2006,01,utdanning,alle,236,sysselsatte_innvandringsgrunn,personer
2006,02,alle,0,11941,sysselsatte_innvandringsgrunn,personer
2006,02,alle,1,13087,sysselsatte_innvandringsgrunn,personer
2006,02,alle,alle,25028,sysselsatte_innvandringsgrunn,personer
2006,02,annet,0,67,sysselsatte_innvandringsgrunn,personer
2006,02,annet,1,49,sysselsatte_innvandringsgrunn,personer
2006,02,annet,alle,116,sysselsatte_innvandringsgrunn,personer
2006,02,arbeid,0,2816,sysselsatte_innvandringsgrunn,personer
2006,02,arbeid,1,4721,sysselsatte_innvandringsgrunn,personer
2006,02,arbeid,alle,7537,sysselsatte_innvandringsgrunn,personer
2006,02,familie,0,4789,sysselsatte_innvandringsgrunn,personer
2006,02,familie,1,3412,sysselsatte_innvandringsgrunn,personer
2006,02,familie,alle,8201,sysselsatte_innvandringsgrunn,personer
2006,02,flukt,0,2034,sysselsatte_innvandringsgrunn,personer
2006,02,flukt,1,3440,sysselsatte_innvandringsgrunn,personer
2006,02,flukt,alle,5474,sysselsatte_innvandringsgrunn,personer
2006,02,uoppgitt,0,1486,sysselsatte_innvandringsgrunn,personer
2006,02,uoppgitt,1,1004,sysselsatte_innvandringsgrunn,personer
2006,02,uoppgitt,alle,2490,sysselsatte_innvandringsgrunn,personer
2006,02,utdanning,0,749,sysselsatte_innvandringsgrunn,personer
2006,02,utdanning,1,461,sysselsatte_innvandringsgrunn,personer
2006,02,utdanning,alle,1210,sysselsatte_innvandringsgrunn,personer
2006,03,alle,0,22852,sysselsatte_innvandringsgrunn,personer
2006,03,alle,1,29775,sysselsatte_innvandringsgrunn,personer
2006,03,alle,alle,52627,sysselsatte_innvandringsgrunn,personer
2006,03,annet,0,149,sysselsatte_innvandringsgrunn,personer
2006,03,annet,1,155,sysselsatte_innvandringsgrunn,personer
2006,03,annet,alle,304,sysselsatte_innvandringsgrunn,personer
2006,03,arbeid,0,5291,sysselsatte_innvandringsgrunn,personer
2006,03,arbeid,1,8915,sysselsatte_innvandringsgrunn,personer
2006,03,arbeid,alle,14206,sysselsatte_innvandringsgrunn,personer
2006,03,familie,0,10426,sysselsatte_innvandringsgrunn,personer
2006,03,familie,1,9989,sysselsatte_innvandringsgrunn,personer
2006,03,familie,alle,20415,sysselsatte_innvandringsgrunn,personer
2006,03,flukt,0,3881,sysselsatte_innvandringsgrunn,personer
2006,03,flukt,1,8447,sysselsatte_innvandringsgrunn,personer
2006,03,flukt,alle,12328,sysselsatte_innvandringsgrunn,personer
2006,03,uoppgitt,0,1390,sysselsatte_innvandringsgrunn,personer
2006,03,uoppgitt,1,1083,sysselsatte_innvandringsgrunn,personer
