aar,naringsregion_nr,innvkat_3,kjonn,aldersinndeling_etter_grskole,tabellvariabel,tabell_navn,enhet
2006,15,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,48,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,54,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,57,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,58,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,62,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,66,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,0,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,0,alle,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,1,alle,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,alle,16_25,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,alle,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,70,innvandrere,alle,alle,0,ikke_arbutd_innvkat_alder,personer
2007,18,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,45,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2007,66,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,0,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,0,alle,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,alle,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,18,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,31,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,48,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,66,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2008,66,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2008,66,innvandrere,alle,16_25,0,ikke_arbutd_innvkat_alder,personer
2008,70,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2009,21,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2009,48,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2009,58,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2009,62,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2010,58,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2010,59,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2010,66,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2010,70,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2011,66,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2012,70,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2013,48,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2013,48,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2013,48,innvandrere,1,alle,0,ikke_arbutd_innvkat_alder,personer
2013,62,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2013,66,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2013,70,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2014,48,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2014,48,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2014,48,innvandrere,1,alle,0,ikke_arbutd_innvkat_alder,personer
2006,10,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,17,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2006,45,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,62,innvandrere,0,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,62,innvandrere,alle,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,65,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2006,71,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2006,71,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,45,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,48,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,58,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,62,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,65,innvandrere,0,26_66,0,ikke_arbutd_innvkat_alder,personer
2007,68,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,1,16_25,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,1,alle,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,alle,16_25,0,ikke_arbutd_innvkat_alder,personer
2007,70,innvandrere,alle,alle,0,ikke_arbutd_innvkat_alder,personer
2008,45,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,48,innvandrere,0,16_25,0,ikke_arbutd_innvkat_alder,personer
2008,57,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,62,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
2008,66,innvandrere,1,26_66,0,ikke_arbutd_innvkat_alder,personer
