aar,naringsregion_nr,innvgrunn_6,kjonn,tabellvariabel,tabell_navn,enhet
2006,15,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,18,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,28,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,28,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,28,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2006,31,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,31,utdanning,0,0,sysselsatte_innvandringsgrunn,personer
2006,31,utdanning,alle,0,sysselsatte_innvandringsgrunn,personer
2006,36,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,41,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,48,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,58,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,60,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,60,utdanning,1,0,sysselsatte_innvandringsgrunn,personer
2006,65,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,65,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,65,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2006,66,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,67,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,69,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,71,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,71,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2006,72,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,73,annet,1,0,sysselsatte_innvandringsgrunn,personer
2006,75,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,80,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,81,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,02,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,08,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,08,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,08,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,11,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,12,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,14,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,14,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,14,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,15,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,15,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,24,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,29,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,29,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,31,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,31,utdanning,0,0,sysselsatte_innvandringsgrunn,personer
2007,38,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,41,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,45,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,45,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,46,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,46,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,48,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,48,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,48,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,49,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,52,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,54,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,57,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,60,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,65,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,65,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,66,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,67,utdanning,0,0,sysselsatte_innvandringsgrunn,personer
2007,68,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,68,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,75,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,76,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,77,annet,1,0,sysselsatte_innvandringsgrunn,personer
2007,77,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2007,79,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,80,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,82,annet,0,0,sysselsatte_innvandringsgrunn,personer
2007,82,annet,alle,0,sysselsatte_innvandringsgrunn,personer
2008,02,annet,0,0,sysselsatte_innvandringsgrunn,personer
2008,02,annet,1,0,sysselsatte_innvandringsgrunn,personer
2008,02,annet,alle,0,sysselsatte_innvandringsgrunn,personer
