fylke_nr,innvkat_2,aar,tabellvariabel,tabellnavn,enhet
01,alle,2006,128114,sysselsatte_innvkat,personer
01,befolkningen_ellers,2006,119187,sysselsatte_innvkat,personer
01,innvandrere,2006,8927,sysselsatte_innvkat,personer
02,alle,2006,266747,sysselsatte_innvkat,personer
02,befolkningen_ellers,2006,241718,sysselsatte_innvkat,personer
02,innvandrere,2006,25029,sysselsatte_innvkat,personer
03,alle,2006,293464,sysselsatte_innvkat,personer
03,befolkningen_ellers,2006,240830,sysselsatte_innvkat,personer
03,innvandrere,2006,52634,sysselsatte_innvkat,personer
04,alle,2006,91831,sysselsatte_innvkat,personer
04,befolkningen_ellers,2006,87936,sysselsatte_innvkat,personer
04,innvandrere,2006,3895,sysselsatte_innvkat,personer
05,alle,2006,93270,sysselsatte_innvkat,personer
05,befolkningen_ellers,2006,89442,sysselsatte_innvkat,personer
05,innvandrere,2006,3828,sysselsatte_innvkat,personer
06,alle,2006,127955,sysselsatte_innvkat,personer
06,befolkningen_ellers,2006,117529,sysselsatte_innvkat,personer
06,innvandrere,2006,10426,sysselsatte_innvkat,personer
07,alle,2006,110185,sysselsatte_innvkat,personer
07,befolkningen_ellers,2006,103190,sysselsatte_innvkat,personer
07,innvandrere,2006,6995,sysselsatte_innvkat,personer
08,alle,2006,81116,sysselsatte_innvkat,personer
08,befolkningen_ellers,2006,76778,sysselsatte_innvkat,personer
08,innvandrere,2006,4338,sysselsatte_innvkat,personer
09,alle,2006,50814,sysselsatte_innvkat,personer
09,befolkningen_ellers,2006,48252,sysselsatte_innvkat,personer
09,innvandrere,2006,2562,sysselsatte_innvkat,personer
10,alle,2006,80514,sysselsatte_innvkat,personer
10,befolkningen_ellers,2006,75020,sysselsatte_innvkat,personer
10,innvandrere,2006,5494,sysselsatte_innvkat,personer
11,alle,2006,211699,sysselsatte_innvkat,personer
11,befolkningen_ellers,2006,195787,sysselsatte_innvkat,personer
11,innvandrere,2006,15912,sysselsatte_innvkat,personer
12,alle,2006,234654,sysselsatte_innvkat,personer
12,befolkningen_ellers,2006,220789,sysselsatte_innvkat,personer
12,innvandrere,2006,13865,sysselsatte_innvkat,personer
14,alle,2006,55170,sysselsatte_innvkat,personer
14,befolkningen_ellers,2006,52786,sysselsatte_innvkat,personer
14,innvandrere,2006,2384,sysselsatte_innvkat,personer
15,alle,2006,125809,sysselsatte_innvkat,personer
15,befolkningen_ellers,2006,120449,sysselsatte_innvkat,personer
15,innvandrere,2006,5360,sysselsatte_innvkat,personer
16,alle,2006,144048,sysselsatte_innvkat,personer
16,befolkningen_ellers,2006,136513,sysselsatte_innvkat,personer
16,innvandrere,2006,7535,sysselsatte_innvkat,personer
17,alle,2006,63567,sysselsatte_innvkat,personer
17,befolkningen_ellers,2006,61808,sysselsatte_innvkat,personer
17,innvandrere,2006,1759,sysselsatte_innvkat,personer
18,alle,2006,114533,sysselsatte_innvkat,personer
18,befolkningen_ellers,2006,110524,sysselsatte_innvkat,personer
18,innvandrere,2006,4009,sysselsatte_innvkat,personer
19,alle,2006,79042,sysselsatte_innvkat,personer
19,befolkningen_ellers,2006,75001,sysselsatte_innvkat,personer
19,innvandrere,2006,4041,sysselsatte_innvkat,personer
20,alle,2006,36470,sysselsatte_innvkat,personer
20,befolkningen_ellers,2006,34043,sysselsatte_innvkat,personer
20,innvandrere,2006,2427,sysselsatte_innvkat,personer
alle,alle,2006,2389002,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2006,2207582,sysselsatte_innvkat,personer
alle,innvandrere,2006,181420,sysselsatte_innvkat,personer
01,alle,2007,132252,sysselsatte_innvkat,personer
01,befolkningen_ellers,2007,121884,sysselsatte_innvkat,personer
01,innvandrere,2007,10368,sysselsatte_innvkat,personer
02,alle,2007,277172,sysselsatte_innvkat,personer
02,befolkningen_ellers,2007,248309,sysselsatte_innvkat,personer
02,innvandrere,2007,28863,sysselsatte_innvkat,personer
03,alle,2007,307456,sysselsatte_innvkat,personer
03,befolkningen_ellers,2007,248080,sysselsatte_innvkat,personer
03,innvandrere,2007,59376,sysselsatte_innvkat,personer
04,alle,2007,94200,sysselsatte_innvkat,personer
04,befolkningen_ellers,2007,89757,sysselsatte_innvkat,personer
04,innvandrere,2007,4443,sysselsatte_innvkat,personer
05,alle,2007,95555,sysselsatte_innvkat,personer
05,befolkningen_ellers,2007,91063,sysselsatte_innvkat,personer
05,innvandrere,2007,4492,sysselsatte_innvkat,personer
06,alle,2007,133135,sysselsatte_innvkat,personer
06,befolkningen_ellers,2007,120868,sysselsatte_innvkat,personer
06,innvandrere,2007,12267,sysselsatte_innvkat,personer
07,alle,2007,114922,sysselsatte_innvkat,personer
07,befolkningen_ellers,2007,106364,sysselsatte_innvkat,personer
07,innvandrere,2007,8558,sysselsatte_innvkat,personer
08,alle,2007,83414,sysselsatte_innvkat,personer
08,befolkningen_ellers,2007,78319,sysselsatte_innvkat,personer
08,innvandrere,2007,5095,sysselsatte_innvkat,personer
09,alle,2007,53374,sysselsatte_innvkat,personer
09,befolkningen_ellers,2007,50178,sysselsatte_innvkat,personer
09,innvandrere,2007,3196,sysselsatte_innvkat,personer
10,alle,2007,84724,sysselsatte_innvkat,personer
10,befolkningen_ellers,2007,78157,sysselsatte_innvkat,personer
10,innvandrere,2007,6567,sysselsatte_innvkat,personer
11,alle,2007,222984,sysselsatte_innvkat,personer
11,befolkningen_ellers,2007,202951,sysselsatte_innvkat,personer
11,innvandrere,2007,20033,sysselsatte_innvkat,personer
