aar,naringsregion_nr,innvkat_2,tabellvariabel,tabell_navn,enhet
2006,01,alle,13148,sysselsatte_innvkat,personer
2006,01,befolkningen_ellers,12315,sysselsatte_innvkat,personer
2006,01,innvandrere,833,sysselsatte_innvkat,personer
2006,02,alle,27998,sysselsatte_innvkat,personer
2006,02,befolkningen_ellers,26138,sysselsatte_innvkat,personer
2006,02,innvandrere,1860,sysselsatte_innvkat,personer
2006,03,alle,26387,sysselsatte_innvkat,personer
2006,03,befolkningen_ellers,24367,sysselsatte_innvkat,personer
2006,03,innvandrere,2020,sysselsatte_innvkat,personer
2006,04,alle,60562,sysselsatte_innvkat,personer
2006,04,befolkningen_ellers,56348,sysselsatte_innvkat,personer
2006,04,innvandrere,4214,sysselsatte_innvkat,personer
2006,05,alle,81884,sysselsatte_innvkat,personer
2006,05,befolkningen_ellers,72443,sysselsatte_innvkat,personer
2006,05,innvandrere,9441,sysselsatte_innvkat,personer
2006,06,alle,62961,sysselsatte_innvkat,personer
2006,06,befolkningen_ellers,57489,sysselsatte_innvkat,personer
2006,06,innvandrere,5472,sysselsatte_innvkat,personer
2006,07,alle,78892,sysselsatte_innvkat,personer
2006,07,befolkningen_ellers,71474,sysselsatte_innvkat,personer
2006,07,innvandrere,7418,sysselsatte_innvkat,personer
2006,08,alle,42976,sysselsatte_innvkat,personer
2006,08,befolkningen_ellers,40279,sysselsatte_innvkat,personer
2006,08,innvandrere,2697,sysselsatte_innvkat,personer
2006,09,alle,293422,sysselsatte_innvkat,personer
2006,09,befolkningen_ellers,240795,sysselsatte_innvkat,personer
2006,09,innvandrere,52627,sysselsatte_innvkat,personer
2006,10,alle,7972,sysselsatte_innvkat,personer
2006,10,befolkningen_ellers,7663,sysselsatte_innvkat,personer
2006,10,innvandrere,309,sysselsatte_innvkat,personer
2006,11,alle,25042,sysselsatte_innvkat,personer
2006,11,befolkningen_ellers,23988,sysselsatte_innvkat,personer
2006,11,innvandrere,1054,sysselsatte_innvkat,personer
2006,12,alle,42218,sysselsatte_innvkat,personer
2006,12,befolkningen_ellers,40392,sysselsatte_innvkat,personer
2006,12,innvandrere,1826,sysselsatte_innvkat,personer
2006,13,alle,16577,sysselsatte_innvkat,personer
2006,13,befolkningen_ellers,15871,sysselsatte_innvkat,personer
2006,13,innvandrere,706,sysselsatte_innvkat,personer
2006,14,alle,34958,sysselsatte_innvkat,personer
2006,14,befolkningen_ellers,33479,sysselsatte_innvkat,personer
2006,14,innvandrere,1479,sysselsatte_innvkat,personer
2006,15,alle,14307,sysselsatte_innvkat,personer
2006,15,befolkningen_ellers,13747,sysselsatte_innvkat,personer
2006,15,innvandrere,560,sysselsatte_innvkat,personer
2006,16,alle,18888,sysselsatte_innvkat,personer
2006,16,befolkningen_ellers,17866,sysselsatte_innvkat,personer
2006,16,innvandrere,1022,sysselsatte_innvkat,personer
2006,17,alle,6843,sysselsatte_innvkat,personer
2006,17,befolkningen_ellers,6640,sysselsatte_innvkat,personer
2006,17,innvandrere,203,sysselsatte_innvkat,personer
2006,18,alle,10120,sysselsatte_innvkat,personer
2006,18,befolkningen_ellers,9877,sysselsatte_innvkat,personer
2006,18,innvandrere,243,sysselsatte_innvkat,personer
2006,19,alle,9504,sysselsatte_innvkat,personer
2006,19,befolkningen_ellers,9122,sysselsatte_innvkat,personer
2006,19,innvandrere,382,sysselsatte_innvkat,personer
2006,20,alle,81244,sysselsatte_innvkat,personer
2006,20,befolkningen_ellers,73635,sysselsatte_innvkat,personer
2006,20,innvandrere,7609,sysselsatte_innvkat,personer
2006,21,alle,10927,sysselsatte_innvkat,personer
2006,21,befolkningen_ellers,10099,sysselsatte_innvkat,personer
2006,21,innvandrere,828,sysselsatte_innvkat,personer
2006,22,alle,16115,sysselsatte_innvkat,personer
2006,22,befolkningen_ellers,15155,sysselsatte_innvkat,personer
2006,22,innvandrere,960,sysselsatte_innvkat,personer
2006,23,alle,9497,sysselsatte_innvkat,personer
2006,23,befolkningen_ellers,9151,sysselsatte_innvkat,personer
2006,23,innvandrere,346,sysselsatte_innvkat,personer
2006,24,alle,17246,sysselsatte_innvkat,personer
2006,24,befolkningen_ellers,16200,sysselsatte_innvkat,personer
2006,24,innvandrere,1046,sysselsatte_innvkat,personer
2006,25,alle,61552,sysselsatte_innvkat,personer
2006,25,befolkningen_ellers,57695,sysselsatte_innvkat,personer
2006,25,innvandrere,3857,sysselsatte_innvkat,personer
2006,26,alle,41532,sysselsatte_innvkat,personer
2006,26,befolkningen_ellers,38757,sysselsatte_innvkat,personer
2006,26,innvandrere,2775,sysselsatte_innvkat,personer
2006,27,alle,55918,sysselsatte_innvkat,personer
2006,27,befolkningen_ellers,52754,sysselsatte_innvkat,personer
2006,27,innvandrere,3164,sysselsatte_innvkat,personer
2006,28,alle,7900,sysselsatte_innvkat,personer
2006,28,befolkningen_ellers,7553,sysselsatte_innvkat,personer
2006,28,innvandrere,347,sysselsatte_innvkat,personer
2006,29,alle,9744,sysselsatte_innvkat,personer
2006,29,befolkningen_ellers,9231,sysselsatte_innvkat,personer
2006,29,innvandrere,513,sysselsatte_innvkat,personer
2006,30,alle,7536,sysselsatte_innvkat,personer
2006,30,befolkningen_ellers,7223,sysselsatte_innvkat,personer
2006,30,innvandrere,313,sysselsatte_innvkat,personer
2006,31,alle,3575,sysselsatte_innvkat,personer
2006,31,befolkningen_ellers,3394,sysselsatte_innvkat,personer
2006,31,innvandrere,181,sysselsatte_innvkat,personer
2006,32,alle,39969,sysselsatte_innvkat,personer
2006,32,befolkningen_ellers,37942,sysselsatte_innvkat,personer
2006,32,innvandrere,2027,sysselsatte_innvkat,personer
2006,33,alle,17163,sysselsatte_innvkat,personer
2006,33,befolkningen_ellers,16295,sysselsatte_innvkat,personer
2006,33,innvandrere,868,sysselsatte_innvkat,personer
2006,34,alle,11258,sysselsatte_innvkat,personer
2006,34,befolkningen_ellers,10767,sysselsatte_innvkat,personer
2006,34,innvandrere,491,sysselsatte_innvkat,personer
2006,35,alle,59344,sysselsatte_innvkat,personer
2006,35,befolkningen_ellers,54856,sysselsatte_innvkat,personer
2006,35,innvandrere,4488,sysselsatte_innvkat,personer
2006,36,alle,11543,sysselsatte_innvkat,personer
2006,36,befolkningen_ellers,11044,sysselsatte_innvkat,personer
2006,36,innvandrere,499,sysselsatte_innvkat,personer
2006,37,alle,47051,sysselsatte_innvkat,personer
2006,37,befolkningen_ellers,44455,sysselsatte_innvkat,personer
2006,37,innvandrere,2596,sysselsatte_innvkat,personer
2006,38,alle,10958,sysselsatte_innvkat,personer
2006,38,befolkningen_ellers,10461,sysselsatte_innvkat,personer
2006,38,innvandrere,497,sysselsatte_innvkat,personer
2006,39,alle,142125,sysselsatte_innvkat,personer
2006,39,befolkningen_ellers,129806,sysselsatte_innvkat,personer
2006,39,innvandrere,12319,sysselsatte_innvkat,personer
2006,40,alle,126751,sysselsatte_innvkat,personer
2006,40,befolkningen_ellers,116858,sysselsatte_innvkat,personer
2006,40,innvandrere,9893,sysselsatte_innvkat,personer
2006,41,alle,11410,sysselsatte_innvkat,personer
2006,41,befolkningen_ellers,10915,sysselsatte_innvkat,personer
2006,41,innvandrere,495,sysselsatte_innvkat,personer
2006,42,alle,11559,sysselsatte_innvkat,personer
2006,42,befolkningen_ellers,11113,sysselsatte_innvkat,personer
2006,42,innvandrere,446,sysselsatte_innvkat,personer
2006,43,alle,7012,sysselsatte_innvkat,personer
2006,43,befolkningen_ellers,6776,sysselsatte_innvkat,personer
2006,43,innvandrere,236,sysselsatte_innvkat,personer
2006,44,alle,14983,sysselsatte_innvkat,personer
2006,44,befolkningen_ellers,14542,sysselsatte_innvkat,personer
2006,44,innvandrere,441,sysselsatte_innvkat,personer
2006,45,alle,5760,sysselsatte_innvkat,personer
2006,45,befolkningen_ellers,5601,sysselsatte_innvkat,personer
2006,45,innvandrere,159,sysselsatte_innvkat,personer
2006,46,alle,29982,sysselsatte_innvkat,personer
2006,46,befolkningen_ellers,28834,sysselsatte_innvkat,personer
2006,46,innvandrere,1148,sysselsatte_innvkat,personer
2006,47,alle,27161,sysselsatte_innvkat,personer
2006,47,befolkningen_ellers,26112,sysselsatte_innvkat,personer
2006,47,innvandrere,1049,sysselsatte_innvkat,personer
2006,48,alle,3985,sysselsatte_innvkat,personer
2006,48,befolkningen_ellers,3858,sysselsatte_innvkat,personer
2006,48,innvandrere,127,sysselsatte_innvkat,personer
2006,49,alle,16619,sysselsatte_innvkat,personer
