kommune_nr,innvkat_2,arbeidsalder_18_69,aar,tabellvariabel,tabellnavn,enhet
0101,alle,alle,2006,13150,sysselsatte_innvkat_alder,personer
0101,befolkningen_ellers,alle,2006,12317,sysselsatte_innvkat_alder,personer
0101,innvandrere,alle,2006,833,sysselsatte_innvkat_alder,personer
0104,alle,alle,2006,13888,sysselsatte_innvkat_alder,personer
0104,befolkningen_ellers,alle,2006,12573,sysselsatte_innvkat_alder,personer
0104,innvandrere,alle,2006,1315,sysselsatte_innvkat_alder,personer
0105,alle,alle,2006,24307,sysselsatte_innvkat_alder,personer
0105,befolkningen_ellers,alle,2006,22523,sysselsatte_innvkat_alder,personer
0105,innvandrere,alle,2006,1784,sysselsatte_innvkat_alder,personer
0106,alle,alle,2006,34296,sysselsatte_innvkat_alder,personer
0106,befolkningen_ellers,alle,2006,31922,sysselsatte_innvkat_alder,personer
0106,innvandrere,alle,2006,2374,sysselsatte_innvkat_alder,personer
0111,alle,alle,2006,1965,sysselsatte_innvkat_alder,personer
0111,befolkningen_ellers,alle,2006,1909,sysselsatte_innvkat_alder,personer
0111,innvandrere,alle,2006,56,sysselsatte_innvkat_alder,personer
0118,alle,alle,2006,721,sysselsatte_innvkat_alder,personer
0118,befolkningen_ellers,alle,2006,702,sysselsatte_innvkat_alder,personer
0118,innvandrere,alle,2006,19,sysselsatte_innvkat_alder,personer
0119,alle,alle,2006,1735,sysselsatte_innvkat_alder,personer
0119,befolkningen_ellers,alle,2006,1650,sysselsatte_innvkat_alder,personer
0119,innvandrere,alle,2006,85,sysselsatte_innvkat_alder,personer
0121,alle,alle,2006,321,sysselsatte_innvkat_alder,personer
0121,befolkningen_ellers,alle,2006,302,sysselsatte_innvkat_alder,personer
0121,innvandrere,alle,2006,19,sysselsatte_innvkat_alder,personer
0122,alle,alle,2006,2594,sysselsatte_innvkat_alder,personer
0122,befolkningen_ellers,alle,2006,2479,sysselsatte_innvkat_alder,personer
0122,innvandrere,alle,2006,115,sysselsatte_innvkat_alder,personer
0123,alle,alle,2006,2552,sysselsatte_innvkat_alder,personer
0123,befolkningen_ellers,alle,2006,2458,sysselsatte_innvkat_alder,personer
0123,innvandrere,alle,2006,94,sysselsatte_innvkat_alder,personer
0124,alle,alle,2006,6980,sysselsatte_innvkat_alder,personer
0124,befolkningen_ellers,alle,2006,6222,sysselsatte_innvkat_alder,personer
0124,innvandrere,alle,2006,758,sysselsatte_innvkat_alder,personer
0125,alle,alle,2006,5187,sysselsatte_innvkat_alder,personer
0125,befolkningen_ellers,alle,2006,4870,sysselsatte_innvkat_alder,personer
0125,innvandrere,alle,2006,317,sysselsatte_innvkat_alder,personer
0127,alle,alle,2006,1786,sysselsatte_innvkat_alder,personer
0127,befolkningen_ellers,alle,2006,1640,sysselsatte_innvkat_alder,personer
0127,innvandrere,alle,2006,146,sysselsatte_innvkat_alder,personer
0128,alle,alle,2006,3743,sysselsatte_innvkat_alder,personer
0128,befolkningen_ellers,alle,2006,3592,sysselsatte_innvkat_alder,personer
0128,innvandrere,alle,2006,151,sysselsatte_innvkat_alder,personer
0135,alle,alle,2006,3411,sysselsatte_innvkat_alder,personer
0135,befolkningen_ellers,alle,2006,3285,sysselsatte_innvkat_alder,personer
0135,innvandrere,alle,2006,126,sysselsatte_innvkat_alder,personer
0136,alle,alle,2006,6872,sysselsatte_innvkat_alder,personer
0136,befolkningen_ellers,alle,2006,6410,sysselsatte_innvkat_alder,personer
0136,innvandrere,alle,2006,462,sysselsatte_innvkat_alder,personer
0137,alle,alle,2006,2217,sysselsatte_innvkat_alder,personer
0137,befolkningen_ellers,alle,2006,2100,sysselsatte_innvkat_alder,personer
0137,innvandrere,alle,2006,117,sysselsatte_innvkat_alder,personer
0138,alle,alle,2006,2389,sysselsatte_innvkat_alder,personer
0138,befolkningen_ellers,alle,2006,2233,sysselsatte_innvkat_alder,personer
0138,innvandrere,alle,2006,156,sysselsatte_innvkat_alder,personer
0211,alle,alle,2006,7241,sysselsatte_innvkat_alder,personer
0211,befolkningen_ellers,alle,2006,6661,sysselsatte_innvkat_alder,personer
0211,innvandrere,alle,2006,580,sysselsatte_innvkat_alder,personer
0213,alle,alle,2006,14315,sysselsatte_innvkat_alder,personer
0213,befolkningen_ellers,alle,2006,13017,sysselsatte_innvkat_alder,personer
0213,innvandrere,alle,2006,1298,sysselsatte_innvkat_alder,personer
0214,alle,alle,2006,7664,sysselsatte_innvkat_alder,personer
0214,befolkningen_ellers,alle,2006,6789,sysselsatte_innvkat_alder,personer
0214,innvandrere,alle,2006,875,sysselsatte_innvkat_alder,personer
0215,alle,alle,2006,7162,sysselsatte_innvkat_alder,personer
0215,befolkningen_ellers,alle,2006,6658,sysselsatte_innvkat_alder,personer
0215,innvandrere,alle,2006,504,sysselsatte_innvkat_alder,personer
0216,alle,alle,2006,8554,sysselsatte_innvkat_alder,personer
0216,befolkningen_ellers,alle,2006,7758,sysselsatte_innvkat_alder,personer
0216,innvandrere,alle,2006,796,sysselsatte_innvkat_alder,personer
0217,alle,alle,2006,12719,sysselsatte_innvkat_alder,personer
