tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_5,kjonn,enhet,tabellvariabel
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,alle,alle,personer,129605
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,alle,alle,prosent,70.2
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,alle,1,personer,62432
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,alle,1,prosent,65.48
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,alle,0,personer,67173
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,alle,0,prosent,75.25
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,120876
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,71.11
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,58543
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,66.69
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,62333
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,75.83
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,personer,124716
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,70.97
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,befolkningen_ellers,1,personer,60279
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,befolkningen_ellers,1,prosent,66.42
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,befolkningen_ellers,0,personer,64437
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,befolkningen_ellers,0,prosent,75.84
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,innvandrere,alle,personer,4889
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,innvandrere,alle,prosent,54.98
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,innvandrere,1,personer,2153
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,innvandrere,1,prosent,46.89
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,innvandrere,0,personer,2736
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,innvandrere,0,prosent,63.61
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,3840
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,66.86
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,1736
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,58.29
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,2104
videregaende_fullfort,2011-2013,00,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,76.09
videregaende_fullfort,2011-2013,01,NULL,NULL,NULL,alle,alle,personer,6117
videregaende_fullfort,2011-2013,01,NULL,NULL,NULL,alle,alle,prosent,62.97
videregaende_fullfort,2011-2013,01,NULL,NULL,NULL,alle,1,personer,2916
videregaende_fullfort,2011-2013,01,NULL,NULL,NULL,alle,1,prosent,58.09
