tabell_navn,xaar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_5,kjonn,enhet,tabellvariabel
videregaende_fullfort,2014,00,NULL,NULL,NULL,alle,0,personer,22899
videregaende_fullfort,2014,00,NULL,NULL,NULL,alle,0,prosent,76.37
videregaende_fullfort,2014,00,NULL,NULL,NULL,alle,1,personer,20945
videregaende_fullfort,2014,00,NULL,NULL,NULL,alle,1,prosent,66.37
videregaende_fullfort,2014,00,NULL,NULL,NULL,alle,alle,personer,43844
videregaende_fullfort,2014,00,NULL,NULL,NULL,alle,alle,prosent,71.24
videregaende_fullfort,2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,21110
videregaende_fullfort,2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,77.23
videregaende_fullfort,2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,19445
videregaende_fullfort,2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,67.88
videregaende_fullfort,2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,40555
videregaende_fullfort,2014,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,72.44
videregaende_fullfort,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,personer,21934
videregaende_fullfort,2014,00,NULL,NULL,NULL,befolkningen_ellers,0,prosent,77.13
videregaende_fullfort,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,personer,20120
videregaende_fullfort,2014,00,NULL,NULL,NULL,befolkningen_ellers,1,prosent,67.52
videregaende_fullfort,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,personer,42054
videregaende_fullfort,2014,00,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,72.21
videregaende_fullfort,2014,00,NULL,NULL,NULL,innvandrere,0,personer,965
videregaende_fullfort,2014,00,NULL,NULL,NULL,innvandrere,0,prosent,62.42
videregaende_fullfort,2014,00,NULL,NULL,NULL,innvandrere,1,personer,825
videregaende_fullfort,2014,00,NULL,NULL,NULL,innvandrere,1,prosent,46.9
videregaende_fullfort,2014,00,NULL,NULL,NULL,innvandrere,alle,personer,1790
videregaende_fullfort,2014,00,NULL,NULL,NULL,innvandrere,alle,prosent,54.16
videregaende_fullfort,2014,00,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,824
videregaende_fullfort,2014,00,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,74.77
videregaende_fullfort,2014,00,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,675
videregaende_fullfort,2014,00,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,58.59
videregaende_fullfort,2014,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,1499
videregaende_fullfort,2014,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,66.5
videregaende_fullfort,2014,01,NULL,NULL,NULL,alle,0,personer,1078
videregaende_fullfort,2014,01,NULL,NULL,NULL,alle,0,prosent,69.1
videregaende_fullfort,2014,01,NULL,NULL,NULL,alle,1,personer,1034
videregaende_fullfort,2014,01,NULL,NULL,NULL,alle,1,prosent,58.62
videregaende_fullfort,2014,01,NULL,NULL,NULL,alle,alle,personer,2112
videregaende_fullfort,2014,01,NULL,NULL,NULL,alle,alle,prosent,63.54
videregaende_fullfort,2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,986
videregaende_fullfort,2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,70.58
videregaende_fullfort,2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,934
videregaende_fullfort,2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,60.77
videregaende_fullfort,2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,1920
videregaende_fullfort,2014,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,65.44
videregaende_fullfort,2014,01,NULL,NULL,NULL,befolkningen_ellers,0,personer,1022
videregaende_fullfort,2014,01,NULL,NULL,NULL,befolkningen_ellers,0,prosent,70.48
videregaende_fullfort,2014,01,NULL,NULL,NULL,befolkningen_ellers,1,personer,968
videregaende_fullfort,2014,01,NULL,NULL,NULL,befolkningen_ellers,1,prosent,60.65
videregaende_fullfort,2014,01,NULL,NULL,NULL,befolkningen_ellers,alle,personer,1990
videregaende_fullfort,2014,01,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,65.33
videregaende_fullfort,2014,01,NULL,NULL,NULL,innvandrere,0,personer,56
videregaende_fullfort,2014,01,NULL,NULL,NULL,innvandrere,0,prosent,50.91
videregaende_fullfort,2014,01,NULL,NULL,NULL,innvandrere,1,personer,66
videregaende_fullfort,2014,01,NULL,NULL,NULL,innvandrere,1,prosent,39.29
videregaende_fullfort,2014,01,NULL,NULL,NULL,innvandrere,alle,personer,122
videregaende_fullfort,2014,01,NULL,NULL,NULL,innvandrere,alle,prosent,43.88
videregaende_fullfort,2014,01,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,36
videregaende_fullfort,2014,01,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,67.92
videregaende_fullfort,2014,01,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,34
videregaende_fullfort,2014,01,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,57.63
videregaende_fullfort,2014,01,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,70
videregaende_fullfort,2014,01,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,62.5
videregaende_fullfort,2014,02,NULL,NULL,NULL,alle,0,personer,2403
videregaende_fullfort,2014,02,NULL,NULL,NULL,alle,0,prosent,79.78
videregaende_fullfort,2014,02,NULL,NULL,NULL,alle,1,personer,2261
videregaende_fullfort,2014,02,NULL,NULL,NULL,alle,1,prosent,69.44
videregaende_fullfort,2014,02,NULL,NULL,NULL,alle,alle,personer,4664
videregaende_fullfort,2014,02,NULL,NULL,NULL,alle,alle,prosent,74.41
videregaende_fullfort,2014,02,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,2171
videregaende_fullfort,2014,02,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,80.65
videregaende_fullfort,2014,02,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,2070
videregaende_fullfort,2014,02,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,71.09
videregaende_fullfort,2014,02,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,4241
videregaende_fullfort,2014,02,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,75.68
videregaende_fullfort,2014,02,NULL,NULL,NULL,befolkningen_ellers,0,personer,2288
videregaende_fullfort,2014,02,NULL,NULL,NULL,befolkningen_ellers,0,prosent,80.54
videregaende_fullfort,2014,02,NULL,NULL,NULL,befolkningen_ellers,1,personer,2178
videregaende_fullfort,2014,02,NULL,NULL,NULL,befolkningen_ellers,1,prosent,70.62
videregaende_fullfort,2014,02,NULL,NULL,NULL,befolkningen_ellers,alle,personer,4466
videregaende_fullfort,2014,02,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,75.38
videregaende_fullfort,2014,02,NULL,NULL,NULL,innvandrere,0,personer,115
videregaende_fullfort,2014,02,NULL,NULL,NULL,innvandrere,0,prosent,67.25
videregaende_fullfort,2014,02,NULL,NULL,NULL,innvandrere,1,personer,83
videregaende_fullfort,2014,02,NULL,NULL,NULL,innvandrere,1,prosent,48.26
videregaende_fullfort,2014,02,NULL,NULL,NULL,innvandrere,alle,personer,198
videregaende_fullfort,2014,02,NULL,NULL,NULL,innvandrere,alle,prosent,57.73
videregaende_fullfort,2014,02,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,117
videregaende_fullfort,2014,02,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,78.52
videregaende_fullfort,2014,02,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,108
videregaende_fullfort,2014,02,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,62.79
videregaende_fullfort,2014,02,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,225
videregaende_fullfort,2014,02,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,70.09
videregaende_fullfort,2014,03,NULL,NULL,NULL,alle,0,personer,2983
videregaende_fullfort,2014,03,NULL,NULL,NULL,alle,0,prosent,81.57
videregaende_fullfort,2014,03,NULL,NULL,NULL,alle,1,personer,2389
videregaende_fullfort,2014,03,NULL,NULL,NULL,alle,1,prosent,71.38
videregaende_fullfort,2014,03,NULL,NULL,NULL,alle,alle,personer,5372
videregaende_fullfort,2014,03,NULL,NULL,NULL,alle,alle,prosent,76.7
videregaende_fullfort,2014,03,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,2355
videregaende_fullfort,2014,03,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,84.62
videregaende_fullfort,2014,03,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,1919
videregaende_fullfort,2014,03,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,78.07
videregaende_fullfort,2014,03,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,4274
videregaende_fullfort,2014,03,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,81.55
videregaende_fullfort,2014,03,NULL,NULL,NULL,befolkningen_ellers,0,personer,2749
videregaende_fullfort,2014,03,NULL,NULL,NULL,befolkningen_ellers,0,prosent,83.33
videregaende_fullfort,2014,03,NULL,NULL,NULL,befolkningen_ellers,1,personer,2210
videregaende_fullfort,2014,03,NULL,NULL,NULL,befolkningen_ellers,1,prosent,74.09
videregaende_fullfort,2014,03,NULL,NULL,NULL,befolkningen_ellers,alle,personer,4959
videregaende_fullfort,2014,03,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,78.94
videregaende_fullfort,2014,03,NULL,NULL,NULL,innvandrere,0,personer,234
videregaende_fullfort,2014,03,NULL,NULL,NULL,innvandrere,0,prosent,65.36
videregaende_fullfort,2014,03,NULL,NULL,NULL,innvandrere,1,personer,179
videregaende_fullfort,2014,03,NULL,NULL,NULL,innvandrere,1,prosent,49.18
videregaende_fullfort,2014,03,NULL,NULL,NULL,innvandrere,alle,personer,413
videregaende_fullfort,2014,03,NULL,NULL,NULL,innvandrere,alle,prosent,57.2
videregaende_fullfort,2014,03,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,394
videregaende_fullfort,2014,03,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,76.36
videregaende_fullfort,2014,03,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,291
videregaende_fullfort,2014,03,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,55.43
videregaende_fullfort,2014,03,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,685
videregaende_fullfort,2014,03,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,65.8
videregaende_fullfort,2014,04,NULL,NULL,NULL,alle,0,personer,851
videregaende_fullfort,2014,04,NULL,NULL,NULL,alle,0,prosent,76.94
videregaende_fullfort,2014,04,NULL,NULL,NULL,alle,1,personer,746
videregaende_fullfort,2014,04,NULL,NULL,NULL,alle,1,prosent,62.85
videregaende_fullfort,2014,04,NULL,NULL,NULL,alle,alle,personer,1597
videregaende_fullfort,2014,04,NULL,NULL,NULL,alle,alle,prosent,69.65
videregaende_fullfort,2014,04,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,807
videregaende_fullfort,2014,04,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,77.15
videregaende_fullfort,2014,04,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,712
videregaende_fullfort,2014,04,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,63.69
videregaende_fullfort,2014,04,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,1519
videregaende_fullfort,2014,04,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,70.19
videregaende_fullfort,2014,04,NULL,NULL,NULL,befolkningen_ellers,0,personer,818
videregaende_fullfort,2014,04,NULL,NULL,NULL,befolkningen_ellers,0,prosent,77.17
videregaende_fullfort,2014,04,NULL,NULL,NULL,befolkningen_ellers,1,personer,720
videregaende_fullfort,2014,04,NULL,NULL,NULL,befolkningen_ellers,1,prosent,63.27
videregaende_fullfort,2014,04,NULL,NULL,NULL,befolkningen_ellers,alle,personer,1538
videregaende_fullfort,2014,04,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,69.97
videregaende_fullfort,2014,04,NULL,NULL,NULL,innvandrere,0,personer,33
videregaende_fullfort,2014,04,NULL,NULL,NULL,innvandrere,0,prosent,71.74
videregaende_fullfort,2014,04,NULL,NULL,NULL,innvandrere,1,personer,26
videregaende_fullfort,2014,04,NULL,NULL,NULL,innvandrere,1,prosent,53.06
videregaende_fullfort,2014,04,NULL,NULL,NULL,innvandrere,alle,personer,59
videregaende_fullfort,2014,04,NULL,NULL,NULL,innvandrere,alle,prosent,62.11
videregaende_fullfort,2014,04,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,11
videregaende_fullfort,2014,04,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,78.57
videregaende_fullfort,2014,04,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,8
videregaende_fullfort,2014,04,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,40
videregaende_fullfort,2014,04,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,19
videregaende_fullfort,2014,04,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,55.88
videregaende_fullfort,2014,05,NULL,NULL,NULL,alle,0,personer,881
videregaende_fullfort,2014,05,NULL,NULL,NULL,alle,0,prosent,75.11
videregaende_fullfort,2014,05,NULL,NULL,NULL,alle,1,personer,722
videregaende_fullfort,2014,05,NULL,NULL,NULL,alle,1,prosent,64.99
videregaende_fullfort,2014,05,NULL,NULL,NULL,alle,alle,personer,1603
videregaende_fullfort,2014,05,NULL,NULL,NULL,alle,alle,prosent,70.18
videregaende_fullfort,2014,05,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,828
videregaende_fullfort,2014,05,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,75.34
videregaende_fullfort,2014,05,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,680
videregaende_fullfort,2014,05,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,65.32
videregaende_fullfort,2014,05,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,1508
videregaende_fullfort,2014,05,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,70.47
videregaende_fullfort,2014,05,NULL,NULL,NULL,befolkningen_ellers,0,personer,846
videregaende_fullfort,2014,05,NULL,NULL,NULL,befolkningen_ellers,0,prosent,75.27
videregaende_fullfort,2014,05,NULL,NULL,NULL,befolkningen_ellers,1,personer,694
videregaende_fullfort,2014,05,NULL,NULL,NULL,befolkningen_ellers,1,prosent,65.6
videregaende_fullfort,2014,05,NULL,NULL,NULL,befolkningen_ellers,alle,personer,1540
videregaende_fullfort,2014,05,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,70.58
videregaende_fullfort,2014,05,NULL,NULL,NULL,innvandrere,0,personer,35
videregaende_fullfort,2014,05,NULL,NULL,NULL,innvandrere,0,prosent,71.43
videregaende_fullfort,2014,05,NULL,NULL,NULL,innvandrere,1,personer,28
videregaende_fullfort,2014,05,NULL,NULL,NULL,innvandrere,1,prosent,52.83
videregaende_fullfort,2014,05,NULL,NULL,NULL,innvandrere,alle,personer,63
videregaende_fullfort,2014,05,NULL,NULL,NULL,innvandrere,alle,prosent,61.76
videregaende_fullfort,2014,05,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,18
videregaende_fullfort,2014,05,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,72
videregaende_fullfort,2014,05,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,14
videregaende_fullfort,2014,05,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,82.35
videregaende_fullfort,2014,05,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,32
videregaende_fullfort,2014,05,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,76.19
videregaende_fullfort,2014,06,NULL,NULL,NULL,alle,0,personer,1055
videregaende_fullfort,2014,06,NULL,NULL,NULL,alle,0,prosent,75.63
videregaende_fullfort,2014,06,NULL,NULL,NULL,alle,1,personer,895
videregaende_fullfort,2014,06,NULL,NULL,NULL,alle,1,prosent,62.68
videregaende_fullfort,2014,06,NULL,NULL,NULL,alle,alle,personer,1950
videregaende_fullfort,2014,06,NULL,NULL,NULL,alle,alle,prosent,69.08
videregaende_fullfort,2014,06,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,940
videregaende_fullfort,2014,06,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,76.92
videregaende_fullfort,2014,06,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,811
videregaende_fullfort,2014,06,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,65.14
videregaende_fullfort,2014,06,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,1751
videregaende_fullfort,2014,06,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,70.98
videregaende_fullfort,2014,06,NULL,NULL,NULL,befolkningen_ellers,0,personer,985
videregaende_fullfort,2014,06,NULL,NULL,NULL,befolkningen_ellers,0,prosent,76.77
videregaende_fullfort,2014,06,NULL,NULL,NULL,befolkningen_ellers,1,personer,846
videregaende_fullfort,2014,06,NULL,NULL,NULL,befolkningen_ellers,1,prosent,64.43
videregaende_fullfort,2014,06,NULL,NULL,NULL,befolkningen_ellers,alle,personer,1831
videregaende_fullfort,2014,06,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,70.53
videregaende_fullfort,2014,06,NULL,NULL,NULL,innvandrere,0,personer,70
videregaende_fullfort,2014,06,NULL,NULL,NULL,innvandrere,0,prosent,62.5
videregaende_fullfort,2014,06,NULL,NULL,NULL,innvandrere,1,personer,49
videregaende_fullfort,2014,06,NULL,NULL,NULL,innvandrere,1,prosent,42.61
videregaende_fullfort,2014,06,NULL,NULL,NULL,innvandrere,alle,personer,119
videregaende_fullfort,2014,06,NULL,NULL,NULL,innvandrere,alle,prosent,52.42
videregaende_fullfort,2014,06,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,45
videregaende_fullfort,2014,06,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,73.77
videregaende_fullfort,2014,06,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,35
videregaende_fullfort,2014,06,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,51.47
videregaende_fullfort,2014,06,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,80
videregaende_fullfort,2014,06,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,62.02
videregaende_fullfort,2014,07,NULL,NULL,NULL,alle,0,personer,913
videregaende_fullfort,2014,07,NULL,NULL,NULL,alle,0,prosent,70.39
videregaende_fullfort,2014,07,NULL,NULL,NULL,alle,1,personer,934
