tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_5,kjonn,enhet,tabellvariabel
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,alle,alle,personer,120409
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,alle,alle,prosent,19.9
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,alle,1,personer,67630
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,alle,1,prosent,21.74
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,alle,0,personer,52779
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,alle,0,prosent,17.95
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,84197
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,16.31
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,48026
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,18.07
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,36171
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,14.44
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,personer,88817
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,befolkningen_ellers,alle,prosent,16.52
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,personer,50762
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,befolkningen_ellers,1,prosent,18.34
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,personer,38055
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,befolkningen_ellers,0,prosent,14.59
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,innvandrere,alle,personer,31592
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,innvandrere,alle,prosent,46.82
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,innvandrere,1,personer,16868
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,innvandrere,1,prosent,49.16
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,innvandrere,0,personer,14724
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,innvandrere,0,prosent,44.41
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,personer,4620
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,norskfodte_m_innvf,alle,prosent,21.49
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,norskfodte_m_innvf,1,personer,2736
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,norskfodte_m_innvf,1,prosent,24.74
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,norskfodte_m_innvf,0,personer,1884
ungdom_utenfor_opplaring,2013,00,NULL,NULL,NULL,norskfodte_m_innvf,0,prosent,18.05
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,alle,alle,personer,7552
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,alle,alle,prosent,23.28
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,alle,1,personer,4280
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,alle,1,prosent,25.6
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,alle,0,personer,3272
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,alle,0,prosent,20.81
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,personer,5600
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,alle,prosent,20.51
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,personer,3164
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,1,prosent,22.57
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,personer,2436
ungdom_utenfor_opplaring,2013,01,NULL,NULL,NULL,bef_u_innv_og_norskf,0,prosent,18.34
