tabell_navn,aar,fylke_nr,naringsregion_nr,kommune_nr,bydel_nr,invkat_3,kjonn,utd_5,enhet,tabellvariabel
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,vgs,personer,554467
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,vgs,prosent,40.23
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,uoppgitt,personer,47218
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,uoppgitt,prosent,3.43
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,personer,509543
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,universitet_og_hogskole,prosent,36.97
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,ingen,personer,3505
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,ingen,prosent,0.25
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,grunnskole,personer,263423
utdanningsniva,2009,00,NULL,NULL,NULL,alle,alle,grunnskole,prosent,19.11
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,vgs,personer,314735
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,vgs,prosent,22.84
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,uoppgitt,personer,28577
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,uoppgitt,prosent,2.07
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,personer,223090
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,universitet_og_hogskole,prosent,16.19
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,ingen,personer,1224
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,ingen,prosent,0.09
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,grunnskole,personer,138325
utdanningsniva,2009,00,NULL,NULL,NULL,alle,1,grunnskole,prosent,10.04
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,vgs,personer,239732
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,vgs,prosent,17.4
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,uoppgitt,personer,18641
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,uoppgitt,prosent,1.35
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,personer,286453
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,universitet_og_hogskole,prosent,20.79
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,ingen,personer,2281
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,ingen,prosent,0.17
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,grunnskole,personer,125098
utdanningsniva,2009,00,NULL,NULL,NULL,alle,0,grunnskole,prosent,9.08
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,personer,500206
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,vgs,prosent,36.3
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,personer,4140
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,uoppgitt,prosent,0.3
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,personer,445406
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,universitet_og_hogskole,prosent,32.32
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,personer,54
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,ingen,prosent,0
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,personer,218501
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,alle,grunnskole,prosent,15.85
utdanningsniva,2009,00,NULL,NULL,NULL,befolkningen_ellers,1,vgs,personer,283088
