tabell_navn;aar;bydel_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;01;alle;alle;person;5291;
flyktning_botid_flytting;2015;01;0-4;alle;person;474;
flyktning_botid_flytting;2015;01;5+;alle;person;4817;
flyktning_botid_flytting;2015;01;0-4;ja;person;220;
flyktning_botid_flytting;2015;01;0-4;nei;person;106;
flyktning_botid_flytting;2015;01;0-4;uoppgitt;person;148;
flyktning_botid_flytting;2015;01;5+;ja;person;1301;
flyktning_botid_flytting;2015;01;5+;nei;person;2329;
flyktning_botid_flytting;2015;01;5+;uoppgitt;person;1187;
flyktning_botid_flytting;2015;02;alle;alle;person;4098;
flyktning_botid_flytting;2015;02;0-4;alle;person;409;
flyktning_botid_flytting;2015;02;5+;alle;person;3689;
flyktning_botid_flytting;2015;02;0-4;ja;person;214;
flyktning_botid_flytting;2015;02;0-4;nei;person;80;
flyktning_botid_flytting;2015;02;0-4;uoppgitt;person;115;
flyktning_botid_flytting;2015;02;5+;ja;person;911;
flyktning_botid_flytting;2015;02;5+;nei;person;1857;
flyktning_botid_flytting;2015;02;5+;uoppgitt;person;921;
flyktning_botid_flytting;2015;03;alle;alle;person;2305;
flyktning_botid_flytting;2015;03;0-4;alle;person;234;
flyktning_botid_flytting;2015;03;5+;alle;person;2071;
flyktning_botid_flytting;2015;03;0-4;ja;person;158;
flyktning_botid_flytting;2015;03;0-4;nei;person;24;
flyktning_botid_flytting;2015;03;0-4;uoppgitt;person;52;
flyktning_botid_flytting;2015;03;5+;ja;person;555;
flyktning_botid_flytting;2015;03;5+;nei;person;978;
flyktning_botid_flytting;2015;03;5+;uoppgitt;person;538;
flyktning_botid_flytting;2015;04;alle;alle;person;1524;
flyktning_botid_flytting;2015;04;0-4;alle;person;208;
flyktning_botid_flytting;2015;04;5+;alle;person;1316;
flyktning_botid_flytting;2015;04;0-4;ja;person;150;
flyktning_botid_flytting;2015;04;0-4;nei;person;28;
flyktning_botid_flytting;2015;04;0-4;uoppgitt;person;30;
flyktning_botid_flytting;2015;04;5+;ja;person;331;
flyktning_botid_flytting;2015;04;5+;nei;person;675;
flyktning_botid_flytting;2015;04;5+;uoppgitt;person;310;
flyktning_botid_flytting;2015;05;alle;alle;person;1711;
flyktning_botid_flytting;2015;05;0-4;alle;person;235;
flyktning_botid_flytting;2015;05;5+;alle;person;1476;
flyktning_botid_flytting;2015;05;0-4;ja;person;163;
flyktning_botid_flytting;2015;05;0-4;nei;person;24;
flyktning_botid_flytting;2015;05;0-4;uoppgitt;person;48;
flyktning_botid_flytting;2015;05;5+;ja;person;424;
flyktning_botid_flytting;2015;05;5+;nei;person;661;
flyktning_botid_flytting;2015;05;5+;uoppgitt;person;391;
flyktning_botid_flytting;2015;06;alle;alle;person;640;
flyktning_botid_flytting;2015;06;0-4;alle;person;95;
flyktning_botid_flytting;2015;06;5+;alle;person;545;
flyktning_botid_flytting;2015;06;0-4;ja;person;71;
flyktning_botid_flytting;2015;06;0-4;nei;person;9;
flyktning_botid_flytting;2015;06;0-4;uoppgitt;person;15;
flyktning_botid_flytting;2015;06;5+;ja;person;158;
flyktning_botid_flytting;2015;06;5+;nei;person;201;
flyktning_botid_flytting;2015;06;5+;uoppgitt;person;186;
flyktning_botid_flytting;2015;07;alle;alle;person;864;
flyktning_botid_flytting;2015;07;0-4;alle;person;166;
flyktning_botid_flytting;2015;07;5+;alle;person;698;
flyktning_botid_flytting;2015;07;0-4;ja;person;134;
flyktning_botid_flytting;2015;07;0-4;nei;person;11;
flyktning_botid_flytting;2015;07;0-4;uoppgitt;person;21;
flyktning_botid_flytting;2015;07;5+;ja;person;251;
flyktning_botid_flytting;2015;07;5+;nei;person;234;
flyktning_botid_flytting;2015;07;5+;uoppgitt;person;213;
flyktning_botid_flytting;2015;08;alle;alle;person;1194;
flyktning_botid_flytting;2015;08;0-4;alle;person;160;
flyktning_botid_flytting;2015;08;5+;alle;person;1034;
flyktning_botid_flytting;2015;08;0-4;ja;person;98;
flyktning_botid_flytting;2015;08;0-4;nei;person;23;
flyktning_botid_flytting;2015;08;0-4;uoppgitt;person;39;
flyktning_botid_flytting;2015;08;5+;ja;person;272;
flyktning_botid_flytting;2015;08;5+;nei;person;489;
flyktning_botid_flytting;2015;08;5+;uoppgitt;person;273;
flyktning_botid_flytting;2015;09;alle;alle;person;3322;
flyktning_botid_flytting;2015;09;0-4;alle;person;231;
flyktning_botid_flytting;2015;09;5+;alle;person;3091;
flyktning_botid_flytting;2015;09;0-4;ja;person;118;
flyktning_botid_flytting;2015;09;0-4;nei;person;37;
flyktning_botid_flytting;2015;09;0-4;uoppgitt;person;76;
flyktning_botid_flytting;2015;09;5+;ja;person;818;
flyktning_botid_flytting;2015;09;5+;nei;person;1344;
flyktning_botid_flytting;2015;09;5+;uoppgitt;person;929;
flyktning_botid_flytting;2015;10;alle;alle;person;3840;
flyktning_botid_flytting;2015;10;0-4;alle;person;269;
flyktning_botid_flytting;2015;10;5+;alle;person;3571;
flyktning_botid_flytting;2015;10;0-4;ja;person;119;
flyktning_botid_flytting;2015;10;0-4;nei;person;50;
flyktning_botid_flytting;2015;10;0-4;uoppgitt;person;100;
flyktning_botid_flytting;2015;10;5+;ja;person;1068;
flyktning_botid_flytting;2015;10;5+;nei;person;1376;
flyktning_botid_flytting;2015;10;5+;uoppgitt;person;1127;
flyktning_botid_flytting;2015;11;alle;alle;person;4477;
flyktning_botid_flytting;2015;11;0-4;alle;person;353;
flyktning_botid_flytting;2015;11;5+;alle;person;4124;
flyktning_botid_flytting;2015;11;0-4;ja;person;187;
flyktning_botid_flytting;2015;11;0-4;nei;person;48;
flyktning_botid_flytting;2015;11;0-4;uoppgitt;person;118;
