tabell_navn;aar;fylke_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;01;alle;alle;person;13509;
flyktning_botid_flytting;2015;01;0-4;alle;person;1655;
flyktning_botid_flytting;2015;01;5+;alle;person;11854;
flyktning_botid_flytting;2015;01;0-4;ja;person;983;
flyktning_botid_flytting;2015;01;0-4;nei;person;263;
flyktning_botid_flytting;2015;01;0-4;uoppgitt;person;409;
flyktning_botid_flytting;2015;01;5+;ja;person;2401;
flyktning_botid_flytting;2015;01;5+;nei;person;7126;
flyktning_botid_flytting;2015;01;5+;uoppgitt;person;2327;
flyktning_botid_flytting;2015;02;alle;alle;person;22283;
flyktning_botid_flytting;2015;02;0-4;alle;person;3281;
flyktning_botid_flytting;2015;02;5+;alle;person;19002;
flyktning_botid_flytting;2015;02;0-4;ja;person;2361;
flyktning_botid_flytting;2015;02;0-4;nei;person;326;
flyktning_botid_flytting;2015;02;0-4;uoppgitt;person;594;
flyktning_botid_flytting;2015;02;5+;ja;person;4882;
flyktning_botid_flytting;2015;02;5+;nei;person;9289;
flyktning_botid_flytting;2015;02;5+;uoppgitt;person;4831;
flyktning_botid_flytting;2015;03;alle;alle;person;45664;
flyktning_botid_flytting;2015;03;0-4;alle;person;4123;
flyktning_botid_flytting;2015;03;5+;alle;person;41541;
flyktning_botid_flytting;2015;03;0-4;ja;person;2332;
flyktning_botid_flytting;2015;03;0-4;nei;person;655;
flyktning_botid_flytting;2015;03;0-4;uoppgitt;person;1136;
flyktning_botid_flytting;2015;03;5+;ja;person;11791;
flyktning_botid_flytting;2015;03;5+;nei;person;17949;
flyktning_botid_flytting;2015;03;5+;uoppgitt;person;11801;
flyktning_botid_flytting;2015;04;alle;alle;person;5356;
flyktning_botid_flytting;2015;04;0-4;alle;person;1892;
flyktning_botid_flytting;2015;04;5+;alle;person;3464;
flyktning_botid_flytting;2015;04;0-4;ja;person;1241;
flyktning_botid_flytting;2015;04;0-4;nei;person;211;
flyktning_botid_flytting;2015;04;0-4;uoppgitt;person;440;
flyktning_botid_flytting;2015;04;5+;ja;person;1731;
flyktning_botid_flytting;2015;04;5+;nei;person;1109;
flyktning_botid_flytting;2015;04;5+;uoppgitt;person;624;
flyktning_botid_flytting;2015;05;alle;alle;person;5606;
flyktning_botid_flytting;2015;05;0-4;alle;person;2323;
flyktning_botid_flytting;2015;05;5+;alle;person;3283;
flyktning_botid_flytting;2015;05;0-4;ja;person;1623;
flyktning_botid_flytting;2015;05;0-4;nei;person;238;
flyktning_botid_flytting;2015;05;0-4;uoppgitt;person;462;
flyktning_botid_flytting;2015;05;5+;ja;person;1880;
flyktning_botid_flytting;2015;05;5+;nei;person;910;
flyktning_botid_flytting;2015;05;5+;uoppgitt;person;493;
flyktning_botid_flytting;2015;06;alle;alle;person;11303;
flyktning_botid_flytting;2015;06;0-4;alle;person;2393;
flyktning_botid_flytting;2015;06;5+;alle;person;8910;
flyktning_botid_flytting;2015;06;0-4;ja;person;1692;
flyktning_botid_flytting;2015;06;0-4;nei;person;239;
flyktning_botid_flytting;2015;06;0-4;uoppgitt;person;462;
flyktning_botid_flytting;2015;06;5+;ja;person;2980;
flyktning_botid_flytting;2015;06;5+;nei;person;4230;
flyktning_botid_flytting;2015;06;5+;uoppgitt;person;1700;
flyktning_botid_flytting;2015;07;alle;alle;person;7453;
flyktning_botid_flytting;2015;07;0-4;alle;person;1378;
flyktning_botid_flytting;2015;07;5+;alle;person;6075;
flyktning_botid_flytting;2015;07;0-4;ja;person;1000;
flyktning_botid_flytting;2015;07;0-4;nei;person;144;
flyktning_botid_flytting;2015;07;0-4;uoppgitt;person;234;
flyktning_botid_flytting;2015;07;5+;ja;person;2234;
flyktning_botid_flytting;2015;07;5+;nei;person;2653;
flyktning_botid_flytting;2015;07;5+;uoppgitt;person;1188;
flyktning_botid_flytting;2015;08;alle;alle;person;6792;
flyktning_botid_flytting;2015;08;0-4;alle;person;2102;
flyktning_botid_flytting;2015;08;5+;alle;person;4690;
flyktning_botid_flytting;2015;08;0-4;ja;person;1667;
flyktning_botid_flytting;2015;08;0-4;nei;person;160;
flyktning_botid_flytting;2015;08;0-4;uoppgitt;person;275;
flyktning_botid_flytting;2015;08;5+;ja;person;2532;
flyktning_botid_flytting;2015;08;5+;nei;person;1495;
flyktning_botid_flytting;2015;08;5+;uoppgitt;person;663;
flyktning_botid_flytting;2015;09;alle;alle;person;3848;
flyktning_botid_flytting;2015;09;0-4;alle;person;1232;
flyktning_botid_flytting;2015;09;5+;alle;person;2616;
flyktning_botid_flytting;2015;09;0-4;ja;person;1007;
flyktning_botid_flytting;2015;09;0-4;nei;person;71;
flyktning_botid_flytting;2015;09;0-4;uoppgitt;person;154;
flyktning_botid_flytting;2015;09;5+;ja;person;1662;
flyktning_botid_flytting;2015;09;5+;nei;person;644;
flyktning_botid_flytting;2015;09;5+;uoppgitt;person;310;
flyktning_botid_flytting;2015;10;alle;alle;person;8466;
flyktning_botid_flytting;2015;10;0-4;alle;person;2189;
flyktning_botid_flytting;2015;10;5+;alle;person;6277;
flyktning_botid_flytting;2015;10;0-4;ja;person;1632;
flyktning_botid_flytting;2015;10;0-4;nei;person;209;
flyktning_botid_flytting;2015;10;0-4;uoppgitt;person;348;
flyktning_botid_flytting;2015;10;5+;ja;person;3551;
flyktning_botid_flytting;2015;10;5+;nei;person;1687;
flyktning_botid_flytting;2015;10;5+;uoppgitt;person;1039;
flyktning_botid_flytting;2015;11;alle;alle;person;14141;
flyktning_botid_flytting;2015;11;0-4;alle;person;3156;
flyktning_botid_flytting;2015;11;5+;alle;person;10985;
flyktning_botid_flytting;2015;11;0-4;ja;person;2316;
flyktning_botid_flytting;2015;11;0-4;nei;person;279;
flyktning_botid_flytting;2015;11;0-4;uoppgitt;person;561;
flyktning_botid_flytting;2015;11;5+;ja;person;5040;
flyktning_botid_flytting;2015;11;5+;nei;person;3806;
flyktning_botid_flytting;2015;11;5+;uoppgitt;person;2139;
flyktning_botid_flytting;2015;12;alle;alle;person;13669;
flyktning_botid_flytting;2015;12;0-4;alle;person;3436;
flyktning_botid_flytting;2015;12;5+;alle;person;10233;
flyktning_botid_flytting;2015;12;0-4;ja;person;2738;
flyktning_botid_flytting;2015;12;0-4;nei;person;183;
flyktning_botid_flytting;2015;12;0-4;uoppgitt;person;515;
flyktning_botid_flytting;2015;12;5+;ja;person;5384;
flyktning_botid_flytting;2015;12;5+;nei;person;2529;
flyktning_botid_flytting;2015;12;5+;uoppgitt;person;2320;
flyktning_botid_flytting;2015;14;alle;alle;person;2242;
flyktning_botid_flytting;2015;14;0-4;alle;person;1212;
flyktning_botid_flytting;2015;14;5+;alle;person;1030;
flyktning_botid_flytting;2015;14;0-4;ja;person;921;
flyktning_botid_flytting;2015;14;0-4;nei;person;110;
flyktning_botid_flytting;2015;14;0-4;uoppgitt;person;181;
flyktning_botid_flytting;2015;14;5+;ja;person;671;
flyktning_botid_flytting;2015;14;5+;nei;person;155;
flyktning_botid_flytting;2015;14;5+;uoppgitt;person;204;
flyktning_botid_flytting;2015;15;alle;alle;person;5004;
flyktning_botid_flytting;2015;15;0-4;alle;person;2216;
flyktning_botid_flytting;2015;15;5+;alle;person;2788;
flyktning_botid_flytting;2015;15;0-4;ja;person;1699;
flyktning_botid_flytting;2015;15;0-4;nei;person;214;
flyktning_botid_flytting;2015;15;0-4;uoppgitt;person;303;
flyktning_botid_flytting;2015;15;5+;ja;person;1632;
flyktning_botid_flytting;2015;15;5+;nei;person;692;
flyktning_botid_flytting;2015;15;5+;uoppgitt;person;464;
flyktning_botid_flytting;2015;16;alle;alle;person;7868;
flyktning_botid_flytting;2015;16;0-4;alle;person;2103;
flyktning_botid_flytting;2015;16;5+;alle;person;5765;
flyktning_botid_flytting;2015;16;0-4;ja;person;1745;
flyktning_botid_flytting;2015;16;0-4;nei;person;121;
flyktning_botid_flytting;2015;16;0-4;uoppgitt;person;237;
flyktning_botid_flytting;2015;16;5+;ja;person;3460;
