tabell_navn;aar;naringsregion_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;01;alle;alle;person;1152;
flyktning_botid_flytting;2015;01;0-4;alle;person;100;
flyktning_botid_flytting;2015;01;5+;alle;person;1052;
flyktning_botid_flytting;2015;01;0-4;ja;person;47;
flyktning_botid_flytting;2015;01;0-4;nei;person;24;
flyktning_botid_flytting;2015;01;0-4;uoppgitt;person;29;
flyktning_botid_flytting;2015;01;5+;ja;person;177;
flyktning_botid_flytting;2015;01;5+;nei;person;683;
flyktning_botid_flytting;2015;01;5+;uoppgitt;person;192;
flyktning_botid_flytting;2015;02;alle;alle;person;2282;
flyktning_botid_flytting;2015;02;0-4;alle;person;349;
flyktning_botid_flytting;2015;02;5+;alle;person;1933;
flyktning_botid_flytting;2015;02;0-4;ja;person;185;
flyktning_botid_flytting;2015;02;0-4;nei;person;73;
flyktning_botid_flytting;2015;02;0-4;uoppgitt;person;91;
flyktning_botid_flytting;2015;02;5+;ja;person;576;
flyktning_botid_flytting;2015;02;5+;nei;person;1019;
flyktning_botid_flytting;2015;02;5+;uoppgitt;person;338;
flyktning_botid_flytting;2015;03;alle;alle;person;2294;
flyktning_botid_flytting;2015;03;0-4;alle;person;345;
flyktning_botid_flytting;2015;03;5+;alle;person;1949;
flyktning_botid_flytting;2015;03;0-4;ja;person;224;
flyktning_botid_flytting;2015;03;0-4;nei;person;47;
flyktning_botid_flytting;2015;03;0-4;uoppgitt;person;74;
flyktning_botid_flytting;2015;03;5+;ja;person;382;
flyktning_botid_flytting;2015;03;5+;nei;person;962;
flyktning_botid_flytting;2015;03;5+;uoppgitt;person;605;
flyktning_botid_flytting;2015;04;alle;alle;person;7781;
flyktning_botid_flytting;2015;04;0-4;alle;person;861;
flyktning_botid_flytting;2015;04;5+;alle;person;6920;
flyktning_botid_flytting;2015;04;0-4;ja;person;527;
flyktning_botid_flytting;2015;04;0-4;nei;person;119;
flyktning_botid_flytting;2015;04;0-4;uoppgitt;person;215;
flyktning_botid_flytting;2015;04;5+;ja;person;1266;
flyktning_botid_flytting;2015;04;5+;nei;person;4462;
flyktning_botid_flytting;2015;04;5+;uoppgitt;person;1192;
flyktning_botid_flytting;2015;05;alle;alle;person;6720;
flyktning_botid_flytting;2015;05;0-4;alle;person;1040;
flyktning_botid_flytting;2015;05;5+;alle;person;5680;
flyktning_botid_flytting;2015;05;0-4;ja;person;723;
flyktning_botid_flytting;2015;05;0-4;nei;person;118;
flyktning_botid_flytting;2015;05;0-4;uoppgitt;person;199;
flyktning_botid_flytting;2015;05;5+;ja;person;1946;
flyktning_botid_flytting;2015;05;5+;nei;person;2474;
flyktning_botid_flytting;2015;05;5+;uoppgitt;person;1260;
flyktning_botid_flytting;2015;06;alle;alle;person;4231;
flyktning_botid_flytting;2015;06;0-4;alle;person;851;
flyktning_botid_flytting;2015;06;5+;alle;person;3380;
flyktning_botid_flytting;2015;06;0-4;ja;person;661;
flyktning_botid_flytting;2015;06;0-4;nei;person;67;
flyktning_botid_flytting;2015;06;0-4;uoppgitt;person;123;
flyktning_botid_flytting;2015;06;5+;ja;person;1087;
flyktning_botid_flytting;2015;06;5+;nei;person;1498;
flyktning_botid_flytting;2015;06;5+;uoppgitt;person;795;
flyktning_botid_flytting;2015;07;alle;alle;person;8486;
flyktning_botid_flytting;2015;07;0-4;alle;person;971;
flyktning_botid_flytting;2015;07;5+;alle;person;7515;
flyktning_botid_flytting;2015;07;0-4;ja;person;698;
