tabell_navn;aar;fylke_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2014-2015;00;alle;alle;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;00;alle;alle;NULL;NULL;person;60679
grunnskolepoeng;2014-2015;00;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;00;alle;bef_u_innv_og_norskf;NULL;NULL;person;53262
grunnskolepoeng;2014-2015;00;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;00;alle;befolkningen_ellers;NULL;NULL;person;56305
grunnskolepoeng;2014-2015;00;alle;innvandrere;1;0_6;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;00;alle;innvandrere;1;0_6;person;308
grunnskolepoeng;2014-2015;00;alle;innvandrere;1;7+;grunnskolepoeng;36,8
grunnskolepoeng;2014-2015;00;alle;innvandrere;1;7+;person;1359
grunnskolepoeng;2014-2015;00;alle;innvandrere;1;alle;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;00;alle;innvandrere;1;alle;person;1652
grunnskolepoeng;2014-2015;00;alle;innvandrere;2;0_6;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;00;alle;innvandrere;2;0_6;person;1009
grunnskolepoeng;2014-2015;00;alle;innvandrere;2;7+;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;00;alle;innvandrere;2;7+;person;1685
grunnskolepoeng;2014-2015;00;alle;innvandrere;2;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;00;alle;innvandrere;2;alle;person;2711
grunnskolepoeng;2014-2015;00;alle;innvandrere;alle;0_6;grunnskolepoeng;38,4
grunnskolepoeng;2014-2015;00;alle;innvandrere;alle;0_6;person;1336
grunnskolepoeng;2014-2015;00;alle;innvandrere;alle;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;00;alle;innvandrere;alle;7+;person;3019
grunnskolepoeng;2014-2015;00;alle;innvandrere;alle;alle;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;00;alle;innvandrere;alle;alle;person;4375
grunnskolepoeng;2014-2015;00;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;00;alle;norskfodte_m_innvf;NULL;NULL;person;3019
grunnskolepoeng;2014-2015;00;1;alle;NULL;NULL;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;00;1;alle;NULL;NULL;person;31033
grunnskolepoeng;2014-2015;00;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;00;1;bef_u_innv_og_norskf;NULL;NULL;person;27170
grunnskolepoeng;2014-2015;00;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;00;1;befolkningen_ellers;NULL;NULL;person;28732
grunnskolepoeng;2014-2015;00;1;innvandrere;1;0_6;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;00;1;innvandrere;1;0_6;person;126
grunnskolepoeng;2014-2015;00;1;innvandrere;1;7+;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;00;1;innvandrere;1;7+;person;696
grunnskolepoeng;2014-2015;00;1;innvandrere;1;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;00;1;innvandrere;1;alle;person;825
grunnskolepoeng;2014-2015;00;1;innvandrere;2;0_6;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;00;1;innvandrere;2;0_6;person;485
grunnskolepoeng;2014-2015;00;1;innvandrere;2;7+;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;00;1;innvandrere;2;7+;person;913
grunnskolepoeng;2014-2015;00;1;innvandrere;2;alle;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;00;1;innvandrere;2;alle;person;1396
grunnskolepoeng;2014-2015;00;1;innvandrere;alle;0_6;grunnskolepoeng;37
grunnskolepoeng;2014-2015;00;1;innvandrere;alle;0_6;person;623
grunnskolepoeng;2014-2015;00;1;innvandrere;alle;7+;grunnskolepoeng;33,4
grunnskolepoeng;2014-2015;00;1;innvandrere;alle;7+;person;1608
grunnskolepoeng;2014-2015;00;1;innvandrere;alle;alle;grunnskolepoeng;34,4
grunnskolepoeng;2014-2015;00;1;innvandrere;alle;alle;person;2258
