tabell_navn;aar;naringsregion_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2014-2015;01;alle;alle;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;01;alle;alle;NULL;NULL;person;350
grunnskolepoeng;2014-2015;01;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;01;alle;bef_u_innv_og_norskf;NULL;NULL;person;294
grunnskolepoeng;2014-2015;01;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;01;alle;befolkningen_ellers;NULL;NULL;person;315
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;0_6;grunnskolepoeng;29,8
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;7+;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;7+;person;7
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;alle;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;alle;person;9
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;0_6;person;12
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;7+;grunnskolepoeng;30,2
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;7+;person;14
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;alle;grunnskolepoeng;34
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;alle;person;26
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;0_6;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;0_6;person;14
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;7+;grunnskolepoeng;32,2
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;7+;person;21
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;alle;person;35
grunnskolepoeng;2014-2015;01;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;01;alle;norskfodte_m_innvf;NULL;NULL;person;21
grunnskolepoeng;2014-2015;01;1;alle;NULL;NULL;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;01;1;alle;NULL;NULL;person;183
grunnskolepoeng;2014-2015;01;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;01;1;bef_u_innv_og_norskf;NULL;NULL;person;155
