"aar","bydel_nr","avslutning_arsak_8","kjonn","enhet","tabellvariabel","tabell_navn","avslutning_arsak_3","fylke_nr","naringsregion_nr","kommune_nr"
"2014","000301","alle","0","personer","154","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","alle","1","personer","155","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","alle","alle","personer","309","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","kvalifisering","0","personer","47","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","kvalifisering","0","prosent","30.51948052","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","kvalifisering","1","personer","32","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","kvalifisering","1","prosent","20.64516129","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","kvalifisering","alle","personer","79","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","kvalifisering","alle","prosent","25.566343","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","gr_skole","0","personer","9","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","gr_skole","0","prosent","5.844155844","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","gr_skole","1","personer",":","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","gr_skole","1","prosent",":","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","gr_skole","alle","personer","12","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","gr_skole","alle","prosent","3.8834951","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","utdanning","0","personer","12","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","utdanning","0","prosent","7.792207792","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","utdanning","1","personer","17","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","utdanning","1","prosent","10.96774194","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","utdanning","alle","personer","29","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","utdanning","alle","prosent","9.3851133","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","arbeid","0","personer","30","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","arbeid","0","prosent","19.48051948","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","arbeid","1","personer","72","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","arbeid","1","prosent","46.4516129","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","arbeid","alle","personer","102","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","arbeid","alle","prosent","33.0097087","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","sos_stnd","0","personer","19","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","sos_stnd","0","prosent","12.33766234","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
"2014","000301","sos_stnd","1","personer","13","intro_avslutning_direkte","NULL","NULL","NULL","NULL"
