"aar","fylke_nr","rettigheter_introlov_nosfk","kjonn","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2013","00","alle","0","personer","8002","norsk_deltakere","NULL","NULL"
"2013","00","alle","1","personer","7490","norsk_deltakere","NULL","NULL"
"2013","00","alle","alle","personer","15492","norsk_deltakere","NULL","NULL"
"2013","00","plikt","0","personer","2026","norsk_deltakere","NULL","NULL"
"2013","00","plikt","1","personer","2427","norsk_deltakere","NULL","NULL"
"2013","00","plikt","alle","personer","4453","norsk_deltakere","NULL","NULL"
"2013","00","rett","0","personer","205","norsk_deltakere","NULL","NULL"
"2013","00","rett","1","personer","121","norsk_deltakere","NULL","NULL"
"2013","00","rett","alle","personer","326","norsk_deltakere","NULL","NULL"
"2013","00","rett_og_plikt","0","personer","5771","norsk_deltakere","NULL","NULL"
"2013","00","rett_og_plikt","1","personer","4942","norsk_deltakere","NULL","NULL"
"2013","00","rett_og_plikt","alle","personer","10713","norsk_deltakere","NULL","NULL"
"2013","01","alle","0","personer","293","norsk_deltakere","NULL","NULL"
"2013","01","alle","1","personer","191","norsk_deltakere","NULL","NULL"
"2013","01","alle","alle","personer","484","norsk_deltakere","NULL","NULL"
"2013","01","plikt","0","personer","24","norsk_deltakere","NULL","NULL"
"2013","01","plikt","1","personer","27","norsk_deltakere","NULL","NULL"
"2013","01","plikt","alle","personer","51","norsk_deltakere","NULL","NULL"
"2013","01","rett","0","personer",":","norsk_deltakere","NULL","NULL"
"2013","01","rett","1","personer",":","norsk_deltakere","NULL","NULL"
"2013","01","rett","alle","personer","14","norsk_deltakere","NULL","NULL"
"2013","01","rett_og_plikt","0","personer","258","norsk_deltakere","NULL","NULL"
"2013","01","rett_og_plikt","1","personer","161","norsk_deltakere","NULL","NULL"
"2013","01","rett_og_plikt","alle","personer","419","norsk_deltakere","NULL","NULL"
"2013","02","alle","0","personer","734","norsk_deltakere","NULL","NULL"
"2013","02","alle","1","personer","645","norsk_deltakere","NULL","NULL"
"2013","02","alle","alle","personer","1379","norsk_deltakere","NULL","NULL"
"2013","02","plikt","0","personer","199","norsk_deltakere","NULL","NULL"
"2013","02","plikt","1","personer","287","norsk_deltakere","NULL","NULL"
"2013","02","plikt","alle","personer","486","norsk_deltakere","NULL","NULL"
"2013","02","rett","0","personer","22","norsk_deltakere","NULL","NULL"
"2013","02","rett","1","personer","14","norsk_deltakere","NULL","NULL"
"2013","02","rett","alle","personer","36","norsk_deltakere","NULL","NULL"
"2013","02","rett_og_plikt","0","personer","513","norsk_deltakere","NULL","NULL"
"2013","02","rett_og_plikt","1","personer","344","norsk_deltakere","NULL","NULL"
"2013","02","rett_og_plikt","alle","personer","857","norsk_deltakere","NULL","NULL"
"2013","03","alle","0","personer","1401","norsk_deltakere","NULL","NULL"
"2013","03","alle","1","personer","1265","norsk_deltakere","NULL","NULL"
"2013","03","alle","alle","personer","2666","norsk_deltakere","NULL","NULL"
"2013","03","plikt","0","personer","566","norsk_deltakere","NULL","NULL"
"2013","03","plikt","1","personer","750","norsk_deltakere","NULL","NULL"
"2013","03","plikt","alle","personer","1316","norsk_deltakere","NULL","NULL"
"2013","03","rett","0","personer","36","norsk_deltakere","NULL","NULL"
"2013","03","rett","1","personer","20","norsk_deltakere","NULL","NULL"
"2013","03","rett","alle","personer","56","norsk_deltakere","NULL","NULL"
"2013","03","rett_og_plikt","0","personer","799","norsk_deltakere","NULL","NULL"
"2013","03","rett_og_plikt","1","personer","495","norsk_deltakere","NULL","NULL"
"2013","03","rett_og_plikt","alle","personer","1294","norsk_deltakere","NULL","NULL"
"2013","04","alle","0","personer","199","norsk_deltakere","NULL","NULL"
"2013","04","alle","1","personer","279","norsk_deltakere","NULL","NULL"
"2013","04","alle","alle","personer","478","norsk_deltakere","NULL","NULL"
"2013","04","plikt","0","personer","11","norsk_deltakere","NULL","NULL"
"2013","04","plikt","1","personer","11","norsk_deltakere","NULL","NULL"
"2013","04","plikt","alle","personer","22","norsk_deltakere","NULL","NULL"
"2013","04","rett","0","personer",":","norsk_deltakere","NULL","NULL"
"2013","04","rett","1","personer",":","norsk_deltakere","NULL","NULL"
"2013","04","rett","alle","personer","8","norsk_deltakere","NULL","NULL"
"2013","04","rett_og_plikt","0","personer","187","norsk_deltakere","NULL","NULL"
"2013","04","rett_og_plikt","1","personer","261","norsk_deltakere","NULL","NULL"
"2013","04","rett_og_plikt","alle","personer","448","norsk_deltakere","NULL","NULL"
"2013","05","alle","0","personer","270","norsk_deltakere","NULL","NULL"
"2013","05","alle","1","personer","281","norsk_deltakere","NULL","NULL"
"2013","05","alle","alle","personer","551","norsk_deltakere","NULL","NULL"
"2013","05","plikt","0","personer","23","norsk_deltakere","NULL","NULL"
"2013","05","plikt","1","personer","25","norsk_deltakere","NULL","NULL"
"2013","05","plikt","alle","personer","48","norsk_deltakere","NULL","NULL"
"2013","05","rett","0","personer",":","norsk_deltakere","NULL","NULL"
"2013","05","rett","1","personer",":","norsk_deltakere","NULL","NULL"
"2013","05","rett","alle","personer","12","norsk_deltakere","NULL","NULL"
"2013","05","rett_og_plikt","0","personer","243","norsk_deltakere","NULL","NULL"
