"aar","fylke_nr","spraaknivaa","provetype","enhet","tabellvariabel","tabell_navn","kommune_nr"
"2014","00","alle","muntlig","personer","8050","norsk_prover","NULL"
"2014","00","alle","lytting","personer","9694","norsk_prover","NULL"
"2014","00","alle","lese","personer","9698","norsk_prover","NULL"
"2014","00","alle","skriftlig","personer","9697","norsk_prover","NULL"
"2014","00","b1","muntlig","prosent","35","norsk_prover","NULL"
"2014","00","b1","muntlig","personer","2818","norsk_prover","NULL"
"2014","00","b1","lytting","prosent","56","norsk_prover","NULL"
"2014","00","b1","lytting","personer","5429","norsk_prover","NULL"
"2014","00","b1","lese","prosent","62","norsk_prover","NULL"
"2014","00","b1","lese","personer","6013","norsk_prover","NULL"
"2014","00","b1","skriftlig","prosent","20","norsk_prover","NULL"
"2014","00","b1","skriftlig","personer","1939","norsk_prover","NULL"
"2014","00","a2","muntlig","prosent","52","norsk_prover","NULL"
"2014","00","a2","muntlig","personer","4186","norsk_prover","NULL"
"2014","00","a2","lytting","prosent","36","norsk_prover","NULL"
"2014","00","a2","lytting","personer","3490","norsk_prover","NULL"
"2014","00","a2","lese","prosent","24","norsk_prover","NULL"
"2014","00","a2","lese","personer","2328","norsk_prover","NULL"
"2014","00","a2","skriftlig","prosent","55","norsk_prover","NULL"
"2014","00","a2","skriftlig","personer","5333","norsk_prover","NULL"
"2014","00","a1","muntlig","prosent","9","norsk_prover","NULL"
"2014","00","a1","muntlig","personer","725","norsk_prover","NULL"
"2014","00","a1","lytting","prosent","8","norsk_prover","NULL"
"2014","00","a1","lytting","personer","776","norsk_prover","NULL"
"2014","00","a1","lese","prosent","12","norsk_prover","NULL"
"2014","00","a1","lese","personer","1164","norsk_prover","NULL"
"2014","00","a1","skriftlig","prosent","23","norsk_prover","NULL"
"2014","00","a1","skriftlig","personer","2230","norsk_prover","NULL"
"2014","00","under_a1","muntlig","prosent","0","norsk_prover","NULL"
"2014","00","under_a1","muntlig","personer","0","norsk_prover","NULL"
"2014","00","under_a1","lytting","prosent","0","norsk_prover","NULL"
"2014","00","under_a1","lytting","personer","0","norsk_prover","NULL"
"2014","00","under_a1","lese","prosent","2","norsk_prover","NULL"
"2014","00","under_a1","lese","personer","194","norsk_prover","NULL"
"2014","00","under_a1","skriftlig","prosent","1","norsk_prover","NULL"
"2014","00","under_a1","skriftlig","personer","97","norsk_prover","NULL"
"2014","00","ikke_vurdert","muntlig","prosent","3","norsk_prover","NULL"
"2014","00","ikke_vurdert","muntlig","personer","242","norsk_prover","NULL"
"2014","00","ikke_vurdert","lytting","prosent","0","norsk_prover","NULL"
"2014","00","ikke_vurdert","lytting","personer","0","norsk_prover","NULL"
"2014","00","ikke_vurdert","lese","prosent","0","norsk_prover","NULL"
"2014","00","ikke_vurdert","lese","personer","0","norsk_prover","NULL"
"2014","00","ikke_vurdert","skriftlig","prosent","1","norsk_prover","NULL"
"2014","00","ikke_vurdert","skriftlig","personer","97","norsk_prover","NULL"
"2014","01","alle","muntlig","personer","259","norsk_prover","NULL"
"2014","01","alle","lytting","personer","334","norsk_prover","NULL"
"2014","01","alle","lese","personer","335","norsk_prover","NULL"
"2014","01","alle","skriftlig","personer","334","norsk_prover","NULL"
"2014","01","b1","muntlig","prosent","42","norsk_prover","NULL"
"2014","01","b1","muntlig","personer","109","norsk_prover","NULL"
"2014","01","b1","lytting","prosent","55","norsk_prover","NULL"
"2014","01","b1","lytting","personer","184","norsk_prover","NULL"
"2014","01","b1","lese","prosent","55","norsk_prover","NULL"
"2014","01","b1","lese","personer","184","norsk_prover","NULL"
"2014","01","b1","skriftlig","prosent","19","norsk_prover","NULL"
"2014","01","b1","skriftlig","personer","63","norsk_prover","NULL"
"2014","01","a2","muntlig","prosent","51","norsk_prover","NULL"
"2014","01","a2","muntlig","personer","132","norsk_prover","NULL"
"2014","01","a2","lytting","prosent","34","norsk_prover","NULL"
"2014","01","a2","lytting","personer","114","norsk_prover","NULL"
"2014","01","a2","lese","prosent","28","norsk_prover","NULL"
"2014","01","a2","lese","personer","94","norsk_prover","NULL"
"2014","01","a2","skriftlig","prosent","52","norsk_prover","NULL"
"2014","01","a2","skriftlig","personer","174","norsk_prover","NULL"
"2014","01","a1","muntlig","prosent","5","norsk_prover","NULL"
"2014","01","a1","muntlig","personer","13","norsk_prover","NULL"
"2014","01","a1","lytting","prosent","10","norsk_prover","NULL"
"2014","01","a1","lytting","personer","33","norsk_prover","NULL"
"2014","01","a1","lese","prosent","15","norsk_prover","NULL"
"2014","01","a1","lese","personer","50","norsk_prover","NULL"
"2014","01","a1","skriftlig","prosent","26","norsk_prover","NULL"
"2014","01","a1","skriftlig","personer","87","norsk_prover","NULL"
"2014","01","under_a1","muntlig","prosent","1","norsk_prover","NULL"
"2014","01","under_a1","muntlig","personer","3","norsk_prover","NULL"
"2014","01","under_a1","lytting","prosent","1","norsk_prover","NULL"
"2014","01","under_a1","lytting","personer","3","norsk_prover","NULL"
"2014","01","under_a1","lese","prosent","2","norsk_prover","NULL"
"2014","01","under_a1","lese","personer","7","norsk_prover","NULL"
"2014","01","under_a1","skriftlig","prosent","1","norsk_prover","NULL"
"2014","01","under_a1","skriftlig","personer","3","norsk_prover","NULL"
"2014","01","ikke_vurdert","muntlig","prosent","2","norsk_prover","NULL"
"2014","01","ikke_vurdert","muntlig","personer","5","norsk_prover","NULL"
"2014","01","ikke_vurdert","lytting","prosent","0","norsk_prover","NULL"
"2014","01","ikke_vurdert","lytting","personer","0","norsk_prover","NULL"
"2014","01","ikke_vurdert","lese","prosent","0","norsk_prover","NULL"
"2014","01","ikke_vurdert","lese","personer","0","norsk_prover","NULL"
"2014","01","ikke_vurdert","skriftlig","prosent","1","norsk_prover","NULL"
"2014","01","ikke_vurdert","skriftlig","personer","3","norsk_prover","NULL"
"2014","02","alle","muntlig","personer","969","norsk_prover","NULL"
"2014","02","alle","lytting","personer","1204","norsk_prover","NULL"
"2014","02","alle","lese","personer","1206","norsk_prover","NULL"
"2014","02","alle","skriftlig","personer","1206","norsk_prover","NULL"
"2014","02","b1","muntlig","prosent","44","norsk_prover","NULL"
"2014","02","b1","muntlig","personer","426","norsk_prover","NULL"
"2014","02","b1","lytting","prosent","62","norsk_prover","NULL"
"2014","02","b1","lytting","personer","746","norsk_prover","NULL"
"2014","02","b1","lese","prosent","68","norsk_prover","NULL"
"2014","02","b1","lese","personer","820","norsk_prover","NULL"
"2014","02","b1","skriftlig","prosent","23","norsk_prover","NULL"
"2014","02","b1","skriftlig","personer","277","norsk_prover","NULL"
"2014","02","a2","muntlig","prosent","45","norsk_prover","NULL"
"2014","02","a2","muntlig","personer","436","norsk_prover","NULL"
"2014","02","a2","lytting","prosent","33","norsk_prover","NULL"
"2014","02","a2","lytting","personer","397","norsk_prover","NULL"
"2014","02","a2","lese","prosent","22","norsk_prover","NULL"
"2014","02","a2","lese","personer","265","norsk_prover","NULL"
"2014","02","a2","skriftlig","prosent","56","norsk_prover","NULL"
"2014","02","a2","skriftlig","personer","675","norsk_prover","NULL"
"2014","02","a1","muntlig","prosent","8","norsk_prover","NULL"
"2014","02","a1","muntlig","personer","78","norsk_prover","NULL"
"2014","02","a1","lytting","prosent","5","norsk_prover","NULL"
"2014","02","a1","lytting","personer","60","norsk_prover","NULL"
"2014","02","a1","lese","prosent","10","norsk_prover","NULL"
"2014","02","a1","lese","personer","121","norsk_prover","NULL"
"2014","02","a1","skriftlig","prosent","19","norsk_prover","NULL"
"2014","02","a1","skriftlig","personer","229","norsk_prover","NULL"
