"aar","bydel_nr","botid_5","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","000301","0_4","personer","28351","sysselsatte_botid","NULL","NULL","NULL"
"2013","000301","0_4","prosent","65.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","000301","5_9","personer","16650","sysselsatte_botid","NULL","NULL","NULL"
"2013","000301","5_9","prosent","70.2","sysselsatte_botid","NULL","NULL","NULL"
"2013","000301","10+","personer","40578","sysselsatte_botid","NULL","NULL","NULL"
"2013","000301","10+","prosent","61.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","030101","0_4","personer","2756","sysselsatte_botid","NULL","NULL","NULL"
"2013","030101","0_4","prosent","69.2","sysselsatte_botid","NULL","NULL","NULL"
"2013","030101","5_9","personer","1462","sysselsatte_botid","NULL","NULL","NULL"
"2013","030101","5_9","prosent","66.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030101","10+","personer","3424","sysselsatte_botid","NULL","NULL","NULL"
"2013","030101","10+","prosent","53.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","030102","0_4","personer","3931","sysselsatte_botid","NULL","NULL","NULL"
"2013","030102","0_4","prosent","73.1","sysselsatte_botid","NULL","NULL","NULL"
"2013","030102","5_9","personer","1822","sysselsatte_botid","NULL","NULL","NULL"
"2013","030102","5_9","prosent","71.3","sysselsatte_botid","NULL","NULL","NULL"
"2013","030102","10+","personer","2969","sysselsatte_botid","NULL","NULL","NULL"
"2013","030102","10+","prosent","57.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030103","0_4","personer","1709","sysselsatte_botid","NULL","NULL","NULL"
"2013","030103","0_4","prosent","69.3","sysselsatte_botid","NULL","NULL","NULL"
"2013","030103","5_9","personer","904","sysselsatte_botid","NULL","NULL","NULL"
"2013","030103","5_9","prosent","68.4","sysselsatte_botid","NULL","NULL","NULL"
"2013","030103","10+","personer","1762","sysselsatte_botid","NULL","NULL","NULL"
"2013","030103","10+","prosent","54.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","030104","0_4","personer","2678","sysselsatte_botid","NULL","NULL","NULL"
"2013","030104","0_4","prosent","74.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030104","5_9","personer","1085","sysselsatte_botid","NULL","NULL","NULL"
"2013","030104","5_9","prosent","74.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030104","10+","personer","1557","sysselsatte_botid","NULL","NULL","NULL"
"2013","030104","10+","prosent","64.5","sysselsatte_botid","NULL","NULL","NULL"
"2013","030105","0_4","personer","4435","sysselsatte_botid","NULL","NULL","NULL"
"2013","030105","0_4","prosent","74.9","sysselsatte_botid","NULL","NULL","NULL"
"2013","030105","5_9","personer","1391","sysselsatte_botid","NULL","NULL","NULL"
"2013","030105","5_9","prosent","75.3","sysselsatte_botid","NULL","NULL","NULL"
"2013","030105","10+","personer","2440","sysselsatte_botid","NULL","NULL","NULL"
"2013","030105","10+","prosent","66.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","030106","0_4","personer","1043","sysselsatte_botid","NULL","NULL","NULL"
"2013","030106","0_4","prosent","64.3","sysselsatte_botid","NULL","NULL","NULL"
"2013","030106","5_9","personer","576","sysselsatte_botid","NULL","NULL","NULL"
"2013","030106","5_9","prosent","76.3","sysselsatte_botid","NULL","NULL","NULL"
"2013","030106","10+","personer","1203","sysselsatte_botid","NULL","NULL","NULL"
"2013","030106","10+","prosent","75.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030107","0_4","personer","1372","sysselsatte_botid","NULL","NULL","NULL"
"2013","030107","0_4","prosent","57.8","sysselsatte_botid","NULL","NULL","NULL"
