"aar","bydel_nr","botid_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","000301","alle","1","personer","38235","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","alle","1","prosent","76.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","alle","2","personer","47344","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","alle","2","prosent","57.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","alle","alle","personer","85579","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","alle","alle","prosent","64.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","0-4","1","personer","19280","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","0-4","1","prosent","74.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","0-4","2","personer","9071","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","0-4","2","prosent","52.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","0-4","alle","personer","28351","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","0-4","alle","prosent","65.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","5+","1","personer","18955","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","5+","1","prosent","79.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","5+","2","personer","38273","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","5+","2","prosent","58.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","5+","alle","personer","57228","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","000301","5+","alle","prosent","64","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","alle","1","personer","3389","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","alle","1","prosent","78","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","alle","2","personer","4253","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","alle","2","prosent","51.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","alle","alle","personer","7642","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","alle","alle","prosent","60.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","0-4","1","personer","1858","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","0-4","1","prosent","77.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","0-4","2","personer","898","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","0-4","2","prosent","56.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","0-4","alle","personer","2756","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","0-4","alle","prosent","69.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","5+","1","personer","1531","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","5+","1","prosent","78.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","5+","2","personer","3355","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","5+","2","prosent","50.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","5+","alle","personer","4886","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030101","5+","alle","prosent","57","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","alle","1","personer","4735","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","alle","1","prosent","79","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","alle","2","personer","3987","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","alle","2","prosent","56.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","alle","alle","personer","8722","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","alle","alle","prosent","66.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","0-4","1","personer","2855","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","0-4","1","prosent","79.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","0-4","2","personer","1076","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","0-4","2","prosent","60.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","0-4","alle","personer","3931","sysselsatte_botid_land","NULL","NULL","NULL"
